source_queue	volume	page	line	from_token	proposed_to_token	final_to_token	context_excerpt	support	decision	reason	evidence_tag	example_ref
all_sanskrit_review_suggestions	WtS 8-b	431	40	sarvajnatāprāgbhārab	sarvajñatāprāgbhārab	sarvajñatāprāgbhārab	sarvajnatāprāgbhārab in Buddhist technical-term context	review_queue	promote	Exact sarvajñatā-family correction; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_8_b:431:40
all_sanskrit_review_suggestions	WtS 35-51	613	68	navijnānadhātuh	navijñānadhātuh	navijñānadhātuh	navijnānadhātuh in dhātu technical-term context	review_queue	promote	Exact jñ-family technical term in Sanskrit context.	review_queue_sanskrit_jn_family	wts_35_51:613:68
all_sanskrit_review_suggestions	WtS 9-m	147	50	rvijnānadhātub	rvijñānadhātub	rvijñānadhātub	rvijnānadhātub in dhātu technical-term context	review_queue	promote	Exact jñ-family technical term; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_9_m:147:50
all_sanskrit_review_suggestions	WtS 1-34	574	8	parināmanavidkijnāh	parināmanavidkijñāh	parināmanavidkijñāh	parināmanavidkijnāh in Sanskrit ritual/technical context	review_queue	promote	Exact jñ-family correction; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_1_34:574:8
all_sanskrit_review_suggestions	WtS 1-34	128	148	prabhā-mandala-vyaha-jnā	prabhā-mandala-vyaha-jñā	prabhā-mandala-vyaha-jñā	prabhā-mandala-vyaha-jnā in Sanskrit title/compound context	review_queue	promote	Exact jñ-family compound correction; no broad jn rule added.	review_queue_sanskrit_jn_family	wts_1_34:128:148
all_sanskrit_review_suggestions	WtS 8-b	174	12	śäntideva	śāntideva	śāntideva	śäntideva proper-name context	review_queue	promote	Exact Sanskrit proper-name diacritic repair.	review_queue_sanskrit_proper_name	wts_8_b:174:12
all_sanskrit_review_suggestions	WtS 1-34;WtS 9-m	994;297	71;64	śräva	śrāva	śrāva	śräva- in śrāvaka/śrāva context	review_queue	promote	Exact Buddhist term fragment in reviewed Sanskrit context.	review_queue_sanskrit_term	wts_1_34:994:71;wts_9_m:297:64
all_sanskrit_review_suggestions	WtS 8-b	383	72	śväsayema	śvāsayema	śvāsayema	śväsayema in Sanskrit verbal form context	review_queue	promote	Exact Sanskrit term diacritic repair.	review_queue_sanskrit_term	wts_8_b:383:72
all_sanskrit_review_suggestions	WtS 9-m	207	67	Vaiśvänara	Vaiśvānara	Vaiśvānara	Vaiśvänara Feuergott context	review_queue	promote	Exact Sanskrit proper-name diacritic repair.	review_queue_sanskrit_proper_name	wts_9_m:207:67
all_sanskrit_review_suggestions	WtS 35-51	572	75	ktijnānadarsanaskandhab	ktijñānadarsanaskandhab	ktijñānadarsanaskandhab	ktijnānadarsanaskandhab in skandha technical-term context	review_queue	promote	Exact jñ-family technical term; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_35_51:572:75
all_sanskrit_review_suggestions	WtS 9-m	310	62	buddhajnanāadhyalambanatāyii	buddhajñanāadhyalambanatāyii	buddhajñanāadhyalambanatāyii	buddhajnanāadhyalambanatāyii in Buddhist technical-term context	review_queue	promote	Exact jñ-family correction; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_9_m:310:62
all_sanskrit_review_suggestions	WtS 1-34	997	45	sarvatragäminipratipajjnanabalam	sarvatragāminipratipajjñanabalam	sarvatragāminipratipajjñanabalam	sarvatragäminipratipajjnanabalam in sGra/bala context	review_queue	promote	Exact Sanskrit technical-term correction with macron and jñ in reviewed context.	review_queue_sanskrit_jn_family	wts_1_34:997:45
all_sanskrit_review_suggestions	WtS 35-51	244	48	sarvatathāgatavajrābhisckajniā	sarvatathāgatavajrābhisckajñiā	sarvatathāgatavajrābhisckajñiā	sarvatathāgatavajrābhisckajniā in Buddhist title/technical context	review_queue	promote	Exact jñ-family correction; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_35_51:244:48
google_sanskrit_candidate_readings	WtS 9-m	362	30	Käsy	Kāśy		Käsy 98,1 bibliographic abbreviation	google	reject	Short bibliographic abbreviation needs source review; not a safe Sanskrit lexical promotion.		wts_9_m:362:30
google_sanskrit_candidate_readings	WtS 1-34	17	29	dNul	dṄul		dNul chu Dharmabhadra	google	reject	Tibetan/Wylie token pattern, not Sanskrit normalisation.		wts_1_34:17:29
google_sanskrit_candidate_readings	WtS 35-51	177	28	pasmasäna	paśmasāna		pasmasäna in mixed Mahasamnipata cluster	google	defer	Google alternate remains uncertain/under-normalised; source review needed before exact override.		wts_35_51:177:28
google_sanskrit_candidate_readings	WtS 35-51	177	30	puspavrksab	puspavykṣaḥ		puspavrksab in mixed Mahasamnipata cluster	google	defer	Google alternate appears under-normalised; likely Sanskrit form needs independent source confirmation.		wts_35_51:177:30
all_sanskrit_review_suggestions	WtS 9-m	190	5	anantäparyantab	anantāparyantab		anantäparyantab ohne Ende und Umgrenzung	review_queue	defer	Review suggestion only fixes macron and leaves final consonant damage; needs fuller source-supported form.		wts_9_m:190:5
all_sanskrit_review_suggestions	WtS 35-51	901	22	Aryaratnakäta	Aryaratnakāta		Aryaratnakäta sind zusammengerechnet 49	review_queue	defer	Likely title/proper-name material, but exact final Sanskrit title form needs confirmation.		wts_35_51:901:22
all_sanskrit_review_suggestions	WtS 35-51	301	24	Buddhasöh	Buddhasoh		Disziplin der Buddhasöh-	review_queue	reject	German word fragment, not Sanskrit normalisation.		wts_35_51:301:24
all_sanskrit_review_suggestions	WtS 8-b	55	60	dnantaryamärgab	dnantaryamārgab		dnantaryamärgab Weg ohne Hindernisse	review_queue	defer	Partial macron repair only; exact source-supported Sanskrit form still uncertain.		wts_8_b:55:60
all_sanskrit_review_suggestions	WtS 1-34	1007	104	jnaurasab	jñaurasab		jnaurasab Sohn des Buddha	review_queue	defer	jñ may be plausible, but full damaged form is not established enough for this batch.		wts_1_34:1007:104
all_sanskrit_review_suggestions	WtS 35-51	158	34	pratikäülasamjnä	pratikāulasamjñā		āhāre pratikäülasamjnä beim Essen	review_queue	defer	Current suggestion is partial and likely still wrong; needs full Sanskrit adjudication.		wts_35_51:158:34
all_sanskrit_review_suggestions	WtS 9-m	329	66	śinaväsika	śinavāsika		śinaväsika in mixed prose/review context	review_queue	defer	Exact intended Sanskrit/proper-name form uncertain.		wts_9_m:329:66
all_sanskrit_review_suggestions	WtS 8-b	402	64	śosa-räpasya	śosa-rāpasya		śosa-räpasya in mixed Sanskrit context	review_queue	defer	Partial macron repair only; exact form needs source review.		wts_8_b:402:64
all_sanskrit_review_suggestions	WtS 35-51	466	50	śrijhäna	śrijhāna		śrijhäna in mixed Sanskrit context	review_queue	defer	Not enough evidence for exact corrected form.		wts_35_51:466:50
all_sanskrit_review_suggestions	WtS 9-m	333	12	ucchanganäam	ucchanganāam		ucchanganäam in mixed Sanskrit context	review_queue	defer	Partial macron repair only; exact form needs source review.		wts_9_m:333:12
