page	line	entry_id	zone	from_token	to_token	tier	reason	applied	line_excerpt
19	28	29	german_prose_with_translit	IHiimmels	lHiimmels	A	confusable_initial_I_to_l_marked_context	1	steigt der Hauptschützer in den IHiimmels-
19	32	30	latin_other	rmams	rnams	A	explicit_user_allowlist	1	ri rmams kyis ni bsgribs pa ... gan tshe lag
19	37	30	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	"spyan Idan yons $// mya an 'das ""Anirud-"
19	61	31	german_prose_with_translit	rigs-Idan	rigs-ldan	A	confusable_hyphenated_I_to_l_translit	1	5. 11 pr. de r21. rigs-Idan- König von Śimbha-
19	73	34	latin_other	Ihun	lhun	A	confusable_initial_I_to_l_lexicon	1	klu'i dbari chos kyi Ihun po la sogs pas ... — sde
19	80	34	latin_other	broyud	brgyud	A	explicit_user_allowlist	1	dan / phyi ma la ma broyud (7, rgyud) kyir'o
20	5	35	german_prose_with_translit	IHun-grub	lHun-grub	A	confusable_initial_I_to_l_marked_context	1	"""sPa-ston IHun-grub dpal-bzan fand in Zan-"
20	8	35	german_prose_with_translit	nañ	naṅ	A	explicit_user_allowlist	1	Lex. mdo min rgyud kyi nañ tshan Zig
20	60	42	latin_other	$os	śos	A	confusable_dollar_to_sacute_shape_safe	1	tshul gñis las gcig ni ma grub pa cig $os la nithe
21	16	43	german_prose_with_translit	Ira'	lra'	A	confusable_initial_I_to_l_marked_context	1	Lex. aniyatagotrah (Mvy 1264, Abt. rigs Ira'!
21	29	46	german_prose_with_translit	dPal-Idan	dPal-ldan	A	explicit_user_allowlist	1	dPal-Idan Iha-mo, auch Ma-gcig 'dod-khams
21	29	46	german_prose_with_translit	Iha-mo	lha-mo	A	confusable_initial_I_to_l_marked_context	1	dPal-Idan Iha-mo, auch Ma-gcig 'dod-khams
21	32	46	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	bka' srun — dpal ldan Iha mo die Hauptstadt
21	33	46	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	Tibets (Neb 23); — dpal Idan Iha mo remati
21	33	46	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	Tibets (Neb 23); — dpal Idan Iha mo remati
21	35	46	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	— srid pa' Iha mo gdon dmar ma Beiname
21	36	46	german_prose_with_translit	Iha-nio	lha-nio	A	confusable_initial_I_to_l_marked_context	1	der Gottheit Rig-pa'i Iha-nio gdon-dmar-
21	38	46	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	— Iha mo eine ma-mo-Gottheit der Bon-po
21	46	47	german_prose_with_translit	griis	gñis	A	explicit_user_allowlist	1	"'phreri na rogs po griis sprul ""wenn du dir Sor-"
21	72	47	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	sras / slob dpon chen po kun dga' ri ma / 007)
22	75	57	headword_line	Mañ	Maṅ	A	confusable_nya_coda_safe_strong_context	1	མ་ཇུ་ཤྲཾ་བར་མ་ ma ju Sri bar ma npr. Mañ-
22	76	57	german_prose_with_translit	ju$rivarman	juśrivarman	A	confusable_dollar_to_sacute_shape_safe	1	ju$rivarman, ein Gelehrter aus
23	5	59	german_prose_with_translit	Iha'i	lha'i	A	confusable_initial_I_to_l_marked_context	1	"Iha'i gtsug lag ni ma flams ""er hat die Welt-"
23	12	59	latin_other	broyud	brgyud	A	explicit_user_allowlist	1	69,19); 'khon gyi rigs broyud 'od dkar ma
23	30	59	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	bzar po broyad cu'i min); theg pa chen po
23	70	62	german_prose_with_translit	mañ	maṅ	A	confusable_nya_coda_safe	1	eine himmlische Blume, skt. mañ ju-
24	3	65	german_prose_with_translit	I$varas	Iśvaras	A	confusable_dollar_to_sacute_shape_safe	1	"sna'i min ""Bez. für den älteren Sohn I$varas,"
24	29	69	german_prose_with_translit	$riharsa	śriharsa	A	confusable_dollar_to_sacute_shape_safe	1	nigs $riharsa, einmal auf den Urteilsspruch
24	41	71	german_prose_with_translit	b$ad	bśad	A	confusable_dollar_to_sacute_shape_safe	1	"rigs par b$ad de — pa'o ""wie zuweilen erklärt"
24	67	74	latin_other	Ina'	lna'	A	confusable_initial_I_to_l_marked_context	1	'dod chags — sogs / dug Ina' dban ur 'gro
24	79	75	latin_other	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	chos Idan rab 'byor dan / — mams mtshan
25	13	78	other	rmams	rnams	A	explicit_user_allowlist	1	"dera rmams myos par 'gur (metr.) ""wenn"
25	26	79	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	chen dbani phyug chen po Iha chen po / thams
25	47	80	latin_other	dan bcas pa	daṅ bcas pa	A	tibetan_translit_phrase_allowlist	1	— khrani dan bcas pa 'dis / dri za'i khrom sna
26	9	81	latin_other	dañ	daṅ	A	explicit_user_allowlist	1	"dpe med pa ~ ""gro phan ston pa ñid dañ phyogs"
26	42	83	german_prose_with_translit	$ibade	śibade	A	confusable_dollar_to_sacute_shape_safe	1	"$ibade ni Sin tu te por ma stes te ""dal er ge-"
26	48	84	german_prose_with_translit	miñ	miṅ	A	confusable_nya_coda_safe	1	"ma legs pa dan nes pa'i miñ ""unguter Um-"
26	60	84	latin_other	Iha	lha	A	explicit_case_sensitive_allowlist	1	Iha rgur yin ... ma da glin gi g.yari rgur red
26	73	84	german_prose_with_translit	mañ	maṅ	A	confusable_nya_coda_safe	1	"dgon khag mañ po yod pa ""im Distrikt dPa'-ri"
26	78	84	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	dari / 'phags pa dga' ba can Zes bya bas bstan
27	19	86	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	"broyad (metr.) ""das ya-thog[-Zeitalter mit"
27	52	90	german_prose_with_translit	chañ	chaṅ	A	confusable_nya_coda_safe	1	"Lex. tsbogs chañ gi brda skad ""Tarnwort für"
27	67	92	german_prose_with_translit	Miml	Mimi	A	citation_roman_l_to_I	1	"ma drans = ma dul ""ungezähmt"" (Miml"
27	69	92	german_prose_with_translit	Miml	Mimi	A	citation_roman_l_to_I	1	"ma drans = mu srun ""nicht sanft"" (Miml"
28	5	95	german_prose_with_translit	miñ	miṅ	A	confusable_nya_coda_safe	1	Lex. dban phyug gi bu chun gdon drug gi miñ
28	7	95	latin_other	bii	bźi	A	explicit_case_sensitive_allowlist	1	dan 'dam bii tshal dan smin drug daṅ sa ga
29	31	104	german_prose	broyad	brgyad	A	explicit_user_allowlist	1	"broyad ""die acht-"
29	33	104	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	chub sems dpa'i chos ma 'dres pa bco broyad
29	35	104	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	ma 'dres chos / bco broyad bsad pa gan yin
30	79	111	german_prose_with_translit	rde'u	rde’u	A	explicit_user_allowlist	1	(K6 da 52b6); rde'u 'phel dan — 'yur (metr.)
31	53	112	german_prose	111	in	A	german_numeric_function_word_confusion	1	4. gramm. t.t. zur Bez. des Neutrums 111]
32	5	112	german_prose_with_translit	cine	eine	A	german_dotless_i_safe_map	1	2. cine Gewichtseinheit für Gold; vgl.
33	37	128	latin_other	Ihakhan	lhakhan	A	confusable_initial_I_to_l_marked_context	1	Ihakhan gñis / mtsho ma 'phan mi lud pa'idon
33	42	128	latin_other	dan bcas pas	daṅ bcas pas	A	tibetan_translit_phrase_allowlist	1	gyi gźi bdag ''khor dan bcas pas bsu ba byas
33	55	129	latin_other	Ita'i	lta'i	A	confusable_initial_I_to_l_marked_context	1	dros pa la da Ita'i yons la grags pa' — g.yu
33	69	129	latin_other	g$en	gśen	A	confusable_dollar_to_sacute_shape_safe	1	"9.3/// mtsho bya bar (bjtags (metr.) ""[g$en-"
33	84	129	latin_other	Ita	lta	A	explicit_case_sensitive_allowlist	1	da Ita gnas skabs kyi rani skal ma pham tsami
34	18	130	german_prose_with_translit	$el	śel	A	confusable_dollar_to_sacute_shape_safe	1	"sron $el nag la — ste ""[die Lehre] wird von"
34	52	135	german_prose_with_translit	bsnal	bsṅal	A	explicit_user_allowlist	1	"hen!"" (Mil 76,19); ned — gsum gyi sdug bsnal"
34	58	135	german_prose_with_translit	Inzest'	lnzest'	A	confusable_initial_I_to_l_marked_context	1	ter und Sohn [wird] 'gefleckter Inzest' [ge-
34	76	135	german_prose_with_translit	$e-bam	śe-bam	A	confusable_dollar_to_sacute_shape_safe	1	sung [an das Kloster] gewährten $e-bam[-
35	3	136	german_prose	111	in	A	german_numeric_function_word_confusion	1	5. 111 Mutter-
35	82	141	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	bcom Idan 'das (v.l. add. sa) rmanis kyi ye $es
35	82	141	german_prose_with_translit	$es	śes	A	explicit_user_allowlist	1	bcom Idan 'das (v.l. add. sa) rmanis kyi ye $es
36	14	143	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	mdog — broyad po pan na 'tsbo ba'i — grüs
36	17	143	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	"te / — broyad la rjes su gtad nas ""Suvarna-"
36	24	143	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	ba'i — briyad / nu ma snun pa broyad / rtse
36	25	143	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	bai — broyad / dri ma phyi ba broyad de
36	25	143	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	bai — broyad / dri ma phyi ba broyad de
37	19	147	german_prose	dPal-Idan	dPal-ldan	A	explicit_user_allowlist	1	Gottheiten, ihre Anführerin ist dPal-Idan
37	20	147	german_prose_with_translit	Iha-mo	lha-mo	A	confusable_initial_I_to_l_marked_context	1	Iha-mo (vgl. Neb 269).
37	21	147	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	sans rgyas thams cad spyan drans la — broyad
37	33	147	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	phag mo dan / tsa mundi ste broyad la — Zes
37	46	147	german_prose_with_translit	Ke'u-$a	Ke'u-śa	A	confusable_dollar_to_sacute_shape_safe	1	dene Stüpa Ke'u-$a, [darin] lebt die große
37	57	148	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	"mo zu opfern"" (Tär 151,10); ke'uri — broyad"
37	58	148	german_prose_with_translit	yañ	yaṅ	A	explicit_user_allowlist	1	"po yañ khrag 'thuri yab Ina la bskor nas ""auch"
38	16	149	german_prose_with_translit	Itabw'i	ltabw'i	A	confusable_initial_I_to_l_marked_context	1	"Itabw'i lun — ""die ursprüngliche Unterwei-"
38	19	149	german_prose_with_translit	cine	eine	A	german_dotless_i_safe_map	1	8. cine nädi im Körper, skt. inātart.
38	35	151	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	Idan Iha-mo (Neb 37).
38	35	151	german_prose_with_translit	Iha-mo	lha-mo	A	confusable_initial_I_to_l_marked_context	1	Idan Iha-mo (Neb 37).
38	53	157	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	pe von Gottheiten, auch — Iha
38	57	157	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	"sgrub pa bka' broyad ni ...— dan ""die von den"
38	79	159	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	phyir — pa broya rtsa broyad kyi chos gäi byas
39	66	168	german_prose_with_translit	$og	śog	A	confusable_dollar_to_sacute_shape_safe	1	"'di phyogs su thon $og ""ihr, Mutter und Toch-"
40	36	174	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	(NB 3.139); gtsug lag khari broya rtsa broyad
40	79	178	german_prose_with_translit	Sron-Ide-btsan	Sron-lde-btsan	A	confusable_hyphenated_I_to_l_translit	1	des btsan po Khri Sron-Ide-btsan (742-796).
42	14	186	german_prose_with_translit	broyud	brgyud	A	explicit_user_allowlist	1	ma bäi{n} smug po gdon gi rgyal broyud chos
42	36	188	latin_other	yañ	yaṅ	A	explicit_user_allowlist	1	grub 'yur kho nar ~ kyi / ma grub na yañ
42	56	189	latin_other	yañ	yaṅ	A	explicit_user_allowlist	1	mthun pa'i gzugs dis mig gi yañ bde ba skyed
43	11	190	latin_other	$or	śor	A	confusable_dollar_to_sacute_shape_safe	1	{g}or rkun {g}$or rigs mi 'byun ba ... dgos
44	3	200	german_prose_with_translit	oñs	oṅs	A	explicit_user_allowlist	1	ma 'onsrdul can auch ma oñs
44	34	201	german_prose_with_translit	gañ	gaṅ	A	explicit_user_allowlist	1	"~ gañ yin pa de ni ma phyin pa'o ""der zu-"
44	37	201	latin_other	rmams	rnams	A	explicit_user_allowlist	1	dus rmams na / skyob dan dpun gien skyabs
44	44	201	latin_other	Iha	lha	A	explicit_case_sensitive_allowlist	1	"36,14); gari 9:77 Iha mo 'di —""i dus na ... bla"
44	81	202	latin_other	rmams	rnams	A	explicit_user_allowlist	1	— na ... 'khor ba las 'grol bar 'gyur ba rmams
44	89	202	german_prose	ciner	einer	A	german_dotless_i_safe_map	1	darüber, wie ciner aus dem Gefolge des Kö-
44	92	202	latin_other	oñs	oṅs	A	explicit_user_allowlist	1	382,6); ma oñs 'gro ba'i don mdzad (metr.)
45	47	206	german_prose_with_translit	cine	eine	A	german_dotless_i_safe_map	1	ZINN ma yams cine Gruppe übernatürli-
46	5	212	latin_other	bsnal	bsṅal	A	explicit_user_allowlist	1	"134,8); /$/)/// —s sdug bsnal bar gyur ta re ""es"
46	18	212	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	"ni dan Iha ma yin du bcas pa ""samt Göt-"
46	51	213	latin_other	griis	gñis	A	explicit_user_allowlist	1	pa = ma yin dgag dari med dgag griis (brDa);
47	5	214	german_prose_with_translit	IHo-nub	lHo-nub	A	confusable_initial_I_to_l_marked_context	1	IHo-nub mgon-po gri-gug dmar-po (Neb
47	36	214	german_prose_with_translit	$es	śes	A	explicit_user_allowlist	1	"$es pa'i rab rib ""die Dunkelheit der Ver-"
47	40	214	latin_other	dga'	dga’	A	explicit_user_allowlist	1	"ba'i btson rar dga' bar beyid (metr.) ""sie"
47	58	215	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	1	1111] nicht fest und die Verblendung usw. fes-
47	84	215	german_prose_with_translit	cine	eine	A	german_dotless_i_safe_map	1	"""es entsteht der Zustand, daß man cine Un-"
48	43	219	german_prose_with_translit	g$is	gśis	A	confusable_dollar_to_sacute_shape_safe	1	Lex. sa g$is (brDa, Dagy).
48	55	220	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	"Iha sa'i sku mkhar —r bcos nas ""[das Alpha-"
48	61	220	german_prose	ciner	einer	A	german_dotless_i_safe_map	1	in ciner Gegend des Landes Märuta Vater,
49	34	222	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	ge pa drug dari ... bco broyad kyis ma runs
51	55	235	german_prose_with_translit	broyud	brgyud	A	explicit_user_allowlist	1	(Tär 33,6); -irgyal po rin pa'i broyud las
51	56	235	latin_other	broyud	brgyud	A	explicit_user_allowlist	1	rgyal broyud ma chad par byurn ba'i rigs żig
51	75	237	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"Lex. ries med Ita bu ""wie: ohne Schuld"""
52	47	241	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"po'i 'khor —s Ita bar gyur pa ""der Bodhisat-"
52	62	242	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	"lus dga' bar bya la (metr.) ""[dessen Gesicht]"
53	47	243	latin_other	rde'u	rde’u	A	explicit_user_allowlist	1	lo dgra lo gan yin gyi / rde'u gcig ma nor bor
53	79	243	german_prose_with_translit	Ina'am	lna'am	A	confusable_initial_I_to_l_marked_context	1	"— Ina'am / — Iiia las Ihag pa ""fünf Mäsaka-"
53	79	243	german_prose_with_translit	Ihag	lhag	A	confusable_initial_I_to_l_marked_context	1	"— Ina'am / — Iiia las Ihag pa ""fünf Mäsaka-"
54	13	245	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"jal byed kyi dirul Ita bu Zig ""wie Geld, mit"
54	19	245	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	na'i dbyibs su byas te Zes dan 'gron bu broyad
54	25	245	german_prose_with_translit	$a	śa	A	confusable_dollar_to_sacute_shape_safe	1	ma $a aus Eisen und ma $a aus Kupfer sind
54	25	245	german_prose_with_translit	$a	śa	A	confusable_dollar_to_sacute_shape_safe	1	ma $a aus Eisen und ma $a aus Kupfer sind
54	33	245	german_prose_with_translit	IDe-gtsug-btsan	lDe-gtsug-btsan	A	confusable_hyphenated_I_to_l_translit	1	des Königs Khri IDe-gtsug-btsan.
54	36	245	latin_other	Ma-$a	Ma-śa	A	confusable_dollar_to_sacute_shape_safe	1	kon lun (d. ], 707-710) wurde Ma-$a kori-
55	5	247	latin_other	rmams	rnams	A	explicit_user_allowlist	1	ma sura ksi ... bzod pa skyon ba rmams /
55	10	247	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	"pa cig gis rgyal srid lo broyad tsam byas ""dann"
55	43	250	german_prose_with_translit	Ina'i	lna'i	A	confusable_initial_I_to_l_marked_context	1	Abt. mtsbams med pa Ina'i min).
55	57	252	german_prose_with_translit	griis	gñis	A	explicit_user_allowlist	1	"— griis pha gir phrin las skyon ba'irtags ""Zei-"
56	48	259	latin_other	Iho	lho	A	explicit_case_sensitive_allowlist	1	Iho phyogs konka nar ... dena — 206 bya ba
57	18	261	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	Idan rgyal-po und viele andere, die gelehrt
57	23	262	latin_other	broyad	brgyad	A	explicit_user_allowlist	1	kam ser gtsug lag khan kha broyad kyi dge
57	59	266	german_prose_with_translit	Odivi$a	Odiviśa	A	confusable_dollar_to_sacute_shape_safe	1	"""Viräcärya, der König von Odivi$a, der mit"
57	72	267	latin_other	dañ	daṅ	A	explicit_user_allowlist	1	yul dbus ni ... ba lan dañ / ~ phun sum
58	36	268	latin_other	dañ	daṅ	A	explicit_user_allowlist	1	145,12); dam can chos kyi rgyal po' ~ dañ /
58	41	268	german_prose_with_translit	$a	śa	A	confusable_dollar_to_sacute_shape_safe	1	"rtol) mo'i $a (metr.) ""Fleisch eines Büffels,"
59	15	269	latin_other	dan bcas pa'i	daṅ bcas pa'i	A	tibetan_translit_phrase_allowlist	1	da 12623); ma la ya can ma dan bcas pa'i
59	51	269	german_prose_with_translit	bsnal	bsṅal	A	explicit_user_allowlist	1	"bsnal rab — ba'i / byol son (metr.) ""die Tie-"
60	11	270	latin_other	chañ	chaṅ	A	confusable_nya_coda_safe	1	"rag dan 'bras chañ gari ~ ~ drans byun ""sie"
60	42	270	german_prose_with_translit	broyud	brgyud	A	explicit_user_allowlist	1	"Stüpas"" (gNas 22,5); mi broyud la 'gag gri —"
61	39	276	german_prose_with_translit	cinem	einem	A	german_dotless_i_safe_map	1	nerlangevergangenen Zeit; in cinem Monat,
61	47	277	german_prose_with_translit	gañ	gaṅ	A	explicit_user_allowlist	1	~~ rgas pa geig Zu na gañ 'dra yon Zus pas
61	48	277	german_prose	cine	eine	A	german_dotless_i_safe_map	1	"""ich gab etwa cine Handvoll Tee hinein und"
61	79	279	german_prose_with_translit	$rävakas	śrävakas	A	confusable_dollar_to_sacute_shape_safe	1	in [das Fahrzeug] der $rävakas eingetreten
61	81	279	german_prose_with_translit	dañ	daṅ	A	explicit_user_allowlist	1	"Lex. man po dañ ñun ba ""viel und wenig"""
62	3	280	german_prose_with_translit	mañ	maṅ	A	confusable_to_headword	1	"oder weniger: mañ ñun re"" (Be'uD 225,6)."
62	9	281	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	1	"ges so ""die Sthaviras aber spalteten sich 111"
62	17	282	german_prose_with_translit	b$os	bśos	A	confusable_dollar_to_sacute_shape_safe	1	"ban ne b$os (metr.) ""Gerstenbier, Speiscop-"
62	20	282	latin_other	Ina'i	lna'i	A	confusable_initial_I_to_l_marked_context	1	"kegel"" (gZi-Sn 90,2); dug Ina'i rtsa ba yañ /"
62	20	282	latin_other	yañ	yaṅ	A	explicit_user_allowlist	1	"kegel"" (gZi-Sn 90,2); dug Ina'i rtsa ba yañ /"
63	54	290	german_prose_with_translit	b$ad	bśad	A	confusable_dollar_to_sacute_shape_safe	1	"rig pa — b$ad cin yod ""insbesondere erklärte"
63	68	291	german_prose_with_translit	Idan	ldan	A	confusable_initial_I_to_l_lexicon	1	"rab dan Idan pa ""gelehrt, tatkräftig und ver-"
63	79	291	german_prose	broyad	brgyad	A	explicit_user_allowlist	1	"broyad ""die acht diszipliniertesten und schr"
63	86	291	latin_other	mañ	maṅ	A	confusable_to_headword	1	2381); mañ thos = mkhas pa laan (brDa,
64	8	292	german_prose_with_translit	broyad	brgyad	A	explicit_user_allowlist	1	"sde broyad du gyes la ""die Mahāsārnghikas"
64	18	293	german_prose_with_translit	dañ	daṅ	A	explicit_user_allowlist	1	Abt. chags pa dañ 'dod pai rnam pa'i min).
64	22	294	german_prose_with_translit	mañ	maṅ	A	confusable_to_headword	1	Lex. phyir Zi sems paam mañ du sems (v.).
64	39	298	german_prose_with_translit	mañ	maṅ	A	confusable_to_headword	1	Lex. sna tshogs mañ po (brDa).
64	49	301	latin_other	rmams	rnams	A	explicit_user_allowlist	1	"— stod pyogs su 'don pa rmams ""viele chi-"
65	14	302	latin_other	tin ne 'dzin	tiṅ ṅe 'dzin	A	tibetan_translit_ting_nge_dzin_phrase	1	"bar chad med pa' tin ne 'dzin (metr.) ""durch"
65	22	302	german_prose_with_translit	dan bral ba'i	daṅ bral ba'i	A	tibetan_translit_phrase_allowlist	1	"dan bral ba'i gdun ba — rnams (metr.) ""die"
65	70	303	german_prose_with_translit	yañ	yaṅ	A	explicit_user_allowlist	1	"der yañ rten byin rlabs can ~ yod ""auch gibt"
65	76	303	german_prose_with_translit	nañ	naṅ	A	explicit_user_allowlist	1	"fel"" (KTh 1: 276,4); nañ rten khyad par can"
66	15	305	german_prose_with_translit	Mañ	Maṅ	A	confusable_to_headword	1	der Nachkommenschaft des Kar-po Mañ-
