family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
sattva	sattva	7	1	0	none	sattva:7	sattva] sprach vielfach vom Schaden durch
bsnal	bsṅal	6	1	0	none	bsṅal:6	"edun ba'i min dari sdug bsṅal ""Bezeichnung"
samadhi	Samādhi	6	1	0	none	Samādhi:6	2. ein Samādhi.
chan	chaṅ	5	1	0	none	chaṅ:5	"Lex. tsbogs chaṅ gi brda skad ""Tarnwort für"
gnas	gnas	5	1	0	none	gnas:5	bhyah (Mvy 8008); mi khrugs =grans gnas sig
buddha	Buddha	4	1	0	none	Buddha:4	2. npr. cin Buddha, skt. Aksobhya.
samadhih	samādhih	4	1	0	none	samādhih:4	nāma samādhih (Mvy 587, Abt. śes rab kyi
aksobhyavajra	Aksobhyavajra	3	1	0	none	Aksobhyavajra:3	Aksobhyavajra.
gron	groṅ	3	1	0	none	groṅ:3	"Lex. gron dan groṅ khyer la'an ""Dorf und"
nagaraja	nāgarājā	3	1	0	none	nāgarājā:3	Lex. klu'irgyalpo ~ pa zanavatapto nāgarājā
nama	nāma	3	1	0	none	nāma:3	nāma samādhih (Mvy 587, Abt. śes rab kyi
nams	ñams	3	1	0	none	ñams:3	"myi / chig chu srid yoṅ myi ñams pha'iro ""das"
pranidhana	pranidhāna	3	1	0	none	pranidhāna:3	"Lex. — pa = pranidhāna ""Entschluß"" (inMvy"
rgyas	rgyas	3	1	0	none	rgyas:3	"schen"" (Mvy 40, Abt. sans rgyas kyi mtshan"
rnam	rnam	3	1	0	none	rnam:3	"(Mvy 9236); rnam ""byed las / — ni gani gis"
alambana	ālambana	2	1	0	none	ālambana:2	de, das, was Objckt (skt. ālambana) genannt
aparyantah	aparyantah	2	1	0	none	aparyantah:2	Lex. mu med = aparyantah (Mvy 7806); mu
avrhah	avrhāh	2	1	0	none	avrhāh:2	die sice bewohnen, skt. abrhah bzw. avrhāh;
ayodhya	Ayodhyā	2	1	0	none	Ayodhyā:2	skt. Ayodhyā.
bhaisajyaraja	Bhaisajyarāja	2	1	0	none	Bhaisajyarāja:2	1. ein Bodhisattva, skt. Bhaisajyarāja.
bibhatsah	bibhatsah	2	1	0	none	bibhatsah:2	"Lex. bibhatsah ""abscheulich"" (Mvy 6670); ru"
bslab	bslab	2	1	0	none	bslab:2	"kam ""nicht randvoll"" (Mvy 8565, Abt. bslab"
gacchati	gacchati	2	1	0	none	gacchati:2	"dänam gacchati ""es gelangt zum Ende"" (Mvy"
gner	gñer	2	1	0	none	gñer:2	(Mvy 7263); gñer ma ~ ba = valiprach-
grans	graṅs	2	1	0	none	graṅs:2	"Lex. mi graṅs maṅ ñun gi 'bor ""eine Menge"
inmvy	inMvy	2	1	0	none	inMvy:2	"wenden"" (inMvy 186)."
jatyandha	jātyandha	2	1	0	none	jātyandha:2	ren ist (skt. jātyandha), sicht die Gestalten
lsdzk	Lśdz-K	2	1	0	none	Lśdz-K:2	"Schatztext"" (Lśdz-K 304,23)."
manjusri	Mañjuśrī	2	1	0	none	Mañjuśrī:2	"""auch Lehnwort von Mañjuśrī, ""Jam-dpal"""
masa	māsa	2	1	0	none	māsa:2	L. (PW); skt. māsa.
matanga	mātanga	2	1	0	none	mātanga:2	1. Kastenloser, skt. mātanga.
menaka	Menakā	2	1	0	none	Menakā:2	1. npr. ein Göttermädchen, skt. Menakā.
prajnayate	prajnāyate	2	1	0	none	prajnāyate:2	"dam —'am mi snan ba = na prajnāyate ""wird"
samadhib	samādhib	2	1	0	none	samādhib:2	näma samādhib (Mvy 554).
smra	smra	2	1	0	none	smra:2	(Mvy 5082); ha can smra ba — mi bya = nā-
sramanas	śramanas	2	1	0	none	śramanas:2	ge śramanas, Brahmanen, Carakas und Pi-
ston	stoṅ	2	1	0	none	stoṅ:2	(Mvy 948, Abt. stoṅ pa ben brgyad kyi min;
tathagata	Tathāgata	2	1	0	none	Tathāgata:2	Weisheiten eines Tathāgata, skt. ādarsajriāna,
tathapi	tathāpi	2	1	0	none	tathāpi:2	so, doch (skt. tathāpi) kann selbst Sarasvatt
tirthika	tirthika	2	1	0	none	tirthika:2	buddhist; skt. tirthika.
tsarya	tsarya	2	1	0	none	tsarya:2	20622); sam ga ra ¿7 tsarya Zes pa ma hä de
tvas	tvas	2	1	0	none	tvas:2	"tvas"" (Käsy 45,7); goms pa yis ni ~ gdul"
upadhyaya	Upādhyāya	2	1	0	none	Upādhyāya:2	"nas ""erlud den Upādhyāya Bodhisattva nach"
