family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
unknown:lsdz-k:lsdz-k	unknown	L$dz-K (3), Lsdz-K (2)	Lśdz-K (5)	5	1	wts_9_m:12:58; wts_9_m:20:51; wts_9_m:72:20; wts_9_m:173:61; wts_9_m:326:77	"(L$dz-K 320,11); de 'dra — byeidl ""tu so etwas || ren Kinder"" (L$dz-K 243,15). || lieferung von Ohr zu Ohr"" (Lsdz-K 320,11)."			siglum_policy_review
unknown:vis:vis	unknown	Viś (3), Vi$ (2)	Vis (5)	5	1	wts_9_m:205:63; wts_9_m:235:76; wts_9_m:234:13; wts_9_m:268:2; wts_9_m:344:75	"brannt"" (Viś 19a); dod chags dan / Ze sdani || der Mond unweigerlich verschluckt"" (Viś || könnte"" (Vi$ 46d); de la rtogs par byed pa"			siglum_policy_review
citation_or_siglum:vist:vist	citation_or_siglum	VisT (2), Vi$T (1), ViST (1)	ViśT (4)	4	1	wts_9_m:52:35; wts_9_m:198:26; wts_9_m:233:40; wts_9_m:362:62	"vorgebracht habe"" (VisT' 112,20); rnam par || stalt von sattva, rajas und tamas hat"" (VisT || fehlerlos war"" (Vi$T 78,15); phan — grien ni"	sigla_registry:4	policy:4	siglum_policy_review
unknown:ps:ps	unknown	P$ (2), PS (1), Pś (1)	Ps (4)	4	1	wts_9_m:59:40; wts_9_m:276:35; wts_9_m:327:33; wts_9_m:398:32	"viel Sinn"" (P$ 3a); nad — ba (metr.) ""die- || (PS 61d); — Jig par rig par bya (metr.) ""man || kes Gift zu sich nimmt"" (Pś 21d); ~ so"			siglum_policy_review
citation_or_siglum:tär:tar	citation_or_siglum	Tär (3)	Tār (3)	3	1	wts_9_m:211:37; wts_9_m:211:39; wts_9_m:232:53	"eine Katze hervor"" (Tär 63,14); nags kyi — || des Waldes verneigten sich [vor ihm]"" (Tär || oder nicht?"" (Tär 89,20); sriin nas sa tsha yall"	siglum_shape:3	policy:3	already_canonical_siglum
google_tibetan_diacritic_disagreement:zes:źes	google_tibetan_diacritic_disagreement	Zes (3)	źes (3)	3	1	wts_9_m:198:27; wts_9_m:198:28; wts_9_m:232:65	"134,4); siñ stobs rdul dari ~ Zes / bya ba'i || yon tan myiam gnas ni / gtso bo Zes byar rab || Zib cha Zu rgyu yod — cha ma rtogs Zes ""ob"	google_unresolved_tibetan_context:3	medium:3	review
google_tibetan_diacritic_disagreement:zig:źig	google_tibetan_diacritic_disagreement	Zig (3)	źig (3)	3	1	wts_9_m:211:35; wts_9_m:337:82; wts_9_m:362:38	"Phai 00? dbus nas byi la Zig byuri ste ""ein- || Lex. mtshan ma'i rtsa Zig (brDa, Dagy). || broyad kyi rgyud dan Idan pa Zig byun bar"	google_unresolved_tibetan_context:3	medium:3	review
guarded_dollar_to_sacute:s5:s5	guarded_dollar_to_sacute	$5 (3)	ś5 (3)	3	1	wts_9_m:21:11; wts_9_m:246:76; wts_9_m:351:7	"Lex. — 07/$5 = dviv aniyatan ""die beiden un- || mthun gi bris daṅ 'dra 09)7/$5 'di don ltar Ii || 9765 977/5 stod — 09)7/$5 su ges (Gl. nas stod"	guarded_dollar_scan:3	low:3	defer
guarded_dollar_to_sacute:s750:s750	guarded_dollar_to_sacute	$750 (3)	ś750 (3)	3	1	wts_9_m:284:68; wts_9_m:289:59; wts_9_m:329:38	"genheiten zu den Mywa begab"" ($750 97). || ken geführt hatten, kehrten zurück"" ($750 || rMa-tshe wiederum ein"" ($750 229)."	guarded_dollar_scan:3	low:3	defer
guarded_dollar_to_sacute:s7:s7	guarded_dollar_to_sacute	$7 (3)	ś7 (3)	3	1	wts_9_m:316:37; wts_9_m:325:20; wts_9_m:381:42	"liche $7?://-5 61] und rkyan-Seil zerschnitten"" || re"" (Bu-śz 52,2); chag lo /$7 ba / zaris dkar || སློས་ $7??0$"	guarded_dollar_scan:3	low:3	defer
unknown:gzi:gzi	unknown	gzi (3)	gZi (3)	3	1	wts_9_m:33:68; wts_9_m:253:21; wts_9_m:253:40	gros bzi (r. gzi) chen mtsho mo la / ma paṅ || TAX ༠༩ po ri npr. Lokalgottheit (gzi || Lex. mogpor byed, mogmogpa = gzi byin med			siglum_policy_review
citation_or_siglum:brda:brda	citation_or_siglum	brDa (2)	brDa (2)	2	1	wts_9_m:159:9; wts_9_m:337:10	"ler"" (brDa); mag /0)? ba ""blind"" (Dagy). || Hufs) Eisen"" (brDa); rta drel gi rinig par"	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:hmrg:hmrg	citation_or_siglum	HMrg (2)	HMrg (2)	2	1	wts_9_m:52:49; wts_9_m:197:3	"schen wurde"" (HMrg 59,9); kun chub par || Wesen erleuchtet"" (HMrg 52,26); bod kyi"	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:käsy:kasy	citation_or_siglum	Käsy (2)	Kāśy (2)	2	1	wts_9_m:362:30; wts_9_m:362:33	"(Käsy 98,1); — ... nad cig gis btab nas / nad || nicht heilen kann"" (Käsy 185,9); nad sos —"	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:saknth:saknth	citation_or_siglum	SākNth (2)	SākNth (2)	2	1	wts_9_m:285:45; wts_9_m:362:3	"tung des Heeres"" (SākNth 112,2); bar snani || hörten sofort auf"" (SākNth 221,7)."	siglum_shape:2	policy:2	already_canonical_siglum
google_tibetan_diacritic_disagreement:zabs:źabs	google_tibetan_diacritic_disagreement	Zabs (2)	źabs (2)	2	1	wts_9_m:52:57; wts_9_m:285:29	"146b4); khyod kyi Zabs rdul Ihun ba yis / || bcu"" (Debm 1132); ~ gi phyag phyi dañ Zabs"	google_unresolved_tibetan_context:2	medium:2	review
google_tibetan_diacritic_disagreement:zin:źiṅ	google_tibetan_diacritic_disagreement	Zin (2)	źiṅ (2)	2	1	wts_9_m:229:56; wts_9_m:362:53	"5b9); de'i gon na Zin la so nam — ""davor || giun don ses / las rnams mthon Zin gtsari ba"	google_unresolved_tibetan_context:2	medium:2	review
guarded_dollar_to_sacute:0s:0s	guarded_dollar_to_sacute	0$ (2)	0ś (2)	2	1	wts_9_m:91:39; wts_9_m:381:42	"pas yun rin die — ""tsho 0$//7? skad ""es heißt, er || སློས་ $7??0$"	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:5s:5s	guarded_dollar_to_sacute	5$ (2)	5ś (2)	2	1	wts_9_m:69:70; wts_9_m:400:43	"(Akhr2 100,13); 9)7/5$ kyani — so byas na gsum || Wehklagen [usw.|"" (Käsy 91,15); 5$)7/2 rje'i"	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:70s:70s	guarded_dollar_to_sacute	70$ (2)	70ś (2)	2	1	wts_9_m:140:60; wts_9_m:205:68	"rlag ste /70$ la khad pa la / byur dan —'i chu || rol /70$ la rtog byed pa / ""di grüis dug gi —"	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:7s:7s	guarded_dollar_to_sacute	7$ (2)	7ś (2)	2	1	wts_9_m:378:45; wts_9_m:385:72	Lex. gsun 0/0)7$ beyis pa / gros dris pa / bgro || holz, vgl. 7$/7//9.	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:s07:s07	guarded_dollar_to_sacute	$07 (2)	ś07 (2)	2	1	wts_9_m:160:32; wts_9_m:208:69	Lex. pratibhāsah (Mvy 2821, Abt. $07/// ma la || rus so $07/ bla $/?? mi / sgo'am ji — pai	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:s0:s0	guarded_dollar_to_sacute	$0 (2)	ś0 (2)	2	1	wts_9_m:66:32; wts_9_m:266:38	nag ston rur / rgya $0'// den pan dan / nol || 77:77 thos so $0'/ min); mon gal, mon gal gyi	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:s77:s77	guarded_dollar_to_sacute	$77 (2)	ś77 (2)	2	1	wts_9_m:88:54; wts_9_m:107:48	45,17); śa Jam — nangi/ $77/77 thub gdun senis || 10); sku la $77//?? dan sbrib skyems (r. skyem)	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:s8212:s8212	guarded_dollar_to_sacute	$8212 (2)	ś8212 (2)	2	1	wts_9_m:290:78; wts_9_m:351:32	"vernements von rMa[-chi] ernannt"" ($8212 || der chinesische Herrscher"" ($8212 49); dgun"	guarded_dollar_scan:2	low:2	defer
unknown:bu-sz:bu-sz	unknown	Bu-$z (1), Bu-Sz (1)	Bu-śz (2)	2	1	wts_9_m:229:51; wts_9_m:229:51	"zerfallen und war nicht mehr"" (Bu-$z 65,2);"			siglum_policy_review
unknown:gs:gs	unknown	gs (2)	Gs (2)	2	1	wts_9_m:115:23; wts_9_m:262:74	"gs bsgribs (metr.) ""in des Himmels Unbe- || Lex. — pa = bka' mol gnani ba'am gs wos"			siglum_policy_review
unknown:inl2:in12	unknown	Inl2 (2)	In12 (2)	2	1	wts_9_m:169:26; wts_9_m:200:76	"hohen Minister"" (Inl2 N5); bod chen po'; || nommen"" (Inl2 E24); [b]tsan mo mun chah"			siglum_policy_review
citation_or_siglum:56:k	citation_or_siglum	56 (1)	K (1)	1	1	wts_9_m:232:30	"auf sie"" (KunK 56,22); 'chi — tshe yi 779 'dzin"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:571:gzi	citation_or_siglum	571 (1)	gZi (1)	1	1	wts_9_m:233:85	"tiges"" (¡571 4: 491,5); khyed dpa' — ge 'don"	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:andhakarah:andhakarah	citation_or_siglum	andhakārah (1)	andhakārah (1)	1	1	wts_9_m:197:35	"Lex. andhakārah ""Finsternis"" (Mvy 1876);"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:assvins:assvins	citation_or_siglum	As$vins (1)	Asśvins (1)	1	1	wts_9_m:362:61	Ärzte der Götter, die beiden As$vins her-	siglum_shape:1	policy:1	siglum_policy_review
citation_or_siglum:bhulg:bhulg	citation_or_siglum	Bhulg (1)	BhuLg (1)	1	1	wts_9_m:285:55	"beten habe"" (Bhulg 108,1); 'bri gun pas /"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:bsad:bsad	citation_or_siglum	b$ad (1)	bśad (1)	1	1	wts_9_m:229:61	"phyir ma b$ad do ""da keine Notwendigkeit"	siglum_shape:1	policy:1	siglum_policy_review
citation_or_siglum:bu-sz:bu-sz	citation_or_siglum	Bu-$z (1)	Bu-śz (1)	1	1	wts_9_m:229:51	"zerfallen und war nicht mehr"" (Bu-$z 65,2);"	sigla_registry:1	policy:1	siglum_policy_review
citation_or_siglum:bzugs:bzugs	citation_or_siglum	bZugs (1)	bZugs (1)	1	1	wts_9_m:198:13	"tigt"" (PhB 11: 102,2); bZugs ni mun gi yul"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:dan:migto	citation_or_siglum	dan (1)	MigTo (1)	1	1	wts_9_m:337:40	"rta dan rkyan gi —s ni (metr.) ""der Hufeines"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ghorindin:ghorandha	citation_or_siglum	Ghorindin (1)	Ghorāndha (1)	1	1	wts_9_m:198:45	im Südwesten, skt. Ghorindin-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:gzi:gzi	citation_or_siglum	gZi (1)	gZi (1)	1	1	wts_9_m:232:78	(Prav 39,9); kun gZi — cin spros — pa / skyeba	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:kunk:kunk	citation_or_siglum	KunK (1)	KunK (1)	1	1	wts_9_m:232:30	"auf sie"" (KunK 56,22); 'chi — tshe yi 779 'dzin"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:li:lis	citation_or_siglum	Li (1)	Liś (1)	1	1	wts_9_m:197:39	~ (Li 15,10).	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:mallikä:mallika	citation_or_siglum	mallikä (1)	mallikā (1)	1	1	wts_9_m:52:3	den Baum namens mallikä, und auch für die	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:nbt:nbt	citation_or_siglum	NBT (1)	NBT (1)	1	1	wts_9_m:229:37	"ne wirkliche Sache ohne Fehler ist"" (NBT"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:näga:naga	citation_or_siglum	Näga (1)	Nāga (1)	1	1	wts_9_m:229:69	"Berührungspunkt mit dem Näga"" (Vdlk-M"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:schun:schuh	citation_or_siglum	Schun (1)	SCHUH (1)	1	1	wts_9_m:198:38	gcan, vgl. Schun 2012: 1522.	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sciun:schuh	citation_or_siglum	Sciun (1)	SCHUH (1)	1	1	wts_9_m:198:19	Sciun 2012: 1522.	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sen:sen	citation_or_siglum	$en (1)	Śen (1)	1	1	wts_9_m:285:28	kam, floh der Kaiser Tha'i dzun nach $en-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sog:sog	citation_or_siglum	Sog (1)	śog (1)	1	1	wts_9_m:232:4	"skrag pa mams ni 'igs — Sog (metr.) ""mö-"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:tamala:tamala	citation_or_siglum	tamala (1)	tamāla (1)	1	1	wts_9_m:198:76	"Lex. ta må la'i miñ ""Bez. für tamala"" (Digv)."	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:tamäla:tamala	citation_or_siglum	tamäla (1)	tamāla (1)	1	1	wts_9_m:198:74	tamäla, Xanthochymus pictorus	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:vajrayana:vajrayana	citation_or_siglum	Vajrayāna (1)	Vajrayāna (1)	1	1	wts_9_m:52:90	"und Pfade des Vajrayāna vollständig"" (KTh"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:vanth:vanth	citation_or_siglum	VaNth (1)	VaNth (1)	1	1	wts_9_m:197:6	"ist"" (VaNth 176,4); dge sdig snari mun ..."	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:vipasyanä:vipasyana	citation_or_siglum	Vipa$yanä (1)	Vipaśyanā (1)	1	1	wts_9_m:211:72	"der Vipa$yanä entstehen"" (Mil 125,17); nor"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:yogasataka:yogasataka	citation_or_siglum	Yogasataka (1)	Yogaśataka (1)	1	1	wts_9_m:362:72	nehmen und im Yogasataka, das die kundi-	siglum_shape:1	policy:1	already_canonical_siglum
google_tibetan_diacritic_disagreement:077:groṅ	google_tibetan_diacritic_disagreement	077 (1)	groṅ (1)	1	1	wts_9_m:211:46	[4 72 yi (077 khyer du / skyed mos tshal gyi	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:2:bźi'i	google_tibetan_diacritic_disagreement	2 (1)	bźi'i (1)	1	1	wts_9_m:285:92	"110"" (brDa); yan lag /)2/""/ dpun gi nani tshan"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:77:mñīam	google_tibetan_diacritic_disagreement	77 (1)	mñīam (1)	1	1	wts_9_m:233:76	"ler"" (Vedk-M 114,3); ?/)77༡)/ — jo bo chen po"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:biens:bźens	google_tibetan_diacritic_disagreement	biens (1)	bźens (1)	1	1	wts_9_m:52:67	mes thugs dam biens pa' 'phro thams cad	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:bźngs:bźugs	google_tibetan_diacritic_disagreement	bźngs (1)	bźugs (1)	1	1	wts_9_m:198:14	"na bźngs ""was seinen Aufenthalt angeht, so"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:giun:gźun	google_tibetan_diacritic_disagreement	giun (1)	gźun (1)	1	1	wts_9_m:362:53	giun don ses / las rnams mthon Zin gtsari ba	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:graris:grañas	google_tibetan_diacritic_disagreement	graris (1)	grañas (1)	1	1	wts_9_m:198:32	Lex. tamab (Mvy 4552, Abt. graris can gi	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:gtsari:gtsaṅ	google_tibetan_diacritic_disagreement	gtsari (1)	gtsaṅ (1)	1	1	wts_9_m:362:53	giun don ses / las rnams mthon Zin gtsari ba	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:khri-bzan:khri-bzaṅ	google_tibetan_diacritic_disagreement	Khri-bzan (1)	Khri-bzaṅ (1)	1	1	wts_9_m:285:5	der drei, des Ministers Khri-bzan [usw.],	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:kyan:kyaṅ	google_tibetan_diacritic_disagreement	kyan (1)	kyaṅ (1)	1	1	wts_9_m:232:44	tha 176b1); srion 'jug yod dam — kyan run	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:käsy:käsy	google_tibetan_diacritic_disagreement	Käsy (1)	Käśy (1)	1	1	wts_9_m:198:69	"nis verschwindet"" (Käsy 104,9); thugs je"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:nina:mña	google_tibetan_diacritic_disagreement	nina (1)	mña (1)	1	1	wts_9_m:285:67	gtsani khul nina' ris dan bcas kyi — bskul	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:nlams:ñams	google_tibetan_diacritic_disagreement	Nlams (1)	ñams (1)	1	1	wts_9_m:233:69	"kurrenzlos ist"" (Mil 95,33); sriar gi Nlams"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:rim:rṅu	google_tibetan_diacritic_disagreement	rim (1)	rṅu (1)	1	1	wts_9_m:233:63	"war"" (Nel 1137) ; Jam pa ""thus na zug rim —"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:rkani:rkaṅ	google_tibetan_diacritic_disagreement	rkani (1)	rkaṅ (1)	1	1	wts_9_m:229:87	"gibt keine Spur"" (gZer 652,1); rkani khal rria"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:rria:rṅa	google_tibetan_diacritic_disagreement	rria (1)	rṅa (1)	1	1	wts_9_m:229:87	"gibt keine Spur"" (gZer 652,1); rkani khal rria"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:run:ruṅ	google_tibetan_diacritic_disagreement	run (1)	ruṅ (1)	1	1	wts_9_m:232:44	tha 176b1); srion 'jug yod dam — kyan run	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ses:ses	google_tibetan_diacritic_disagreement	Ses (1)	śes (1)	1	1	wts_9_m:232:51	"Ses rnam par Ses pa rdzas $// yod dam ~ ""gibt"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:spran:spraṅ	google_tibetan_diacritic_disagreement	spran (1)	spraṅ (1)	1	1	wts_9_m:233:74	"entsteht"" (KunK 55,10); yal ~ spran por 'gro"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zani:zaṅ	google_tibetan_diacritic_disagreement	zani (1)	zaṅ (1)	1	1	wts_9_m:232:21	"heimlichen habe"" (Mil 27,8); zani ziri gi 'bul"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zib:źib	google_tibetan_diacritic_disagreement	Zib (1)	źib (1)	1	1	wts_9_m:232:65	"Zib cha Zu rgyu yod — cha ma rtogs Zes ""ob"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zu:źu	google_tibetan_diacritic_disagreement	Zu (1)	źu (1)	1	1	wts_9_m:232:65	"Zib cha Zu rgyu yod — cha ma rtogs Zes ""ob"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zum:źum	google_tibetan_diacritic_disagreement	Zum (1)	źum (1)	1	1	wts_9_m:233:46	"sein"" (AA 3.4a); sku Zum — (metr.) ""sem"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:zus:źus	google_tibetan_diacritic_disagreement	Zus (1)	źus (1)	1	1	wts_9_m:285:53	"(Tär 186,9); dpur rgyab kyi — Zus nas ""nach-"	google_unresolved_tibetan_context:1	medium:1	review
guarded_dollar_to_sacute:2s:2s	guarded_dollar_to_sacute	2$ (1)	2ś (1)	1	1	wts_9_m:387:1	སྤྲུང་ 2$?777////?	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:9s5:9s5	guarded_dollar_to_sacute	9$5 (1)	9ś5 (1)	1	1	wts_9_m:65:78	"genstände"" (gNas 4,7); phyi nani 7/9$5 pa"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:mss:mss	guarded_dollar_to_sacute	MS$ (1)	MSŚ (1)	1	1	wts_9_m:368:18	(MS$ 37,19); seyn ma — dari ni chu yi zla ba	sigla_registry_or_shape:1	policy:1	defer_to_sigla_policy
guarded_dollar_to_sacute:s0'1:s0'1	guarded_dollar_to_sacute	$0'1 (1)	ś0'1 (1)	1	1	wts_9_m:323:59	(In5 W39); khrin imyi — bar bka' $0'1 tshigs	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s01:s01	guarded_dollar_to_sacute	$01 (1)	ś01 (1)	1	1	wts_9_m:184:22	"heißt, dies $01 77a leibs und via phyis"" (brDa)."	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s1284:s1284	guarded_dollar_to_sacute	$1284 (1)	ś1284 (1)	1	1	wts_9_m:10:12	"ten hat"" ($1284 b3); siom pa — bskyed de"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s54:s54	guarded_dollar_to_sacute	$54 (1)	ś54 (1)	1	1	wts_9_m:286:75	"mee nach Keṅ-śi führen würden"" (Inl $54);"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s751:s751	guarded_dollar_to_sacute	$751 (1)	ś751 (1)	1	1	wts_9_m:112:14	"scher für die Menschen"" ($751 35b2); gnam"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s7772770:s7772770	guarded_dollar_to_sacute	$7772770 (1)	ś7772770 (1)	1	1	wts_9_m:384:31	སྤྱན་ཀ་ smyanka auch smyari ka, $7772770/9¢/ Hei-	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s7777:s7777	guarded_dollar_to_sacute	$7777 (1)	ś7777 (1)	1	1	wts_9_m:352:1	སྤད་ $7777	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s977:s977	guarded_dollar_to_sacute	$977 (1)	ś977 (1)	1	1	wts_9_m:342:6	"Lex. $977/ — dam rta'igon — ltabu ""Schwanz-"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s9:s9	guarded_dollar_to_sacute	$9 (1)	ś9 (1)	1	1	wts_9_m:336:16	"rnams kyis — $9//905 la ""ihr Schüler, achtet auf"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:ss:ss	guarded_dollar_to_sacute	$$ (1)	śś (1)	1	1	wts_9_m:378:60	"smon nas $$ pas brtags te ""danach trat Yasas in"	guarded_dollar_scan:1	low:1	defer
unknown:assvins:assvins	unknown	As$vins (1)	Asśvins (1)	1	1	wts_9_m:362:61	Ärzte der Götter, die beiden As$vins her-			siglum_policy_review
unknown:bsad:bsad	unknown	b$ad (1)	bśad (1)	1	1	wts_9_m:229:61	"phyir ma b$ad do ""da keine Notwendigkeit"			siglum_policy_review
