reason	base_token	alternate_token	count	volume_count	sample_refs	sample_contexts
alternate_witness_google_loc_nasal_upgrade	btan	btaṅ	5	1	wts_9_m:5:42; wts_9_m:62:44; wts_9_m:91:76; wts_9_m:167:74; wts_9_m:203:64	"khar btan ""das Teigopfer werfe man an die || nad kyi sa — bdud kyis btan nas (metr.) || dal 'byor 'di chud zos su — btan bar ... dgos"
alternate_witness_citation_siglum	GS-H	Gś-H	5	1	wts_9_m:7:49; wts_9_m:211:27; wts_9_m:297:7; wts_9_m:357:59; wts_9_m:362:65	"(GS-H 6la); rin chen sgron — mams kyani || blumen"" (GS-H 163); saris rgyas gser thub || (GS-H 61b); dman gyi ma bu imani pa ""wie"
alternate_witness_initial_i_to_l_translit	Iho	lho	5	1	wts_9_m:8:57; wts_9_m:254:49; wts_9_m:298:42; wts_9_m:298:51; wts_9_m:315:33	"bo byan grüls yod pa'i Iho — na ""es gibt zwei || 'bras drug ni Iho na — (metr.) ""die sechs || 368,1); — la Iho nub gZol ba (metr.) ""im tie-"
alternate_witness_google_loc_fricative_upgrade	ses	śes	5	1	wts_9_m:173:67; wts_9_m:276:72; wts_9_m:281:61; wts_9_m:362:62; wts_9_m:376:48	"ma' sa' min); 'du ses med 'du ses med — || ""khrul pas) ma bskyed pa'i ses pa ni )?//10)/ sion || Lex. tshor bagan Zigmyon byed kyi ses pa ""der"
alternate_witness_google_loc_nasal_upgrade	na	ña	4	1	wts_9_m:5:5; wts_9_m:135:90; wts_9_m:242:67; wts_9_m:383:19	"Göttin Pändurä"" (Hev 1.1.22c); ra na na — || na 077 bisan po myi yul gi rjer / Iha ri gani || gebar ihr Junges"" (K1 na 17624); pha dus"
alternate_witness_google_loc_fricative_upgrade	sel	śel	4	1	wts_9_m:8:33; wts_9_m:71:75; wts_9_m:183:79; wts_9_m:227:66	sel chu 'og — man chad mdo lo skor dan / || (K5 75bl); rgya rnams ni 'u then gi sel chu || byi ru spos sel / — sogs kyi 'bul ba ya nom
alternate_witness_google_loc_nasal_upgrade	gan	gañ	4	1	wts_9_m:15:82; wts_9_m:61:47; wts_9_m:196:64; wts_9_m:267:86	118,29); Reg gsin tshe rtsis la sogs pa / gan || ~~ rgas pa geig Zu na gan 'dra yon Zus pas || —r byed pas / gnag par ur pa gan dag yin pa
alternate_witness_google_loc_velar_nasal_upgrade	dañ	daṅ	4	1	wts_9_m:28:7; wts_9_m:58:37; wts_9_m:245:73; wts_9_m:268:81	"dan 'dam bii tshal dan smin drug dañ sa ga || dpal ldan dmag zor rgyal mo'i dre'n dañ ""der || dan / khyab 'jug ma dañ / gZon nu ma dan /"
alternate_witness_google_loc_fricative_upgrade	bzin	bźin	4	1	wts_9_m:50:46; wts_9_m:176:14; wts_9_m:367:58; wts_9_m:391:36	"ran (7. klun) gi chu reyun bzin du chwi phun || Ses bzin du brdzun du smra bar yari mi bya || lus snas pa dan / mam par — bzin du ""als"
alternate_witness_google_loc_nasal_upgrade	glan	glaṅ	4	1	wts_9_m:58:8; wts_9_m:58:43; wts_9_m:68:14; wts_9_m:247:77	ba gcin ra lug — dan / glan po rta bori rna || (871 3: 746,5); rta dan glan po — dan / bori || — phrag broya na glan po'i stobs Zes
alternate_witness_google_loc_nasal_upgrade	khan	khaṅ	4	1	wts_9_m:82:72; wts_9_m:87:69; wts_9_m:213:76; wts_9_m:237:52	"so so' gzim khan ""die jeweiligen Schlafräu- || dag dan gdan ni rdo gtsari khan pa ljon pa dag || Lex. rmam sras kyi gZal med khan ""Palast des"
alternate_witness_initial_i_to_l_translit	Iha'i	lha'i	4	1	wts_9_m:138:34; wts_9_m:200:64; wts_9_m:221:82; wts_9_m:223:36	22); grien sku Iha'i — bod la 'khruns (metr.) || Iha'i dran mkhan — yani ... ston pa'i drum du || Lex. Iha'i dran son (brDa, Dagy).
alternate_witness_google_loc_nasal_upgrade	gan	gaṅ	4	1	wts_9_m:178:63; wts_9_m:190:74; wts_9_m:229:19; wts_9_m:280:92	"Lex. mtha' gan ma gan ma man pa ""an || mam par 'byed pa gan ze na / 'dilta ste... -r || basems can — / gan zag — cin bdag gir bya"
alternate_witness_google_loc_fricative_upgrade	bzens	bźens	3	1	wts_9_m:10:62; wts_9_m:68:38; wts_9_m:269:9	"ried la sdod rten cig — bzens ""für uns wur- || gtsug lag khan bzens ""im Westen, auf dem || pa'i gdun la mchod rten bzens pa ""er errichte-"
alternate_witness_citation_siglum	L$dz	Lśdz	3	1	wts_9_m:10:80; wts_9_m:14:43; wts_9_m:169:61	"Gelübde nicht"" (L$dz 150,1); Iha khani yon || Mittel und Weisheit"" (L$dz 84,6); 'bum pa || Geschwister geboren"" (L$dz 26,5)."
alternate_witness_citation_siglum	L$dz-K	Lśdz-K	3	1	wts_9_m:12:58; wts_9_m:20:51; wts_9_m:173:61	"(L$dz-K 320,11); de 'dra — byeidl ""tu so etwas || ren Kinder"" (L$dz-K 243,15). || ferungen"" (L$dz-K 231,34); dgoris pa thun"
alternate_witness_google_loc_nasal_upgrade	nes	ñes	3	1	wts_9_m:20:56; wts_9_m:357:53; wts_9_m:398:69	མ་ངེས་པ་ ma nes pa. || dan brtan bdag sogs $es pa / serns kyi nes pa'i || bsanis ñes par ~ pa dari / nes par bgyis pa'i las
alternate_witness_google_loc_nasal_upgrade	yan	yaṅ	3	1	wts_9_m:37:8; wts_9_m:234:7; wts_9_m:392:64	"Mutter der Bhūtas"" (Suv 5,19); ~ rañ yan lha || dka' ba byed pa ci yan — par rig nas ""er er- || mkha' bsal bar nus pa ma yin yan / rmons"
alternate_witness_google_loc_nasal_upgrade	sgan	sgaṅ	3	1	wts_9_m:45:39; wts_9_m:353:69; wts_9_m:382:67	sga pa — ri sgan pa rmamis ... sgar son phogs || thog tu smar khamks) sgan / mi rag sgan / g.yar || (dPe 38,15); yañ na gon ~ sgan gsum gyi thog
alternate_witness_google_loc_nasal_upgrade	byun	byuṅ	3	1	wts_9_m:58:62; wts_9_m:214:33; wts_9_m:389:26	"de nas se na bźi byun ste... ~ ""danach kamen || tog gi char sogs ... mmon sum du byun ""zur || chal) gtam gañ byun ma byun skyag gtad gcig"
alternate_witness_google_loc_nasal_upgrade	man	maṅ	3	1	wts_9_m:60:17; wts_9_m:82:75; wts_9_m:326:44	"grwabtsun man pos zla phyed kyi bar du gdu || Lex. rtswa byin po ni rtswa —'am rtswa man || rta sbans man po —""inari du bsgyur (7. skyur)"
alternate_witness_initial_i_to_l_translit	Ira	lṅa	3	1	wts_9_m:63:69; wts_9_m:203:25; wts_9_m:224:13	"ständig"" (Prav 179,14); — la phan yon Ira || sems can rer driul skar Ira re me 'brug phan la || gser gi rdo re rtse Ira pa 'od zer dan / ja"
alternate_witness_google_loc_velar_nasal_upgrade	yañ	yaṅ	3	1	wts_9_m:105:13; wts_9_m:131:72; wts_9_m:334:18	"son ba na zan yañ ~i gtsug lag chen po yod || chub sems kyi ljon Sin rtag par yañ / 'bras bu || = rmai ~ la rma'i rmen yañ zer ""zu rmai"
alternate_witness_google_loc_nasal_upgrade	gnan	gnaṅ	3	1	wts_9_m:109:16; wts_9_m:143:29; wts_9_m:392:16	"gsol ba bin gnan nas / dags po 'barisu dgug || pai ""gab snon dgos tshul bka' sog gnan || khyod kyis gnan chen dag tu mdzod (metr.)"
alternate_witness_google_loc_nasal_upgrade	sron	sroṅ	3	1	wts_9_m:112:9; wts_9_m:167:56; wts_9_m:240:19	"khri lde sron brtsan myř'i rje mdzad pa ""Khri- || 153,15); reyu sbyor —s Iha dan dran sron || khri sron brisan 0?// rin la ""zu Lebzeiten des"
alternate_witness_google_loc_nasal_upgrade	rdzon	rdzoṅ	3	1	wts_9_m:120:19; wts_9_m:121:8; wts_9_m:257:70	"50,16); Sel dkar khul gyi Iha sde — rdzon sdod || Iho —dargyi rdzon dari 0?7/5 (metr.) ""im Sü- || mon usw."" ('Dzam 35,7); sen ge rdzon nas"
alternate_witness_initial_i_to_l_translit	Iba	lha	3	1	wts_9_m:120:77; wts_9_m:285:80; wts_9_m:398:32	"Iba sar ... — dan phyugs nad man po byun bas || Iba — re la kha 'dzin re (metr.) ""für jede || gut, es ist gut!"" (P$ 57c); Iba mans thams"
alternate_witness_citation_siglum	Li$	Liś	3	1	wts_9_m:121:6; wts_9_m:208:18; wts_9_m:254:28	"Lex. mi nas ni — dam rim nad (Li$ 24,9). || che: mag tshan oder me khan"" (Li$ 21,8); || 351); mon brtul ni blun po (Li$ 17,1); rmons"
alternate_witness_google_loc_fricative_upgrade	sog	śog	3	1	wts_9_m:143:29; wts_9_m:211:71; wts_9_m:379:31	"pai ""gab snon dgos tshul bka' sog gnan || mthon gi — 'kbrun bar sog ""möge die Blüte || smon lam rgyab sog ""bete, daß du im näch-"
alternate_witness_citation_siglum	Lsdz	Lśdz	3	1	wts_9_m:200:16; wts_9_m:211:57; wts_9_m:315:5	"le Pfade"" (Lsdz 17,6). || de auf"" (Lsdz 134,3). || Leichnam [des Königs] auf der Erde"" (Lsdz"
alternate_witness_google_loc_nasal_upgrade	rdzin	rdziṅ	3	1	wts_9_m:211:87; wts_9_m:212:5; wts_9_m:327:35	"fergabe für die Götter"" (K9 ka 735); rdzin || ße Wasserlilie"" (Siddh 5.126); rdzin bu' — || char gyi rgyun la re bla yi / rdzin bu rūog"
alternate_witness_google_loc_nasal_upgrade	kyan	kyaṅ	3	1	wts_9_m:231:65; wts_9_m:341:62; wts_9_m:382:92	"(Bea 5.3c); rdza rna la sogs brduns kyan sgra || mkhyen kyan mi — pa / dus su — pa / dus las || sansrgyas pa da ltar Ita smos kyan ci dgos ""um"
alternate_witness_google_loc_nasal_upgrade	nan	ṅan	3	1	wts_9_m:267:52; wts_9_m:269:15; wts_9_m:335:56	"die Lehre"" (Bu 828,5); mya nan las 'da' ba'i || od zer gsum du byuri nas / dbyins su mya nan || (Prav 33,18); — na ni sems can nan son gsuum"
alternate_witness_google_loc_fricative_upgrade	bsul	bśul	3	1	wts_9_m:272:1; wts_9_m:272:2; wts_9_m:272:4	མྨུ་ངམ་བཤུལ་རིང་ mya ñam bsul riṅ || ་ངམ་བཤའ་རིང་ mya ram bsul rin ein Ge- || Lex. ri 'brog dgon gi chwi bsul ron ron sul
alternate_witness_google_loc_fricative_upgrade	bses	bśes	3	1	wts_9_m:336:21; wts_9_m:383:65; wts_9_m:391:89	"dge bses bons rin cig byun nas ""dem Kustos || m mi bses pa ... brrias pa med par khyod || (0// '2)0/ bsad mdzad mkhan gyi chos bses geig"
alternate_witness_google_loc_nasal_upgrade	zans	zaṅs	2	1	wts_9_m:7:27; wts_9_m:304:84	spur ni zans broya' — kha sprod kyi nani du || (SākNth 62,1); zans gźoři padma ~s phyur
alternate_witness_google_loc_nasal_upgrade	dpun	dpuṅ	2	1	wts_9_m:13:76; wts_9_m:285:92	"(Pd-K 74c); khyod kyis — igs par dpun skyed || 110"" (brDa); yan lag /)2/""/ dpun gi nani tshan"
alternate_witness_google_loc_nasal_upgrade	snar	sñar	2	1	wts_9_m:18:60; wts_9_m:173:50	"la snar slob ma ji sried cig byuri ste / — bas || ten"" (MTH3/5/16 11); sgrub 'jags snar rgyun"
alternate_witness_google_loc_nasal_upgrade	bran	braṅ	2	1	wts_9_m:28:35; wts_9_m:183:26	"(Gesar 233,46); 'og — klu yi pho bran nas / || verschen ist"" (1( 44 ka 110a3); bran na 'phyani"
alternate_witness_google_loc_velar_nasal_upgrade	rañ	raṅ	2	1	wts_9_m:37:8; wts_9_m:376:73	"Mutter der Bhūtas"" (Suv 5,19); ~ rañ yan lha || delt"" (Bca 8.141c); rañ gZan grub pa'i mtha'"
alternate_witness_google_loc_nasal_upgrade	gnis	gñis	2	1	wts_9_m:45:10; wts_9_m:142:9	tha ma gnis m smon gi rgal po dei dus na || (Tär 15,10); ri bori dan 9/9 wa dan gnis /
alternate_witness_google_loc_nasal_upgrade	span	spaṅ	2	1	wts_9_m:47:73; wts_9_m:251:62	"sor dbye gsag gis su span (metr.) ""man soll || dei — du span Zin bas (r. ban) sgar dan bcas"
alternate_witness_google_loc_nasal_upgrade	klun	kluṅ	2	1	wts_9_m:50:46; wts_9_m:100:27	ran (7. klun) gi chu reyun bzin du chwi phun || (MigTo 252,22); klun rta mi mthun — sdan
alternate_witness_citation_siglum	P$	Ps	2	1	wts_9_m:59:40; wts_9_m:398:32	"viel Sinn"" (P$ 3a); nad — ba (metr.) ""die- || gut, es ist gut!"" (P$ 57c); Iba mans thams"
alternate_witness_google_loc_nasal_upgrade	nun	ñun	2	1	wts_9_m:61:81; wts_9_m:126:13	"Lex. man po dan nun ba ""viel und wenig"" || Lex. mi grans man nun gi 'bor ""eine Menge"
alternate_witness_google_loc_fricative_upgrade	bzugs	bźugs	2	1	wts_9_m:62:72; wts_9_m:194:73	"mdo rgyud — bzugs ""[dort) befanden sich || zla ba Ina — la bzugs ""er verbrachte fünf Mo-"
alternate_witness_google_loc_nasal_upgrade	ne	ñe	2	1	wts_9_m:71:41; wts_9_m:387:33	"glams nag gam ne bar ston pa ""Belehrung || ba= dus yun myur du gton ba dan / ne ru gton"
alternate_witness_citation_siglum	Lsdz-K	Lśdz-K	2	1	wts_9_m:72:20; wts_9_m:326:77	"lieferung von Ohr zu Ohr"" (Lsdz-K 320,11). || Texte] hervor"" (Lsdz-K 334,3); rma spom"
alternate_witness_hyphenated_initial_i_to_l_translit	Iha-khan	lha-khan	2	1	wts_9_m:87:5; wts_9_m:304:38	"khan, Mal-gro ska-tshal, Zwa'i Iha-khan in || 'Chin-ru'i 'Bras-mo Iha-khan"" (Nel 22b5)."
alternate_witness_google_loc_velar_nasal_upgrade	nañ	naṅ	2	1	wts_9_m:91:46; wts_9_m:272:30	"aus Treber hingestellt"" (KTh 1: 449,5); nañ || Lex. ~ pa =ro myags Ita bu'am rdzab dori nañ"
alternate_witness_google_loc_nasal_upgrade	yon	yoṅ	2	1	wts_9_m:98:6; wts_9_m:120:13	"myi / chig chu srid yon myi ñams pha'iro ""das || ran yon ma rian pa dan ""die Gemeinden soll-"
alternate_witness_google_loc_nasal_upgrade	mnam	mñam	2	1	wts_9_m:113:64; wts_9_m:168:52	de / mi mnam 1070 ba yin par brjod (metr.) || mi — mnam por gnas pa la / 770?// dan khei
alternate_witness_google_loc_fricative_upgrade	bsags	bśags	2	1	wts_9_m:113:84; wts_9_m:307:46	sdig pa de kun so sor bsags par bgyi (metr.) || bsags brten thog smar Zo /7/ Su rtsa Ina sgrub
alternate_witness_google_loc_nasal_upgrade	rkan	rkaṅ	2	1	wts_9_m:120:58; wts_9_m:339:7	— pa kun wis rkan khrag rdo dar lag khrag || bu chun de'i rkan pa la — pa tsam gyis slar
alternate_witness_google_loc_fricative_upgrade	bsan	bśan	2	1	wts_9_m:120:72; wts_9_m:341:17	"~~ mtsho la rta bsan (r. bsal) ""er wusch das || ~ dan / ri bo 'dzin / span leb 'dzin te bsan"
alternate_witness_google_loc_nasal_upgrade	phun	phuṅ	2	1	wts_9_m:128:73; wts_9_m:233:17	"20.1); gari gi phyir ~~ phun po chen po yani || keit fortgezogen"" (Anav 1: 50,5); phun po"
alternate_witness_google_loc_nasal_upgrade	srin	sriṅ	2	1	wts_9_m:141:4; wts_9_m:168:25	@ 747 [5 ama dan srin mo — dan spran du nu || 1039); ~ rdzu 'phrul gyis btul / srin mo
alternate_witness_google_loc_nasal_upgrade	spran	spraṅ	2	1	wts_9_m:141:4; wts_9_m:185:39	@ 747 [5 ama dan srin mo — dan spran du nu || lex. mu to ba, — = slor mo pa'am spran po
alternate_witness_google_loc_velar_nasal_upgrade	ñan	ṅan	2	1	wts_9_m:143:48; wts_9_m:376:3	"mtha'i ~ 'khyer ñan graris /7//77 rnams ""wir || Lex. mya ñan nam / sdug bsnal gyi tshig 'don"
alternate_witness_citation_siglum	G$-H	Gś-H	2	1	wts_9_m:143:85; wts_9_m:173:14	"se Diener, ungezähmte Pferde"" (G$-H 58); || schlechten Menschen zusanimen ist"" (G$-H"
alternate_witness_citation_siglum	Inl2	In12	2	1	wts_9_m:169:26; wts_9_m:200:76	"hohen Minister"" (Inl2 N5); bod chen po'; || nommen"" (Inl2 E24); [b]tsan mo mun chah"
alternate_witness_google_loc_fricative_upgrade	gsol	gśol	2	1	wts_9_m:169:73; wts_9_m:398:41	"lich verschluckt"" (Viś 15b); gsol med ma yar || Tochter, mach es so!"""" (K6 tha 285b1); gsol"
alternate_witness_google_loc_nasal_upgrade	nan	naṅ	2	1	wts_9_m:183:20; wts_9_m:312:5	"dei nan nas kyan — bre gan byu ste ""aus || nan gi rtsa'l gnas re rer — gtad pa tsam is"
alternate_witness_google_loc_nasal_upgrade	phren	phreṅ	2	1	wts_9_m:183:71; wts_9_m:371:71	— phren ba zlum po 'di ni khyod thugs la / || 37,13); g.yo ba' rlabs phren gdon la — g.yo
alternate_witness_initial_i_to_l_translit	Ihag	lhag	2	1	wts_9_m:211:70; wts_9_m:311:49	"ner roten Blüte gleich"" (bKth 354,4); Ihag || de ni bslab Ihag bslab la mkhas te — med"
alternate_witness_google_loc_nasal_upgrade	don	doṅ	2	1	wts_9_m:224:28; wts_9_m:272:16	"Lex. me dan Idan pa'i g.yari sakon don ""eine || Lex. — pa = rdzab don nan gi mi gtsani Ita"
alternate_witness_citation_siglum	Gs-H	Gś-H	2	1	wts_9_m:233:9; wts_9_m:233:41	"nicht wohl"" (Gs-H 48). || (metr.) ""ein Freund, der nicht hilft"" (Gs-H"
alternate_witness_citation_siglum	Vi$	Vis	2	1	wts_9_m:234:13; wts_9_m:268:2	"könnte"" (Vi$ 46d); de la rtogs par byed pa || gendwohin gegangen"" (Vi$ 28c); mya ran las"
alternate_witness_google_loc_nasal_upgrade	gon	goṅ	2	1	wts_9_m:240:39; wts_9_m:382:67	"Lex. rigs royud kyipha mes gon ma ""die frü- || (dPe 38,15); yañ na gon ~ sgan gsum gyi thog"
alternate_witness_google_loc_fricative_upgrade	gsam	gśam	2	1	wts_9_m:252:53; wts_9_m:355:11	myig) lo ba'am mo Sam (v.]. gsam) || སྤད་ཤམས་ smad Sams auch smad gsam cin Un-
alternate_witness_google_loc_nasal_upgrade	nan	ñan	2	1	wts_9_m:268:81; wts_9_m:269:2	"nan las 'das = 'khor ba las thar pa dañ Ina lam || gtad de ... mya nan las 'das so ""[Sänaväsika]"
alternate_witness_google_loc_nasal_upgrade	nams	ñams	2	1	wts_9_m:271:58; wts_9_m:353:43	royum gl ch bo 'dra / sems can mya nams || ni brla'i phyogs rlun gis kun nas nams par
alternate_witness_google_loc_nasal_upgrade	dzin	dziṅ	2	1	wts_9_m:285:62; wts_9_m:376:17	1: 279,4); spun dgra — dkyilgri dzin gi dnag || yons 'dzin khri sñan grags pas / rmen ni nas
alternate_witness_google_loc_fricative_upgrade	bsegs	bśegs	2	1	wts_9_m:286:79; wts_9_m:289:69	"pa' sdig bsegs (r. bags) su ""um zu sühnen, || gis / Zari po rgya la — pa'i sdig bsegs su / glin"
alternate_witness_google_loc_fricative_upgrade	zen	źen	2	1	wts_9_m:313:28; wts_9_m:346:68	"gi zen yul med pa Ita bu sogs ""wie: Objekt || mthon bZin du der zen pa ""ob es einen Grund"
alternate_witness_google_loc_fricative_upgrade	bsos	bśos	2	1	wts_9_m:314:47; wts_9_m:314:62	1: 328,3); grüüs bsos pa la (r. las?) phywa ~ || bisun dari bsos pa'i sras / ga' khri yani
alternate_witness_google_loc_velar_nasal_upgrade	snañ	snaṅ	2	1	wts_9_m:333:41; wts_9_m:334:79	"(MTH3/5/18 4); snañ srid kun grags mthuf'} || dmas pa = ~ pa des pa'an snañ ""steht auch"
alternate_witness_google_loc_fricative_upgrade	gsis	gśis	2	1	wts_9_m:366:23; wts_9_m:398:2	"khul dir snar ltabu'i — lag son dka' gsis ""weil || pa'i gsis kyis / phan sems kyis bslab bya — pa"
