source_queue	volume	page	line	from_token	proposed_target	reason	applied	context_excerpt	confidence	suggested_action
corrected_text_scan	wts_9_m	87	78	Schlafstätte		residual_sanskrit_like_damage		"""Schlafstätte und Sitz"" (Mvy 5858); — gyis"	low	review
corrected_text_scan	wts_9_m	87	80	Schlafstätte		residual_sanskrit_like_damage		"mit Schlafstätte oder Sitz"" (Mvy 2375); mal"	low	review
corrected_text_scan	wts_9_m	91	62	hält		residual_sanskrit_like_damage		"visthihati ""er hält nicht inne"" (Mvy 6821)."	low	review
corrected_text_scan	wts_9_m	93	76	Unvergängliche		residual_sanskrit_like_damage		"Unvergängliche kann niemand töten"" (ViśT"	low	review
corrected_text_scan	wts_9_m	95	81	Laienanhänger		residual_sanskrit_like_damage		liche Bodhisattva, der große Laienanhänger	low	review
corrected_text_scan	wts_9_m	97	5	zmänusyalokah		residual_sanskrit_like_damage		"="" igrten zmänusyalokah (Mvy 5376); ~°"	low	review
corrected_text_scan	wts_9_m	97	73	träger		residual_sanskrit_like_damage		träger, die Vertreter der abhāngigen Bauern-	low	review
corrected_text_scan	wts_9_m	97	95	Städter		residual_sanskrit_like_damage		"Lex. gron — = naigamahb ""Städter"" (Mvy"	low	review
corrected_text_scan	wts_9_m	99	62	trägt		residual_sanskrit_like_damage		"linke Kanal trägt Akṣobhya"" (Hev 1.1.15a);"	low	review
corrected_text_scan	wts_9_m	102	33	viväha		residual_sanskrit_like_damage		"ein viväha"" (Mvy 7960)."	low	review
corrected_text_scan	wts_9_m	104	39	unveränderlichen		residual_sanskrit_like_damage		"wahren unveränderlichen Dharmatā"" (Rāg"	low	review
corrected_text_scan	wts_9_m	104	46	Unveränderlich-		residual_sanskrit_like_damage		"la śa ""mit dem Nektar der Unveränderlich-"	low	review
corrected_text_scan	wts_9_m	104	52	acaricalä		residual_sanskrit_like_damage		"Lex. acaricalä ""unbeweglich"" (Mvy 501, Abt."	low	review
corrected_text_scan	wts_9_m	104	54	unveränderlich		residual_sanskrit_like_damage		"rab ""unveränderlich"" (Mvy 6601); g.yo med"	low	review
corrected_text_scan	wts_9_m	107	76	Blutgefäße		residual_sanskrit_like_damage		"sen Blutgefäße nicht zu schen sind"" (Mvy"	low	review
corrected_text_scan	wts_9_m	108	81	Mahäcakssus		residual_sanskrit_like_damage		"perung des Tathāgata Mahäcakssus ist"" (Nel"	low	review
corrected_text_scan	wts_9_m	111	15	Sahäloka		residual_sanskrit_like_damage		der Herr des Sahäloka (skt. brahman sahārn-	low	review
corrected_text_scan	wts_9_m	116	6	bära		residual_sanskrit_like_damage		"—r ... kun tu snaṅ bar .. bära na sir ""in"	low	review
corrected_text_scan	wts_9_m	116	59	Nähe		residual_sanskrit_like_damage		"wenn sie in der Nähe wohnen"" (Gś-H 23c);"	low	review
corrected_text_scan	wts_9_m	116	85	kitlatä		residual_sanskrit_like_damage		"kitlatä ""Widrigkeit"" (Mvy 5240); pratiloma"	low	review
corrected_text_scan	wts_9_m	117	48	Fällen		residual_sanskrit_like_damage		"schiedlichen Fällen"" (Mvy 4451, Abt. tsbad"	low	review
corrected_text_scan	wts_9_m	119	17	Tär		residual_sanskrit_like_damage		"liche Samādhi-Stufen"" (Tär 87,11); 'bras bcos"	low	review
corrected_text_scan	wts_9_m	119	52	Tär		residual_sanskrit_like_damage		"Samādhi über das Abstofßende"" (Tär 10,11)."	low	review
corrected_text_scan	wts_9_m	121	49	Nirväria		residual_sanskrit_like_damage		"Nirväria"" (Mvy 406)."	low	review
corrected_text_scan	wts_9_m	124	72	prativäni		residual_sanskrit_like_damage		Lex. prativäni (Mvy 5239).	low	review
corrected_text_scan	wts_9_m	128	41	Gosälipu-		residual_sanskrit_like_damage		śyapa stieß schweigend Maskarin Gosälipu-	low	review
corrected_text_scan	wts_9_m	130	53	anelä		residual_sanskrit_like_damage		Lex. anelä (Mvy 454, Abt. dbyaris kyi yan lag	low	review
corrected_text_scan	wts_9_m	132	23	aksayakarandä		residual_sanskrit_like_damage		Lex. aksayakarandä (Mvy 750, Abt. byani	low	review
corrected_text_scan	wts_9_m	133	16	erträglichen		residual_sanskrit_like_damage		"erträglichen Saṃsāra wird zerstört"" (Srkk"	low	review
corrected_text_scan	wts_9_m	133	33	unerträglichen		residual_sanskrit_like_damage		"bsṅal rnams (metr.) ""die unerträglichen Lei-"	low	review
corrected_text_scan	wts_9_m	133	65	katukäm		residual_sanskrit_like_damage		tHvram kharām katukäm (Mvy 6964); — pa	low	review
corrected_text_scan	wts_9_m	134	8	stätte		residual_sanskrit_like_damage		stätte, skt. Attahāsa, vgl. Tdur	low	review
corrected_text_scan	wts_9_m	136	8	śäkya		residual_sanskrit_like_damage		"das Reich schr glücklich"" (Nel 3b7); śäkya"	low	review
corrected_text_scan	wts_9_m	136	59	ciniäjyam		residual_sanskrit_like_damage		"Lex. ciniäjyam ""regungslos"" (Mvy 6387);"	low	review
corrected_text_scan	wts_9_m	136	72	näma		residual_sanskrit_like_damage		näma samādhib (Mvy 554).	low	review
corrected_text_scan	wts_9_m	136	78	acalä		residual_sanskrit_like_damage		Lex. acalä (Mvy 893, Abt. byan chub sems	low	review
corrected_text_scan	wts_9_m	143	31	gewährt		residual_sanskrit_like_damage		ner abhāngigen Bauern gewährt, daß sie oh-	low	review
corrected_text_scan	wts_9_m	143	85	ungezähmte		residual_sanskrit_like_damage		"se Diener, ungezähmte Pferde"" (Gś-H 58);"	low	review
corrected_text_scan	wts_9_m	146	78	Nägn		residual_sanskrit_like_damage		"gen ist"" (Nägn 69,21); — daṅ rna ba ma yens"	low	review
corrected_text_scan	wts_9_m	149	15	zciträkso		residual_sanskrit_like_damage		Lex. kle'irgalpo ~ zciträkso nāgarājā (Mvy	low	review
corrected_text_scan	wts_9_m	152	18	ekäksalh		residual_sanskrit_like_damage		Lex. ekäksalh (Mvy 8839).	low	review
corrected_text_scan	wts_9_m	152	40	cilläksah		residual_sanskrit_like_damage		Lex. cilläksah (Mvy 8834).	low	review
corrected_text_scan	wts_9_m	154	20	Lähmung		residual_sanskrit_like_damage		"daṅ (metr.) ""bei halbseitiger Lähmung des"	low	review
corrected_text_scan	wts_9_m	154	39	teräksab		residual_sanskrit_like_damage		Lex. teräksab (Mvy 8882).	low	review
corrected_text_scan	wts_9_m	155	9	viparitäksah		residual_sanskrit_like_damage		Lex. viparitäksah (Mvy 8911).	low	review
corrected_text_scan	wts_9_m	155	15	Täuschung		residual_sanskrit_like_damage		"Lex. māyāå ""Täuschung"" (Mvy 4969, Abt."	low	review
corrected_text_scan	wts_9_m	155	27	militäksal		residual_sanskrit_like_damage		Lex. militäksal) (Mvy 8912).	low	review
corrected_text_scan	wts_9_m	155	48	Augäpfel		residual_sanskrit_like_damage		dabei seine anmutigen Augäpfel (skt. tāra	low	review
corrected_text_scan	wts_9_m	157	24	angäarakab		residual_sanskrit_like_damage		Lex. angäarakab (Mvy 3179); gza' — (brDa).	low	review
corrected_text_scan	wts_9_m	159	30	Lex.katäksah		residual_sanskrit_like_damage		Lex.katäksah (Mvy 7175).	low	review
corrected_text_scan	wts_9_m	160	32	$		residual_sanskrit_like_damage		Lex. pratibhāsah (Mvy 2821, Abt. $07/// ma la	low	review
corrected_text_scan	wts_9_m	161	76	kämalä		residual_sanskrit_like_damage		Lex. kämalä (Mvy 9551, Abt. nad kyi min);	low	review
corrected_text_scan	wts_9_m	163	3	Käśyapa		residual_sanskrit_like_damage		"77) nam ""was meinst du, Käśyapa, paßt der"	low	review
corrected_text_scan	wts_9_m	164	86	$		residual_sanskrit_like_damage		"Welt"" (Mvy 6558); — rjes $// brtags pa = nd-"	low	review
corrected_text_scan	wts_9_m	165	41	namakäyah		residual_sanskrit_like_damage		Lex. namakäyah (Mvy 1996).	low	review
corrected_text_scan	wts_9_m	166	26	Srävaka		residual_sanskrit_like_damage		1. npr. ein Srävaka, skt. Mahānāma.	low	review
corrected_text_scan	wts_9_m	166	33	mahänamah		residual_sanskrit_like_damage		Lex. mahänamah (Mvy 3607, Abt. 'kbor los	low	review
corrected_text_scan	wts_9_m	168	30	$		residual_sanskrit_like_damage		dral po ni — (Liś 23,6); ~$ bsruns pa= bhra-	low	review
corrected_text_scan	wts_9_m	169	54	Türkismähne		residual_sanskrit_like_damage		"ne herabhāngende Türkismähne"" (Mil 30,8);"	low	review
corrected_text_scan	wts_9_m	174	62	Krsmacärin		residual_sanskrit_like_damage		ādhara Krsna sei nicht Krsmacärin, ist gegen-	low	review
corrected_text_scan	wts_9_m	176	63	vämanah		residual_sanskrit_like_damage		Lex. vämanah (Mvy 8787).	low	review
corrected_text_scan	wts_9_m	176	76	Vämana		residual_sanskrit_like_damage		"""""Kumāralābha, *Vämana, Kunäla [usw.]"	low	review
corrected_text_scan	wts_9_m	176	76	Kunäla		residual_sanskrit_like_damage		"""""Kumāralābha, *Vämana, Kunäla [usw.]"	low	review
corrected_text_scan	wts_9_m	176	82	Kunäla		residual_sanskrit_like_damage		"Kaschmir Kunäla [usw.]"" (Tār 62,16)."	low	review
corrected_text_scan	wts_9_m	177	63	Lex.näradab		residual_sanskrit_like_damage		Lex.näradab (Mvy 3470, Abt.dransron chen	low	review
corrected_text_scan	wts_9_m	177	80	gleichmäßig		residual_sanskrit_like_damage		"dman miam par gaṅ ba ""gleichmäßig voll"	low	review
corrected_text_scan	wts_9_m	182	42	schwätzig		residual_sanskrit_like_damage		"schwätzig"" (Mvy 2481)."	low	review
corrected_text_scan	wts_9_m	184	4	muktikä		residual_sanskrit_like_damage		Lex. muktikä (Mvy 5952); muktika grol ba	low	review
corrected_text_scan	wts_9_m	187	63	Käsyapa		residual_sanskrit_like_damage		schließlich Pūrāṇa Käsyapa, Maskari Gosali-	low	review
corrected_text_scan	wts_9_m	191	7	cätuskotikab		residual_sanskrit_like_damage		lex. cätuskotikab (Mvy 0887); mtha' bźi	low	review
corrected_text_scan	wts_9_m	202	39	fläche		residual_sanskrit_like_damage		"fläche des Ozeans der klu"" (Lśdz 35,3)."	low	review
corrected_text_scan	wts_9_m	205	87	nämlich		residual_sanskrit_like_damage		bewegt, die Objekte, nämlich die Phānonme-	low	review
corrected_text_scan	wts_9_m	209	34	panditaä		residual_sanskrit_like_damage		nya — dan / panditaä na nda daṅ gsum gyis	low	review
corrected_text_scan	wts_9_m	210	34	Blätter		residual_sanskrit_like_damage		"biri sman daṅ ""medizinische Blätter, medi-"	low	review
corrected_text_scan	wts_9_m	216	47	mäläkärah		residual_sanskrit_like_damage		Lex. mäläkärah (Mvy 3777).	low	review
corrected_text_scan	wts_9_m	220	11	Göttermädchen		residual_sanskrit_like_damage		1. npr. ein Göttermädchen, skt. Menakā.	low	review
corrected_text_scan	wts_9_m	220	13	Tänzerin		residual_sanskrit_like_damage		2. npr. eine göttliche Tänzerin, skt. Menakā.	low	review
corrected_text_scan	wts_9_m	221	60	Äng-		residual_sanskrit_like_damage		"g.yan pa daṅ / gnod pa' igs skrag ""Äng-"	low	review
corrected_text_scan	wts_9_m	223	59	hastä		residual_sanskrit_like_damage		Lex. hastä (Mvy 3197, Abt. royn skar /7/ Su	low	review
corrected_text_scan	wts_9_m	226	47	ädarsah		residual_sanskrit_like_damage		"Lex. ädarsah ""Spiegel"" (Mvy 5908, 'tshogchas"	low	review
corrected_text_scan	wts_9_m	227	25	ädassajianam		residual_sanskrit_like_damage		Lex. ädassajianam (Mvy 111, sGra 20).	low	review
corrected_text_scan	wts_9_m	227	73	siryakäntah		residual_sanskrit_like_damage		Lex. siryakäntah (Mvy 8979).	low	review
corrected_text_scan	wts_9_m	231	15	$		residual_sanskrit_like_damage		"(Mvy 1889); ""dini ... 0/1/$ su byar — cin tha mi"	low	review
corrected_text_scan	wts_9_m	231	42	Tär		residual_sanskrit_like_damage		"des Samādhi den Berg verschwinden"" (Tär"	low	review
corrected_text_scan	wts_9_m	231	77	pakräntah		residual_sanskrit_like_damage		"pakräntah ""weggegangen"" (Mvy 2573); bral"	low	review
corrected_text_scan	wts_9_m	234	62	$		residual_sanskrit_like_damage		"Zweiheit"" (Mvy 1717); 'dini 9)7/$ su — des"	low	review
corrected_text_scan	wts_9_m	236	56	unzählige		residual_sanskrit_like_damage		"du bklag cin ""Dhāranis unzählige Male re-"	low	review
corrected_text_scan	wts_9_m	240	45	Pitämahas		residual_sanskrit_like_damage		"das Gebot Pitämahas zu übertreten"" (ViśT"	low	review
corrected_text_scan	wts_9_m	245	84	Pramäna		residual_sanskrit_like_damage		"Pramäna usw."" (Bu-śz 88,4); smad '/$/90)? ma"	low	review
corrected_text_scan	wts_9_m	245	84	$		residual_sanskrit_like_damage		"Pramäna usw."" (Bu-śz 88,4); smad '/$/90)? ma"	low	review
corrected_text_scan	wts_9_m	253	50	Dunkelfärben		residual_sanskrit_like_damage		"karanam ""das Dunkelfärben"" (Mvy 6624);"	low	review
corrected_text_scan	wts_9_m	253	51	gefärbt		residual_sanskrit_like_damage		"—r byas = dhyāmikrtam ""dunkel gefärbt, ge-"	low	review
corrected_text_scan	wts_9_m	253	52	schwärzt		residual_sanskrit_like_damage		"schwärzt"" (Mvy 6625)."	low	review
corrected_text_scan	wts_9_m	256	22	Acärya		residual_sanskrit_like_damage		Schüler des Acärya Nāgārjuna war, habe ich	low	review
corrected_text_scan	wts_9_m	256	28	Tär		residual_sanskrit_like_damage		"schaft gelangt"" (Tär 191,8); che brjod du raṅ"	low	review
corrected_text_scan	wts_9_m	260	76	jamäsab		residual_sanskrit_like_damage		jamäsab (Mvy 5647, Abt. 'bru sna tshogs hy	low	review
corrected_text_scan	wts_9_m	264	17	Märga		residual_sanskrit_like_damage		"be durchschritt er die Bhūmi und Märga"""	low	review
corrected_text_scan	wts_9_m	265	37	Mächte		residual_sanskrit_like_damage		eine der zehn Mächte eines Bodhisattva.	low	review
corrected_text_scan	wts_9_m	269	2	Sänaväsika		residual_sanskrit_like_damage		"gtad de ... mya ñan las 'das so ""[Sänaväsika]"	low	review
corrected_text_scan	wts_9_m	269	69	Vigatäśoka		residual_sanskrit_like_damage		2. npr. ein indischer Herrscher, Vigatäśoka.	low	review
corrected_text_scan	wts_9_m	269	73	gatäśoka		residual_sanskrit_like_damage		gatäśoka und Virasena, Nanda und Mahä-	low	review
corrected_text_scan	wts_9_m	269	73	Mahä-		residual_sanskrit_like_damage		gatäśoka und Virasena, Nanda und Mahä-	low	review
corrected_text_scan	wts_9_m	272	51	kämatä		residual_sanskrit_like_damage		"kämatä ""Vorliebe für Süßes"" (Mvy 2214)."	low	review
corrected_text_scan	wts_9_m	274	35	ständig		residual_sanskrit_like_damage		"ständig leicht verdaut"" (Mvy 7040)."	low	review
corrected_text_scan	wts_9_m	275	32	vanalatä		residual_sanskrit_like_damage		Lex. vanalatä (Mvy 5288).	low	review
corrected_text_scan	wts_9_m	282	82	Getränke		residual_sanskrit_like_damage		"Lex. chaṅ dan aragltabuibtun ba ""Getränke"	low	review
corrected_text_scan	wts_9_m	285	71	militärische		residual_sanskrit_like_damage		"bcas dbus par ño log ""der militärische Kom-"	low	review
corrected_text_scan	wts_9_m	286	75	$		residual_sanskrit_like_damage		"mee nach Keṅ-śi führen würden"" (Inl $54);"	low	review
corrected_text_scan	wts_9_m	288	19	senäväsah		residual_sanskrit_like_damage		Lex. senäväsah (Mvy 8469).	low	review
corrected_text_scan	wts_9_m	289	24	mahäsenävyiihaparäkramahb		residual_sanskrit_like_damage		Lex. mahäsenävyiihaparäkramahb (Mvy 3374,	low	review
corrected_text_scan	wts_9_m	291	52	senäpatib		residual_sanskrit_like_damage		"Lex. senäpatib ""Heerführer, General"" (Mvy"	low	review
corrected_text_scan	wts_9_m	294	38	senädarsanam		residual_sanskrit_like_damage		Lex. senädarsanam (Mvy 8468, Abt. Itari	low	review
corrected_text_scan	wts_9_m	306	56	Zlohitäksali		residual_sanskrit_like_damage		"Frucht sind"" (Mvy 5210); mig — Zlohitäksali"	low	review
corrected_text_scan	wts_9_m	310	36	hält		residual_sanskrit_like_damage		hält (skt. ālambya), möge immer einen Vor-	low	review
corrected_text_scan	wts_9_m	310	81	apavädah		residual_sanskrit_like_damage		Lex. apavädah (Mvy 6885).	low	review
corrected_text_scan	wts_9_m	312	59	näma		residual_sanskrit_like_damage		cchedano näma samādhih (Mvy 573).	low	review
corrected_text_scan	wts_9_m	312	75	tyayatä		residual_sanskrit_like_damage		"tyayatä und adhipatipratyayatā"" (T4090 ku"	low	review
corrected_text_scan	wts_9_m	312	77	älambanapratyayab		residual_sanskrit_like_damage		Lex. älambanapratyayab (Mvy 2269, Abt.	low	review
corrected_text_scan	wts_9_m	320	38	überwältigt		residual_sanskrit_like_damage		"bar bcom pa ""vom Fluch überwältigt"" (ViśT"	low	review
corrected_text_scan	wts_9_m	321	76	unerträgliches		residual_sanskrit_like_damage		"""unerträgliches Leid in der Hölle Kālasūtra"""	low	review
