tibetan_syllable	source_variant	source_signature	proposed_target	hypothetical_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes
འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_35_51
འཚང	tshan	tsha<FINAL_NASAL>	tshaṅ		2	competing_latin_forms:2	source_compatible_single_anchor:2	1		shaṅ:1	0	wts_1_34
ཤང	San	Sa<FINAL_NASAL>	Saṅ		2	competing_latin_forms:2	source_compatible_single_anchor:2	1		siṅ:1	0	wts_1_34
སྲང	srun	sru<FINAL_NASAL>	sruṅ		2	competing_latin_forms:2	source_compatible_structure_mismatch:2	1		ssdaṅ:1; seruṅ:1; sriṅ:1	0	wts_1_34
ཧང	han	ha<FINAL_NASAL>	haṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34
ཀྱང	byan	bya<FINAL_NASAL>	byaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		kyaṅ:7; gyaṅ:1	0	wts_8_b
ཁོང	kbon	kbo<FINAL_NASAL>	kboṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		khoṅ:1	0	wts_1_34
གཅུང	gcun	gcu<FINAL_NASAL>	gcuṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
གླིང	elin	eli<FINAL_NASAL>	eliṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		gliṅ:51; ciṅ:1	0	wts_1_34
ཆུང	run	ru<FINAL_NASAL>	ruṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		chuṅ:130	0	wts_1_34
ནིང	nin	ni<FINAL_NASAL>	niṅ		1	competing_latin_forms:1	source_compatible_single_anchor:1	1		miṅ:1	0	wts_1_34
པྲང	bran	bra<FINAL_NASAL>	braṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
བབཟུང	bzun	bzu<FINAL_NASAL>	bzuṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
བསྐྱེང	bskyen	bskye<FINAL_NASAL>	bskyeṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
བསླང	bslan	bsla<FINAL_NASAL>	bslaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		bskyuṅ:1	0	wts_1_34
མཐང	mthon	mtho<FINAL_NASAL>	mthoṅ		1	insufficient_consensus:1	source_compatible_structure_mismatch:1	1			0	wts_1_34
མྐྱོང	myon	myo<FINAL_NASAL>	myoṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
འགང	gon	go<FINAL_NASAL>	goṅ		1	insufficient_consensus:1	source_compatible_structure_mismatch:1	1			0	wts_1_34
རྐྱོང	rkyon	rkyo<FINAL_NASAL>	rkyoṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
རྣང	rnan	rna<FINAL_NASAL>	rnaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		maṅ:2	0	wts_35_51
ལྗང	lan	la<FINAL_NASAL>	laṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		daṅ:1; ldaṅ:1	0	wts_1_34
ལྗང	ldan	lda<FINAL_NASAL>	ldaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		daṅ:1; laṅ:1	0	wts_1_34
སིང	sin	si<FINAL_NASAL>	siṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
སྙིང	sñiń	sñi<FINAL_NASAL>	sñiṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	1		siṅ:3; sāiṅ:1; stiṅ:1	0	wts_35_51
སྟང	ston	sto<FINAL_NASAL>	stoṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	1		staṅ:4; snaṅ:1	0	wts_1_34
སྡིང	sdih	sdi<FINAL_NASAL>	sdiṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_35_51
སྡེང	sden	sde<FINAL_NASAL>	sdeṅ		1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34
སྤྲང	smran	smra<FINAL_NASAL>	smraṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		sbraṅ:12; spraṅ:9; spyaṅ:1; sgaṅ:1; smyuṅ:1	0	wts_9_m
སྲོང	sroh	sro<FINAL_NASAL>	sroṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		spoṅ:2	0	wts_35_51
ངང	nan	na<FINAL_NASAL>		naṅ	14	not_emitted_by_legacy_global_target:14	source_compatible_no_anchor:14	0		daṅ:2; haṅ:1	0	wts_1_34
ཀེང	ken	ke<FINAL_NASAL>		keṅ	12	not_emitted_by_legacy_global_target:12	source_compatible_no_anchor:12	0		koṅ:1	0	wts_1_34
ཏང	tin	ti<FINAL_NASAL>		tiṅ	12	not_emitted_by_legacy_global_target:12	source_compatible_structure_mismatch:12	0		taṅ:5	0	wts_1_34
ཀོང	gon	go<FINAL_NASAL>		goṅ	8	not_emitted_by_legacy_global_target:8	source_compatible_no_anchor:8	0		koṅ:53; caṅ:1	0	wts_1_34
མཐང	mthan	mtha<FINAL_NASAL>		mthaṅ	6	not_emitted_by_legacy_global_target:6	source_compatible_no_anchor:5; source_compatible_damaged_context:1	0		mthoṅ:1	1	wts_1_34;wts_8_b
ཤེང	sen	se<FINAL_NASAL>		seṅ	6	not_emitted_by_legacy_global_target:6	source_compatible_no_anchor:6	0		Siṅ:1; Seṅ:1	0	wts_1_34
ཀྱོང	kyon	kyo<FINAL_NASAL>		kyoṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		gyoṅ:1	0	wts_1_34
དང	dun	du<FINAL_NASAL>		duṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_structure_mismatch:5	0		daṅ:118; rkaṅ:1	0	wts_1_34
བགྲང	beran	bera<FINAL_NASAL>		beraṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		bgraṅ:1	0	wts_1_34
ལྗང	han	ha<FINAL_NASAL>		haṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		daṅ:1; ldaṅ:1; laṅ:1	0	wts_1_34
ཤང	Sin	Si<FINAL_NASAL>		Siṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_structure_mismatch:5	0		Saṅ:1; siṅ:1	0	wts_1_34
སྔོང	sdon	sdo<FINAL_NASAL>		sdoṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		sbyoṅ:1	0	wts_1_34
སྙིང	snin	sni<FINAL_NASAL>		sniṅ	5	not_emitted_by_legacy_global_target:5	source_compatible_structure_mismatch:5	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
གདང	gdun	gdu<FINAL_NASAL>		gduṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	0		gdaṅ:11; ggdaṅ:2; gdoṅ:2	0	wts_1_34
འབུང	thun	thu<FINAL_NASAL>		thuṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		Duṅ:1; buṅ:1; baṅ:1	0	wts_1_34
སང	sen	se<FINAL_NASAL>		seṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34
སྙང	sin	si<FINAL_NASAL>		siṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	0		snaṅ:2	0	wts_1_34
སྙིང	shin	shi<FINAL_NASAL>		shiṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
ཁང	khrun	khru<FINAL_NASAL>		khruṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁྱུང	khrun	khru<FINAL_NASAL>		khruṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	0		khyuṅ:4	0	wts_1_34
གཏང	gtin	gti<FINAL_NASAL>		gtiṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	0		gtaṅ:1	0	wts_1_34
ཕྱང	phyun	phyu<FINAL_NASAL>		phyuṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	0		phyaṅ:9; pyaṅ:1; pphyaṅ:1	0	wts_1_34
བང	khan	kha<FINAL_NASAL>		khaṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34
ལྗང	ljan	lja<FINAL_NASAL>		ljaṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		daṅ:1; ldaṅ:1; laṅ:1	0	wts_1_34
སྙིང	sAin	sAi<FINAL_NASAL>		sAiṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
ཁང	khon	kho<FINAL_NASAL>		khoṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁང	khun	khu<FINAL_NASAL>		khuṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁུང	khrun	khru<FINAL_NASAL>		khruṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		khuṅ:36; kbuṅ:1	0	wts_1_34
གང	gun	gu<FINAL_NASAL>		guṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		gaṅ:75	0	wts_1_34
གླང	gran	gra<FINAL_NASAL>		graṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		glaṅ:53	0	wts_1_34
ང	glin	gli<FINAL_NASAL>		gliṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	klun	klu<FINAL_NASAL>		kluṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ངང	dun	du<FINAL_NASAL>		duṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		daṅ:2; haṅ:1	0	wts_1_34
ངང	man	ma<FINAL_NASAL>		maṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		daṅ:2; haṅ:1	0	wts_1_34
བཏང	btun	btu<FINAL_NASAL>		btuṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		btaṅ:24	0	wts_1_34
བོང	thon	tho<FINAL_NASAL>		thoṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		boṅ:25; borṅ:1; bboṅ:1	0	wts_1_34
མདང	mdun	mdu<FINAL_NASAL>		mduṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		mdaṅ:2; indaṅ:1	0	wts_1_34
རྐྱང	rgyan	rgya<FINAL_NASAL>		rgyaṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		rkyaṅ:25; rkaṅ:1	0	wts_1_34
རྒྱང	rgyon	rgyo<FINAL_NASAL>		rgyoṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		rgyaṅ:13	0	wts_1_34
སང	sran	sra<FINAL_NASAL>		sraṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34
སྔང	san	sa<FINAL_NASAL>		saṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		sdaṅ:2	0	wts_1_34
སྙིང	sun	su<FINAL_NASAL>		suṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
ཀྱང	Ryan	Rya<FINAL_NASAL>		Ryaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34
ཀྱང	byun	byu<FINAL_NASAL>		byuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34
ཀྱང	khyun	khyu<FINAL_NASAL>		khyuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34
ཀྲོང	gron	gro<FINAL_NASAL>		groṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kroṅ:5	0	wts_1_34
ཀླང	klon	klo<FINAL_NASAL>		kloṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		kluṅ:8	0	wts_1_34
ཀླང	krun	kru<FINAL_NASAL>		kruṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		kluṅ:8	0	wts_1_34
ཁང	Eingangsbereich	Eingangsbereic<FINAL_NASAL>		Eingangsbereicṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁང	kan	ka<FINAL_NASAL>		kaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁང	than	tha<FINAL_NASAL>		thaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		khaṅ:89; kbaṅ:4	0	wts_1_34
ཁུང	Felsh	Fels<FINAL_NASAL>		Felsṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		khuṅ:36; kbuṅ:1	0	wts_8_b
ཁུང	Rhun	Rhu<FINAL_NASAL>		Rhuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khuṅ:36; kbuṅ:1	0	wts_1_34
ཁུང	khyun	khyu<FINAL_NASAL>		khyuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khuṅ:36; kbuṅ:1	0	wts_1_34
ཁོང	Khon	Kho<FINAL_NASAL>		Khoṅ	1	competing_latin_forms:1	source_compatible_no_anchor:1	0		khoṅ:1; kboṅ:1	0	wts_1_34
ཁོང	ikhon	ikho<FINAL_NASAL>		ikhoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khoṅ:1; kboṅ:1	0	wts_1_34
ཁྱུང	kbyun	kbyu<FINAL_NASAL>		kbyuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khyuṅ:4	0	wts_1_34
གང	Mannsh	Manns<FINAL_NASAL>		Mannsṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gaṅ:75	0	wts_9_m
གང	gon	go<FINAL_NASAL>		goṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gaṅ:75	0	wts_1_34
གཅུང	geun	geu<FINAL_NASAL>		geuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gcuṅ:1	0	wts_1_34
གཏང	gran	gra<FINAL_NASAL>		graṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtaṅ:1	0	wts_1_34
གཏང	gron	gro<FINAL_NASAL>		groṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gtaṅ:1	0	wts_1_34
གཏང	gton	gto<FINAL_NASAL>		gtoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gtaṅ:1	0	wts_1_34
གཏང	gun	gu<FINAL_NASAL>		guṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gtaṅ:1	0	wts_1_34
གཏིང	gein	gei<FINAL_NASAL>		geiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtiṅ:16	0	wts_1_34
གཏོང	vernich	vernic<FINAL_NASAL>		vernicṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gtoṅ:38; Warnuṅ:1	0	wts_1_34
གདུང	gun	gu<FINAL_NASAL>		guṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gduṅ:30; voṅ:1; gdunṅ:1	0	wts_1_34
གདུང	odun	odu<FINAL_NASAL>		oduṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gduṅ:30; voṅ:1; gdunṅ:1	0	wts_35_51
གདོང	can	ca<FINAL_NASAL>		caṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gdoṅ:45; edoṅ:1; ggdoṅ:1	0	wts_1_34
གཞུང	gun	gu<FINAL_NASAL>		guṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gZuṅ:1	0	wts_1_34
གཞུང	gzun	gzu<FINAL_NASAL>		gzuṅ	1	insufficient_consensus:1	source_compatible_no_anchor:1	0		gZuṅ:1	0	wts_1_34
གཞུང	gźuń	gźu<FINAL_NASAL>		gźuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gZuṅ:1	0	wts_35_51
གསུང	gsuṅń	gsuṅ<FINAL_NASAL>		gsuṅṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gsuṅ:9	0	wts_35_51
གོང	dgon	dgo<FINAL_NASAL>		dgoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		goṅ:54	1	wts_1_34
གོང	in	i<FINAL_NASAL>		iṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		goṅ:54	0	wts_1_34
གྱང	gyun	gyu<FINAL_NASAL>		gyuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gaṅ:1	0	wts_1_34
གྲང	gron	gro<FINAL_NASAL>		groṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		graṅ:16	0	wts_1_34
གྲང	oran	ora<FINAL_NASAL>		oraṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		graṅ:16	0	wts_1_34
གྲུང	glan	gla<FINAL_NASAL>		glaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gruṅ:1	0	wts_1_34
གྲོང	grorn	gror<FINAL_NASAL>		grorṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		groṅ:31; goṅ:1	0	wts_1_34
གླང	glin	gli<FINAL_NASAL>		gliṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		glaṅ:53	0	wts_1_34
གླེང	khan	kha<FINAL_NASAL>		khaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gleṅ:1; gliṅ:1	0	wts_1_34
གློང	glon	glo<FINAL_NASAL>		gloṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		groṅ:1	0	wts_1_34
ང	bźin	bźi<FINAL_NASAL>		bźiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	chan	cha<FINAL_NASAL>		chaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
