tibetan_syllable	source_variant	source_signature	supported_target	hypothetical_target	undotted_clean_row_count	base_ocr_dotted_anchor_count	reviewed_exact_dotted_anchor_count	google_adopted_anchor_count	other_postprocess_anchor_count	unknown_provenance_anchor_count	same_volume_raw_anchor_count	cross_volume_raw_anchor_count	explicit_same_entry_repeat_count	direct_repeated_tibetan_alignment_count	probable_cross_reference_count	google_unresolved_exact_target_count	google_candidate_exact_target_count	google_conflicting_reading_count	prior_reviewed_same_source_exact_count	prior_reviewed_same_tibetan_target_different_source_count	damaged_row_count	marker_row_count	tibetan_structure_status	entry_series_cluster_count	alignment_plausibility	target_evidence_channels	lemma_identity_channels	recurrence_context_channels	circular_reviewed_anchor_count	suggested_review_tier	volumes	sample_contexts
དགུང	dgun	dgu<FINAL_NASAL>	dguṅ		9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:9	0	base_anchor_identity_review	wts_1_34;wts_35_51	དགུང་ཆར་ dgun char || དགུང་ཆར་ dgun char Bez. für Regen. || དགུང་མོ་ ” dgun mo
སྒོང	sgon	sgo<FINAL_NASAL>	sgoṅ		9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	1	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:9;entry_series_clusters:1	0	base_anchor_identity_review	wts_1_34	སྒོང་ 'sgon pf. Ibsgons fut. 1/5907 imp. Isgons || སྒོང་སྐྱེས་ sgon skyes aus dem Ei geboren, Bez. || སྒོང་སྐྲན་ sgon skran eine Krankheit.
གྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ		8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:8	0	base_anchor_identity_review	wts_1_34	ཀོ་ གྱོང་ ko gyon || ཀོ་གྱོང་ ko gyon hartes Leder. || ཁེ་གྱོང་ khe gyon Gewinn und Verlust.
རུང	run	ru<FINAL_NASAL>	ruṅ		6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:6	0	base_anchor_identity_review	wts_1_34	གང་རུང་ gar run || ཅཾ་མ་རུང་ ci ma run || ཅི་མ་རུང་ ci ma run wenn doch nur!
ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ		4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:4	0	base_anchor_identity_review	wts_1_34	ཁ་ཞེང་ kha Zen rag kha bzla །ཁ་ཏའུར་ kha ’ur ཁ་ཡིག་ kha yig || ཆུ་ཞེང་གབ་པ་ chu Zen gab pa || ཆུ་ཞེང་ chu Zen Länge und Breite, Umfang.
ངང	han	ha<FINAL_NASAL>	haṅ		3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:3	0	base_anchor_identity_review	wts_1_34	ངང་རྒྱད་ han rgyud || ངང་སྒོམ་ han sgom eine Meditiation. || རྟ་ངང་པ་ rta han pa
གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_35_51;wts_9_m	ཕྱུ་གཡང་ phywa g.yan auch phya g.yari Glück; || རྨ་གཡང་ནོར་ rma g.yan nor npr. eine Gegend.
བློང	blon	blo<FINAL_NASAL>	bloṅ		2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_8_b	བློང་ 'blon. || བྲོང་བློང་ bloṅ blon.
མཇིང	mjin	mji<FINAL_NASAL>	mjiṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_1_34	སྐེ་མཇིང་ ske mjin Hals. || མཇིང་ནབ་ mjin nub
མདོང	mdon	mdo<FINAL_NASAL>	mdoṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_1_34	ལྕགས་མདོང་ lcags mdon || ལྕགས་མདོང་ lcags mdon Eisenrohr.
འདིང	din	di<FINAL_NASAL>	diṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_1_34	ཆག་འདིང་ chag ’din || ཆག་འདིང་ chag ’din beraten, planen.
འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ		2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_35_51	"འཕྱོང་ ""phyon || འཕྱོང་ ""phyon auch 'phyons aufhängen, vgl."
འཚང	tshan	tsha<FINAL_NASAL>	tshaṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2;entry_series_clusters:1	0	base_anchor_identity_review	wts_1_34	དག་འཚང་བྱས་ dag ’tshan byas || དག་འཚང་བྱས་ dag ’tshan byas pf. bereinigen.
ཤང	San	Sa<FINAL_NASAL>	Saṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_1_34	ཀིམ་ཤང ཁོང་ཅོ kim San khon co, kim Sin kon co, || སྔོ་གྲོ་ཤང་རྩེ་ sho gro San rtse eine Pflanze, Oro-
ཧང	han	ha<FINAL_NASAL>	haṅ		2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:2	0	base_anchor_identity_review	wts_1_34	གི་ཧང་ gi han †9/ wan || གྷི་ཧང་ ghi han †£7 wan.
ཀྱང	byan	bya<FINAL_NASAL>	byaṅ		1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_8_b	"ཀྱང་མའི་ལྕགས་ ""byan ma'ilcags Eisenplatte."
ཁོང	kbon	kbo<FINAL_NASAL>	kboṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	ཁོང་ kbon;
གཅུང	gcun	gcu<FINAL_NASAL>	gcuṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	གཅུང་པ་སྤྱི་ gcun pa spyi
གླིང	elin	eli<FINAL_NASAL>	eliṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	གླིང་བཞི་ elin bäi.
ཆུང	run	ru<FINAL_NASAL>	ruṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	དུས་སུ་ཆུང་བ་ dus su run ba zeitgemäß, zur
ནིང	nin	ni<FINAL_NASAL>	niṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	ཁ་ནིང་ kha nin letztes Jahr.
མྐྱོང	myon	myo<FINAL_NASAL>	myoṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	རྗེས་སུ་མྐྱོང་ rjes su myon
རྣང	rnan	rna<FINAL_NASAL>	rnaṅ		1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_35_51	"རྣང་ ""rnan Bereich, Feld, Zwischenraum."
ལྗང	lan	la<FINAL_NASAL>	laṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	ལྗང་ལྔོའི་བུ་ lan sro’ bu npr. ein Rsi, Härita,
ལྗང	ldan	lda<FINAL_NASAL>	ldaṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	ཀུན་ནས་ལྗང་བ་ kun nas ldan ba; vgl. \kun nas lari
སིང	sin	si<FINAL_NASAL>	siṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_1_34	ཁོང་སིང་ khon sin I\khon sen Schlucht.
སྡིང	sdih	sdi<FINAL_NASAL>	sdiṅ		1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_35_51	དཔྱད་སྡིང་བཅུ་གསུམ་ dpyad sdih ben gsum eine
སྤྲང	smran	smra<FINAL_NASAL>	smraṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_9_m	སྤྲང་ smran.
སྲོང	sroh	sro<FINAL_NASAL>	sroṅ		1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:1	0	base_anchor_identity_review	wts_35_51	གནམ་རི་སྲོང་བཙན་ gnam ri sroh bisan Kurzf.
དྲང	dran	dra<FINAL_NASAL>	draṅ		43	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	exact_same_tibetan_syllable	6	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:43;entry_series_clusters:6	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀུན་ནས་དྲང་པོ་ kun nas dran po (zw.). ; || བཀྲིད་དྲང་ berid dran das Führen. || ཐད་དྲང་ tbad dran direkt, unmittelbar.
ཁོང	khon	kho<FINAL_NASAL>	khoṅ		27	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	4	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:27;entry_series_clusters:4	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀིམ་ཤང ཁོང་ཅོ kim San khon co, kim Sin kon co, || ཁོང་ 'khon auch khon pa pron. 3. pers. sing. || ཁོང་སྐེམ་པ་ khon skem pa
ཀང	kan	ka<FINAL_NASAL>	kaṅ		20	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	3	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:20;entry_series_clusters:3	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀང་ kan lkhani, \kin kai. || ཀང་ཀ་ kan ka ~ skt. kanka ein Raubvogel. - vgl. || ཀང་ཀ་ཀ་ kan ka ka eine weibliche zornvolle
ཏིང	tin	ti<FINAL_NASAL>	tiṅ		16	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	2	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition;direct_repeated_tibetan_alignment	undotted_rows:16;entry_series_clusters:2	0	manual_one_anchor_pilot_candidate	wts_1_34;wts_8_b	ཁོམ་ཏིང་ khom tin tiefsitzend. || ཏིང་ tin ein Gefäß, Schale; vgl. chin, SH ting || ཏིང་ཀྲས་ tin kras cin Vogel.
སྲོང	sron	sro<FINAL_NASAL>	sroṅ		15	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	2	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:15;entry_series_clusters:2	0	manual_one_anchor_pilot_candidate	wts_1_34	དྲང་སྲོང་ dran sron || དྲང་སྲོང་ dran sron. || དྲང་སྲོང་ dran sron
ཅང	can	ca<FINAL_NASAL>	caṅ		11	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor	explicit_same_entry_repetition	undotted_rows:11	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀིང་ཅང་ཧྭ་ kiṅ can hu ¦/07/7 jan hü. || །ཐ་ཅང་ kha can \kha gcan. || རྒྱ་ཅང་ raya can auch rgya can, rgya chan ein
ཀྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ		7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor	explicit_same_entry_repetition	undotted_rows:7	0	manual_one_anchor_pilot_candidate	wts_1_34	ཁེ་ཀྱོང་ khe gyon || ཀྱོང་ gyon Verlust, Mangel; med. Austrock- || ཀྱོང་བསྐར་ gyon bskur unberücksichtigt lassen,
ཞང	Zan	Za<FINAL_NASAL>	Zaṅ		2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:2	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀ་ཅོག་ཞང་ ka cog Zan, auch ska cog Zan Kurzf. für || དན་འབག་ཞང་པོ་ dan ’bag Zan po npr. eine in
པྲང	bran	bra<FINAL_NASAL>	braṅ		1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor	explicit_same_entry_repetition	undotted_rows:1	0	manual_one_anchor_pilot_candidate	wts_1_34	མཆི་པྲང་ mchi bran Ehefrau.
ངང	nan	na<FINAL_NASAL>		naṅ	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	plausible_requires_review			undotted_rows:14;entry_series_clusters:1	0	no_anchor_alignment_triage	wts_1_34	འགྲོ་བའི་ངང་ཚུལ་ gro ba’i nan tshul Bez. für || ངང་སྐྱ་ nan skya isabellfarben, weißlich. || ངང་འགྲོས་ nan ’gros Bez. eines rituellen Tan-
ཀེང	ken	ke<FINAL_NASAL>		keṅ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	3	plausible_requires_review			undotted_rows:12;entry_series_clusters:3	0	no_anchor_alignment_triage	wts_1_34	ཀེང་ཙེ་ལན་མེད་ ken tse lan med || ཀེང་ཙེ་ལན་མེད་ ken tse lan med N. einer Phya- || ཀེང་རུས་ ken rus
ཀོང	gon	go<FINAL_NASAL>		goṅ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	plausible_requires_review			undotted_rows:8;entry_series_clusters:1	0	no_anchor_alignment_triage	wts_1_34	ཀོང་ད་འཕེལ་ gon du ’phel sich verbreiten, zu- || ཀོང་མ་སྲེག་ gon ma sreg ein Vogel, Rebhuhn. || ཀོང་མོ་ gon mo ein Vogel.
ཤེང	sen	se<FINAL_NASAL>		seṅ	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:6	0	no_anchor_alignment_triage	wts_1_34	ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein || ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo. || ཀོ་ཤེང་ ko sen, auch kon sen N. einer Gegend.
ཀྱོང	kyon	kyo<FINAL_NASAL>		kyoṅ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:5	0	no_anchor_alignment_triage	wts_1_34	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig. || ཀྱོང་ kyon || ཀྱོང་ཀྱོང་ kyon kyon
བགྲང	beran	bera<FINAL_NASAL>		beraṅ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:5	0	no_anchor_alignment_triage	wts_1_34	བགྲང་ beran || བགྲང་ beran || བགྲང་རྟོགས་ beran rtogs eine hohe Zahl.
མཐང	mthan	mtha<FINAL_NASAL>		mthaṅ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	1	plausible_requires_review			undotted_rows:5;entry_series_clusters:1	0	no_anchor_alignment_triage	wts_1_34;wts_8_b	མཐང་སྤྲད་པ་ mthan sprad pa || མཐང་སྤྲད་པ་ mthan sprad pa Bez. für Ge- || མཐང་སྦྱར་བ་ mthan sbyar ba
ལྗང	han	ha<FINAL_NASAL>		haṅ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:5	0	no_anchor_alignment_triage	wts_1_34	སྒྲོ་ལྗང་ sgro han Papagei. || ལྗང་ཁ་ han khn. || ལྗང་ལྔོའི་བུ་ han sho’i bu
སྔོང	sdon	sdo<FINAL_NASAL>		sdoṅ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:5	0	no_anchor_alignment_triage	wts_1_34	སྐྱེ་སྔོང་ skye sdon ein Baum. || མཆོད་སྔོང་ mchod sdon || མཆོད་སྔོང་ mchod sdon.
འབུང	thun	thu<FINAL_NASAL>		thuṅ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:4	0	no_anchor_alignment_triage	wts_1_34	རྐང་འབུང་ rkaṅ ’thun auch rkan thun „Fußtrin- || ཁྱད་པར་འབུང་ khyad par ’thun Bez. für Mond. || ཆུ་འབུང་ chu ’thun.
བང	khan	kha<FINAL_NASAL>		khaṅ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:3	0	no_anchor_alignment_triage	wts_1_34	།བང་རྩ་ khan rtsa || །བང་རྩ་ * khan rtsa Fundament, Grundmauer. || །བང་སྲངས་ khan sruns Haushälterin.
ལྗང	ljan	lja<FINAL_NASAL>		ljaṅ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:3	0	no_anchor_alignment_triage	wts_1_34	ལྗང་ཚགས་ ljan tshags Sieb. || དྲུག་མར་ལྗང་ drug mar ljan || དྲུག་མར་ལྗང་ drug mar ljan Ocker; Laberitum
ཁུང	khrun	khru<FINAL_NASAL>		khruṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	ཁུང་ khrun resp. für chan. || ཁུང་ཞེ་ཆཿ khrun Zu ma Kellnerin.
ངང	man	ma<FINAL_NASAL>		maṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	ངང་པ་ man pa || ངང་པའི་ཁ་ཉོ། man pa’i bu mo Beiname der
བོང	thon	tho<FINAL_NASAL>		thoṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	ཐོང་བོང་ thon thon Lebensalter; jugendlich. || བོང་མི་ཁྲ་ thon mi ba.
རྐྱང	rgyan	rgya<FINAL_NASAL>		rgyaṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan || འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan auch ’jig
སང	sran	sra<FINAL_NASAL>		sraṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	དྭྱངལ་སང་ drul sran || དྭངལ་སང་ dnul sran eine Währung.
སྔང	san	sa<FINAL_NASAL>		saṅ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:2	0	no_anchor_alignment_triage	wts_1_34	ཆེང་སྔང་ chin san auch ’chin san, phyin san || འཆིང་སྔང་ chiṅ san Tchin san.
ཀྱང	Ryan	Rya<FINAL_NASAL>		Ryaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཅིས་ཀྱང་ cis Ryan Tcinas kyan.
ཀྲོང	gron	gro<FINAL_NASAL>		groṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཀྲོང་སྤྲེའུ་ gron spre’u Bez. für Katze.
