tibetan_syllable	source_variant	source_signature	proposed_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes	transcription_integrity_status	transcription_integrity_blocked_count
གླེང	glen	gle<FINAL_NASAL>	gleṅ	12	competing_latin_forms:11; damaged_context:1	source_compatible_single_anchor:11; source_compatible_damaged_context:1	1		gliṅ:1	1	wts_1_34	insufficient_feature_coverage	0
ཀྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ	7	insufficient_consensus:7	source_compatible_single_anchor:7	1			0	wts_1_34	insufficient_feature_coverage	0
འཆེང	chin	chi<FINAL_NASAL>	chiṅ	7	insufficient_consensus:7	source_compatible_not_final_ng_only:7	1			0	wts_1_34	insufficient_feature_coverage	0
ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	4	competing_latin_forms:4	source_compatible_single_anchor:4	1		zeṅ:1; Ziṅ:1; ziṅ:1	0	wts_1_34	reviewed_transcription_exception	0
རང	rin	ri<FINAL_NASAL>	riṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_not_final_ng_only:4	1		raṅ:14	0	wts_1_34	canonical_syllable_mismatch	0
ཤང	sin	si<FINAL_NASAL>	siṅ	4	not_emitted_by_legacy_global_target:4	source_compatible_not_final_ng_only:4	1		Saṅ:1	0	wts_1_34	insufficient_feature_coverage	0
ངང	han	ha<FINAL_NASAL>	haṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_single_anchor:3	1		daṅ:2	0	wts_1_34	reviewed_transcription_exception	0
བྲང	than	tha<FINAL_NASAL>	thaṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_not_final_ng_only:3	1		braṅ:31; byuṅ:1; byaṅ:1	0	wts_1_34	canonical_syllable_mismatch	0
ལྟོང	lton	lto<FINAL_NASAL>	ltoṅ	3	not_emitted_by_legacy_global_target:3	source_compatible_single_anchor:3	1		koṅ:1	0	wts_1_34	insufficient_feature_coverage	0
གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_35_51;wts_9_m	insufficient_feature_coverage	0
ང	khan	kha<FINAL_NASAL>	khaṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_single_anchor:2	1		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	insufficient_feature_coverage	0
བློང	blon	blo<FINAL_NASAL>	bloṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_8_b	insufficient_feature_coverage	0
མཇིང	mjin	mji<FINAL_NASAL>	mjiṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34	insufficient_feature_coverage	0
མདོང	mdon	mdo<FINAL_NASAL>	mdoṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34	insufficient_feature_coverage	0
འདིང	din	di<FINAL_NASAL>	diṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34	insufficient_feature_coverage	0
འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_35_51	insufficient_feature_coverage	0
འཚང	tshan	tsha<FINAL_NASAL>	tshaṅ	2	competing_latin_forms:2	source_compatible_single_anchor:2	1		shaṅ:1	0	wts_1_34	insufficient_feature_coverage	0
ཤང	San	Sa<FINAL_NASAL>	Saṅ	2	competing_latin_forms:2	source_compatible_single_anchor:2	1		siṅ:1	0	wts_1_34	reviewed_transcription_exception	0
སྲང	srun	sru<FINAL_NASAL>	sruṅ	2	competing_latin_forms:2	source_compatible_not_final_ng_only:2	1		ssdaṅ:1; seruṅ:1; sriṅ:1	0	wts_1_34	insufficient_feature_coverage	0
ཧང	han	ha<FINAL_NASAL>	haṅ	2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34	insufficient_feature_coverage	0
ཀྱང	byan	bya<FINAL_NASAL>	byaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		kyaṅ:7; gyaṅ:1	0	wts_8_b	canonical_syllable_mismatch	0
ཁོང	kbon	kbo<FINAL_NASAL>	kboṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		khoṅ:28	0	wts_1_34	reviewed_transcription_exception	0
གཅུང	gcun	gcu<FINAL_NASAL>	gcuṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
གླིང	elin	eli<FINAL_NASAL>	eliṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		gliṅ:51; ciṅ:1	0	wts_1_34	reviewed_transcription_exception	0
ཆུང	run	ru<FINAL_NASAL>	ruṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		chuṅ:130	0	wts_1_34	reviewed_transcription_exception	0
ནིང	nin	ni<FINAL_NASAL>	niṅ	1	competing_latin_forms:1	source_compatible_single_anchor:1	1		miṅ:1	0	wts_1_34	insufficient_feature_coverage	0
པྲང	bran	bra<FINAL_NASAL>	braṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
བབཟུང	bzun	bzu<FINAL_NASAL>	bzuṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
བསྐྱེང	bskyen	bskye<FINAL_NASAL>	bskyeṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
བསླང	bslan	bsla<FINAL_NASAL>	bslaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		bskyuṅ:1	0	wts_1_34	insufficient_feature_coverage	0
མཐང	mthon	mtho<FINAL_NASAL>	mthoṅ	1	insufficient_consensus:1	source_compatible_not_final_ng_only:1	1			0	wts_1_34	insufficient_feature_coverage	0
མྐྱོང	myon	myo<FINAL_NASAL>	myoṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
འགང	gon	go<FINAL_NASAL>	goṅ	1	insufficient_consensus:1	source_compatible_not_final_ng_only:1	1			0	wts_1_34	insufficient_feature_coverage	0
རྐྱོང	rkyon	rkyo<FINAL_NASAL>	rkyoṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
རྣང	rnan	rna<FINAL_NASAL>	rnaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		maṅ:2	0	wts_35_51	insufficient_feature_coverage	0
ལྗང	lan	la<FINAL_NASAL>	laṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		ldaṅ:3; daṅ:1	0	wts_1_34	reviewed_transcription_exception	0
སིང	sin	si<FINAL_NASAL>	siṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
སྙིང	sñiń	sñi<FINAL_NASAL>	sñiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	1		siṅ:3; sāiṅ:1; stiṅ:1	0	wts_35_51	insufficient_feature_coverage	0
སྟང	ston	sto<FINAL_NASAL>	stoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	1		staṅ:4; snaṅ:1	0	wts_1_34	insufficient_feature_coverage	0
སྡིང	sdih	sdi<FINAL_NASAL>	sdiṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_35_51	insufficient_feature_coverage	0
སྡེང	sden	sde<FINAL_NASAL>	sdeṅ	1	insufficient_consensus:1	source_compatible_single_anchor:1	1			0	wts_1_34	insufficient_feature_coverage	0
སྤྲང	smran	smra<FINAL_NASAL>	smraṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_single_anchor:1	1		sbraṅ:12; spraṅ:9; spyaṅ:1; sgaṅ:1; smyuṅ:1	0	wts_9_m	insufficient_feature_coverage	0
ངང	nan	na<FINAL_NASAL>		14	not_emitted_by_legacy_global_target:14	source_compatible_no_anchor:14	0		daṅ:2; haṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཀེང	ken	ke<FINAL_NASAL>		12	not_emitted_by_legacy_global_target:12	source_compatible_no_anchor:12	0		koṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཏང	tin	ti<FINAL_NASAL>		12	not_emitted_by_legacy_global_target:12	source_compatible_no_anchor:12	0		taṅ:5	0	wts_1_34	target_unresolved_no_anchor	0
ཀོང	gon	go<FINAL_NASAL>		8	not_emitted_by_legacy_global_target:8	source_compatible_no_anchor:8	0		koṅ:53; caṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མཐང	mthan	mtha<FINAL_NASAL>		6	not_emitted_by_legacy_global_target:6	source_compatible_no_anchor:5; source_compatible_damaged_context:1	0		mthoṅ:1	1	wts_1_34;wts_8_b	target_unresolved_no_anchor	0
ཤེང	sen	se<FINAL_NASAL>		6	not_emitted_by_legacy_global_target:6	source_compatible_no_anchor:6	0		Siṅ:1; Seṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཀྱོང	kyon	kyo<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		gyoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
དང	dun	du<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		daṅ:118; rkaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བགྲང	beran	bera<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		bgraṅ:9	0	wts_1_34	target_unresolved_no_anchor	0
ལྗང	han	ha<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		ldaṅ:3; daṅ:1; laṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཤང	Sin	Si<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		Saṅ:1; siṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྔོང	sdon	sdo<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:5	0		sbyoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	snin	sni<FINAL_NASAL>		5	not_emitted_by_legacy_global_target:5	source_compatible_no_anchor:4; source_compatible_damaged_context:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
གདང	gdun	gdu<FINAL_NASAL>		4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		gdaṅ:11; ggdaṅ:2; gdoṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
འབུང	thun	thu<FINAL_NASAL>		4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		Duṅ:1; buṅ:1; baṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སང	sen	se<FINAL_NASAL>		4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙང	sin	si<FINAL_NASAL>		4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		snaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	shin	shi<FINAL_NASAL>		4	not_emitted_by_legacy_global_target:4	source_compatible_no_anchor:4	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཁང	khrun	khru<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		khaṅ:89; kbaṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཁྱུང	khrun	khru<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		khyuṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
གཏང	gtin	gti<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		gtaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
ཕྱང	phyun	phyu<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		phyaṅ:9; pyaṅ:1; pphyaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བང	khan	kha<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལྗང	ljan	lja<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:3	0		ldaṅ:3; daṅ:1; laṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	sAin	sAi<FINAL_NASAL>		3	not_emitted_by_legacy_global_target:3	source_compatible_no_anchor:2; source_compatible_damaged_context:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ཁང	khon	kho<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		khaṅ:89; kbaṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཁང	khun	khu<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		khaṅ:89; kbaṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཁུང	khrun	khru<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		khuṅ:36; kbuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གང	gun	gu<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		gaṅ:75	0	wts_1_34	target_unresolved_no_anchor	0
གླང	gran	gra<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		glaṅ:53	0	wts_1_34	target_unresolved_no_anchor	0
ང	glin	gli<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	klun	klu<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ངང	dun	du<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		daṅ:2; haṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ངང	man	ma<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		daṅ:2; haṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བཏང	btun	btu<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		btaṅ:24	0	wts_1_34	target_unresolved_no_anchor	0
བོང	thon	tho<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		boṅ:25; borṅ:1; bboṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མདང	mdun	mdu<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		mdaṅ:2; indaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
རྐྱང	rgyan	rgya<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		rkyaṅ:25; rkaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
རྒྱང	rgyon	rgyo<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		rgyaṅ:13	0	wts_1_34	target_unresolved_no_anchor	0
སང	sran	sra<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྔང	san	sa<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:2	0		sdaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	sun	su<FINAL_NASAL>		2	not_emitted_by_legacy_global_target:2	source_compatible_no_anchor:1; source_compatible_damaged_context:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ཀྱང	Ryan	Rya<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཀྱང	byun	byu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཀྱང	khyun	khyu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kyaṅ:7; gyaṅ:1; byaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཀྲོང	gron	gro<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kroṅ:5	0	wts_1_34	target_unresolved_no_anchor	0
ཀླང	klon	klo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kluṅ:8	0	wts_1_34	target_unresolved_no_anchor	0
ཀླང	krun	kru<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		kluṅ:8	0	wts_1_34	target_unresolved_no_anchor	0
ཁང	Eingangsbereich	Eingangsbereic<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		khaṅ:89; kbaṅ:4	1	wts_1_34	target_unresolved_no_anchor	0
ཁང	kan	ka<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khaṅ:89; kbaṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཁང	than	tha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khaṅ:89; kbaṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཁུང	Felsh	Fels<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khuṅ:36; kbuṅ:1	0	wts_8_b	target_unresolved_no_anchor	0
ཁུང	Rhun	Rhu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khuṅ:36; kbuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཁུང	khyun	khyu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khuṅ:36; kbuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཁོང	Khon	Kho<FINAL_NASAL>		1	dominant_internal_consensus:1	source_compatible_no_anchor:1	0		khoṅ:28; kboṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཁོང	ikhon	ikho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khoṅ:28; kboṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཁྱུང	kbyun	kbyu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		khyuṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
གང	Mannsh	Manns<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gaṅ:75	0	wts_9_m	target_unresolved_no_anchor	0
གང	gon	go<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gaṅ:75	0	wts_1_34	target_unresolved_no_anchor	0
གཅུང	geun	geu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gcuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གཏང	gran	gra<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
གཏང	gron	gro<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
གཏང	gton	gto<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
གཏང	gun	gu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
གཏིང	gein	gei<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtiṅ:16	0	wts_1_34	target_unresolved_no_anchor	0
གཏོང	vernich	vernic<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gtoṅ:38; Warnuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གདུང	gun	gu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gduṅ:30; voṅ:1; gdunṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གདུང	odun	odu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gduṅ:30; voṅ:1; gdunṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
གདོང	can	ca<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gdoṅ:45; edoṅ:1; ggdoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གཞུང	gun	gu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gźuṅ:3	0	wts_1_34	target_unresolved_no_anchor	0
གསུང	gsuṅń	gsuṅ<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gsuṅ:9	0	wts_35_51	target_unresolved_no_anchor	0
གོང	dgon	dgo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		goṅ:54	1	wts_1_34	target_unresolved_no_anchor	0
གོང	in	i<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		goṅ:54	0	wts_1_34	target_unresolved_no_anchor	0
གྱང	gyun	gyu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གྲང	gron	gro<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		graṅ:16	0	wts_1_34	target_unresolved_no_anchor	0
གྲང	oran	ora<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		graṅ:16	0	wts_1_34	target_unresolved_no_anchor	0
གྲུང	glan	gla<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gruṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གྲོང	grorn	gror<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		groṅ:31; goṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གླང	glin	gli<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		glaṅ:53	0	wts_1_34	target_unresolved_no_anchor	0
གླེང	khan	kha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gleṅ:1; gliṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
གློང	glon	glo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		groṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
