tibetan_syllable	source_variant	source_signature	supported_target	historical_baseline_sha	historical_anchor_present	historical_anchor_location	historical_anchor_provenance_class	historical_anchor_change_reason	reviewed_same_tibetan_target_count	undotted_clean_row_count	base_ocr_dotted_anchor_count	reviewed_exact_dotted_anchor_count	google_adopted_anchor_count	other_postprocess_anchor_count	unknown_provenance_anchor_count	base_provenance_unverified_anchor_count	same_volume_raw_anchor_count	cross_volume_raw_anchor_count	explicit_same_entry_repeat_count	direct_repeated_tibetan_alignment_count	probable_cross_reference_count	google_unresolved_exact_target_count	google_candidate_exact_target_count	google_conflicting_reading_count	prior_reviewed_same_source_exact_count	prior_reviewed_same_tibetan_target_different_source_count	damaged_row_count	marker_row_count	tibetan_structure_status	entry_series_cluster_count	alignment_review_status	zero_anchor_source_state	target_evidence_channels	lemma_identity_channels	recurrence_context_channels	circular_reviewed_anchor_count	suggested_review_tier	volumes	sample_contexts
རུང	run	ru<FINAL_NASAL>	ruṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:49:1:2	historical_pre_family_present_unattributed	none	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:6	0	anchor_provenance_or_identity_review	wts_1_34	གང་རུང་ gar run || ཅཾ་མ་རུང་ ci ma run || ཅི་མ་རུང་ ci ma run wenn doch nur!
ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:497:7:3	historical_pre_family_present_unattributed	none	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:4	0	anchor_provenance_or_identity_review	wts_1_34	ཁ་ཞེང་ kha Zen rag kha bzla །ཁ་ཏའུར་ kha ’ur ཁ་ཡིག་ kha yig || ཆུ་ཞེང་གབ་པ་ chu Zen gab pa || ཆུ་ཞེང་ chu Zen Länge und Breite, Umfang.
ངང	han	ha<FINAL_NASAL>	haṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:367:38:3	historical_pre_family_present_unattributed	none	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:3	0	anchor_provenance_or_identity_review	wts_1_34	ངང་རྒྱད་ han rgyud || ངང་སྒོམ་ han sgom eine Meditiation. || རྟ་ངང་པ་ rta han pa
ལྟོང	lton	lto<FINAL_NASAL>	ltoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:525:2:2	historical_pre_family_other_postprocess	confusable_initial_I_to_l_strong_context	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	exact_source_signature_supported				undotted_rows:3;entry_series_clusters:1	0	anchor_provenance_or_identity_review	wts_1_34	ལྟོང་ lton Kerbe, Vertiefung, Nocke; mda’ ~ || ལྟོང་གོམས་པ་ lton goms pa mit Pfeilen vertraut, || ལྟོང་ཅན་ lton can Bez. für Pfeil.
གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:108:140:2	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_35_51;wts_9_m	ཕྱུ་གཡང་ phywa g.yan auch phya g.yari Glück; || རྨ་གཡང་ནོར་ rma g.yan nor npr. eine Gegend.
ང	khan	kha<FINAL_NASAL>	khaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:645:194:3	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	མགོན་།ང་ mgon khan Tempel, Gebetsraum, || རྔ་།ང་ rna khan 1,677¢ khan. Tungkuh.
བློང	blon	blo<FINAL_NASAL>	bloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:330:43:1	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_8_b	བློང་ 'blon. || བྲོང་བློང་ bloṅ blon.
མཇིང	mjin	mji<FINAL_NASAL>	mjiṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:328:41:3	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	སྐེ་མཇིང་ ske mjin Hals. || མཇིང་ནབ་ mjin nub
མདོང	mdon	mdo<FINAL_NASAL>	mdoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:120:11:1	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	ལྕགས་མདོང་ lcags mdon || ལྕགས་མདོང་ lcags mdon Eisenrohr.
ཞང	Zan	Za<FINAL_NASAL>	Zaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:398:42:2	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported			explicit_same_entry_repetition	undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	ཀ་ཅོག་ཞང་ ka cog Zan, auch ska cog Zan Kurzf. für || དན་འབག་ཞང་པོ་ dan ’bag Zan po npr. eine in
འདིང	din	di<FINAL_NASAL>	diṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:151:45:1	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	ཆག་འདིང་ chag ’din || ཆག་འདིང་ chag ’din beraten, planen.
འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:1109:8:1	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_35_51	"འཕྱོང་ ""phyon || འཕྱོང་ ""phyon auch 'phyons aufhängen, vgl."
འཚང	tshan	tsha<FINAL_NASAL>	tshaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:1126:42:2	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	exact_source_signature_supported				undotted_rows:2;entry_series_clusters:1	0	anchor_provenance_or_identity_review	wts_1_34	དག་འཚང་བྱས་ dag ’tshan byas || དག་འཚང་བྱས་ dag ’tshan byas pf. bereinigen.
ཤང	San	Sa<FINAL_NASAL>	Saṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:80:1:4	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	ཀིམ་ཤང ཁོང་ཅོ kim San khon co, kim Sin kon co, || སྔོ་གྲོ་ཤང་རྩེ་ sho gro San rtse eine Pflanze, Oro-
ཧང	han	ha<FINAL_NASAL>	haṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:440:66:3	historical_pre_family_present_unattributed	none	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	གི་ཧང་ gi han †9/ wan || གྷི་ཧང་ ghi han †£7 wan.
ཀྱང	byan	bya<FINAL_NASAL>	byaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:171:21:1	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_8_b	"ཀྱང་མའི་ལྕགས་ ""byan ma'ilcags Eisenplatte."
ཁོང	kbon	kbo<FINAL_NASAL>	kboṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:408:2:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	source_variant_requires_manual_review				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཁོང་ kbon;
གཅུང	gcun	gcu<FINAL_NASAL>	gcuṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:483:4:3	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	གཅུང་པ་སྤྱི་ gcun pa spyi
གླིང	elin	eli<FINAL_NASAL>	eliṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:175:1:3	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	source_variant_requires_manual_review				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	གླིང་བཞི་ elin bäi.
ཆུང	run	ru<FINAL_NASAL>	ruṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:158:45:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	source_variant_requires_manual_review				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	དུས་སུ་ཆུང་བ་ dus su run ba zeitgemäß, zur
ནིང	nin	ni<FINAL_NASAL>	niṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:362:37:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཁ་ནིང་ kha nin letztes Jahr.
པྲང	bran	bra<FINAL_NASAL>	braṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:939:47:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported			explicit_same_entry_repetition	undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	མཆི་པྲང་ mchi bran Ehefrau.
བབཟུང	bzun	bzu<FINAL_NASAL>	bzuṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:904:118:2	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	བཏང་བབཟུང་ཆེན་པོ་ btaṅ bzun chen po
བསྐྱེང	bskyen	bskye<FINAL_NASAL>	bskyeṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:235:111:1	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	བསྐྱེང་ bskyen beschämt sein; vgl. Iskyens.
བསླང	bslan	bsla<FINAL_NASAL>	bslaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:398:154:2	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཁུར་བསླང་ངོ་ khur bslan no verbale Verstöße
མྐྱོང	myon	myo<FINAL_NASAL>	myoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:281:1:1	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	རྗེས་སུ་མྐྱོང་ rjes su myon
རྐྱོང	rkyon	rkyo<FINAL_NASAL>	rkyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:166:154:1	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	རྐྱོང་ rkyon pf. Ibrkyans bzw. lbrkyan fut.
རྣང	rnan	rna<FINAL_NASAL>	rnaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:554:32:1	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_35_51	"རྣང་ ""rnan Bereich, Feld, Zwischenraum."
ལྗང	lan	la<FINAL_NASAL>	laṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:105:7:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	source_variant_requires_manual_review				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ལྗང་ལྔོའི་བུ་ lan sro’ bu npr. ein Rsi, Härita,
སིང	sin	si<FINAL_NASAL>	siṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:860:13:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཁོང་སིང་ khon sin I\khon sen Schlucht.
སྡིང	sdih	sdi<FINAL_NASAL>	sdiṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:736:31:4	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_35_51	དཔྱད་སྡིང་བཅུ་གསུམ་ dpyad sdih ben gsum eine
སྡེང	sden	sde<FINAL_NASAL>	sdeṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:109:191:5	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཀློ མི་སྐྱ་སྡེང་ klo mi skya sden npr. ein Volk.
སྤྲང	smran	smra<FINAL_NASAL>	smraṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:93:16:3	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_9_m	སྤྲང་ smran.
སྲོང	sroh	sro<FINAL_NASAL>	sroṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:69:6:2	historical_pre_family_present_unattributed	none	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:1	0	anchor_provenance_or_identity_review	wts_35_51	གནམ་རི་སྲོང་བཙན་ gnam ri sroh bisan Kurzf.
ཅང	can	ca<FINAL_NASAL>	caṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:575:168:1	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	11	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor	explicit_same_entry_repetition	undotted_rows:11	0	manual_one_anchor_pilot_candidate	wts_1_34	ཀིང་ཅང་ཧྭ་ kiṅ can hu ¦/07/7 jan hü. || །ཐ་ཅང་ kha can \kha gcan. || རྒྱ་ཅང་ raya can auch rgya can, rgya chan ein
ཀྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:370:85:1	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor	explicit_same_entry_repetition	undotted_rows:7	0	manual_one_anchor_pilot_candidate	wts_1_34	ཁེ་ཀྱོང་ khe gyon || ཀྱོང་ gyon Verlust, Mangel; med. Austrock- || ཀྱོང་བསྐར་ gyon bskur unberücksichtigt lassen,
ངང	nan	na<FINAL_NASAL>							0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	target_unresolved_no_anchor	1	unresolved	no_anchor_clean_source_shape			undotted_rows:14;entry_series_clusters:1	0	no_anchor_alignment_triage	wts_1_34	འགྲོ་བའི་ངང་ཚུལ་ gro ba’i nan tshul Bez. für || ངང་སྐྱ་ nan skya isabellfarben, weißlich. || ངང་འགྲོས་ nan ’gros Bez. eines rituellen Tan-
ཀེང	ken	ke<FINAL_NASAL>							0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	target_unresolved_no_anchor	3	unresolved	no_anchor_clean_source_shape			undotted_rows:12;entry_series_clusters:3	0	no_anchor_alignment_triage	wts_1_34	ཀེང་ཙེ་ལན་མེད་ ken tse lan med || ཀེང་ཙེ་ལན་མེད་ ken tse lan med N. einer Phya- || ཀེང་རུས་ ken rus
ཏང	tin	ti<FINAL_NASAL>							0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	target_unresolved_no_anchor	0	unresolved	no_anchor_clean_source_shape			undotted_rows:12	0	no_anchor_alignment_triage	wts_1_34	ཆུ་ཏང་རན chu tin ron npr. eine Nägini. || ཏང་གོར་ tin gor Melasse, die in einer Schale in || ཏང་ཏང་ tin tin (0110111, ein Laut.
ཀོང	gon	go<FINAL_NASAL>							0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	target_unresolved_no_anchor	1	unresolved	no_anchor_clean_source_shape			undotted_rows:8;entry_series_clusters:1	0	no_anchor_alignment_triage	wts_1_34	ཀོང་ད་འཕེལ་ gon du ’phel sich verbreiten, zu- || ཀོང་མ་སྲེག་ gon ma sreg ein Vogel, Rebhuhn. || ཀོང་མོ་ gon mo ein Vogel.
ཤེང	sen	se<FINAL_NASAL>							0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	target_unresolved_no_anchor	0	unresolved	no_anchor_clean_source_shape			undotted_rows:6	0	no_anchor_alignment_triage	wts_1_34	ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein || ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo. || ཀོ་ཤེང་ ko sen, auch kon sen N. einer Gegend.
