family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
unknown:lsdz:lsdz	unknown	Lsdz (16), L$dz (10)	Lśdz (26)	26	1	wts_1_34:227:79; wts_1_34:637:144; wts_1_34:875:157; wts_1_34:1293:16; wts_1_34:12:21	las kyis — nas „sie sind aufgrund ihres Karmas [von Verdiensten] entfernt“ (Lsdz || auf seinen Scheitel, als er da saß“ (Lsdz || Oberfläche des Ozeans der klu“ (Lsdz			siglum_policy_review
unknown:bu-sz:bu-sz	unknown	Bu-Sz (16)	Bu-śz (16)	16	1	wts_1_34:35:151; wts_1_34:600:142; wts_1_34:603:33; wts_1_34:686:207; wts_1_34:759:212	881,4/Bu-Sz 16,3). || Öffnung mit einem Felsblock“* (Bu-Sz || „er floh mit eintausend Soldaten“ (Bu-Sz			siglum_policy_review
dotless_i:gzı:gzi	dotless_i	gZı (13), gzı (1)	gZi (13), gzi (1)	14	1	wts_1_34:50:92; wts_1_34:150:34; wts_1_34:250:16; wts_1_34:254:134; wts_1_34:386:96	Hagel, Blitzschläge, —“ (gZı 2: 64,3). || führt werden“ (gZı 3: 71,5). || vierreihige Balustrade* (gZı 3: 47,5); ~	orthography_scan:14	medium:14	review
unknown:gs-h:gs-h	unknown	GS-H (5), G$-H (4), Gs-H (3)	Gś-H (12)	12	1	wts_1_34:915:16; wts_1_34:1016:13; wts_1_34:1058:39; wts_1_34:1062:70; wts_1_34:1068:107	gierden nach“ (G$-H 406); ~ bdag nid la / || ist kurz, das Wissen mannigfach“ (Gs-H || werden?“ (G$-H 84a); klu mo = ba gdug			siglum_policy_review
unknown:ps:ps	unknown	P$ (8), PS (2), Pś (1)	Ps (11)	11	1	wts_1_34:968:205; wts_1_34:1107:30; wts_1_34:1149:10; wts_1_34:1149:10; wts_1_34:310:118	muß sich nach dem Wind richten“ (PS || Freude‘“ (P$ Kolophon); byan chub mchog || nimmt“ (P$ 216); ~ kyan bdud rtsi nid du			siglum_policy_review
citation_or_siglum:taic:taic	citation_or_siglum	TAIC (10)	TAIC (10)	10	1	wts_1_34:857:25; wts_1_34:857:28; wts_1_34:857:31; wts_1_34:857:36; wts_1_34:857:39	Delhi: TAIC (618 3,1-12). [LC] || hbyun. Pt. 4 (ja). New Delhi: TAIC (SPS 9,4). [PTs] || rian Si-tu. New Delhi: TAIC (SPS 38).	siglum_shape:10	policy:10	already_canonical_siglum
citation_or_siglum:tär:tar	citation_or_siglum	Tär (10)	Tār (10)	10	1	wts_1_34:240:73; wts_1_34:288:3; wts_1_34:288:123; wts_1_34:860:18; wts_1_34:1088:80	„er steckte eine Perle in den Mund“ (Tär || Mehrung eures Wohlstands“ (Tär 10,2). || (Tär 160,7); ~ skye ’phro chad pa yin (metr.)	siglum_shape:10	policy:10	already_canonical_siglum
dotless_i:garı:gari	dotless_i	garı (9)	gari (9)	9	1	wts_1_34:167:88; wts_1_34:212:71; wts_1_34:336:53; wts_1_34:336:154; wts_1_34:337:159	bewesen“ (KTh 1: 428,6); —’i garı za(g) dam || Laien verloren den Glauben“ (Liy2 60); garı || གང་ garı	orthography_scan:9	medium:6, low:3	review
dotless_i:kyanı:kyani	dotless_i	kyanı (9)	kyani (9)	9	1	wts_1_34:341:7; wts_1_34:418:42; wts_1_34:419:41; wts_1_34:499:109; wts_1_34:781:98	zeigen“ (Mil 29,11); gan gis kyanı ... yig skyel || (Vdk 2: 367,3); re Zig sdod ~ bsams kyanı || denen es gut geht“ (Ppu 104b); ’gums kyanı	orthography_scan:9	low:5, medium:4	review
dotless_i:mıgto:migto	dotless_i	MıgTo (9)	MigTo (9)	9	1	wts_1_34:112:18; wts_1_34:112:189; wts_1_34:121:94; wts_1_34:125:56; wts_1_34:204:19	durchzuführen“ (MıgTo 214,7). || Nägas aus Teig herstellen“ (MıgTo 302,16). || (MıgTo 85,16).	orthography_scan:9	low:8, medium:1	review
dotless_i:sın:sin	dotless_i	sın (5), śın (3), Sın (1)	sin (5), śin (3), Sin (1)	9	1	wts_1_34:89:132; wts_1_34:103:90; wts_1_34:157:124; wts_1_34:211:107; wts_1_34:293:203	seinem Gemüt“ (Megh 33); — sın (skt. keta- || sersucht“ (Vdk 2: 341,6); — śın gi phun || Lex. rkan thun = ljon śın „Baum“ (brDa, ähnl.	orthography_scan:9	medium:6, low:3	review
dotless_i:yıg:yig	dotless_i	yıg (9)	yig (9)	9	1	wts_1_34:58:10; wts_1_34:147:127; wts_1_34:346:47; wts_1_34:631:118; wts_1_34:704:84	Lex. 77. ku yıg word directly spoken by || ken niedergelegt“ (Tär 181,10); gras yıg spyı || གན་ཡིག་ gan yıg Privatvertrag.	orthography_scan:9	medium:5, low:4	review
unknown:sambh:sambh	unknown	Sambh (9)	Śambh (9)	9	1	wts_1_34:51:84; wts_1_34:268:111; wts_1_34:409:173; wts_1_34:718:135; wts_1_34:1036:77	hunderttausend Kärsäpana wert“ (Sambh || ste „er soll soviel er will aufladen“ (Sambh || „er spendete noch je zehn Millionen Goldstücke an die Mönchsgemeinden“ (Sambh			siglum_policy_review
citation_or_siglum:bzin:bzin	citation_or_siglum	bZin (8)	bZin (8)	8	1	wts_1_34:288:141; wts_1_34:1084:78; wts_1_34:1100:82; wts_1_34:1126:76; wts_1_34:1145:2	~$ ~ dbyun ba bZin du bstan par „er lehrte, || — kyi srol lam (b)siion med gnas bZin „so sind || kann“ (Bca 7.200); yul — dus — ran bZin gsum	siglum_shape:8	policy:8	already_canonical_siglum
dotless_i:rsı:rsi	dotless_i	Rsı (8)	Rsi (8)	8	1	wts_1_34:71:21; wts_1_34:206:59; wts_1_34:299:117; wts_1_34:508:150; wts_1_34:525:10	4. Weiser, Seher (Rsı). || 3.npr. ein Rsı. || für einen Rsı.	orthography_scan:8	low:8	review
dotless_i:yı:yi	dotless_i	yı (8)	yi (8)	8	1	wts_1_34:91:19; wts_1_34:194:9; wts_1_34:214:101; wts_1_34:447:133; wts_1_34:494:158	(asthini), keine anderen“ (Bca 8.42a); mi yı || Lex. — gri yı min (Bon 24,8). || Speise findet“ (K12 132a1); drı Zim — yı /	orthography_scan:8	medium:8	review
dotless_i:zın:zin	dotless_i	Zın (6), zın (2)	Zin (6), zin (2)	8	1	wts_1_34:108:3; wts_1_34:110:148; wts_1_34:515:64; wts_1_34:516:173; wts_1_34:531:202	gen Bäume [mit Wasser]“ (Nägn 19,19); Zın || (Ahs 1.5.12a); mar min ... — ... sbyon Zın || Zın (metr.) „getränkt mit dessen eigenem	orthography_scan:8	low:6, medium:2	review
dotless_i:ı:i	dotless_i	ı (8)	i (8)	8	1	wts_1_34:20:75; wts_1_34:412:49; wts_1_34:587:9; wts_1_34:604:99; wts_1_34:694:79	"ı Vis || [König] Kalyäna, [d. ı.] Mi-la rme-ba-can“ || zun cha ~ (Dagy); con Zu = »""ı min (ITC);"	orthography_scan:8	low:5, medium:3	review
unknown:gz1:gzi	unknown	gZ1 (8)	gZi (8)	8	1	wts_1_34:358:151; wts_1_34:491:23; wts_1_34:668:79; wts_1_34:719:24; wts_1_34:941:162	(onom.)“ (gZ1 2: 64,2). || Vögel und Spatzen“ (gZ1 2: 119,4). || Ritual des gtor-ma-Opfers“ (gZ1 3: 576,2).			siglum_policy_review
unknown:sps:sps	unknown	$PS (7), ŚPS (1)	SPS (8)	8	1	wts_1_34:857:43; wts_1_34:857:43; wts_1_34:25:52; wts_1_34:25:57; wts_1_34:25:60	of Prof. Raghu Vira. New Delhi: TAIC ($PS 100). [KID, KlonD] || New Delhi: IAIC ($PS 38).			siglum_policy_review
dotless_i:meır:meir	dotless_i	meır (7)	meir (7)	7	1	wts_1_34:722:120; wts_1_34:753:80; wts_1_34:816:177; wts_1_34:818:217; wts_1_34:909:175	(meır.) „für euch bezahle ich diesen || (meır.) „je zwei [Kapitel] über Geistes- || (Liyi 1857); -r smra Zin (meır.) „sie	orthography_scan:7	low:6, medium:1	review
dotless_i:yanı:yani	dotless_i	yanı (7)	yani (7)	7	1	wts_1_34:147:180; wts_1_34:375:27; wts_1_34:580:113; wts_1_34:581:86; wts_1_34:898:40	lassen worden“ (MTH3/5/31 29); — ’di yanı || gehen]“ (Glu 36d); ’bri stag rin gsum yanı || keine Augen hat?“ (Ps 90d); bsod nams yanı	orthography_scan:7	low:5, medium:2	review
citation_or_siglum:vdk:vdk	citation_or_siglum	Vdk (6)	Vḍk (6)	6	1	wts_1_34:238:9; wts_1_34:240:78; wts_1_34:288:126; wts_1_34:648:121; wts_1_34:1108:78	khan chen sogs ... — pa la (metr.) „sie haben einen großen Tempel usw. geschaffen“ (Vdk 2: || (Vdk 2: 341,4); Ra gzugs ~ mig (metr.) „die || 339,1); ~ bu mo dag (metr.) „die vier Mädchen“ (Vdk 2: 395,1); rgyal mo yan ~ btsas	siglum_shape:6	policy:6	already_canonical_siglum
citation_or_siglum:vist:vist	citation_or_siglum	VisT (5), Vi$T (1)	ViśT (6)	6	1	wts_1_34:860:47; wts_1_34:1088:60; wts_1_34:1100:79; wts_1_34:1145:45; wts_1_34:1149:47	jur hg. und übers. Bonn: Indica-et-Tibetica-Verl. (Indica et Tibetica 23). [Vis, VisT] || gunsten] dieser [Götter] bemühen“ (VisT || ihn aus!‘, und da spuckte sie ihn aus“ (VisT	sigla_registry:6	policy:6	siglum_policy_review
dotless_i:eın:ein	dotless_i	eın (6)	ein (6)	6	1	wts_1_34:87:20; wts_1_34:88:43; wts_1_34:89:167; wts_1_34:99:174; wts_1_34:222:96	ཀུན་ལེན་ kun len npr. eın Weiser, der die sino-ti- || ཀུན་གསོད་ kun gsod eın Dämon. || ཀེ་བང་ ke ban, auch ke wan npr. eın chinesischer	orthography_scan:6	medium:6	review
dotless_i:sıe:sie	dotless_i	sıe (6)	sie (6)	6	1	wts_1_34:104:59; wts_1_34:227:67; wts_1_34:264:48; wts_1_34:264:97; wts_1_34:381:154	sie beschützen, werden sıe sterben“ || sind‘, denn sıe haben den sinnlichen Be- || „er gab ihr seinen Metallbecher, sıe stülpte	orthography_scan:6	low:6	review
dotless_i:ım:im	dotless_i	ım (6)	im (6)	6	1	wts_1_34:52:93; wts_1_34:210:73; wts_1_34:678:23; wts_1_34:714:161; wts_1_34:819:80	ཀྨརྨ་ཌཱཀི་ karma däki eine Göttin ım Gefolge des || Königs war ım Lustgarten“ (Liyl 175a2); || ཧད དཱ einer der sechs ım Tibeti-	orthography_scan:6	medium:5, low:1	review
google_tibetan_diacritic_disagreement:zes:źes	google_tibetan_diacritic_disagreement	Zes (6)	źes (6)	6	1	wts_1_34:240:59; wts_1_34:589:36; wts_1_34:589:40; wts_1_34:589:44; wts_1_34:1171:33	241,17); Zes bdag gi ~ yis tshig ’di zer (metr.) || ’Phags pa $es rab kyi pha rol tu phyin pa bdun brgya pa Zes bya ba theg pa || ’Phags pa khyim bdag drag $ul can gyis Zus pa Zes bya ba theg pa chen po’i	google_unresolved_tibetan_context:6	medium:6	review
dotless_i:glın:glin	dotless_i	glın (5)	glin (5)	5	1	wts_1_34:212:184; wts_1_34:396:124; wts_1_34:396:170; wts_1_34:515:161; wts_1_34:1099:97	glın legs kar 777 — „ich werde im südlichen || 1. 1glın 1.	orthography_scan:5	low:5	review
dotless_i:gsarı:gsari	dotless_i	gsarı (5)	gsari (5)	5	1	wts_1_34:126:76; wts_1_34:372:151; wts_1_34:449:109; wts_1_34:634:1; wts_1_34:916:16	voller Reichtümer waren“ (sBa 88,3); gsarı || glsah“ hochberühmt“ (Nel 1803); gsarı || erreicht werden!“ (ViśT 202,7); gsarı srags	orthography_scan:5	low:4, medium:1	review
dotless_i:gzı-sn:gzi-sn	dotless_i	gZı-Sn (5)	gZi-Sn (5)	5	1	wts_1_34:182:74; wts_1_34:195:8; wts_1_34:254:42; wts_1_34:811:145; wts_1_34:1326:81	(gZı-Sn 214,33). || (gZı-Sn 74,7). || glättet“ (gZı-Sn 92,12).	orthography_scan:5	medium:5	review
dotless_i:säın:säin	dotless_i	säın (5)	säin (5)	5	1	wts_1_34:154:145; wts_1_34:160:150; wts_1_34:197:38; wts_1_34:225:5; wts_1_34:356:14	pa mit Gift ermordet“ (Nel 304); säın khar || (Gir 189,28); säın thub — la sor son (metr.) || la ni bdag skyabs mchi / ji srid säın po byañ	orthography_scan:5	medium:3, low:2	review
citation_or_siglum:käsy:kasy	citation_or_siglum	Käsy (3), Kä$y (1)	Kāśy (4)	4	1	wts_1_34:288:212; wts_1_34:967:108; wts_1_34:1122:13; wts_1_34:1149:19	su skyo ba med do „er ist dadurch nicht ermüdet, daß er alle Lasten trägt“ (Käsy || (Käsy 113,7); glog dan sprin Ita bu / 'dus || boren ist“ (Kä$y 126,22); ched du bya ba	siglum_shape:4	policy:4	already_canonical_siglum
dollar_ś:ss:ss	dollar_ś	$$ (4)	śś (4)	4	1	wts_1_34:589:38; wts_1_34:35:140; wts_1_34:589:38; wts_1_34:690:27	Ed.: Derge-Kanjur, $$ rab sna tshogs, ka 148a1-174a1. || (1118 11); ye ses $$ bsgyur te kva chur gtan la	orthography_scan:3, google_unresolved_plus_orthography_scan:1	medium:4	review
dotless_i:cın:cin	dotless_i	cın (4)	cin (4)	4	1	wts_1_34:77:55; wts_1_34:236:179; wts_1_34:336:195; wts_1_34:582:161	span spos pu 4¢/ ... cha miams ... — cın (metr.) || wird“ (Bca 8.178b); ri dags mo ... — cın yanıs || cın „er hatte [schon immer] gut für alles	orthography_scan:4	low:3, medium:1	review
dotless_i:mıg:mig	dotless_i	mıg (4)	mig (4)	4	1	wts_1_34:74:78; wts_1_34:644:103; wts_1_34:652:213; wts_1_34:757:21	tn mıg. || mıg (Dagy). || Lex. mıg sgyu (Dagy).	orthography_scan:4	medium:3, low:1	review
dotless_i:nanı:nani	dotless_i	nanı (4)	nani (4)	4	1	wts_1_34:233:146; wts_1_34:526:44; wts_1_34:802:182; wts_1_34:823:107	chen, bei der tbun sgom in nanı sgom gipfelt; || ga le byas (7. byed) gdams nag ster bas nanı || Alter von zwölf Jahren“ (Glr 12,13); nanı	orthography_scan:4	low:4	review
dotless_i:rı:ri	dotless_i	rı (4)	ri (4)	4	1	wts_1_34:151:95; wts_1_34:337:185; wts_1_34:477:176; wts_1_34:584:34	vollständig“ (Glr 63,15); rin cen — sogs ... rı || Lex. gans rı ti se (Dagy). || sehr schwer zu gehen“ (KTh 1: 40,2); rı rab	orthography_scan:4	low:2, medium:2	review
dotless_i:tıg:tig	dotless_i	tıg (4)	tig (4)	4	1	wts_1_34:338:21; wts_1_34:338:21; wts_1_34:686:61; wts_1_34:821:43	Lex. gan 97:77 gtan tıg tıg „wie es gewiß ist“ || Lex. mu tıg (Dagy).	orthography_scan:4	low:2, medium:2	review
google_tibetan_diacritic_disagreement:zig:źig	google_tibetan_diacritic_disagreement	Zig (4)	źig (4)	4	1	wts_1_34:288:111; wts_1_34:695:128; wts_1_34:1122:37; wts_1_34:1213:4	sein“ (Siddh 29.12); ~ ... bzan po Zig btsas || des sa phyogs dben pa ... Zig tu ... = de bsgrens || bzan po Zig btsas nas „die edle Gemahlin	google_unresolved_tibetan_context:4	medium:4	review
google_tibetan_diacritic_disagreement:zugs:źugs	google_tibetan_diacritic_disagreement	Zugs (4)	źugs (4)	4	1	wts_1_34:1088:40; wts_1_34:1108:39; wts_1_34:1213:17; wts_1_34:1213:38	bdag gis rkan gis ser skya’i gZir Zugs te — || — rgya re lj rgyal sar Zugs nas „am Anfang, nachdem der chinesische Herrscher || tshe ... tin ne 'dzin la sioms par Zugs so „dann	google_unresolved_tibetan_context:4	medium:4	review
citation_or_siglum:sel:sel	citation_or_siglum	sel (3)	śel (3)	3	1	wts_1_34:648:62; wts_1_34:648:71; wts_1_34:1088:94	Gewässer; sel cu Gletscherfluß. || Fluß“ (PT1287 469); sel cu ltag ’og güis kyi || den mehr“ (MigTo 244,12); — sel gyi cog bzi	siglum_shape:3	policy:3	already_canonical_siglum
dollar_ś:ses:ses	dollar_ś	$es (3)	śes (3)	3	1	wts_1_34:589:36; wts_1_34:1108:63; wts_1_34:1171:15	’Phags pa $es rab kyi pha rol tu phyin pa bdun brgya pa Zes bya ba theg pa || bdun gyis / grum a tsarya ye $es rgyal mtshan la || chi ba’i — kyi Zags pas zin par $es par bya’o	google_unresolved_plus_orthography_scan:3	medium:3	review
dotless_i:'drıl:'dril	dotless_i	'drıl (3)	'dril (3)	3	1	wts_1_34:1325:51; wts_1_34:1326:1; wts_1_34:1326:54	Bar 'drıl	orthography_scan:3	low:3	review
dotless_i:byanı:byani	dotless_i	byanı (3)	byani (3)	3	1	wts_1_34:752:59; wts_1_34:778:149; wts_1_34:786:139	Gras oder Holz“ (11748 12355); byanı chub || Tag und Nacht“ (Suv 56,11); byanı chub || Scham der Nonnen“ (Ki ga 87al); byanı	orthography_scan:3	low:3	review
dotless_i:rıgs:rigs	dotless_i	rıgs (3)	rigs (3)	3	1	wts_1_34:611:208; wts_1_34:705:232; wts_1_34:1062:165	Lex. sman rıgs sig (Dagy). || Ritual beauftragte“ (dPe 45,21); rıgs ran || Erkenntnis höher bist“ (KunK 17,14); rıgs	orthography_scan:3	low:2, medium:1	review
dotless_i:rın:rin	dotless_i	rın (3)	rin (3)	3	1	wts_1_34:129:184; wts_1_34:507:149; wts_1_34:1035:173	pen“ (Liś 23,4; ähnl. KlonD 738,2); — rın = || Fackel in der Hand hielt“ (Prav 33,18); rın || hinausgezögert wurde“ (Prav 149,22); rın	orthography_scan:3	low:3	review
dotless_i:samädhıh:samädhih	dotless_i	samädhıh (3)	samädhih (3)	3	1	wts_1_34:148:136; wts_1_34:148:142; wts_1_34:404:64	näma samädhıh (Mvy 592). || näma samädhıh (Mvy 613). || näma samädhıh (Mvy 567).	orthography_scan:3	low:3	review
dotless_i:sarı:sari	dotless_i	sarı (3)	sari (3)	3	1	wts_1_34:559:185; wts_1_34:775:1; wts_1_34:1236:1	རྔ་གཤང་ rna gan auch 7774 sarı, rha sans Trom- || ཉི་སང་པད་ ;77 sarı pad || དེང་སང་ den sarı	orthography_scan:3	medium:3	review
dotless_i:sgarı:sgari	dotless_i	sgarı (3)	sgari (3)	3	1	wts_1_34:489:95; wts_1_34:489:99; wts_1_34:489:102	སྒང་བུ་ ?sgarı bu Tgan bu 1. || སྒང་གཤགས་ sgarı 9$579$ (zw.) Kiste. || སྒང་གཤོངས་ sgarı gsons	orthography_scan:3	medium:3	review
dotless_i:srı:sri	dotless_i	srı (3)	sri (3)	3	1	wts_1_34:594:35; wts_1_34:597:94; wts_1_34:655:48	གཅིན་སྲི་ gein srı || གཅོང་སྲི་ gcon srı 6111 Dämon. || SN chu srı.	orthography_scan:3	medium:2, low:1	review
dotless_i:tıla:tila	dotless_i	TıLa (3)	TiLa (3)	3	1	wts_1_34:20:98; wts_1_34:91:47; wts_1_34:850:13	TıLa2 || (TıLa 14,10).	orthography_scan:3	low:3	review
dotless_i:vaınth:vainth	dotless_i	VaıNth (3)	VaiNth (3)	3	1	wts_1_34:91:122; wts_1_34:757:180; wts_1_34:851:5	dpal bses-gnien“ (VaıNth 69,6); brag dmar — || unsere Waden“ (VaıNth 107,3). || VaıNth	orthography_scan:3	medium:3	review
dotless_i:yarı:yari	dotless_i	yarı (3)	yari (3)	3	1	wts_1_34:218:200; wts_1_34:656:152; wts_1_34:878:96	wurde unschuldig abgeurteilt“ (Nel 433); yarı || nicht verachten“ (KanL 33a); lus - yarı / || yu-Butter“ (Ch75/12/5B 1); bran mo yarı	orthography_scan:3	low:3	review
dotless_i:yañı:yañi	dotless_i	yañı (3)	yañi (3)	3	1	wts_1_34:108:140; wts_1_34:177:131; wts_1_34:994:145	ཀྲི་གཡང་སྐུ་ kri g.yaṅ sku \pri yañı khn. || — gnam gan yod pa yañı Ai ma gchig gi ’od la || gen rab mi bo ~ yañı / gfien la rgyab log da	orthography_scan:3	medium:3	review
dotless_i:ımp:imp	dotless_i	ımp (3)	imp (3)	3	1	wts_1_34:188:137; wts_1_34:825:15; wts_1_34:946:123	„ımp.“ (Dagy). || སྙུངས་ sänns ımp. zu [1577//77 verkleinern, ver- || HAN stims ımp. zu †577777 etw. auflösen.	orthography_scan:3	medium:2, low:1	review
dotless_i:ın:in	dotless_i	ın (3)	in (3)	3	1	wts_1_34:5:38; wts_1_34:82:183; wts_1_34:110:127	Dieses einheimische Wörterbuch war zwar 1954 ın China nachgedruckt worden, es war || Lex. samutthäpakah (Mvy 4683, ın der Abt. || gZag bar ༡ zer „ın einem Lehrtext nennt man	orthography_scan:3	medium:2, low:1	review
citation_or_siglum:116:lis	citation_or_siglum	116 (2)	Liś (2)	2	1	wts_1_34:238:29; wts_1_34:1108:32	(116 26,1); — bya = gsar du — par bya „neu || Lex. thog ma „das Erste“ (Dagy); je ni — (116	sigla_registry:2	policy:2	already_canonical_siglum
citation_or_siglum:bzugs:bzugs	citation_or_siglum	bZugs (2)	bZugs (2)	2	1	wts_1_34:648:192; wts_1_34:862:70	29); dpal -’i sgom grwa na bZugs pa „die in || bZugs so. Dharamsala. [Bb33, Bb45]	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:gs:gs	citation_or_siglum	G$ (2)	Gs (2)	2	1	wts_1_34:288:13; wts_1_34:648:13	ra la smros (metr.) „du sag mir!“ (G$ 41); - || sind wie Wasserblasen“ (G$ 62); ~ gyi mig	sigla_registry:2	policy:2	siglum_policy_review
citation_or_siglum:gzan:gzan	citation_or_siglum	gZan (2)	gZan (2)	2	1	wts_1_34:1171:25; wts_1_34:1213:4	lich [zugleich]“ (Ahs 1.5.2c); bZur ba gZan / || ein“ (Anav 1: 51,19); — dus gZan Zig na gZon	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:gzon:gzon	citation_or_siglum	gZon (2)	gZon (2)	2	1	wts_1_34:1122:10; wts_1_34:1213:4	(K95 29b3); rgyal po’i btsun mo — las gZon || ein“ (Anav 1: 51,19); — dus gZan Zig na gZon	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:gzun:gzun	citation_or_siglum	gZun (2)	gZun (2)	2	1	wts_1_34:589:27; wts_1_34:648:135	Pan chen blo gros legs bzan: ’Dul ba gZun ’grel. Ed.: SERMEY LIBRARY || Flüsse“ (gZi 2: 175,2); ro -°i gZun la bor te	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:hmrg:hmrg	citation_or_siglum	HMrg (2)	HMrg (2)	2	1	wts_1_34:1122:70; wts_1_34:1149:62	(HMrg 59,27); san dnags —’i rgyan ldan || Himmel trennt Wasser von Gift“ (HMrg	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:ipl:ipl	citation_or_siglum	IPL (2)	IPL (2)	2	1	wts_1_34:695:147; wts_1_34:1173:44	(IPL 1: 414,1); rma yul dun gi ~ da... || Schnitzer aus Nepal auf“ (IPL 1: 210,2);	siglum_shape:2	policy:2	already_canonical_siglum
