volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	headword_transliteration_span_status	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_1_34	33	40	3	ཧ	ku	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	14	16	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	་ཀ་ཀ་ཧ་ ka ka ku ha ein Ort in Indien. — skt.
wts_1_34	33	41	2	ྱུ	käkagnha	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	5	13	 	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	1 ྱུ käkagnha.
wts_1_34	33	56	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
wts_1_34	33	56	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
wts_1_34	33	56	3	ན	na	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	18	20	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
wts_1_34	33	56	4	སི	si	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	21	23	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
wts_1_34	33	56	5	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	24	26	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
wts_1_34	34	1	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་པ་རི་ ka ka pa ri
wts_1_34	34	1	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	13	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་པ་རི་ ka ka pa ri
wts_1_34	34	1	3	པ	pa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	16	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་པ་རི་ ka ka pa ri
wts_1_34	34	1	4	རི	ri	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	probable_span	19	21	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་པ་རི་ ka ka pa ri
wts_1_34	34	13	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			gloss_or_prose_noise	gloss_intrusion	12	14	 	 	token_boundary_secure						unclear	none	no	ཀ་ཀ་པ་རི་&༧ ka pa ri vielleicht onom. für Krä-
wts_1_34	34	13	2	ཀ	pa	insufficient_feature_coverage	no	no	none	unresolved			gloss_or_prose_noise	gloss_intrusion	15	17	 	 	token_boundary_secure						unclear	none	no	ཀ་ཀ་པ་རི་&༧ ka pa ri vielleicht onom. für Krä-
wts_1_34	34	13	3	པ	ri	insufficient_feature_coverage	no	no	none	unresolved			gloss_or_prose_noise	gloss_intrusion	18	20	 	 	token_boundary_secure						unclear	none	no	ཀ་ཀ་པ་རི་&༧ ka pa ri vielleicht onom. für Krä-
wts_1_34	34	13	4	རི	vielleicht	canonical_syllable_mismatch	no	yes	none	blocked			gloss_or_prose_noise	gloss_intrusion	21	31	 	 	token_boundary_secure						unclear	none	no	ཀ་ཀ་པ་རི་&༧ ka pa ri vielleicht onom. für Krä-
wts_1_34	34	26	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
wts_1_34	34	26	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	13	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
wts_1_34	34	26	3	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	16	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
wts_1_34	34	26	4	ཙི	tsi	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	19	22	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
wts_1_34	34	36	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	10	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་རི་ ka ka ri, auch ka ki ri - skt. kakkhati.
wts_1_34	34	36	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	11	13	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་རི་ ka ka ri, auch ka ki ri - skt. kakkhati.
wts_1_34	34	36	3	རི	ri	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	probable_span	14	16	 	,	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀ་རི་ ka ka ri, auch ka ki ri - skt. kakkhati.
wts_1_34	34	42	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་རུ་ ka ka ru Krebs; vgl. karka ta.
wts_1_34	34	42	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	11	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་རུ་ ka ka ru Krebs; vgl. karka ta.
wts_1_34	34	42	3	རུ	ru	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀ་རུ་ ka ka ru Krebs; vgl. karka ta.
wts_1_34	34	45	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	6	8	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀུ་ ka ku \ka ku bha ya.
wts_1_34	34	45	2	ཀུ	ku	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀུ་ ka ku \ka ku bha ya.
wts_1_34	34	46	1	ཀ	Ne	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	6	8	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀཱ་ Ne ka ku ta sinha npr., Minister. — skt.
wts_1_34	34	46	2	ཀཱ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ཀཱ་ Ne ka ku ta sinha npr., Minister. — skt.
wts_1_34	34	47	2	དྷ	kakudasimha	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	5	16	 	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	Y དྷ kakudasimha.
wts_1_34	34	52	1	ཀ	'ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀོ་ལ་ 'ka ko la
wts_1_34	34	52	2	ཀོ	ko	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀོ་ལ་ 'ka ko la
wts_1_34	34	52	3	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀོ་ལ་ 'ka ko la
wts_1_34	34	58	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	11	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྭ་བྷ་ཡ་ ka ku bha ya Kurzf. ka ku ein Baum. _
wts_1_34	34	58	2	ཀྭ	ku	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྭ་བྷ་ཡ་ ka ku bha ya Kurzf. ka ku ein Baum. _
wts_1_34	34	58	3	བྷ	bha	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	probable_span	17	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྭ་བྷ་ཡ་ ka ku bha ya Kurzf. ka ku ein Baum. _
wts_1_34	34	58	4	ཡ	ya	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	21	23	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྭ་བྷ་ཡ་ ka ku bha ya Kurzf. ka ku ein Baum. _
wts_1_34	34	67	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀཱ་སྟ་ ka ku sta ein Fluß in der Nähe von
wts_1_34	34	67	2	ཀཱ	ku	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀཱ་སྟ་ ka ku sta ein Fluß in der Nähe von
wts_1_34	34	67	3	སྟ	sta	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀཱ་སྟ་ ka ku sta ein Fluß in der Nähe von
wts_1_34	34	93	1	ཀ	'ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	11	 	 	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ 'ka ko la eine Heilpflanze. - skt. 57560/
wts_1_34	34	93	2	ཀོ	ko	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ 'ka ko la eine Heilpflanze. - skt. 57560/
wts_1_34	34	93	3	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 	 	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ 'ka ko la eine Heilpflanze. - skt. 57560/
wts_1_34	34	106	1	ཀ	pa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	""""	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"ཀ་ཀོ་ལ་ ""pa ko la"
wts_1_34	34	106	2	ཀོ	ko	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"ཀ་ཀོ་ལ་ ""pa ko la"
wts_1_34	34	106	3	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"ཀ་ཀོ་ལ་ ""pa ko la"
wts_1_34	34	123	1	ཀ	’ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	11	 	 	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ ’ka ko la, auch 57 ko la - skt. kakola
wts_1_34	34	123	2	ཀོ	ko	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ ’ka ko la, auch 57 ko la - skt. kakola
wts_1_34	34	123	3	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 	,	token_boundary_secure						sanskrit_or_indic_transcription	later_gloss_or_commentary	no	ཀ་ཀོ་ལ་ ’ka ko la, auch 57 ko la - skt. kakola
wts_1_34	34	140	1	ཀ	al	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྐོ་ al ka kko la weibliche Genitalien. — da-
wts_1_34	34	140	2	ཀྐོ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀྐོ་ al ka kko la weibliche Genitalien. — da-
wts_1_34	34	148	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀོར་ ka kor (skor ba), auch ka skor; wohl
wts_1_34	34	148	2	ཀོར	kor	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	10	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཀོར་ ka kor (skor ba), auch ka skor; wohl
wts_1_34	34	163	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	5	7	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་ ka kha
wts_1_34	34	163	2	ཁ	kha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	8	11	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་ ka kha
wts_1_34	34	194	1	ཀ	Ra	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	ཀ་བཀྱག་ Ra bkeyag (74) Säulenbasis.
wts_1_34	34	194	2	བཀྱག	bkeyag	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	11	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	ཀ་བཀྱག་ Ra bkeyag (74) Säulenbasis.
wts_1_34	34	196	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་རྐ་ཊ་ ka rka ta \karka ta.
wts_1_34	34	196	2	རྐ	rka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	11	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་རྐ་ཊ་ ka rka ta \karka ta.
wts_1_34	34	196	3	ཊ	ta	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	15	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་རྐ་ཊ་ ka rka ta \karka ta.
wts_1_34	34	200	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	5	7	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་ ka kha ('ka) Alphabet, d.h. die Konsonan-
wts_1_34	34	200	2	ཁ	kha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	8	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་ ka kha ('ka) Alphabet, d.h. die Konsonan-
wts_1_34	35	1	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa
wts_1_34	35	1	2	ཁ	kha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	10	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa
wts_1_34	35	1	3	པ	pa	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	14	16	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa
wts_1_34	35	7	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	6	8	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཅུ་ ka ca
wts_1_34	35	7	2	ཅུ	ca	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཅུ་ ka ca
wts_1_34	35	22	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa ('ka) einer, der das Alphabet
wts_1_34	35	22	2	ཁ	kha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	10	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa ('ka) einer, der das Alphabet
wts_1_34	35	22	3	པ	pa	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁ་པ་ ka kha pa ('ka) einer, der das Alphabet
wts_1_34	35	28	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁོངས་ ka khons ('ka) „ka-Gruppe“, der Ab-
wts_1_34	35	28	2	ཁོངས	khons	final_feature_mismatch_only	no	yes	partial	unresolved			secure_positional_alignment	secure_complete_span	11	16	 	 	token_boundary_secure	ང:ṅ		suffix_coda:ང->ṅ			ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁོངས་ ka khons ('ka) „ka-Gruppe“, der Ab-
wts_1_34	35	39	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	9	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁོལ་མ་ ka khol ma (’ka) „das aus der Säulen-
wts_1_34	35	39	2	ཁོལ	khol	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	12	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁོལ་མ་ ka khol ma (’ka) „das aus der Säulen-
wts_1_34	35	39	3	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	17	19	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཁོལ་མ་ ka khol ma (’ka) „das aus der Säulen-
wts_1_34	35	58	1	ཀཱ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	6	8	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀཱ་ག་ ka ga [/¢ ka.
wts_1_34	35	58	2	ག	ga	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀཱ་ག་ ka ga [/¢ ka.
wts_1_34	35	60	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	9	11	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ག་ ་ལ་ ka gä ni la ein Saphir - skt. kakanila
wts_1_34	35	60	2	ག	gä	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	12	14	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ག་ ་ལ་ ka gä ni la ein Saphir - skt. kakanila
wts_1_34	35	60	3	ལ	ni	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	17	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	ཀ་ག་ ་ལ་ ka gä ni la ein Saphir - skt. kakanila
wts_1_34	35	61	1	གན	krähenblau	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	4	14	„	“	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གན „krähenblau“.
wts_1_34	35	65	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་སྒྲོགས་ ka sgrogs, auch ka sgrog „ka-Rufer“,
wts_1_34	35	65	2	སྒྲོགས	sgrogs	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	13	19	 	,	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་སྒྲོགས་ ka sgrogs, auch ka sgrog „ka-Rufer“,
wts_1_34	35	110	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཅའི་བདག་མོ་ ka ca’i bdag mo
wts_1_34	35	110	2	ཅའི	ca’i	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	17	21	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ་ཅའི་བདག་མོ་ ka ca’i bdag mo
