reason	base_token	alternate_token	count	volume_count	sample_refs	sample_contexts
alternate_witness_initial_i_to_l_translit	Ina	lṅa	64	1	wts_1_34:90:131; wts_1_34:112:124; wts_1_34:119:185; wts_1_34:126:126; wts_1_34:135:56	khams la Ina yin te / — 4777 ... rus chen Ina || landär theg pa chen po’i chos smra ba Ina brgya || nags tshal na gnas pa Ina breya „500 Brahmanen, die als Asketen im Wald lebten“ (Tär
alternate_witness_google_loc_fricative_upgrade	gsegs	gśegs	60	1	wts_1_34:106:89; wts_1_34:126:109; wts_1_34:135:84; wts_1_34:135:88; wts_1_34:139:62	162,10); bde gsegs ... gus pas phyag ’tshal te || W26); garı dag de bZin gsegs pa’i chos — la lhag || bKa’ brgyad bde gsegs ’dus pa, das Buch für
alternate_witness_google_loc_fricative_upgrade	bzin	bźin	57	1	wts_1_34:140:23; wts_1_34:235:170; wts_1_34:259:157; wts_1_34:292:139; wts_1_34:315:104	bka’ dam shon yod don bzin „gemäß dem Inhalt der früheren Erlasse“ (MTH3/3/11 9); || here war“ (1117 13); des de bu bzin du bsnun || 110,9); yan lag kun / ~ kyis gtsags pa bzin du
alternate_witness_google_loc_nasal_upgrade	dban	dbaṅ	56	1	wts_1_34:26:27; wts_1_34:66:67; wts_1_34:87:100; wts_1_34:87:101; wts_1_34:87:131	Nag dban rin chen bkra 615, sKyogs ston lo [53 ba | Sonam anGDu 1973 [Lis] || 5. Dalai Lama, Nag dban blo bzan rgya mtsho (1616-1682): Gans can yul gyi sa la || frei geworden“ (Prav 106,10); —’ dban po
alternate_witness_google_loc_nasal_upgrade	nan	naṅ	54	1	wts_1_34:85:97; wts_1_34:90:148; wts_1_34:198:184; wts_1_34:258:73; wts_1_34:275:135	ba’i chos / —r ma gyur mya nan (r. han) ’das || 28325); skye dgu’i lo geig gi / phyi nan gsanı || Lex. nan $a Zig (brDa, ähnl. Dagy).
alternate_witness_google_loc_fricative_upgrade	ses	śes	53	1	wts_1_34:23:34; wts_1_34:23:114; wts_1_34:85:137; wts_1_34:87:75; wts_1_34:87:83	chen mo ses bya rab gsal (Außentitel: Dun dkar tshigmdzod chen mo). Pe cin: Krun go’ibod rig || von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und || kun g£i rnam ses dam pa ni / rmam par rig ste
alternate_witness_google_loc_nasal_upgrade	gron	groṅ	51	1	wts_1_34:8:58; wts_1_34:140:111; wts_1_34:177:27; wts_1_34:201:191; wts_1_34:209:6	ist Grundlage für die Anordnung (z.B.: auf ku $a la folgt ku sa’ gron khyer). || sattva“ (ThK 2: 522,4); skyid gron mna’ khul || gron khyer sgra sgrog na / khyim bdag rgyal
alternate_witness_google_loc_nasal_upgrade	ran	raṅ	47	1	wts_1_34:315:104; wts_1_34:328:206; wts_1_34:341:97; wts_1_34:370:115; wts_1_34:383:130	(116 23,10); ~ pa = ses pa ran bzin du mi || kho la dkril gyıs ~ nas khyod ran ses zer „in- || 19); ~ spyi thad nas ran khrims ran bsig tu
alternate_witness_google_loc_nasal_upgrade	gan	gaṅ	42	1	wts_1_34:108:155; wts_1_34:301:109; wts_1_34:330:87; wts_1_34:337:204; wts_1_34:339:153	gyi khri sgrub Zu sgo gan yin la dkrig bcar gyi || gan Zıg - ston pa la (metr.) „wenn er die || ze gan dag ston pa nid kyıs ... rab tu skrag na
alternate_witness_google_loc_nasal_upgrade	yan	yaṅ	41	1	wts_1_34:85:138; wts_1_34:155:43; wts_1_34:197:141; wts_1_34:213:12; wts_1_34:244:66	kun gäi yan / geun dan ’dzin pa spans pa’i || byed ni ji Itar yanı bram ze ma yın pa — tu mi || khrus chu yan yan skyar la thon „man verabreicht immer wieder ‚Sternenwasser‘ und
alternate_witness_citation_siglum	Li$	Liś	41	1	wts_1_34:90:85; wts_1_34:116:13; wts_1_34:126:137; wts_1_34:213:82; wts_1_34:328:185	Form ist ge sar“ (Li$ 35,10); rgya gar skad yın || 186,4); — pa = phub pa’ am gyon pa „überdeckt od. angezogen“ (Li$ 10,6); — pa =gyon || mchog“ (Li$ 2,5); sans rgyas dkon cog chos
alternate_witness_google_loc_nasal_upgrade	ston	stoṅ	39	1	wts_1_34:98:124; wts_1_34:131:106; wts_1_34:175:137; wts_1_34:228:45; wts_1_34:228:70	dpyad breyad khri bZi ston sum brgya drug cu’i || ion mons ston phrag du mas — nas kyan || (BhuKkh 156,18); ston rtsi Zabs tog gi
alternate_witness_google_loc_nasal_upgrade	nams	ñams	37	1	wts_1_34:110:37; wts_1_34:146:19; wts_1_34:148:21; wts_1_34:332:57; wts_1_34:332:100	14,5); glad gyi ni phud nams (metr.) „der || mi gan... — dka’ nams su len pa dan (metr.) || — 2777 pa bZin ... ’gal med nams len „entsprechend der ergangenen Anordnung ist es
alternate_witness_google_loc_nasal_upgrade	mnon	mṅon	36	1	wts_1_34:12:32; wts_1_34:112:56; wts_1_34:330:119; wts_1_34:346:109; wts_1_34:474:39	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mnon par rtogs pa’i || klu’i rgyal po nag pos mnon par bstod pa „vom || pa<s) ma bskyed pa’i ses pa ni mnon sum mo
alternate_witness_initial_i_to_l_translit	Ihan	lhan	35	1	wts_1_34:89:185; wts_1_34:139:39; wts_1_34:178:201; wts_1_34:213:182; wts_1_34:339:33	ka... Ihan cig skol ba „Kohl [u. a.] zusammen || ba dag dan Ihan cig — mam par gtan la dbab || srin Ihan du bsdad „am Ufer des Flusses
alternate_witness_google_loc_nasal_upgrade	rkan	rkaṅ	33	1	wts_1_34:147:58; wts_1_34:147:58; wts_1_34:155:156; wts_1_34:156:1; wts_1_34:156:7	142b); rkan than rmams kyi rkan pa dan ri || རྐང་སྐྱེས་ rkan skyes
alternate_witness_google_loc_fricative_upgrade	zes	źes	31	1	wts_1_34:100:70; wts_1_34:243:141; wts_1_34:243:201; wts_1_34:267:71; wts_1_34:301:229	khyim bdaggdans can zes „111 Kausämbi [lebt] || pa dan ~ yan zes snan „redegewandter oder || Lex. dus kyi - de tshod gcıg la zes kha chad
alternate_witness_google_loc_nasal_upgrade	sten	steṅ	31	1	wts_1_34:146:89; wts_1_34:324:142; wts_1_34:426:99; wts_1_34:614:29; wts_1_34:726:132	ˆ~ nigdan dan khri sten sogs su bZag pa „Ehr- || bram ze = rınams sen ge’i gdan gyi sten du || kham bu’am ’om bu’i mgal bas sten nas
alternate_witness_google_loc_nasal_upgrade	khan	khaṅ	30	1	wts_1_34:258:149; wts_1_34:383:212; wts_1_34:473:51; wts_1_34:486:99; wts_1_34:564:202	།ཁང་བཟངས་ khan bzans auch khan bzan || grum gzegs ma „Stückchen oder zerbrochene Teilchen“ (brDa); khan pa ral Zin grum || ldan gyis ... khan bzans sar pa ... byas „der
alternate_witness_google_loc_nasal_upgrade	bran	braṅ	29	1	wts_1_34:126:90; wts_1_34:196:90; wts_1_34:198:215; wts_1_34:258:192; wts_1_34:259:117	དཀོན་ཅོག་ཕོ་བྲང་ dkon cog pho bran „Palast der || bran po ta lar „ım Potala, dem Palast des || (Siddh 3.32.9); srın dan bran ’gags na ... Ind
alternate_witness_google_loc_fricative_upgrade	sin	śin	29	1	wts_1_34:126:150; wts_1_34:131:139; wts_1_34:315:154; wts_1_34:327:34; wts_1_34:328:68	— sin pho khyi la ’khruns „dKon-mchog || དཀྲུགས་ཤིང་ drugs Sin Tdkrug sin. || (Bhukkh 140,27); btsun pa sin gi ~ thogs pa
alternate_witness_google_loc_nasal_upgrade	gnan	gnaṅ	29	1	wts_1_34:139:71; wts_1_34:139:72; wts_1_34:175:128; wts_1_34:178:122; wts_1_34:184:116	(Lis 12,9); gsun glen nam bka’ gnan ba bka’ || ’dri gnan ba „Unterhaltung oder das Reden, || 977 bre dan / — ’gyed la sogs pa ... gnan „er
alternate_witness_google_loc_nasal_upgrade	na	ña	29	1	wts_1_34:149:144; wts_1_34:244:50; wts_1_34:325:118; wts_1_34:366:69; wts_1_34:368:80	snin pos phyogs bir pho na rta pa dag — ste || (’Dzam 3,11); la dwags pa’i pho na -r son ba || mtsho yi na mo rnams (metr.) „die Fische
alternate_witness_initial_i_to_l_translit	Ihun	lhun	28	1	wts_1_34:23:114; wts_1_34:98:125; wts_1_34:116:142; wts_1_34:177:110; wts_1_34:177:116	"von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und || gto / ""bad med Ihun grub thugs su chud „der || klu’i dban chos kyi Ihun po la sogs pas ... bsgyur"
alternate_witness_google_loc_nasal_upgrade	ni	ñi	25	1	wts_1_34:87:172; wts_1_34:110:87; wts_1_34:112:178; wts_1_34:228:35; wts_1_34:378:37	zu den rgyun med mkha’ ’gro ni su || ni ma klad gcig ’khor (metr.) „die Sonne || — kyı ’khor dan bcas / ni phyed ri rab rtse la
alternate_witness_google_loc_nasal_upgrade	man	mañ	25	1	wts_1_34:332:141; wts_1_34:442:17; wts_1_34:485:190; wts_1_34:574:158; wts_1_34:618:155	(Siddh 21.14); lan man du - na „wenn man || gcig tn gyur nas man po » = eko bhütvä || säan (brDa); rgyud man = sgra sian (Dagy);
alternate_witness_google_loc_nasal_upgrade	btan	btaṅ	25	1	wts_1_34:352:133; wts_1_34:369:51; wts_1_34:381:4; wts_1_34:448:206; wts_1_34:459:23	nam yan mi btan (v. |. gton) no (metr.) „die || 2. Gesang bes. in Bon-Ritualen, ~ btan pf. || (brDa); gru btan ba’ı gla ınan (Dagy).
alternate_witness_google_loc_fricative_upgrade	bzi	bźi	23	1	wts_1_34:87:185; wts_1_34:155:126; wts_1_34:196:62; wts_1_34:496:132; wts_1_34:501:177	kalapa’i ¬~ bzi pa yan chad gion nu gdon drug || [u. 3.]“ (Siddh 1.12); snum rnam pa bzi po ... || fleht“ (KunK 23,30); — sems tshad med bzi
alternate_witness_citation_siglum	Y$	Yś	23	1	wts_1_34:90:66; wts_1_34:292:163; wts_1_34:315:10; wts_1_34:328:121; wts_1_34:382:103	”oms „Lotus, Kesi und [andere Pflanzen] beseitigen Vergiftungen“ (Y$ 69a). || und mig sa“ (Y$ 526). || Wirkungen der Galle“ (Y$ 976); nas slas
alternate_witness_google_loc_nasal_upgrade	byun	byuṅ	22	1	wts_1_34:90:120; wts_1_34:340:40; wts_1_34:455:68; wts_1_34:461:21; wts_1_34:499:39	"de nas se na bZi byun ste / pa la sena / — „da- || sbyan ba dag / de ni slar yan ’byun mi ’gyur || 47 dan ... ""khrug pa rnams ’byun ste „aufgrund der Geburt entstehen Alter, Tod und"
alternate_witness_google_loc_nasal_upgrade	nan	ñan	22	1	wts_1_34:107:66; wts_1_34:209:43; wts_1_34:452:177; wts_1_34:452:181; wts_1_34:528:87	— na’i nan thos „ach meine Hörer“ (Prav || byad dan ˆ~ nan gyur na (metr.) „wenn die || (brDa); ~ rigs Ina = Iha mi 977/$ dan nan son
alternate_witness_google_loc_fricative_upgrade	sel	śel	21	1	wts_1_34:66:63; wts_1_34:113:58; wts_1_34:272:60; wts_1_34:341:126; wts_1_34:447:14	DGA BA’I RDO RJE 1995 (’Khruns dpe dri med sel gyı me lon). || dag pa sel ri gans chu / —i zil pa / bdud risi || hat“ (Thgr 137,4); la dw)ags mthil sel -r
alternate_witness_google_loc_nasal_upgrade	gton	gtoṅ	21	1	wts_1_34:135:57; wts_1_34:139:115; wts_1_34:235:43; wts_1_34:235:43; wts_1_34:280:105	ma mo rbod gton dan / dmod pa drag shags || Lex. lcags skud brgyud gton rgyu’i ’phrin gyı ze || drags na chun nur gton bar bya fun nur gton
alternate_witness_google_loc_nasal_upgrade	kon	koṅ	20	1	wts_1_34:98:1; wts_1_34:98:11; wts_1_34:98:19; wts_1_34:98:20; wts_1_34:98:53	ཀོང་པོ་བར་ལ་ kon po bar la || ཀེང་པེ་བར་ལ་ kon po bar la N. des Grenzpasses || rdzon dan kon porgya mda’i bar du yod pa’i la
alternate_witness_initial_i_to_l_translit	Ihag	lhag	19	1	wts_1_34:110:13; wts_1_34:125:209; wts_1_34:126:3; wts_1_34:288:189; wts_1_34:330:202	Lex. gZan las Ihag pa’am / phul du byun ba || Lex. Ihag pa dan / lus pa „Rest, Überbleibsel“ || = Ihag ste Zes pa’i don, skt. sesa „Rest“ (Ishe
alternate_witness_google_loc_nasal_upgrade	ne	ñe	19	1	wts_1_34:178:195; wts_1_34:210:74; wts_1_34:320:27; wts_1_34:320:140; wts_1_34:330:25	yul dbus na gans kyi 77 nos dan ne ba / chu || skyed tshal ra ba rdzin bu’i ’gram / ne ba’i || Lex. ~ tshogs dan ... ne bar - ba Ita bu „wie:
alternate_witness_google_loc_nasal_upgrade	nes	ñes	19	1	wts_1_34:234:27; wts_1_34:356:74; wts_1_34:358:65; wts_1_34:370:22; wts_1_34:444:26	schwenken“ (K5 3233); nes pa ni zan za ba || 28,17); mi ~ re med tsa na „wenn kein tüchtiger Mann da ist“ (Mil 32,24); na yi ~ nes || nes sems (metr.) „bei Fesselung und
alternate_witness_citation_siglum	Lsdz-K	Lśdz-K	18	1	wts_1_34:98:7; wts_1_34:139:212; wts_1_34:228:78; wts_1_34:327:161; wts_1_34:330:29	geholt hat“ (Lsdz-K 335,25). || (Lsdz-K 302,3). || (Lsdz-K 335,26). |
alternate_witness_initial_i_to_l_translit	Iha’i	lha'i	18	1	wts_1_34:148:174; wts_1_34:175:24; wts_1_34:229:20; wts_1_34:404:135; wts_1_34:463:175	Iha’i rin po che mam pa Ina ni ... — „die fünf || der dreifunddreißig Götter]“ =~ Iha’i dban || rlun Iha’i lag par — nas gtor (metr.) „er legte
alternate_witness_initial_i_to_l_translit	Iho	lho	18	1	wts_1_34:370:92; wts_1_34:381:89; wts_1_34:388:143; wts_1_34:396:63; wts_1_34:456:141	/ Iho gäu de las gyon ba (metr.) „der junge || Iho yi ri bo po ta la „Berg Potala in Südindien“ (Dagy). || 31,25); de’i dgun bu chun Iho ru ~ ’dug „ın
alternate_witness_google_loc_nasal_upgrade	drun	druṅ	17	1	wts_1_34:29:38; wts_1_34:166:60; wts_1_34:209:71; wts_1_34:259:193; wts_1_34:330:164	Ishe rın dban rgyal, mDo mkhar Zabs drun 1 Bacor 1930 [Tshe] || རྐྱེན་དྲུང་ rkyen drun (zw.) Verwalter. || — las bsgral to / g.yun drun du bton to „sie
alternate_witness_google_loc_nasal_upgrade	bzun	bzuṅ	17	1	wts_1_34:349:114; wts_1_34:369:48; wts_1_34:711:185; wts_1_34:749:1; wts_1_34:749:3	གལ་བཟུང་ gal bzun. || bon pos $a ba gson ma bzun nas - (metr.) || bzun nas / ~ fa yi bar du ste (metr.) „vom
alternate_witness_google_loc_fricative_upgrade	bzens	bźens	16	1	wts_1_34:98:29; wts_1_34:98:36; wts_1_34:116:41; wts_1_34:119:52; wts_1_34:403:178	gru mo g.yas la kon po bu chu / ... bzens „auf || btisan skabs su bzens pa’i gtsug lag khanı yanı || grog gi Iha khan bzens „sein älterer Bruder
alternate_witness_google_loc_nasal_upgrade	man	maṅ	16	1	wts_1_34:280:9; wts_1_34:368:56; wts_1_34:518:186; wts_1_34:540:195; wts_1_34:914:25	(Mil 101,10); > da lo ... mi man po si tshul || stsan yan khal grans man mo Zig ’gribs par || man po’ mgo bskor te / zas nor ~ pa’i zog po
alternate_witness_google_loc_nasal_upgrade	la’an	la’aṅ	16	1	wts_1_34:447:194; wts_1_34:463:204; wts_1_34:654:139; wts_1_34:695:120; wts_1_34:696:17	bu dan sa la ~ zin pa la’an „eine Krankheit || Lex. sna dus kyi dgon pa Zig la’an (Dagy). || Lex. chu thad kar rgyug pa la’an „auch für:
alternate_witness_google_loc_nasal_upgrade	rdzon	rdzoṅ	15	1	wts_1_34:25:22; wts_1_34:98:48; wts_1_34:112:4; wts_1_34:312:4; wts_1_34:504:201	ICe om rdzon pa, $es rab rdo rje T Gans can rig breya’i sgo ’byed Ide mig 1991 [dPe] || ཀོང་པོ་བྲག་གསུམ་ kon po brag gsum rdzon npr. ein || auch rdzon rgyab — (LP 72).
alternate_witness_google_loc_fricative_upgrade	zig	źig	15	1	wts_1_34:126:42; wts_1_34:156:193; wts_1_34:463:79; wts_1_34:564:110; wts_1_34:568:10	rgyal po de’i yul na ci zig — ... de la rin po che || (Thgr 357,5); sin ga’i thad du — ’dra ba zig || das Meer“ (P$ 22c); dper na mi zig -i chus
alternate_witness_google_loc_nasal_upgrade	srun	sruṅ	15	1	wts_1_34:187:8; wts_1_34:387:117; wts_1_34:706:108; wts_1_34:725:57; wts_1_34:725:106	3724); sku srun Zrgyalpo’i sku srun dmag mi || Lex. nor srun khyi (brDa); nor skyon ham || cho ga srun Zin tshul = pa’i dge sbyon gar
alternate_witness_google_loc_fricative_upgrade	bses	bśes	15	1	wts_1_34:288:136; wts_1_34:413:23; wts_1_34:414:110; wts_1_34:414:111; wts_1_34:419:126	güen bses kyi min); bu chun chun phru gu || དགེ་བའི་བཞེས་གཉེན་ 42༩ ba’i bses giien \dge || Lex. dge ba’i bses gäen = kalyanamitra (in
alternate_witness_google_loc_nasal_upgrade	run	ruṅ	15	1	wts_1_34:341:35; wts_1_34:341:64; wts_1_34:455:111; wts_1_34:482:12; wts_1_34:575:75	pa nas ’khyud pa ste ’dir gan yanı run no „es || so thar pa’ sdom pa gan yan run ba Zig la || mi run ste „Alten soll man keine Brechmittel und Abführmittel verabreichen“ (Siddh
alternate_witness_google_loc_nasal_upgrade	sron	sroṅ	14	1	wts_1_34:90:17; wts_1_34:178:8; wts_1_34:314:25; wts_1_34:518:173; wts_1_34:673:30	’on gyi lha khan — Zes khri sron gi dus su bZens || (Samv 21.9a); —’i tshogs dan dran sron bdun || las / Iha dan dran sron gZan mi $es (metr.)
alternate_witness_google_loc_fricative_upgrade	sa	śa	14	1	wts_1_34:90:59; wts_1_34:110:157; wts_1_34:175:108; wts_1_34:244:75; wts_1_34:352:136	ཀེ་ཤ་ཅན་ ke Sa can vgl. Tke sa. || bu khyod kyi -rrtswa ka sa dan ku Sa skye bar || (Mvy 7365); rke ba = sa — Zinrid pa „mager
alternate_witness_google_loc_nasal_upgrade	klun	kluṅ	14	1	wts_1_34:116:40; wts_1_34:116:44; wts_1_34:337:122; wts_1_34:337:127; wts_1_34:369:3	"han tin ne dzin bzan pos / klun sod Zwa dan / || (Nel 1332); da Ita klun $od tsam na bde skyid || Zugs te / ""1 klun chen po rgal bar ’dod par"
alternate_witness_google_loc_nasal_upgrade	span	spaṅ	14	1	wts_1_34:228:141; wts_1_34:295:115; wts_1_34:608:135; wts_1_34:810:64; wts_1_34:888:75	— spyod byed na (metr.) „wenn man Einreibungen vornimmt“ (Ahs 1.2.76); — span || Lex. khri ti sin span rtsı (gYu 293,16). || (KlonD 740,5); beil pa ni ~ pa dan span ba
alternate_witness_google_loc_fricative_upgrade	bzag	bźag	14	1	wts_1_34:243:178; wts_1_34:243:202; wts_1_34:275:36; wts_1_34:398:21; wts_1_34:413:98	"lan bzag pa Ita bu „wie: ausgerichtete Nachricht, hinterlassene Nachricht oder Ant- || bzag pa „Verabredung für eine best. Zeit, || 1: 73,22); rus sbal gyi -""i nan du bzag la"
alternate_witness_google_loc_nasal_upgrade	dran	draṅ	14	1	wts_1_34:314:25; wts_1_34:314:138; wts_1_34:528:112; wts_1_34:690:94; wts_1_34:711:26	las / Iha dan dran sron gZan mi $es (metr.) || myı ’dzans pa dran mkhran byed pa „die || » gi rigs kyi dran sron bhr gu ra ksa sa Zes
alternate_witness_citation_siglum	L$dz-K	Lśdz-K	13	1	wts_1_34:27:82; wts_1_34:106:169; wts_1_34:112:29; wts_1_34:155:25; wts_1_34:193:125	[L$dz-K] || Texte] hervor“ (L$dz-K 334,3). || $es snin-po]“ (L$dz-K 226,32).
alternate_witness_initial_i_to_l_translit	Iham	lham	13	1	wts_1_34:93:59; wts_1_34:108:56; wts_1_34:108:73; wts_1_34:109:59; wts_1_34:109:83	der für Schuhsohlen“ (brDa); Gl. Iham krad || Ihan pa dan — gyis byas / Iham gyi krad rgyun || (Bon 20,4); — pa = Iham sgra Ita bu „wie das
alternate_witness_citation_siglum	Lsdz	Lśdz	13	1	wts_1_34:110:124; wts_1_34:275:92; wts_1_34:346:174; wts_1_34:459:74; wts_1_34:668:19	umfaßt“ (Lsdz 168,1). || den Rahmen abstecken“ (Lsdz 120,3). || Berechnungen“ (Lsdz 194,1).
alternate_witness_google_loc_nasal_upgrade	min	miṅ	13	1	wts_1_34:110:126; wts_1_34:366:78; wts_1_34:478:38; wts_1_34:642:64; wts_1_34:654:112	Lex. bstan bcos gcig la dbu min nas lus rnam || Lex. kya’o ni ¬ de stobs po che’i min „Athlet: gyad, Bez. für einen starken Menschen“ || Lex. zla ba’i min (brDa, Dagy).
alternate_witness_google_loc_nasal_upgrade	na	ṅa	13	1	wts_1_34:288:208; wts_1_34:315:94; wts_1_34:368:62; wts_1_34:470:63; wts_1_34:587:104	„er nahm es zu seiner Behausung“* (K1 na || Lex. - pa = na rgyal byas pa Ita bu „wie: || mchis nas „der Eisenberg ist zu einer einzigen Flammenzunge geworden“ (Ki na
alternate_witness_google_loc_nasal_upgrade	gon	goṅ	13	1	wts_1_34:395:119; wts_1_34:473:141; wts_1_34:613:141; wts_1_34:721:18; wts_1_34:767:28	u tra ya nas gon nas gon du spobs lan - pas || 25,8); gon Zabs - thams cad mkhyen gzigs || Lex. Ican ma’i lo ma ma skyes gon gi me tog
alternate_witness_google_loc_nasal_upgrade	dan	dañ	12	1	wts_1_34:112:190; wts_1_34:139:6; wts_1_34:178:195; wts_1_34:244:40; wts_1_34:371:111	Lex. klu’i rgyal po dga’ bo dan nier dga’ ’jog po || — blo gros dan rnam grol grwa rgyun bskul pa || yul dbus na gans kyi 77 nos dan ne ba / chu
alternate_witness_google_loc_nasal_upgrade	spon	spoṅ	12	1	wts_1_34:229:107; wts_1_34:295:127; wts_1_34:404:62; wts_1_34:440:64; wts_1_34:443:122	auffordern“ (Suv 49,28); gZan yan ... spon ba || Lex. - mthon po dan ~ chen po spon ba = || དགའ་བ་སྤོང་བ་ dga’ ba spon ba ein Samädhi.
alternate_witness_google_loc_nasal_upgrade	nal	ñal	12	1	wts_1_34:258:129; wts_1_34:288:48; wts_1_34:399:81; wts_1_34:531:26; wts_1_34:531:125	bsdams pa yi / khan pa brisegs par khyod nal || nal bar son cig „gehe du zum Schlafen zu || bu (Dagy); ~$ phab ste nal = lus zur phab ste
alternate_witness_google_loc_fricative_upgrade	bzugs	bźugs	12	1	wts_1_34:259:99; wts_1_34:295:91; wts_1_34:368:199; wts_1_34:399:204; wts_1_34:438:12	khyod - bzugs na’an (metr.) „sogar als du || khri säan (r. 07:77?) pags pa ... bzugs (metr.) || bzugs mthon nas ... $og (metr.) „wenn sie
alternate_witness_google_loc_nasal_upgrade	cun	cuṅ	11	1	wts_1_34:125:69; wts_1_34:217:193; wts_1_34:382:123; wts_1_34:575:114; wts_1_34:587:7	btsan po khri slon btsan gyis ... myan tsen cun || bstan pa cun zad — la „als Sänaväsika eine || (Tär 159,12); bzo’ khyad par cun zad ma ~
alternate_witness_citation_siglum	Ys	Yś	11	1	wts_1_34:175:171; wts_1_34:228:201; wts_1_34:330:131; wts_1_34:622:105; wts_1_34:634:136	ma — (metr.) „trockene Blätter“ (Ys 93b); || Windes“ (Ys 96b); rus pa rgyus pas sbrel ba || [behebt] Störungen der Galle“ (Ys 93a);
