tibetan_syllable	canonical_forms	canonical_status	canonical_confidence_tier	evidence_class	full_target_reviewed	supporting_forms	supporting_volumes	observed_other_forms	credible_competing_transcriptions	competing_forms	competing_support	independent_teaching_occurrences	derived_occurrences	historical_occurrences	domain_breakdown	feature_coverage	feature_dependency_rule_ids	feature_dependency_evidence_ids	feature_leave_one_out_status	rationale
ཀར	kar	canonical	canonical_independent_strong	independent_multi_context_canonical	no	Sperma:1;ka:0;kar:10	wts_1_34;wts_35_51;wts_8_b	Sperma;ka				9	1	33	ordinary_tibetan_lexical_or_compound:29;sanskrit_or_indic_transcription:2;tibetan_proper_name:2	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརཉྱ		provisional	provisional	historically_supported_candidate	no	kanya:0		kanya				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྐ		provisional	provisional	historically_supported_candidate	no	karka:2		karka	karka	karka	karka:independent=2,derived=0,historical=6,domains=ordinary_tibetan_lexical_or_compound:5;sanskrit_or_indic_transcription:1	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྐམ		provisional	provisional	historically_supported_candidate	no	rkam:1		rkam				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྐས		provisional	provisional	historically_supported_candidate	no	karkas:0		karkas				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྙི		provisional	provisional	historically_supported_candidate	no	karni:0		karni				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྟི		provisional	provisional	historically_supported_candidate	no	karti:0		karti				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྡེ		provisional	provisional	historically_supported_candidate	no	karbe:0		karbe				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྡྷ		provisional	provisional	historically_supported_candidate	no	kanta:0		kanta				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྣི		provisional	provisional	historically_supported_candidate	no	karni:0		karni				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྨ		provisional	provisional	historically_supported_candidate	no	'kanda:1;Rarma:0;kanda:0;karma:11		'kanda;Rarma;kanda;karma	karma	karma	karma:independent=11,derived=0,historical=17,domains=ordinary_tibetan_lexical_or_compound:16;sanskrit_or_indic_transcription:1	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀརྲོང		provisional	provisional	historically_supported_candidate	no	gi:0		gi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀལ		provisional	provisional	historically_supported_candidate	no	kal:0		kal				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཤེང		provisional	provisional	historically_supported_candidate	no	drag:0		drag				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀས		provisional	provisional	historically_supported_candidate	no	ie:0;kas:0;kos:0		ie;kas;kos				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀསེོང		provisional	provisional	historically_supported_candidate	no	gsod:1		gsod				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཱ	ka	provisional	canonical_independent_moderate	independent_moderate_evidence	no	'kwa:1;Text:0;cin:1;ka:5;khra:1;ku:1;kä:1;kā:1	wts_1_34	'kwa;Text;cin;khra;ku;kä;kā				5	0	15	ordinary_tibetan_lexical_or_compound:13;sanskrit_or_indic_transcription:1;tibetan_proper_name:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཱལླེ		provisional	provisional	historically_supported_candidate	no	kulle:0		kulle				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཱི		provisional	provisional	historically_supported_candidate	no	ki:1;kī:1		ki;kī				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཱུ		provisional	provisional	historically_supported_candidate	no	kü:1		kü				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཱྩ		provisional	provisional	historically_supported_candidate	no	krsna:1		krsna				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀི	ki	canonical	canonical_independent_strong	independent_multi_context_canonical	no	'ki:0;dbaṅ:1;dpyid:0;ei:0;ka:1;kai:0;ki:9;kyi:1;narikila:0;pa’i:0;raksi:0;uw:0;’ge:0	wts_1_34;wts_35_51;wts_8_b	'ki;dbaṅ;dpyid;ei;ka;kai;kyi;narikila;pa’i;raksi;uw;’ge				4	5	27	ordinary_tibetan_lexical_or_compound:20;sanskrit_or_indic_transcription:5;tibetan_proper_name:2	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིག		provisional	provisional	historically_supported_candidate	no	keg:1		keg				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིང		provisional	provisional	historically_supported_candidate	no	kiṅ:8		kiṅ	kiṅ	kiṅ	kiṅ:independent=2,derived=6,historical=2,domains=ordinary_tibetan_lexical_or_compound:8	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིངྐ		provisional	provisional	historically_supported_candidate	no	kinka:0		kinka				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིཏྟའི		provisional	provisional	historically_supported_candidate	no	kisna’i:1		kisna’i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིན		provisional	provisional	historically_supported_candidate	no	kin:0		kin				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིམ		provisional	provisional	historically_supported_candidate	no	kem:0;kim:2		kem;kim	kim	kim	kim:independent=2,derived=0,historical=3,domains=ordinary_tibetan_lexical_or_compound:2;sanskrit_or_indic_transcription:1	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིའང		provisional	provisional	historically_supported_candidate	no	ki’an:2		ki’an				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིའུ		provisional	provisional	historically_supported_candidate	no	kin:1;ki’n:1;ki’u:2		kin;ki’n;ki’u	ki’u	ki’u	ki’u:independent=2,derived=0,historical=2,domains=ordinary_tibetan_lexical_or_compound:2	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིར		provisional	provisional	historically_supported_candidate	no	kir:0		kir				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིརྟི		provisional	provisional	historically_supported_candidate	no	kirti:1;kirtiri:0		kirti;kirtiri				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིས		provisional	provisional	historically_supported_candidate	no	kis:1;reyan:0		kis;reyan				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀིསྤི		provisional	provisional	historically_supported_candidate	no	kimpi:0		kimpi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུ	khyu;ku	ambiguous	ambiguous	credible_competing_forms	no	'ku:0;Spiegel:0;gu:0;ka:0;ken:0;khyu:2;ku:36;kun:0	wts_1_34;wts_9_m	'ku;Spiegel;gu;ka;ken;kun				33	5	112	ordinary_tibetan_lexical_or_compound:2 || ordinary_tibetan_lexical_or_compound:90;sanskrit_or_indic_transcription:17;tibetan_proper_name:2;unclear:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུཀྐུ		provisional	provisional	historically_supported_candidate	no	kukku:1		kukku				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུག		provisional	provisional	historically_supported_candidate	no	'kug:0;eng:0		'kug;eng				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུང		provisional	provisional	historically_supported_candidate	no	khyun:0;kun:0		khyun;kun				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུངྐུ		provisional	provisional	historically_supported_candidate	no	kunku:0		kunku				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུད		provisional	provisional	historically_supported_candidate	no	bud:0;khyud:1;kliyud:1;kloyud:0;kud:0		bud;khyud;kliyud;kloyud;kud				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུན	kun	canonical	canonical_independent_strong	independent_multi_context_canonical	no	N:1;RE:1;Run:0;W:1;arg:1;g:0;kim:0;kum:0;kun:156;ra:0;skt:0;ta:0	wts_1_34;wts_35_51;wts_8_b	N;RE;Run;W;arg;g;kim;kum;ra;skt;ta				139	17	456	ordinary_tibetan_lexical_or_compound:406;sanskrit_or_indic_transcription:6;tibetan_proper_name:31;unclear:13	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུནཏུ		provisional	provisional	historically_supported_candidate	no	kun:1;pad:0		kun;pad				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུནྡའི		provisional	provisional	historically_supported_candidate	no	kunda’i:1		kunda’i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུནྡྷ		provisional	provisional	historically_supported_candidate	no	kundn:0		kundn				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུབ		provisional	provisional	historically_supported_candidate	no	kub:0		kub				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུམ		provisional	provisional	historically_supported_candidate	no	kum:1		kum				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུའང		provisional	provisional	historically_supported_candidate	no	kuan:0;ku’an:1		kuan;ku’an				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུར		provisional	provisional	historically_supported_candidate	no	kur:0		kur				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུལླེའི		provisional	provisional	historically_supported_candidate	no	kulle’i:1		kulle’i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུས		provisional	provisional	historically_supported_candidate	no	kus:1;ston:0		kus;ston				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀུསྨ		provisional	provisional	historically_supported_candidate	no	pu:0		pu				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེ	ke	canonical	canonical_independent_strong	independent_multi_context_canonical	no	'ke:0;ARE:1;Ime:0;ke:11;keN:0;keru:0;ketaraN:0;sa:0	wts_1_34;wts_35_51	'ke;ARE;Ime;keN;keru;ketaraN;sa				7	4	38	ordinary_tibetan_lexical_or_compound:27;sanskrit_or_indic_transcription:5;tibetan_proper_name:6	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེག	keg	provisional	canonical_independent_moderate	independent_moderate_evidence	no	keg:2;kegrtsis:1	wts_1_34;wts_35_51	kegrtsis				2	0	4	ordinary_tibetan_lexical_or_compound:4	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེང		provisional	provisional	historically_supported_candidate	no	ken:3;koṅ:1		ken;koṅ				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེད		provisional	provisional	historically_supported_candidate	no	ked:0		ked				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེམ		provisional	provisional	historically_supported_candidate	no	kem:0		kem				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེའུ		provisional	provisional	historically_supported_candidate	no	BR:1;ke'u:0;ke’u:7;ke’uri:1;ko’u:1		BR;ke'u;ke’u;ke’uri;ko’u	ke’u	ke’u	ke’u:independent=7,derived=0,historical=7,domains=ordinary_tibetan_lexical_or_compound:7	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེར		provisional	provisional	historically_supported_candidate	no	ker:1		ker				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀེས		provisional	provisional	historically_supported_candidate	no	kos:1		kos				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོ	go;ko	ambiguous	ambiguous	credible_competing_forms	no	'ko:0;AN:0;AR:0;Au:1;EN:0;ION’:0;a:0;ar:0;chu:0;go:2;kan:0;kau:1;ko:20;ra:0	wts_1_34;wts_35_51	'ko;AN;AR;Au;EN;ION’;a;ar;chu;kan;kau;ra				21	1	101	ordinary_tibetan_lexical_or_compound:9 || ordinary_tibetan_lexical_or_compound:85;sanskrit_or_indic_transcription:6;unclear:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོག		provisional	provisional	historically_supported_candidate	no	'kog:0;Nebenf:0;kog:1		'kog;Nebenf;kog				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོགས		provisional	provisional	historically_supported_candidate	no	kogs:0		kogs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོང	koṅ	canonical	canonical_independent_strong	independent_multi_context_canonical	no	'koṅ:3;Sa:0;caṅ:1;dbyins:0;gon:4;koṅ:49	wts_1_34;wts_35_51;wts_9_m	'koṅ;Sa;caṅ;dbyins;gon				5	44	49	ordinary_tibetan_lexical_or_compound:44;tibetan_proper_name:5	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོད		provisional	provisional	historically_supported_candidate	no	god:0;kod:1		god;kod				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོན		provisional	provisional	historically_supported_candidate	no	dkon:0;gon:0;kon:0;sta:0		dkon;gon;kon;sta				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོབ		provisional	provisional	historically_supported_candidate	no	kob:1		kob				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོམ		provisional	provisional	historically_supported_candidate	no	kom:0		kom				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོའུ		provisional	provisional	historically_supported_candidate	no	ko’u:5		ko’u	ko’u	ko’u	ko’u:independent=2,derived=3,historical=5,domains=ordinary_tibetan_lexical_or_compound:2;tibetan_proper_name:3	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོར	kor	provisional	canonical_independent_moderate	independent_moderate_evidence	no	Daumenring:0;ba:0;kor:5	wts_1_34	Daumenring;ba				5	0	22	ordinary_tibetan_lexical_or_compound:22	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོལ		provisional	provisional	historically_supported_candidate	no	kol:0;krol:2		kol;krol	krol	krol	krol:independent=2,derived=0,historical=2,domains=ordinary_tibetan_lexical_or_compound:2	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོས		provisional	provisional	historically_supported_candidate	no	kos:2		kos	kos	kos	kos:independent=2,derived=0,historical=4,domains=ordinary_tibetan_lexical_or_compound:4	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀོསྟུ		provisional	provisional	historically_supported_candidate	no	kaustu:2		kaustu	kaustu	kaustu	kaustu:independent=2,derived=0,historical=2,domains=ordinary_tibetan_lexical_or_compound:2	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
