volume	page	line	token_index	observed_tibetan	adjudicated_tibetan	reason	evidence	review_batch	teaching_status
wts_8_b	163	7	2	རྐང	རྐྱང	reviewed_exact_tibetan_headword_subjoined_ocr	Latin rkyaṅ and Kiang gloss agree with independently clean རྐྱང identity	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_35_51	1041	6	2	སྐོང	སྐྱོང	reviewed_exact_tibetan_headword_subjoined_ocr	guardian context and independently clean སྐྱོང/skyoṅ siblings establish missing subjoined y	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_8_b	144	1	3	སྐོང	སྐྱོང	reviewed_exact_tibetan_headword_subjoined_ocr	immediately following lemma is exact བྱ་གག་སྐྱོང་བ sibling	subjoined_y_headword_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	293	76	1	ཁབ	ཁྲབ	reviewed_exact_tibetan_headword_subjoined_ocr	local ordinal 3982 is bracketed by ཁྲག-series and exact ཁྲབ siblings; adjudicated ཁྲབ fits and Latin khrab agrees	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	298	89	1	ཁུག	ཁྲུག	reviewed_exact_tibetan_headword_subjoined_ocr	local run and independently clean ཁྲུག/'khrug compounds establish the omitted subjoined r; order supports the khr- run	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	298	94	1	ཁུང	ཁྲུང	reviewed_exact_tibetan_headword_subjoined_ocr	local khr- lemma run plus independently clean འཁྲུངས/'khruṅs siblings establish omitted subjoined r; Latin khrun is supporting only	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	298	141	1	ཁུང	ཁྲུང	reviewed_exact_tibetan_headword_subjoined_ocr	same local khr- entry run and independently clean འཁྲུངས/'khruṅs siblings establish omitted subjoined r; Latin khrun is supporting only	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	988	196	2	ཁོམ	ཁྲོམ	reviewed_exact_tibetan_headword_subjoined_ocr	shared ཐང compound run makes the disputed member order-relevant; independent ཁྲོམ/khrom entries establish omitted subjoined r	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_8_b	269	62	1	བམ	བྲམ	reviewed_exact_tibetan_headword_subjoined_ocr	ordinal 20760 immediately follows repeated བྲམ་ཟེ siblings and the same Brahmin compound; Latin bram independently agrees	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	298	9	2	སོལ	སྲོལ	reviewed_exact_tibetan_headword_subjoined_ocr	lemma order is not independently dispositive for the internal compound member; repeated ཁྲིམས་སྲོལ/srol and clean སྲོལ siblings establish omitted r structure	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	622	8	2	སོལ	སྲོལ	reviewed_exact_tibetan_headword_subjoined_ocr	lemma_order_not_dispositive; independent སྲོལ/srol custom and tradition compounds establish the omitted r structure	del_r_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	360	84	1	ཀོང	གོང	reviewed_exact_tibetan_headword_root_ocr	dispositive continuous གོང lemma run and same-entry citation	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	360	84	2	ད	དུ	reviewed_exact_tibetan_headword_vowel_ocr	exact neighbouring གོང་དུ compounds and same-entry du citation	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	361	71	1	ཀོང	གོང	reviewed_exact_tibetan_headword_root_ocr	immediate clean གོང་ཡོལ/goṅ yol sibling with matching gloss	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	361	111	1	ཀོང	གོང	reviewed_exact_tibetan_headword_root_ocr	continuous གོང lemma section immediately before གོང་ས	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	999	202	1	ཀྲཁ	ཐལ	reviewed_exact_tibetan_headword_root_ocr	exact same-page ཐལ་གོང/thal goṅ sibling at 999:167	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	999	202	2	ཀོང	གོང	reviewed_exact_tibetan_headword_root_ocr	exact same-page ཐལ་གོང/thal goṅ sibling at 999:167	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	366	67	1	ཀྱང	གྱང	reviewed_exact_tibetan_headword_root_ocr	dispositive gya-/gyaṅ-/gyad local lemma sequence	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	388	70	1	ཀྲོང	གྲོང	reviewed_exact_tibetan_headword_root_ocr	continuous གྲོང run and immediate གྲོང་དཔོན sibling	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	724	164	3	རྐྱང	རྒྱང	reviewed_exact_tibetan_headword_root_ocr	exact repeated རྒྱང་ཕན compound at 466:85	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	724	212	3	རྐྱང	རྒྱང	reviewed_exact_tibetan_headword_root_ocr	exact repeated རྒྱང་ཕན compound at 466:85	g_to_k_occurrence_identity_repair_20260729	tibetan_ocr_corrected_observation
wts_1_34	70	183	1	ཀན	ཀུན	reviewed_exact_tibetan_headword_vowel_ocr	lemma_order_not_dispositive; exact ཀུན་ཏུ phrase and hundreds of independent ཀུན/kun siblings establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	295	158	2	གདགས	གདུགས	reviewed_exact_tibetan_headword_vowel_ocr	independent གདུགས/gdugs headwords and identical compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	407	168	2	གདགས	གདུགས	reviewed_exact_tibetan_headword_vowel_ocr	independent གདུགས/gdugs headwords and identical compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	646	218	2	གདགས	གདུགས	reviewed_exact_tibetan_headword_vowel_ocr	independent གདུགས/gdugs headwords and identical compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	353	37	1	གར	གུར	reviewed_exact_tibetan_headword_vowel_ocr	clean གུར/gur tent headwords and compounds independently establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_35_51	92	67	3	གསང	གསུང	reviewed_exact_tibetan_headword_vowel_ocr	same speech context and independent གསུང/gsuṅ observations establish missing ུ; Latin supports but does not decide	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	117	196	2	གྲམ	གྲུམ	reviewed_exact_tibetan_headword_vowel_ocr	independent གྲུམ/grum disease and compound siblings establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	383	174	1	གྲམ	གྲུམ	reviewed_exact_tibetan_headword_vowel_ocr	independent གྲུམ/grum headwords and compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	383	194	1	གྲམ	གྲུམ	reviewed_exact_tibetan_headword_vowel_ocr	independent གྲུམ/grum headwords and compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	624	39	2	གྲམ	གྲུམ	reviewed_exact_tibetan_headword_vowel_ocr	independent གྲུམ/grum headwords and compounds establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_8_b	116	4	3	ཆང	ཆུང	reviewed_exact_tibetan_headword_vowel_ocr	compound semantics and numerous independent ཆུང/chuṅ siblings establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	334	107	2	དར	དུར	reviewed_exact_tibetan_headword_vowel_ocr	repeated plant and burial compounds with independently clean དུར/dur establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	334	114	2	དར	དུར	reviewed_exact_tibetan_headword_vowel_ocr	repeated plant and burial compounds with independently clean དུར/dur establish missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	784	97	3	དར	དུར	reviewed_exact_tibetan_headword_vowel_ocr	exact དུར་ཁྲོད/dur khrod sibling construction establishes missing ུ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	655	124	3	གྲང	གྲོང	reviewed_exact_tibetan_headword_vowel_ocr	exact གྲོང་ཁྱེར/grong khyer construction and clean siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_35_51	25	6	2	ཆག	ཆོག	reviewed_exact_tibetan_headword_vowel_ocr	death-ritual context and independent ཆོག/chog siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_9_m	22	57	2	ཆག	ཆོག	reviewed_exact_tibetan_headword_vowel_ocr	exact ma chog pa construction and independent ཆོག/chog siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	1038	141	2	ཕར	ཕོར	reviewed_exact_tibetan_headword_vowel_ocr	skull-cup context and independent ཕོར/phor vessel siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	552	45	3	ཕྱགས	ཕྱོགས	reviewed_exact_tibetan_headword_vowel_ocr	exact mngon du phyogs construction and independent ཕྱོགས/phyogs siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_35_51	917	3	3	ཚགས	ཚོགས	reviewed_exact_tibetan_headword_vowel_ocr	exact phun sum tshogs construction and independent ཚོགས/tshogs siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	889	118	3	འཁར	འཁོར	reviewed_exact_tibetan_headword_vowel_ocr	exact khor lo compound and independent འཁོར/khor siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	686	66	2	རྐ	རྐོ	reviewed_exact_tibetan_headword_vowel_ocr	grave/digging context and independent རྐོ/rko forms establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	457	159	1	རྒ	རྒོ	reviewed_exact_tibetan_headword_vowel_ocr	antelope context and independent རྒོ/rgo identity establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	488	135	1	རྒྱབ	རྒྱོབ	reviewed_exact_tibetan_headword_vowel_ocr	imperative rgyob context and independent རྒྱོབ/rgyob forms establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	433	45	2	སྒ	སྒོ	reviewed_exact_tibetan_headword_vowel_ocr	border-gate context and independent སྒོ/sgo compounds establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	778	68	3	སྒ	སྒོ	reviewed_exact_tibetan_headword_vowel_ocr	independent སྒོ/sgo compounds establish missing ོ; order is not dispositive for the internal member	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	953	19	1	སྟང	སྟོང	reviewed_exact_tibetan_headword_vowel_ocr	exact stoṅ pa construction and independent སྟོང/stoṅ siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	461	120	2	སྟབས	སྟོབས	reviewed_exact_tibetan_headword_vowel_ocr	large-number/strength context and independent སྟོབས/stobs siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_9_m	377	22	1	སྨད	སྨོད	reviewed_exact_tibetan_headword_vowel_ocr	verbal context and independent སྨོད/smod siblings establish missing ོ	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	396	122	1	གླང	གླིང	reviewed_exact_tibetan_headword_vowel_ocr	exact gling phran construction and independent གླིང/gliṅ siblings establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	652	170	2	ཡ	ཡི	reviewed_exact_tibetan_headword_vowel_ocr	grammatical yi construction and independent ཡི/yi siblings establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	653	44	2	ཡ	ཡི	reviewed_exact_tibetan_headword_vowel_ocr	grammatical yi construction and independent ཡི/yi siblings establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	822	191	3	ཡ	ཡི	reviewed_exact_tibetan_headword_vowel_ocr	exact yi ge construction and independent ཡི/yi siblings establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	297	183	2	ཡག	ཡིག	reviewed_exact_tibetan_headword_vowel_ocr	law-text context and independent ཡིག/yig compounds establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	494	163	2	ཡག	ཡིག	reviewed_exact_tibetan_headword_vowel_ocr	sign/document context and independent ཡིག/yig compounds establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	639	209	2	ཡག	ཡིག	reviewed_exact_tibetan_headword_vowel_ocr	contract context and independent ཡིག/yig compounds establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	1027	182	2	ཡག	ཡིག	reviewed_exact_tibetan_headword_vowel_ocr	document context and independent ཡིག/yig compounds establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	1064	128	2	རས	རིས	reviewed_exact_tibetan_headword_vowel_ocr	exact mtho ris compound and independent རིས/ris siblings establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	393	174	3	རྩ	རྩི	reviewed_exact_tibetan_headword_vowel_ocr	bezoar context and independent རྩི/rtsi identity establish missing ི	vowel_side_adjudication_20260729	tibetan_ocr_corrected_observation
wts_1_34	346	15	2	ཆིག	ཚིག	reviewed_exact_tibetan_headword_root_ocr	exact clean repeated གན་ཚིག/gan tshig at 346:1 establishes the compound member	ts_to_c_occurrence_identity_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	473	179	2	ཆབ	ཚབ	reviewed_exact_tibetan_headword_root_ocr	exact clean repeated རྒྱལ་ཚབ/rgyal tshab at 473:234 establishes the compound member	ts_to_c_occurrence_identity_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	650	152	2	ཆགས	ཚགས	reviewed_exact_tibetan_headword_root_ocr	exact clean repeated ཆུ་ཚགས/tshags at 650:169 establishes the compound member	ts_to_c_occurrence_identity_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	75	149	3	གཅེས	གཙེས	reviewed_exact_tibetan_headword_root_ocr	exact lexical kun tu gtses pa expression establishes གཙེས; unrelated གཅེས is excluded	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	266	43	2	ཆུར	ཚུར	reviewed_exact_tibetan_headword_root_ocr	exact lexical ཁུ་ཚུར “fist” identity matches the entry gloss	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	269	51	1	ཁུར	མཁུར	reviewed_exact_tibetan_headword_root_ocr	exact lexical མཁུར་ཚོས “cheeks” and same-entry mkhur tshos cross-reference	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	269	51	2	ཆོས	ཚོས	reviewed_exact_tibetan_headword_root_ocr	exact lexical མཁུར་ཚོས “cheeks” and same-entry mkhur tshos cross-reference	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	405	57	2	ཆལ	ཚལ	reviewed_exact_tibetan_headword_root_ocr	exact lexical དགའ་ཚལ identity matches garden/paradise gloss	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	761	1	1	ཉམ	ཉམས	reviewed_exact_tibetan_headword_suffix_ocr	exact repeated ཉམས་ཆད་པ phrase at 766:9 and matching meaning establish missing suffix ས	affricate_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	338	26	2	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	exact གང་ལྟར lexical identity establishes onset-stack OCR damage	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	931	168	1	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order in continuous ལྟར/ltar lemma run	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	932	1	1	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order in continuous ལྟར/ltar lemma run	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	932	106	1	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order in continuous ལྟར/ltar lemma run	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	932	135	1	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order and repeated ltar ltar po identity	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	932	135	2	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order and repeated ltar ltar po identity	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	932	173	1	སྟར	ལྟར	reviewed_exact_tibetan_headword_root_ocr	dispositive local order and exact ལྟར་སྣང identity	ltar_two_witness_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	904	21	2	གཉོད	གཅོད	reviewed_exact_tibetan_headword_root_ocr	exact བཏང་གཅོད identity plus independent clean གཅོད/gcod evidence	root_nya_counterexample_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	1072	75	2	གཉོད	གཅོད	reviewed_exact_tibetan_headword_root_ocr	exact འཐུང་གཅོད identity and same-line འཐུང་བཅོད sibling	root_nya_counterexample_side_review_20260729	tibetan_ocr_corrected_observation
wts_9_m	108	16	2	གཉོད	གཅོད	reviewed_exact_tibetan_headword_root_ocr	exact མེ་གཅོད identity plus independent clean གཅོད/gcod evidence	root_nya_counterexample_side_review_20260729	tibetan_ocr_corrected_observation
wts_1_34	1198	75	1	དྲེ	དེ	reviewed_exact_tibetan_headword_subjoined_ocr	The surrounding de lemma run, the exact de rkyaṅ pa witness, and the gloss 'einzig, nur' establish དེ; the observed subjoined r is Tibetan OCR damage.	alignment_damage_exact_review_20260806	tibetan_ocr_corrected_observation
wts_9_m	168	33	2	སྤྲོ	སྤོ	reviewed_exact_tibetan_headword_subjoined_ocr	The exact miṅ spo 'Namenswechsel' lexical identity and Latin spo establish that the subjoined r is Tibetan OCR damage.	alignment_damage_exact_review_20260806	tibetan_ocr_corrected_observation
wts_1_34	1048	82	1	ཐྲོས	ཐོས	reviewed_exact_tibetan_headword_subjoined_ocr	The exact thos sgrog 'Hörer' entry, its adjacent thos sgrags 'Hörer' sibling, and the continuous thos lemma run establish ཐོས.	alignment_damage_exact_review_20260806	tibetan_ocr_corrected_observation
wts_1_34	1048	82	2	སློག	སྒྲོག	reviewed_exact_tibetan_headword_root_ocr	The exact thos sgrog 'Hörer' identity and independent clean སྒྲོག/sgrog entries establish the intended Tibetan root stack; Latin sgrog is retained.	alignment_damage_exact_review_20260806	tibetan_ocr_corrected_observation
