frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	anchor_provenance	anchor_identity	lemma_identity_evidence	manual_review_rationale	context_excerpt
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	219	44	2	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	སྐྱོན་བགྲང་ skyon bgran Kurzf. für skyon du bgran
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	219	127	3	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	སྐྱོན་དུ་བགྲང་བ་ skyon du bgran ba Tskyon bgran.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	424	82	1	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	བགྲང་ bgran zählen, rechnen; ¬ du med uner-
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	424	141	1	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	བགྲང་ཝྲེང་ bgran phren Gebetskette.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	424	178	1	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	བགྲང་ཡས་ bgran yas auch bgran yal eine hohe
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	424	188	1	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	བགྲང་ཡོལ་ bgran yol eine hohe Zahl.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	547	174	2	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	མངན་བགྲང་ mnan bgran \rnan bgran.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	560	16	2	བགྲང	bgran	bgraṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྔན་བགྲང་ rnan bgran auch mnan bgran [.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	918	174	6	རྟིང	rtin	rtiṅ	echo	explicit_same_lemma_repetition	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_lemma_repetition	Frozen for explicit A/D/R/RE review.	རྟིང་ནས་སྐྱེས་པ་ rtin nas skyes pa auch rtin skyes
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	919	3	6	རྟིང	rtin	rtiṅ	echo	cross_reference_probable	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	cross_reference_probable	Frozen for explicit A/D/R/RE review.	རྟིང་འབྲང་བ་ rtin ’braṅ ba Gefährte; vgl. !rtin
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	157	25	2	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྐང་རྟིང་ rkaṅ rtin Ferse.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	918	166	1	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྟིང་སྐྱེས་ rtin skyes Irtin nas skyes pa.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	918	174	1	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྟིང་ནས་སྐྱེས་པ་ rtin nas skyes pa auch rtin skyes
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	919	3	1	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྟིང་འབྲང་བ་ rtin ’braṅ ba Gefährte; vgl. !rtin
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	919	25	1	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྟིང་སོར་ rtin sor in Zukunft, später.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	919	36	1	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	རྟིང་ལྷམ་ rtin lham Halbschuh.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	1203	75	2	རྟིང	rtin	rtiṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_8_b:252:37:3:rtiṅ	explicit_same_entry_repetition	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	དེ་རྟིང་ de rtin Kurzf. für de’i rtiṅ la dann, da-
