tibetan_syllable	prefix	superscript	root_consonant	subjoined_consonants	vowel	suffix_coda	post_suffix	orthographic_stack	ambiguous_root_candidates	role_parse_status	role_parse_confidence	rationale
ཀིའང					i					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀིའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀིར			ཀ		i	ར		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིརྟི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀིས			ཀ		i	ས		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིསྤི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུ			ཀ		u			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུཀྐུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུག			ཀ		u	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུང			ཀ		u	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུངྐུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུད			ཀ		u	ད		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུན			ཀ		u	ན		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུནཏུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུནྡའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུནྡྷ			ན	དཧ	u			ནདཧ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀུབ			ཀ		u	བ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུམ			ཀ		u	མ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུའང					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀུར			ཀ		u	ར		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུལླེའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀུས			ཀ		u	ས		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀུསྨ		ས	མ		u			སམ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀེ			ཀ		e			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེག			ཀ		e	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེང			ཀ		e	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེད			ཀ		e	ད		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེམ			ཀ		e	མ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀེར			ཀ		e	ར		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀེས			ཀ		e	ས		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོ			ཀ		o			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོག			ཀ		o	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོགས			ཀ		o	ག	ས	ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོང			ཀ		o	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོད			ཀ		o	ད		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོན			ཀ		o	ན		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོབ			ཀ		o	བ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོམ			ཀ		o	མ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀོར			ཀ		o	ར		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོལ			ཀ		o	ལ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོས			ཀ		o	ས		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀོསྟུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀོིཀ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀོཿ					o					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཀཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ཀཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ཀྐུགས			ཀ	ཀ	u	ག	ས	ཀཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྐོ			ཀ	ཀ	o			ཀཀ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྐྱལ			ཀ	ཀཡ	a	ལ		ཀཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྨརྨ			ཀ	མམ	a	ར		ཀམམ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྩེ			ཀ	ཙ	e			ཀཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྭ			ཀ	ཝ	a			ཀཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྭམཱར					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀྭའི			ཀ	ཝ	i	འ		ཀཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྭར			ཀ	ཝ	a	ར		ཀཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱ			ཀ	ཡ	a			ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱག			ཀ	ཡ	a	ག		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱང			ཀ	ཡ	a	ང		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱད			ཀ	ཡ	a	ད		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱབ			ཀ	ཡ	a	བ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱམ			ཀ	ཡ	a	མ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱམས			ཀ	ཡ	a	མ	ས	ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱའོ			ཀ	ཡ	o	འ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱར			ཀ	ཡ	a	ར		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱལ			ཀ	ཡ	a	ལ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱས			ཀ	ཡ	a	ས		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱི			ཀ	ཡ	i			ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིང			ཀ	ཡ	i	ང		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིཏྲ			ཀ	ཡར	i			ཀཡར	ཏ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀྱིད			ཀ	ཡ	i	ད		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིན			ཀ	ཡ	i	ན		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིབ			ཀ	ཡ	i	བ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིམ			ཀ	ཡ	i	མ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིའ			ཀ	ཡ	i	འ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀྱིའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀྱིར			ཀ	ཡ	i	ར		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིལ			ཀ	ཡ	i	ལ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱིས			ཀ	ཡ	i	ས		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུ			ཀ	ཡ	u			ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུག			ཀ	ཡ	u	ག		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུང			ཀ	ཡ	u	ང		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུད			ཀ	ཡ	u	ད		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུར			ཀ	ཡ	u	ར		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱུས			ཀ	ཡ	u	ས		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེ			ཀ	ཡ	e			ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེད			ཀ	ཡ	e	ད		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེན			ཀ	ཡ	e	ན		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེམ			ཀ	ཡ	e	མ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀྱེར			ཀ	ཡ	e	ར		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱེལ			ཀ	ཡ	e	ལ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོ			ཀ	ཡ	o			ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོག			ཀ	ཡ	o	ག		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོང			ཀ	ཡ	o	ང		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོད			ཀ	ཡ	o	ད		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོན			ཀ	ཡ	o	ན		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོར			ཀ	ཡ	o	ར		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྱོལ			ཀ	ཡ	o	ལ		ཀཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲ			ཀ	ར	a			ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲཁ			ཀ	ར	a			ཀར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀྲག			ཀ	ར	a	ག		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲང			ཀ	ར	a	ང		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲད			ཀ	ར	a	ད		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲབ			ཀ	ར	a	བ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲམ			ཀ	ར	a	མ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲའ			ཀ	ར	a	འ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲས			ཀ	ར	a	ས		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲི			ཀ	ར	i			ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲིག			ཀ	ར	i	ག		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲིགས			ཀ	ར	i	ག	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲིམ			ཀ	ར	i	མ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲིམས			ཀ	ར	i	མ	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲིལ			ཀ	ར	i	ལ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲུ			ཀ	ར	u			ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲུགས			ཀ	ར	u	ག	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲུང			ཀ	ར	u	ང		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲུམས			ཀ	ར	u	མ	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲེ			ཀ	ར	e			ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲེང			ཀ	ར	e	ང		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲེའ			ཀ	ར	e	འ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོ			ཀ	ར	o			ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོག			ཀ	ར	o	ག		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོང			ཀ	ར	o	ང		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོངས			ཀ	ར	o	ང	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོམས			ཀ	ར	o	མ	ས	ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོར			ཀ	ར	o	ར		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོལ			ཀ	ར	o	ལ		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲོས			ཀ	ར	o	ས		ཀར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀྲྭབ			ཀ	རཝ	a	བ		ཀརཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླ			ཀ	ལ	a			ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླག			ཀ	ལ	a	ག		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླགས			ཀ	ལ	a	ག	ས	ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླང			ཀ	ལ	a	ང		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླད			ཀ	ལ	a	ད		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླན			ཀ	ལ	a	ན		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླམ			ཀ	ལ	a	མ		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླལ			ཀ	ལ	a	ལ		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླས			ཀ	ལ	a	ས		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླིང			ཀ	ལ	i	ང		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླིངས			ཀ	ལ	i	ང	ས	ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླིམྨི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀླུ			ཀ	ལ	u			ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུང			ཀ	ལ	u	ང		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུན			ཀ	ལ	u	ན		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུབ			ཀ	ལ	u	བ		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུབས			ཀ	ལ	u	བ	ས	ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུམ			ཀ	ལ	u	མ		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀླུའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀླུས			ཀ	ལ	u	ས		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློ			ཀ	ལ	o			ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློག			ཀ	ལ	o	ག		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློགས			ཀ	ལ	o	ག	ས	ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློང			ཀ	ལ	o	ང		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློངས			ཀ	ལ	o	ང	ས	ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློན			ཀ	ལ	o	ན		ཀལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཀློའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཁ			ཁ		a			ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁཀྱཏྲལ			ཀ	ཡར	a	ལ		ཀཡར	ཁ;ཏ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁཀྲགས			ཀ	ར	a	ག	ས	ཀར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁཀྲང			ཀ	ར	a	ང		ཀར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁག			ཁ		a	ག		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁགྲེགས			ག	ར	e	ག	ས	གར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁང			ཁ		a	ང		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁངས			ཁ		a	ང	ས	ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁངེས			ཁ		e	ང	ས	ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁཅའ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁཅུ					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁཆུ					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁཉུ					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁཉྲིང			ཉ	ར	i	ང		ཉར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁཏྱིམ			ཏ	ཡ	i	མ		ཏཡ	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁཏྱོལ			ཏ	ཡ	o	ལ		ཏཡ	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁཐོབ					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁད			ཁ		a	ད		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁན			ཁ		a	ན		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁནྡ			ན	ད	a			ནད	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁབ			ཁ		a	བ		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁབང					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབཅས					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབཅོས					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབམ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབའ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབསླ			ས	ལ	a			སལ	ཁ;བ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁབེངས					e					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁབྱཏྲང			བ	ཡར	a	ང		བཡར	ཁ;ཏ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁབྲང			བ	ར	a	ང		བར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁབྲས			བ	ར	a	ས		བར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁབྲིང			བ	ར	i	ང		བར	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁམ			ཁ		a	མ		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁམས			ཁ		a	མ	ས	ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁམློ			མ	ལ	o			མལ	ཁ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཁའ			ཁ		a	འ		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཁའཁང					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཁའི			ཁ		i	འ		ཁ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
