volume	page	line	corrected_exact_tokens	current_line	remaining_damaged_segment	classification	internal_evidence	next_action
wts_1_34	1159	51	khan → khaṅ	དུད་ཁང་ dud khaṅ Badehaus; vgl. [%//95 khan,	[%//95 khan	later_gloss_or_commentary_damage	The Tibetan ཁང and first Latin khaṅ align exactly; the damaged later comparison is outside the aligned headword phrase.	Keep the comparison unchanged for a separate damaged cross-reference analysis.
wts_1_34	360	20	gon → goṅ	གོང་གཉའ་ goṅ £77° Nacken, Oberes.	£77°	latin_headword_overlap	The first token aligns exactly with Tibetan གོང; Tibetan གཉའ suggests a reading such as gña', but the damaged glyphs do not uniquely establish the printed Latin form.	Retain £77° and review the proposed gña' reading separately.
wts_1_34	360	143	gon → goṅ	གོང་པོ་ ’goṅ po Kragen; vgl. Igor ba.	leading ’ before goṅ	neighbouring_transliteration_discrepancy	Tibetan གོང lacks the prefixed letter represented by the apostrophe; the final-nasal correction is secure, but whether the mark is OCR noise or punctuation is a separate exact decision.	Retain and explicitly review the apostrophe; do not conflate this row with Tibetan འགོང.
wts_1_34	950	164	ston → stoṅ	སྟོང་ 'stoṅ	leading ' before stoṅ	neighbouring_transliteration_discrepancy	Tibetan སྟོང has no prefix corresponding to the apostrophe; final-ṅ is secure but the leading mark requires separate review.	Retain the apostrophe pending an exact punctuation/OCR decision.
wts_1_34	951	77	ston → stoṅ	སྟོང་ ’stoṅ pf. \'storis.	leading ’ before stoṅ	neighbouring_transliteration_discrepancy	Tibetan སྟོང has no prefix corresponding to the apostrophe; final-ṅ is secure but the leading mark requires separate review.	Retain the apostrophe and the later cited form unchanged.
wts_1_34	952	51	ston → stoṅ	སྟོང་ ’stoṅ Ython.	leading ’ before stoṅ	neighbouring_transliteration_discrepancy	Tibetan སྟོང has no prefix corresponding to the apostrophe; final-ṅ is secure but the leading mark requires separate review.	Retain the apostrophe and damaged later form unchanged.
wts_1_34	952	106	ston → stoṅ	སྟོང་གྲོགས་ stoṅ grogs 4570715 grogS.	4570715 grogS	later_gloss_or_commentary_damage	The exact སྟོང / stoṅ alignment precedes the damaged repeated expression.	Review the later repetition separately.
wts_1_34	952	164	ston → stoṅ	སྟོང་ཉིད་ stoṅ nid [6702 2.	[6702 2	later_gloss_or_commentary_damage	The exact སྟོང / stoṅ alignment precedes the damaged later reference.	Retain the later damage for a separate reference review.
wts_1_34	952	171	ston → stoṅ	སྟོང་གཉེར་ stoṅ 97707ˆ Verwalter für das Tau-	97707ˆ	latin_headword_overlap	The first token aligns exactly with Tibetan སྟོང; Tibetan གཉེར suggests gñer, but the damaged source glyphs require separate exact review.	Retain 97707ˆ and review proposed gñer separately.
wts_1_34	952	181	ston → stoṅ	སྟོང་སྟེགས་ stoṅ $77005 für nichts und wieder	$77005	latin_headword_overlap	The first token aligns exactly with Tibetan སྟོང; Tibetan སྟེགས suggests stegs, but the damaged source glyphs require separate exact review.	Retain $77005 and review proposed stegs separately.
wts_1_34	953	122	ston → stoṅ	སྟོང་གསུམ་ stoṅ gsum dreitausend bzw. 1000),	1000)	later_gloss_or_commentary_damage	The exact སྟོང / stoṅ alignment is unaffected by the later numeral and punctuation.	Retain the later gloss punctuation unchanged.
wts_1_34	96	165	kon → koṅ	ཀོང་ "koṅ	leading " before koṅ	neighbouring_transliteration_discrepancy	Tibetan ཀོང has no prefix corresponding to the quote-like mark; final-ṅ is secure.	Retain the mark pending separate punctuation/OCR review.
wts_1_34	96	214	kon → koṅ	ཀོང་ 'koṅ ausgehöhlt, holprig, vgl. Ikon kon;	leading ' before koṅ	neighbouring_transliteration_discrepancy	Tibetan ཀོང has no prefix corresponding to the apostrophe; final-ṅ is secure.	Retain the apostrophe and later cited forms unchanged.
wts_1_34	97	18	kon → koṅ	ཀོང་ཀྭ་ན་ koṅ ku na 1]/©60/7 ka na.	1]/©60/7	later_gloss_or_commentary_damage	The exact ཀོང / koṅ alignment precedes a damaged alternate expression.	Retain the alternate expression for separate review.
wts_1_34	97	158	kon → koṅ	ཀོང་པོ་ 'koṅ po Opferschale; vgl. Ikon bu.	leading ' before koṅ	neighbouring_transliteration_discrepancy	Tibetan ཀོང has no prefix corresponding to the apostrophe; final-ṅ is secure.	Retain the apostrophe pending separate review.
wts_1_34	98	51	kon → koṅ	ཀོང་མོ་ 'koṅ mo	leading ' before koṅ	neighbouring_transliteration_discrepancy	Tibetan ཀོང has no prefix corresponding to the apostrophe; final-ṅ is secure.	Retain the apostrophe pending separate review.
wts_1_34	98	104	kon → koṅ	901,3). ཀོང་མོ་ 'koṅ mo tiefe Höhle.	leading ' before koṅ; preceding citation	neighbouring_transliteration_discrepancy	The Tibetan and Latin headword remain exactly aligned despite the preceding citation; the apostrophe is a separate discrepancy.	Retain both citation and apostrophe unchanged.
wts_1_34	98	114	kon → koṅ	ཀོང་མོ་ "koṅ mo Frau oder Mädchen aus Kon-po.	leading " before koṅ	neighbouring_transliteration_discrepancy	Tibetan ཀོང has no prefix corresponding to the quote-like mark; final-ṅ is secure.	Retain the mark pending separate review.
wts_1_34	393	191	glan → glaṅ	གླང་འཐབ་ glaṅ ’thab †2/%7 thabs.	†2/%7 thabs	damaged_reference	The aligned གླང / glaṅ token is secure, but the later comparison is too damaged to reconstruct from this entry alone.	Retain for separate internal-parallel review; do not alter as part of the glaṅ family.
wts_8_b	39	51	glah → glaṅ	བན་གླང་མོ་ ban glaṅ mo Ibal glari mo.	Ibal glari mo	damaged_reference	The aligned གླང / glaṅ token is secure; the later damaged cross-reference may echo bal glaṅ mo but is not exact enough for reconstruction.	Retain the damaged cross-reference unchanged pending separate evidence.
wts_8_b	68	56	glan → glaṅ (same-entry echo)	བལ་གླང་མོ་ bal glaṅ no auch ban glaṅ mo Ele-	no; ban	neighbouring_transliteration_discrepancy	The later glaṅ independently repeats གླང after auch; no and ban remain separate likely OCR discrepancies.	Review no → mo and ban → bal only as a separate exact family.
wts_1_34	1066	121	mthon → mthoṅ	མཐོང་ཉམས་ mthoṅ /74/775 Schverlust.	/74/775; Schverlust	damaged_headword_continuation	The initial མཐོང / mthoṅ alignment is exact; the following lexical transcription remains damaged.	Retain neighbouring damage for a separate exact reconstruction.
wts_1_34	896	204	gton → gtoṅ	གཏོང་ལྡན་ gtoṅ ldan tgton dan ldan pa.	tgton dan ldan pa	damaged_reference	The aligned གཏོང / gtoṅ token is exact, but the attached t and following expression require independent marker and lexical reconstruction.	Defer the complete attached token; do not apply a substring final-ng correction.
wts_1_34	897	61	gton → gtoṅ	གཏོང་བྱེད་ 'gtoṅ byed Ausgaben; hier: Lebens-	leading apostrophe before gtoṅ	neighbouring_transliteration_discrepancy	The final nasal is exact; Tibetan གཏོང is unprefixed, so the apostrophe remains a separate discrepancy.	Preserve the apostrophe pending a bounded punctuation review.
wts_1_34	897	85	gton → gtoṅ	གཏོང་གཞི་ gtoṅ 0277 Grundlage für die Bestrei-	0277	damaged_headword_continuation	The aligned གཏོང / gtoṅ token is exact; the Latin rendering of གཞི remains unreadable.	Retain 0277 unchanged pending independent internal evidence.
wts_8_b	544	15	previously corrected gtoṅ control	སྤོད་གཏོང་ sbod gtoṅ Yrbod gton.	Yrbod gton	damaged_reference	The first gtoṅ is already secure, but the damaged later expression does not independently establish an echo.	Keep the later gton deferred until a clean internal parallel resolves the reference.
wts_1_34	948	153	steh → steṅ	སྟེང་གི་ཐོག་ steṅ 07 thog Isten thog.	07; Isten	damaged_headword_continuation	The exact སྟེང / steṅ token is secure, while the following transcription and marker-like form remain damaged.	Retain neighbouring damage for a separate bounded reconstruction.
wts_1_34	934	122	khun → khuṅ (positional and echo)	ལྟེ་ཁུང་ lte khuṅ auch //¢ ba khuṅ Bauchnabel.	//¢ ba	damaged_reference	Both khuṅ tokens are independently secure; the preceding alternate-form token remains damaged.	Retain the damaged token for a separate lexical reconstruction.
wts_1_34	962	9	khun → khuṅ	སྟོར་ཁུང་ stor khuṅ [།2/07 khun.	[།2/07 khun	damaged_reference	The aligned ཁུང / khuṅ token is secure; the later damaged reference remains unresolved.	Keep the later khun deferred pending a clean internal parallel.
wts_1_34	771	25	gun → guṅ	ཉི་མ་གུང་ ri ma guṅ Wii /7777 gun.	ri ma; Wii /7777 gun	damaged_reference	The aligned གུང / guṅ token is secure; the later damaged expression cannot be identified independently.	Keep the later gun deferred pending a clean internal parallel.
wts_1_34	771	27	gun → guṅ (positional and echo)	ཉི་མ་གུང་པ་ fi ma guṅ pa auch /7/ ma’i guṅ	ཉི/fi; /7/	neighbouring_lexical_damage	Both guṅ tokens are secure from entry structure; neighbouring OCR damage remains unresolved.	Review the damaged ñi/fi and reference prefix separately.
wts_35_51	699	55	guh/gun → guṅ	པུ་དེ་གུང་རྒྱལ་ pu de guṅ rgyal Ispu de guṅ rgyal:	Ispu	damaged_reference	Both guṅ tokens are secure from the repeated complete name; the leading reference remains damaged.	Review the leading reference marker separately.
wts_8_b	177	50	byan → byaṅ echo	བྱང་སྨན་ byaṅ sman Kurzf. für byaṅ /?/// mig	/?///	damaged_reference	The repeated byaṅ token is secure; the following damaged reference remains unresolved.	Retain the damaged following expression for separate review.
wts_8_b	179	7	byan → byaṅ	བྱང་སེམས་ ?byaṅ sems Tbyan chub sems dpa'.	?; Tbyan	damaged_reference	The aligned བྱང / byaṅ token is secure; the later marker-attached form remains unresolved.	Keep Tbyan separate for future reference-marker analysis.
wts_1_34	194	167	sen echoes deferred	AN ང་སེང་པོ་ skya bo sen sen po \skya sen sen	AN ང; four sen tokens; backslash	damaged_reference	The damaged entry does not establish the four later sen tokens independently.	Retain all four tokens for a separate reconstruction.
wts_1_34	945	72	sen → seṅ	སྟབ་སེང་ stab seṅ \stabs sen.	\stabs sen	damaged_reference	The aligned seṅ token is secure; the backslash reference remains unresolved.	Keep the later sen deferred pending reference-marker analysis.
wts_1_34	792	86	son → soṅ	ཉེར་སོང་ ner soṅ tie bar son.	tie bar son	damaged_reference	The aligned སོང / soṅ token is secure; the damaged later expression does not establish its son independently.	Keep the later son deferred pending a clean internal parallel.
