code_point	unicode_name	sign_class	syllable_count	occurrence_count	domains	sample_syllables	parser_treatment	composition_safe
U+0F4F	TIBETAN LETTER TA	base_consonant	219	220	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཏོལ;ཀིཏྟའི;ཀུནཏུ;ཀྱིཏྲ;ཁཀྱཏྲལ;ཁཏྱིམ;ཁཏྱོལ;ཁབྱཏྲང;གཏ;གཏག;གཏགས;གཏང;གཏཏམ;གཏད;གཏན;གཏབ;གཏབས;གཏམ;གཏམས;གཏའ	parsed_consonant	yes
U+0F50	TIBETAN LETTER THA	base_consonant	178	178	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁཐོབ;ཅྭཐོ;ཆཐོང;ཐ;ཐག;ཐགས;ཐང;ཐངས;ཐཆུ;ཐད;ཐན;ཐཔས;ཐབ;ཐབཔ;ཐབས;ཐབྲེབ;ཐམ;ཐམས;ཐའ;ཐའི	parsed_consonant	yes
U+0F51	TIBETAN LETTER DA	base_consonant	1009	1048	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀད;ཀུད;ཀེད;ཀོད;ཀྱད;ཀྱིད;ཀྱུད;ཀྱེད;ཀྱོད;ཀྲད;ཀླད;ཁད;ཁུད;ཁུུད;ཁེད;ཁོད;ཁྱད;ཁྱུད;ཁྱེད;ཁྲད	parsed_consonant	yes
U+0F53	TIBETAN LETTER NA	base_consonant	620	627	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀན;ཀནྡྲ;ཀནྡྷ;ཀིན;ཀུན;ཀུནཏུ;ཀུནྡའི;ཀུནྡྷ;ཀོན;ཀྱིན;ཀྱེན;ཀྱོན;ཀླན;ཀླུན;ཀློན;ཁན;ཁནྡ;ཁིིན;ཁུན;ཁེན	parsed_consonant	yes
U+0F54	TIBETAN LETTER PA	base_consonant	150	151	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གདཔ;གནཔ;ངཀཔ;ངཔང;ཅཔ;ཆུཔ;ཏོཔ;ཐཔས;ཐབཔ;ཐོཔ;དཔག;དཔགས;དཔང;དཔངས;དཔན;དཔའ;དཔའཞུམ;དཔའི;དཔར;དཔལ	parsed_consonant	yes
U+0F55	TIBETAN LETTER PHA	base_consonant	246	246	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	དཕྱིད;པཕུས;ཕ;ཕག;ཕགས;ཕང;ཕཉྟམྨ;ཕཊ;ཕད;ཕན;ཕབ;ཕབས;ཕབྲ;ཕམ;ཕའི;ཕར;ཕརཞོག;ཕརཤ;ཕལ;ཕས	parsed_consonant	yes
U+0F56	TIBETAN LETTER BA	base_consonant	1588	1684	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀབ;ཀབེི;ཀུབ;ཀོབ;ཀྱབ;ཀྱིབ;ཀྲབ;ཀྲྭབ;ཀླུབ;ཀླུབས;ཁཐོབ;ཁབ;ཁབང;ཁབཅས;ཁབཅོས;ཁབམ;ཁབའ;ཁབསླ;ཁབེངས;ཁབྱཏྲང	parsed_consonant	yes
U+0F58	TIBETAN LETTER MA	base_consonant	875	891	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀམ;ཀམས;ཀམསྨ;ཀམྨི;ཀམློ;ཀརྐམ;ཀིམ;ཀུམ;ཀེམ;ཀོམ;ཀྭམཱར;ཀྱམ;ཀྱམས;ཀྱིམ;ཀྱེམ;ཀྲམ;ཀྲིམ;ཀྲིམས;ཀྲུམས;ཀྲོམས	parsed_consonant	yes
U+0F59	TIBETAN LETTER TSA	base_consonant	49	49	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཙོ;གཅཙང;གཙ;གཙང;གཙངས;གཙིགས;གཙུག;གཙུགས;གཙེར;གཙེས;གཙོ;གཙོར;ཅཙམ;བཅཙན;བཙངས;བཙདཔོ;བཙན;བཙའ;བཙལ;བཙས	parsed_consonant	yes
U+0F5A	TIBETAN LETTER TSHA	base_consonant	100	100	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཆམཚོན;ཆཚལ;བཚྭ;མཆཚན;མཚ;མཚང;མཚན;མཚམས;མཚའ;མཚར;མཚལ;མཚུངས;མཚུར;མཚུལ;མཚེས;མཚོ;མཚོན;མཚོའི;མཚོར;མིའཚོ	parsed_consonant	yes
U+0F5B	TIBETAN LETTER DZA	base_consonant	66	66	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གའཛིན;བཛ;བཛྫོས;བཛྲ;མཛངས;མཛད;མཛའ;མཛར;མཛིང;མཛུན;མཛུབ;མཛེས;མཛོད;མཛོར;མཛོཿ;ཛ;ཛང;ཛཇན;ཛཕབ;ཛཱ	parsed_consonant	yes
U+0F5D	TIBETAN LETTER WA	base_consonant	21	21	historical_observation;ordinary_tibetan_lexical_or_compound;tibetan_proper_name	ཝ;ཝང;ཝན;ཝམ;ཝཱ;ཝི;ཝེམ;ཝོ;ཝོམ;ཝྔ;ཝྔན;ཝྡན;ཝྫིང;ཝྫིབས;ཝྭང;ཝྲ;ཝྲང;ཝྲི;ཝྲིང;ཝྲེང	parsed_consonant	yes
U+0F5E	TIBETAN LETTER ZHA	base_consonant	133	133	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གཞག;གཞང;གཞད;གཞན;གཞར;གཞལ;གཞས;གཞི;གཞིག;གཞིགས;གཞིན;གཞིབས;གཞིས;གཞུ;གཞུག;གཞུགས;གཞུང;གཞེ;གཞོགས;གཞོད	parsed_consonant	yes
U+0F5F	TIBETAN LETTER ZA	base_consonant	119	119	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གཟན;གཟབས;གཟའ;གཟའར;གཟར;གཟས;གཟི;གཟིགས;གཟིངས;གཟིར;གཟུག;གཟུགས;གཟུགསྣ;གཟུང;གཟུངས;གཟེགས;གཟེབ;གཟེར;གཟོ;གཟོགས	parsed_consonant	yes
U+0F60	TIBETAN LETTER -A	base_consonant	1104	1136	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀའ;ཀའི;ཀའུ;ཀིཏྟའི;ཀིའང;ཀིའུ;ཀུནྡའི;ཀུའང;ཀུལླེའི;ཀེའུ;ཀོའུ;ཀྭའི;ཀྱའོ;ཀྱིའ;ཀྱིའི;ཀྱིའུ;ཀྱེའུ;ཀྲའ;ཀྲེའ;ཀླུའི	parsed_consonant	yes
U+0F61	TIBETAN LETTER YA	base_consonant	88	89	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གཡག;གཡང;གཡའ;གཡར;གཡལ;གཡས;གཡིངས;གཡུ;གཡུང;གཡུལ;གཡེ;གཡེང;གཡེངས;གཡེན;གཡེར;གཡེལ;གཡོ;གཡོག;གཡོགས;གཡོན	parsed_consonant	yes
U+0F62	TIBETAN LETTER RA	base_consonant	1059	1092	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀར;ཀརཉྱ;ཀརྐ;ཀརྐམ;ཀརྐས;ཀརྙི;ཀརྟི;ཀརྡེ;ཀརྡྷ;ཀརྣི;ཀརྨ;ཀརྲོང;ཀིར;ཀིརྟི;ཀུར;ཀེར;ཀོར;ཀྨརྨ;ཀྭམཱར;ཀྭར	parsed_consonant	yes
U+0F63	TIBETAN LETTER LA	base_consonant	695	698	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགྲོལ;ཀཏོལ;ཀལ;ཀཱལླེ;ཀུལླེའི;ཀོལ;ཀྐྱལ;ཀྱལ;ཀྱིལ;ཀྱེལ;ཀྱོལ;ཀྲིལ;ཀྲོལ;ཀླལ;ཁཀྱཏྲལ;ཁཏྱོལ;ཁལ;ཁལས;ཁལེ;ཁལོ	parsed_consonant	yes
U+0F64	TIBETAN LETTER SHA	base_consonant	120	121	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཤེང;གཤ;གཤགས;གཤང;གཤངས;གཤམ;གཤར;གཤལ;གཤིན;གཤིམ;གཤིས;གཤུང;གཤེ;གཤེག;གཤེགས;གཤེད;གཤེན;གཤེར;གཤེས;གཤོག	parsed_consonant	yes
U+0F66	TIBETAN LETTER SA	base_consonant	2157	2471	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགླས;ཀམས;ཀམསྨ;ཀརྐས;ཀས;ཀསེོང;ཀིས;ཀིསྤི;ཀུས;ཀུསྨ;ཀེས;ཀོགས;ཀོས;ཀོསྟུ;ཀྐུགས;ཀྱམས;ཀྱས;ཀྱིས;ཀྱུས;ཀྲས	parsed_consonant	yes
U+0F67	TIBETAN LETTER HA	base_consonant	39	39	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	དརཱཧ;བྱཧ;ཧ;ཧགས;ཧང;ཧད;ཧན;ཧབ;ཧམ;ཧར;ཧལ;ཧཱ;ཧཱནྟ;ཧཱཾ;ཧཱཿ;ཧི;ཧིཿ;ཧུ;ཧུང;ཧུད	parsed_consonant	yes
U+0F68	TIBETAN LETTER A	base_consonant	28	28	ordinary_tibetan_lexical_or_compound;tibetan_proper_name;unclear	ཆཨ;དཨམག;བཅོཨ;འགྲོཨཊ;ཨ;ཨག;ཨངས;ཨཉན;ཨཉམ;ཨཐའ;ཨཐུར;ཨད;ཨར;ཨས;ཨཱ;ཨི;ཨུ;ཨུན;ཨེ;ཨེད	parsed_consonant	yes
U+0F71	TIBETAN VOWEL SIGN AA	length_sign	76	79	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཀཱ;ཀཱ;ཀཱལླེ;ཀཱི;ཀཱུ;ཀཱྩ;ཀྭམཱར;ཁཱ;ཁཱང;ཁཱས;གཱ;ངཱ;ཆཱ;ཆཱེ;ཆྲཱང;ཉཱ;ཌཱཀི;ཏཱ;ཏཱཱ;ཏཱི	unsupported_vowel_length	no
U+0F72	TIBETAN VOWEL SIGN I	supported_vowel	930	954	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀབེི;ཀམྨི;ཀའི;ཀརྙི;ཀརྟི;ཀརྣི;ཀཱི;ཀི;ཀིག;ཀིང;ཀིངྐ;ཀིཏྟའི;ཀིན;ཀིམ;ཀིའང;ཀིའུ;ཀིར;ཀིརྟི;ཀིས;ཀིསྤི	parsed_vowel	yes
U+0F74	TIBETAN VOWEL SIGN U	supported_vowel	1069	1085	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀའུ;ཀཱུ;ཀིའུ;ཀུ;ཀུཀྐུ;ཀུག;ཀུང;ཀུངྐུ;ཀུད;ཀུན;ཀུནཏུ;ཀུནྡའི;ཀུནྡྷ;ཀུབ;ཀུམ;ཀུའང;ཀུར;ཀུལླེའི;ཀུས;ཀུསྨ	parsed_vowel	yes
U+0F7A	TIBETAN VOWEL SIGN E	supported_vowel	932	939	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀབེི;ཀརྡེ;ཀཤེང;ཀསེོང;ཀཱལླེ;ཀུལླེའི;ཀེ;ཀེག;ཀེང;ཀེད;ཀེམ;ཀེའུ;ཀེར;ཀེས;ཀྩེ;ཀྱེ;ཀྱེད;ཀྱེན;ཀྱེམ;ཀྱེའུ	parsed_vowel	yes
U+0F7C	TIBETAN VOWEL SIGN O	supported_vowel	1292	1298	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགྲོལ;ཀཏོལ;ཀམློ;ཀཙོ;ཀརྲོང;ཀསེོང;ཀོ;ཀོག;ཀོགས;ཀོང;ཀོད;ཀོན;ཀོབ;ཀོམ;ཀོའུ;ཀོར;ཀོལ;ཀོས;ཀོསྟུ;ཀོིཀ	parsed_vowel	yes
U+0F7E	TIBETAN SIGN RJES SU NGA RO	anusvara_or_visarga_like_sign	51	51	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཾ;ཁཾ;གཾ;གྲོཾཿ;གླཾ;ངོཾ;ཅཾ;ཆཾ;ཇཾས;ཉཾ;ཉཾག;ཉཾང;ཉཾན;ཉཾར;ཊཾ;ཏཾ;ཏཾག;ཏྟཾ;ཏྟཾག;དཾ	unsupported_indic_coda	no
U+0F7F	TIBETAN SIGN RNAM BCAD	anusvara_or_visarga_like_sign	44	44	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀོཿ;ཀཿ;གཿ;གྲོཾཿ;གྲོཿ;ངཿ;ཆོཿ;ཆཿ;ཐོཿ;དུཿཁ;དོཿ;དཿ;ནཿ;པཿ;བརྗོཿ;བུཿ;བོཿ;བློཿ;མཆོཿ;མདོཿ	unsupported_indic_coda	no
U+0F90	TIBETAN SUBJOINED LETTER KA	subjoined_consonant	252	252	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརྐ;ཀརྐམ;ཀརྐས;ཀིངྐ;ཀུཀྐུ;ཀུངྐུ;ཀྐུགས;ཀྐོ;ཀྐྱལ;གརྐཆ;གྐནས;ཅུསྐོ;ནིངྐ;པརྐ;པུཀྐ;བཀྐོ;བཞབགྐྱ;བརརྐྱད;བརྐང;བརྐན	parsed_subjoined_consonant	yes
U+0F92	TIBETAN SUBJOINED LETTER GA	subjoined_consonant	234	234	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁརྒྱ;ཁྒོ;ཁྒོན;གཞྒོན;གསྒམ;གྒ;གྒང;གྒན;གྒམ;གྒལ;གྒུགས;གྒོ;གྒོག;གྒོང;གྒོའི;གྒྨྲ;གྒྱམ;གྒྲ;གྒྲུགས;ཆྒན	parsed_subjoined_consonant	yes
U+0F94	TIBETAN SUBJOINED LETTER NGA	subjoined_consonant	84	84	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ངྔ;ཆྔགས;ཇྔ;ཌྔ;བརྔ;བརྔངས;བརྔན;བརྔམ;བརྔོད;བརྔོན;བརྔོར;བལྔག;བལྔབ;བལྔས;བསྔགས;བསྔམ;བསྔར;བསྔལ;བསྔས;བསྔུས	parsed_subjoined_consonant	yes
U+0F95	TIBETAN SUBJOINED LETTER CA	subjoined_consonant	17	17	historical_observation;ordinary_tibetan_lexical_or_compound;tibetan_proper_name;unclear	ཌྕོགས;རྕེ;ལྕག;ལྕགས;ལྕང;ལྕམ;ལྕི;ལྕིགས;ལྕིབས;ལྕུག;ལྕེ;ལྕེག;ལྕེབས;ལྕོག;ལྕོགས;ལྕོང;ལྷྕགས	parsed_subjoined_consonant	yes
U+0F97	TIBETAN SUBJOINED LETTER JA	subjoined_consonant	42	42	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཆྗེ;བརྗད;བརྗིད;བརྗེ;བརྗེང;བརྗེད;བརྗེབ;བརྗེས;བརྗོང;བརྗོད;བརྗོཿ;བྗེ;རྗང;རྗི;རྗིད;རྗེ;རྗེགས;རྗེད;རྗེན;རྗེའ	parsed_subjoined_consonant	yes
U+0F99	TIBETAN SUBJOINED LETTER NYA	subjoined_consonant	98	98	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརྙི;བརྙག;བརྙངས;བརྙན;བརྙས;བརྙུར;བརྙེགས;བརྙེན;བརྙེམས;བརྙེས;བརྙོག;བརྙོགས;བརྙོད;བརྙོན;བསྙག;བསྙགས;བསྙན;བསྙབ;བསྙམས;བསྙལ	parsed_subjoined_consonant	yes
U+0F9F	TIBETAN SUBJOINED LETTER TA	subjoined_consonant	231	233	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརྟི;ཀིཏྟའི;ཀིརྟི;ཀོསྟུ;ཁྟ;ཁྟབ;ཁྟོ;ཆརྟེན;ཉྟ;ཌྟ;ཌྟེ;ཏཀྟ;ཏཀྟད;ཏསྟང;ཏྟ;ཏྟག;ཏྟང;ཏྟད;ཏྟན;ཏྟབས	parsed_subjoined_consonant	yes
U+0FA1	TIBETAN SUBJOINED LETTER DA	subjoined_consonant	183	183	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀནྡྲ;ཀནྡྷ;ཀརྡེ;ཀརྡྷ;ཀུནྡའི;ཀུནྡྷ;ཁནྡ;ཁྡོག;ཆྡེ;ཌྡེགས;དྡ;དྡེགས;དྡོ;དྡོད;ནྡི;ནྡེ;ནྡྲ;བདྡེན;བནྡེ;བནྡེའི	parsed_subjoined_consonant	yes
U+0FA3	TIBETAN SUBJOINED LETTER NA	subjoined_consonant	73	73	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརྣི;གཟུགསྣ;པུནྣ;བཟྣོག;བརཏྟྣལ;བརྣག;བརྣགས;བརྣང;བརྣན;བརྣར;བརྣོག;བསྣངས;བསྣད;བསྣན;བསྣམ;བསྣམས;བསྣར;བསྣུད;བསྣུན;བསྣུབ	parsed_subjoined_consonant	yes
U+0FA4	TIBETAN SUBJOINED LETTER PA	subjoined_consonant	160	160	historical_observation;ordinary_tibetan_lexical_or_compound;tibetan_proper_name;unclear	ཀིསྤི;ཏྤ;ཏྤལ;ཏྤྲི;དམྤ;པྤོ;ཕོགསྤ;བསྤྲིན;བྲེརྤ;འྤའི;འྤྲི;རྤ;རྤབ;ལྤགས;ལྤང;ལྤད;ལྤན;ལྤམ;ལྤའི;ལྤལ	parsed_subjoined_consonant	yes
U+0FA6	TIBETAN SUBJOINED LETTER BA	subjoined_consonant	74	74	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁསྦས;ཐྦོད;དྦ;པྦྱན;ཕྦྱིན;བྦམ;མཆྦལ;ཟྦ;རྦ;རྦད;རྦཔ;རྦབ;རྦས;རྦུ;རྦོད;ལྦ;ལྦལ;ལྦུ;ཤམྦྷི;སརྦ	parsed_subjoined_consonant	yes
U+0FA8	TIBETAN SUBJOINED LETTER MA	subjoined_consonant	116	117	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀམསྨ;ཀམྨི;ཀརྨ;ཀུསྨ;ཀྨརྨ;ཀླིམྨི;གྒྨྲ;དྨྲ;དྷརྨ;པདྨ;པདྨའི;པདྨའེ;པདྨས;པདྨོ;ཕཉྟམྨ;བརྨ;མྨི;མྨུ;མྨུག;མྨོག	parsed_subjoined_consonant	yes
U+0FA9	TIBETAN SUBJOINED LETTER TSA	subjoined_consonant	76	76	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀཱྩ;ཀྩེ;ངྩོ;ཉྩོན;པཞྩོན;པྩ;བཅྩེ;བརྩན;བརྩམས;བརྩུང;བརྩེ;བརྩེག;བརྩེགས;བརྩེལ;བརྩེས;བརྩོད;བརྩོན;བསྩལ;བསྩིངས;བསྩུང	parsed_subjoined_consonant	yes
U+0FAB	TIBETAN SUBJOINED LETTER DZA	subjoined_consonant	60	60	historical_observation;ordinary_tibetan_lexical_or_compound;tibetan_proper_name;unclear	གྫ;ཇྫག;བཛྫོས;བརྫག;བརྫགས;བརྫངས;བརྫན;བརྫས;བརྫིས;བརྫུས;བརྫོ;བརྫོག;བརྫོགས;བརྫོས;བསྔྫགས;བསྫོངས;ཚྫང;ཚྫེ;ཚྫོན;ཛྫ	parsed_subjoined_consonant	yes
U+0FAD	TIBETAN SUBJOINED LETTER WA	subjoined_consonant	81	81	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀྭ;ཀྭམཱར;ཀྭའི;ཀྭར;ཀྲྭབ;ཁྭ;གྭ;གྱྭ;གྲྭ;གླྭ;ངྭ;ངྭོ;ཅྭ;ཅྭཐོ;ཆྭ;ཇྭའུ;ཉྭ;ཏྭ;ཏྭག;ཏྭང	parsed_subjoined_consonant	yes
U+0FB1	TIBETAN SUBJOINED LETTER YA	subjoined_consonant	806	822	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརཉྱ;ཀྐྱལ;ཀྱ;ཀྱག;ཀྱང;ཀྱད;ཀྱབ;ཀྱམ;ཀྱམས;ཀྱའོ;ཀྱར;ཀྱལ;ཀྱས;ཀྱི;ཀྱིང;ཀྱིཏྲ;ཀྱིད;ཀྱིན;ཀྱིབ;ཀྱིམ	parsed_subjoined_consonant	yes
U+0FB2	TIBETAN SUBJOINED LETTER RA	subjoined_consonant	1048	1054	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགྲང;ཀགྲོལ;ཀནྡྲ;ཀརྲོང;ཀྱིཏྲ;ཀྲ;ཀྲག;ཀྲང;ཀྲད;ཀྲབ;ཀྲམ;ཀྲའ;ཀྲས;ཀྲི;ཀྲིག;ཀྲིགས;ཀྲིམ;ཀྲིམས;ཀྲིལ;ཀྲུ	parsed_subjoined_consonant	yes
U+0FB3	TIBETAN SUBJOINED LETTER LA	subjoined_consonant	218	219	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགླག;ཀགླས;ཀམློ;ཀཱལླེ;ཀུལླེའི;ཀླ;ཀླག;ཀླགས;ཀླང;ཀླད;ཀླན;ཀླམ;ཀླལ;ཀླས;ཀླིང;ཀླིངས;ཀླིམྨི;ཀླུ;ཀླུང;ཀླུན	parsed_subjoined_consonant	yes
