tibetan_syllable	observed_forms	current_canonical_tier	role_parse_status	composition_status	feature_composed_target	component_rule_ids	supporting_evidence_ids	leave_one_out_status	domain_compatibility	correction_authority	blocker
ཀམློ	kambo	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀཙོ	gtso	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀའ	dka’	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
ཀའི	bya;ka’i;kra'i;mchu	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
ཀའུ	'ka’u;hi;ka’n;ka’u	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
ཀར	Sperma;ka;kar	canonical_independent_strong	fully_resolved	feature_complete_unique	kar	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀརཉྱ	kanya	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྐ	karka	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྐམ	rkam	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྐས	karkas	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྙི	karni	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྟི	karti	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྡེ	karbe	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྡྷ	kanta	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྣི	karni	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྨ	'kanda;Rarma;kanda;karma	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀརྲོང	gi	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀལ	kal	provisional	fully_resolved	feature_complete_target_support_insufficient	kal	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀཤེང	drag	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀས	ie;kas;kos	provisional	fully_resolved	feature_complete_target_support_insufficient	kas	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀསེོང	gsod	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཱ	'kwa;Text;cin;ka;khra;ku;kä;kā	canonical_independent_moderate	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཱལླེ	kulle	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཱི	ki;kī	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཱུ	kü	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཱྩ	krsna	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀི	'ki;dbaṅ;dpyid;ei;ka;kai;ki;kyi;narikila;pa’i;raksi;uw;’ge	canonical_independent_strong	fully_resolved	feature_complete_unique	ki	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀིག	keg	provisional	fully_resolved	feature_complete_target_support_insufficient	kig	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀིང	kiṅ;kin;kin;kin;kin;kin;kin	canonical_feature_composed	fully_resolved	feature_complete_unique	kiṅ	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀིངྐ	kinka	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀིཏྟའི	kisna’i	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀིན	kin	provisional	fully_resolved	feature_complete_target_support_insufficient	kin	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀིམ	kem;kim	canonical_feature_composed	fully_resolved	feature_complete_unique	kim	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀིའང	ki’an	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀིའུ	kin;ki’n;ki’u	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀིར	kir	provisional	fully_resolved	feature_complete_target_support_insufficient	kir	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀིརྟི	kirti;kirtiri	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀིས	kis;reyan	provisional	fully_resolved	feature_complete_target_support_insufficient	kis	RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=foreign_domain_only;tibetan_proper_name=foreign_domain_only	passed	unresolved	no	foreign_domain_only
ཀིསྤི	kimpi	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུ	'ku;Spiegel;gu;ka;ken;khyu;ku;kun	ambiguous	fully_resolved	feature_complete_unique	ku	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀུཀྐུ	kukku	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུག	'kug;eng	provisional	fully_resolved	feature_complete_target_support_insufficient	kug	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀུང	khyun;kun	provisional	fully_resolved	feature_complete_target_support_insufficient	kuṅ	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀུངྐུ	kunku	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུད	bud;khyud;kliyud;kloyud;kud	provisional	fully_resolved	feature_complete_target_support_insufficient	kud	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=foreign_domain_only;tibetan_proper_name=foreign_domain_only	passed	unresolved	no	foreign_domain_only
ཀུན	N;RE;Run;W;arg;g;kim;kum;kun;ra;skt;ta	canonical_independent_strong	fully_resolved	feature_complete_unique	kun	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀུནཏུ	kun;pad	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུནྡའི	kunda’i	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུནྡྷ	kundn	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀུབ	kub	provisional	fully_resolved	feature_complete_target_support_insufficient	kub	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀུམ	kum	canonical_feature_composed	fully_resolved	feature_complete_unique	kum	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀུའང	kuan;ku’an	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀུར	kur	provisional	fully_resolved	feature_complete_target_support_insufficient	kur	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀུལླེའི	kulle’i	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀུས	kus;ston	canonical_feature_composed	fully_resolved	feature_complete_unique	kus	RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀུསྨ	pu	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀེ	'ke;ARE;Ime;ke;keN;keru;ketaraN;sa	canonical_independent_strong	fully_resolved	feature_partial		RESIDUAL_16C7C1641787	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེག	keg;kegrtsis	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེང	ken;koṅ	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེད	ked	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེམ	kem	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེའུ	BR;ke'u;ke’u;ke’uri;ko’u	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀེར	ker	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀེས	kos	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
ཀོ	'ko;AN;AR;Au;EN;ION’;a;ar;chu;go;kan;kau;ko;ra	ambiguous	fully_resolved	feature_complete_unique	ko	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོག	'kog;Nebenf;kog	canonical_feature_composed	fully_resolved	feature_complete_unique	kog	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོགས	kogs	provisional	fully_resolved	feature_complete_target_support_insufficient	kogs	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀོང	'koṅ;Sa;caṅ;dbyins;gon;koṅ	canonical_independent_strong	fully_resolved	feature_complete_unique	koṅ	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོད	god;kod	canonical_feature_composed	fully_resolved	feature_complete_unique	kod	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོན	dkon;gon;kon;sta	provisional	fully_resolved	feature_complete_target_support_insufficient	kon	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀོབ	kob	canonical_feature_composed	fully_resolved	feature_complete_unique	kob	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོམ	kom	provisional	fully_resolved	feature_complete_target_support_insufficient	kom	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀོའུ	ko’u	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀོར	Daumenring;ba;kor	canonical_feature_composed	fully_resolved	feature_complete_unique	kor	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོལ	kol;krol	provisional	fully_resolved	feature_complete_target_support_insufficient	kol	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀོས	kos	canonical_feature_composed	fully_resolved	feature_complete_unique	kos	RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀོསྟུ	kaustu	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀོིཀ	po’i	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀོཿ	ko;tal	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཾ	ko	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀཿ	kab;kah	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀྐུགས	Ikugs	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཀ
ཀྐོ	ka	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཀ
ཀྐྱལ	rkyal	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཀཡ
ཀྨརྨ	karma	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:མམ
ཀྩེ	Tri	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཙ;vowel:e
ཀྭ	ka;ku;kwa;kä;skt	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཝ
ཀྭམཱར	kumära	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀྭའི	kwa’i	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཝ;suffix_coda:འ
ཀྭར	kä	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	subjoined_consonants:ཝ
ཀྱ	Täräs;bya;chi;ksa;kyal;kyalkyal;kyams;kye;kyi;kyo;mit	provisional	fully_resolved	feature_complete_target_support_insufficient	kya	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀྱག	keyag;kyag	provisional	fully_resolved	feature_complete_target_support_insufficient	kyag	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀྱང	Ryan;byan;byaṅ;byun;gyaṅ;khyun;kyari;kyaṅ;lta;kyan;kyan;kyan;kyan;kyani	canonical_independent_strong	fully_resolved	feature_complete_unique	kyaṅ	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀྱད	kbyud;khyad	provisional	fully_resolved	feature_complete_target_support_insufficient	kyad	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀྱབ	khyab	canonical_independent_moderate	fully_resolved	feature_complete_target_support_insufficient	kyab	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀྱམ	kyam	provisional	fully_resolved	feature_complete_target_support_insufficient	kyam	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀྱམས	byams	provisional	fully_resolved	feature_complete_target_support_insufficient	kyams	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
ཀྱའོ	kya’o	provisional	fully_resolved	feature_partial		RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
ཀྱར	kyar;kyur	provisional	fully_resolved	feature_complete_target_support_insufficient	kyar	RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
