signature	parent_signature	tibetan_role	tibetan_feature	source_position_type	source_position_value	target_position_type	target_position_value	source_context_pattern	target_context_pattern	domain_condition	source_structural_location	target_structural_role	parent_structural_unit	crosses_role_boundaries	extra_source_material	forbidden_tibetan_roles	forbidden_tibetan_features	forbidden_tibetan_role_features	canonical_target_required	aligned_tibetan_required	exact_tibetan_identities	decision	evidence_summary	supporting_identities	control_identities	review_provenance	date_batch
SUB u→a										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic evidence and extensive legitimate controls; vowel correspondence may reflect alignment or lexical variation.	signature_review_packet	legitimate_u_forms	repository_evidence_review	signature_engine_20260728
SUB o→a										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic evidence and extensive legitimate controls; vowel correspondence may reflect alignment or lexical variation.	signature_review_packet	legitimate_o_forms	repository_evidence_review	signature_engine_20260728
DEL r										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic deletion evidence; missing consonants require role-specific or exact review rather than frequency-based promotion.	signature_review_packet	legitimate_r_forms	repository_evidence_review	signature_engine_20260728
SUB ś→s										ordinary_tibetan_lexical_or_compound									yes	yes		D	Current corpus evidence may reflect competing transcription conventions for ཤ; no stable reviewed ordinary-Tibetan direction is established.	signature_review_packet	reviewed_shing_family_block	repository_evidence_review	signature_engine_20260728
SUB i→t										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic evidence; unrelated character substitution has insufficient conditioned support.	signature_review_packet	legitimate_i_forms	repository_evidence_review	signature_engine_20260728
DEL b										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic deletion evidence; missing cluster components require role-specific or exact review.	signature_review_packet	legitimate_b_forms	repository_evidence_review	signature_engine_20260728
DEL i										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic deletion evidence and many alternate-witness disagreements; contexts do not establish a reusable Tibetan OCR rule.	signature_review_packet	legitimate_i_forms	repository_evidence_review	signature_engine_20260728
FINAL_NI_TO_NG	REPLACE ni→ṅ	suffix_coda	ང	token_final		token_final		ni$	ṅ$	ordinary_tibetan_lexical_or_compound									yes	yes		A	Conditioned final ni→ṅ is supported by exact reviewed ཡང, སྣང, གཙང, and རྐང families plus exact alternate witnesses; it is atomic OCR segmentation only at a secure token-final Tibetan ང coda.	reviewed_yani_snani_gtsani_rkani_exact_families	final_ni_non_ng_and_boundary_controls	repository_conditioned_signature_review	signature_boundary_gate_20260728
FINAL_R_TO_NG	SUB r→ṅ	suffix_coda	ང	token_final		token_final		r$	ṅ$	ordinary_tibetan_lexical_or_compound									yes	yes		D	Thirty clean rows across fourteen exact Tibetan syllables satisfy this narrow gate, but no reviewed atomic correction or exact-row alternate witness establishes final r as an OCR rendering of ṅ; recurrence alone is insufficient.	signature_review_packet_exact_rows	final_r_same_tibetan_and_boundary_controls	repository_conditioned_signature_review	signature_boundary_gate_20260728
ASPIRATE_DIGRAPH_B_TO_H	SUB b→h	root_consonant		exact_index	1	within_target_role_span		^[kpt]b	^[kpt]h	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		D	The broad b→h packet conflates several aspirate digraphs and a distinct cluster pattern; the narrow k/p/t initial-digraph subset has no reviewed atomic correction or exact-row alternate witness and remains deferred.	signature_review_packet_exact_rows	legitimate_b_and_domain_controls	repository_conditioned_signature_review	signature_boundary_gate_20260728
ROOT_KB_TO_KH	SUB b→h	root_consonant	ཁ	exact_index	1	within_target_role_span		^kb	^kh	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		A	Four independently reviewed exact rows across four Tibetan syllables establish b misread for h at the second glyph of canonical root kh; targets and same-source kh controls predate the corrections.	reviewed_kb_kh_same_tibetan_local_controls_20260728	legitimate_kb_controls	exact_structural_row_review	structural_exact_review_20260728
ROOT_TB_TO_TH	SUB b→h	root_consonant	ཐ	exact_index	1	within_target_role_span		^tb	^th	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		A	Five independently reviewed exact rows across five Tibetan syllables establish b misread for h at the second glyph of canonical root th; targets and same-source th controls predate the corrections.	reviewed_tb_th_same_tibetan_local_controls_20260728	legitimate_tb_controls	exact_structural_row_review	structural_exact_review_20260728
ROOT_PB_TO_PH	SUB b→h	root_consonant	ཕ	exact_index	1	within_target_role_span		^pb	^ph	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		A	Fourteen independently reviewed exact rows across fourteen Tibetan syllables establish b misread for h at the second glyph of canonical root ph; targets and page-local ph controls predate the corrections.	reviewed_pb_ph_same_tibetan_local_controls_20260728	legitimate_pb_controls	exact_structural_row_review	structural_exact_review_20260728
ROOT_TSB_TO_TSH	SUB b→h	root_consonant	ཚ	exact_index	2	within_target_role_span		^tsb	^tsh	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		D	Four secure Gate-0 rows share tsb→tsh, but none has reviewed atomic or exact-row alternate-witness support.	gate0_secure_signature_packet	legitimate_tsb_controls	gate0_conditioned_signature_review	gate0_alignment_20260728
ROOT_MTB_TO_MTH	SUB b→h	root_consonant	ཐ	exact_index	2	within_target_role_span		^mtb	^mth	ordinary_tibetan_lexical_or_compound		root_consonant	role_span	no	no				yes	yes		D	One secure Gate-0 row exhibits mtb→mth; a singleton without reviewed or witness support remains deferred.	gate0_secure_signature_packet	legitimate_mtb_controls	gate0_conditioned_signature_review	gate0_alignment_20260728
INITIAL_STRAIGHT_APOSTROPHE_EXTRA_NO_ACHUNG	DEL '			extra_source_initial		token_initial		^'		ordinary_tibetan_lexical_or_compound	extra_source_material:token_initial		extra_source_material		yes		འ		yes	yes		D	The structurally repaired packet isolates a large token-initial extra-glyph family whose remaining source equals the authoritative target, but it has no reviewed atomic support or exact-row alternate-witness agreement and is typographically concentrated. OCR, layout, and editorial causes remain unresolved.	signature_review_packet_exact_remainder_rows	intentional_or_editorial_leading_apostrophe_controls	structural_signature_review	structural_edit_span_20260728
INITIAL_CURLY_APOSTROPHE_EXTRA_NO_ACHUNG	DEL ’			extra_source_initial		token_initial		^’		ordinary_tibetan_lexical_or_compound	extra_source_material:token_initial		extra_source_material		yes		འ		yes	yes		D	Curly leading apostrophes form a separate, smaller typographic pattern and cannot inherit evidence from straight apostrophes. No reviewed atomic or exact-row alternate-witness evidence establishes deletion authority.	signature_review_packet_exact_remainder_rows	intentional_or_editorial_leading_apostrophe_controls	structural_signature_review	structural_edit_span_20260728
INS_R_SUBJOINED	INS r	subjoined_consonants	ར	source_internal		within_target_role_span			r	ordinary_tibetan_lexical_or_compound		subjoined_consonants	role_span	no	no				yes	yes		A	Eleven current exact corrections across ten Tibetan syllables independently establish omission of r wholly inside the canonical subjoined-r span; authoritative targets and local controls predate correction.	reviewed_missing_subjoined_r_same_tibetan_controls_20260728	same_role_and_same_tibetan_controls	exact_structural_row_review	structural_exact_review_20260728
INS_R_SUPERSCRIPT	INS r	superscript	ར	source_initial_or_internal		within_target_role_span			r	ordinary_tibetan_lexical_or_compound		superscript	role_span	no	no				yes	yes		D	Seven operations fall in the target superscript-r span; the small family has no reviewed atomic support and remains insufficient for conditioned authorization.	structural_edit_attribution_superscript_r	same_role_and_same_tibetan_controls	structural_signature_review	structural_edit_span_20260728
