volume	page	line	token_index	tibetan_syllable	source_token	proposed_target	decision	echo_category	evidence	rationale	reviewing_batch	review_date	reconsideration_prerequisite
wts_1_34	1156	59	4	དུང	dun	duṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate compound retains the same དུང first element.	tibetan_dung_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	1158	3	4	དུང	dun	duṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch repeats the same དུང element.	tibetan_dung_same_entry_echo_batch_20260719	2026-07-19	none
wts_35_51	79	13	7	གླིང	glin	gliṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The Kurzf. expansion bde chen glin pa contains the same གླིང element.	tibetan_gling_same_entry_echo_batch_20260719	2026-07-19	none
wts_35_51	80	67	6	གླིང	glin	gliṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The prefixed damaged comparison does not establish an exact alternate expression.	tibetan_gling_same_entry_echo_batch_20260719	2026-07-19	Clean internal parallel
wts_35_51	236	54	4	གླིང	glin	gliṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The bare later token follows damaged rrdo and lacks an entry-structure cue.	tibetan_gling_same_entry_echo_batch_20260719	2026-07-19	Clean internal parallel
wts_35_51	916	38	5	གླིང	glin	gliṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later damaged expression may be a different compound and is not independently aligned.	tibetan_gling_same_entry_echo_batch_20260719	2026-07-19	Clean internal parallel
wts_1_34	628	72	4	ཆང	chan	chaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch repeats ཆང.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	628	101	4	ཆང	chan	chaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Both alternate expressions contain the same ཆང element.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	628	177	5	ཆང	chan	chaṅ	accepted	alternate_form_same_lemma	same_line_entry_structure_after_positional_alignment	The German gloss explicitly repeats the Tibetan drink term.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	628	209	6	ཆང	chan	chaṅ	accepted	alternate_form_same_lemma	same_line_entry_structure_after_positional_alignment	The German gloss explicitly repeats the Tibetan drink term.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	629	69	4	ཆང	chan	chaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch repeats ཆང.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	none
wts_8_b	102	47	6	ཆང	chan	chaṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The damaged foreign-looking expansion does not securely identify the later token as ཆང.	tibetan_chang_same_entry_echo_batch_20260719	2026-07-19	Clean internal parallel
wts_1_34	1066	30	3	མཐོང	mthon	mthoṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached later form requires independent marker and lexical reconstruction.	tibetan_mthong_same_entry_echo_batch_20260719	2026-07-19	Independent marker reconstruction
wts_1_34	1067	100	4	མཐོང	mthon	mthoṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch retains the same མཐོང element.	tibetan_mthong_same_entry_echo_batch_20260719	2026-07-19	none
wts_1_34	485	209	5	རིང	rin	riṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later marker reference may contain རིང but is not independently aligned.	tibetan_ring_same_entry_echo_batch_20260719	2026-07-19	Independent marker reconstruction
wts_1_34	1189	12	6	རིང	rin	riṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached abbreviation requires independent reconstruction.	tibetan_ring_same_entry_echo_batch_20260719	2026-07-19	Independent marker reconstruction
wts_9_m	272	2	4	རིང	rin	riṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The malformed Tibetan/Latin entry does not independently align the later token.	tibetan_ring_same_entry_echo_batch_20260719	2026-07-19	Clean internal parallel
wts_1_34	896	180	6	གཏོང	gton	gtoṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The expression after auch independently repeats the same གཏོང element.	tibetan_gtong_same_entry_echo_batch_20260720	2026-07-20	none
wts_8_b	544	15	4	གཏོང	gton	gtoṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later gton follows damaged Yrbod and is not independently established as an exact repetition of གཏོང.	tibetan_gtong_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel for the damaged reference
wts_1_34	83	182	7	འབྱུང	byun	byuṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The vgl. expression independently repeats kun tu ’byuṅ ba with the prefix apostrophe preserved.	tibetan_abyung_same_entry_echo_batch_20260720	2026-07-20	none
wts_35_51	410	2	7	འབྱུང	byun	byuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later byun follows damaged grammatical notation and is not independently aligned.	tibetan_abyung_same_entry_echo_batch_20260720	2026-07-20	Clean grammatical parallel
wts_35_51	1013	54	4	འབྱུང	byun	byuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later byun is attached to a damaged reference-marker expression.	tibetan_abyung_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_8_b	470	62	6	འབྱུང	byun	byuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later form is split across a damaged quoted expression and cannot be aligned exactly.	tibetan_abyung_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel
wts_9_m	212	82	4	འབྱུང	byun	byuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later byun occurs in a malformed entry without an independently repeated Tibetan form.	tibetan_abyung_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel
wts_1_34	948	114	4	སྟེང	sten	steṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch explicitly repeats sten gi khan with the same སྟེང element.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	948	143	5	སྟེང	sten	steṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached form requires independent reference-marker reconstruction.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_1_34	948	166	4	སྟེང	sten	steṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch explicitly repeats sten gi dgag pa with the same སྟེང element.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	948	197	5	སྟེང	sten	steṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The Kurzf. expansion transparently spells out sten gi thog and repeats the same སྟེང element.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	949	2	3	སྟེང	sten	steṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later sten is backslash-attached and its reference structure is unresolved.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_1_34	1239	41	6	སྟེང	sten	steṅ	deferred	damaged_reference	same_line_entry_structure_after_positional_alignment	The later sten follows severely damaged text and is not independently aligned.	tibetan_steng_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel
wts_1_34	1336	1	2	དྲུང	drun	druṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	direct_repeated_tibetan_alignment	The second Latin token independently aligns with the second repeated Tibetan དྲུང and is already included in the frozen positional manifest.	tibetan_drung_same_entry_echo_batch_20260720	2026-07-20	already_resolved_exact_identity
wts_1_34	1336	49	2	དྲུང	drun	druṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	direct_repeated_tibetan_alignment	The second Latin token independently aligns with the second repeated Tibetan དྲུང and is already included in the frozen positional manifest.	tibetan_drung_same_entry_echo_batch_20260720	2026-07-20	already_resolved_exact_identity
wts_1_34	1337	3	8	དྲུང	drun	druṅ	deferred	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The later marker- and apostrophe-attached form requires independent reference reconstruction.	tibetan_drung_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_1_34	121	136	4	ཁུང	khun	khuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached later form requires independent reference reconstruction.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_1_34	176	149	5	ཁུང	khun	khuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch independently repeats dkar khuṅ with the same ཁུང element.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	346	127	5	ཁུང	khun	khuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch independently repeats sgab khuṅ with the same ཁུང element.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	489	149	4	ཁུང	khun	khuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later token is attached to an unresolved T-prefixed reference.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	Independent marker reconstruction
wts_1_34	934	122	5	ཁུང	khun	khuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate lte ba khuṅ retains the same ཁུང element; only the preceding token is damaged.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	none
wts_1_34	935	20	5	ཁུང	khun	khuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later token follows an unresolved damaged reference expression.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel
wts_1_34	962	9	5	ཁུང	khun	khuṅ	deferred	damaged_reference	same_line_entry_structure_after_positional_alignment	The later token follows severely damaged text and cannot be aligned independently.	tibetan_khung_same_entry_echo_batch_20260720	2026-07-20	Clean internal parallel
wts_1_34	1252	93	4	དོང	don	doṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate don ga after auch independently repeats the same དོང lexical element.	tibetan_dong_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	1253	14	4	དོང	don	doṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate don gra after auch independently repeats the same དོང lexical element.	tibetan_dong_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	1253	41	4	དོང	don	doṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate don ba after auch independently repeats the same དོང lexical element.	tibetan_dong_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	1253	100	4	དོང	don	doṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate don rtse after auch independently repeats the same དོང lexical element.	tibetan_dong_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	134	129	6	གུང	gun	guṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The Kurzf. explicitly expands to bka’i gun blon and independently repeats the same གུང element.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	771	25	6	གུང	gun	guṅ	deferred	damaged_reference	same_line_entry_structure_after_positional_alignment	The later gun follows an illegible damaged expression, so its lexical identity is not independently established.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	771	27	8	གུང	gun	guṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch repeats the same ñi ma’i guṅ expression; preceding damage does not affect the final token.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	772	8	7	གུང	gun	guṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch repeats the same ñi ma guṅ expression.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	424	54	6	གུང	gun	guṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate nam gyi gun transparently repeats the same གུང element.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	425	9	5	གུང	gun	guṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later token is attached to an unresolved T-prefixed reference expression.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_35_51	425	10	6	གུང	gun	guṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later token is attached to an unresolved T-prefixed reference expression.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_35_51	699	55	7	གུང	gun	guṅ	accepted	uncertain	same_line_entry_structure_after_positional_alignment	The later pu de gun rgyal repeats the complete name and independently establishes the same གུང token; the damaged Ispu prefix is separate.	tibetan_gung_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	163	54	2	རྐྱང	rkyan	rkyaṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	direct_repeated_tibetan_alignment	The second Latin token independently aligns with the second repeated Tibetan རྐྱང and is already included in the frozen positional manifest.	tibetan_rkyang_same_entry_echo_batch_20260726	2026-07-26	already_resolved_exact_identity
wts_1_34	163	99	2	རྐྱང	rkyan	rkyaṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	direct_repeated_tibetan_alignment	The second Latin token independently aligns with the second repeated Tibetan རྐྱང and is already included in the frozen positional manifest.	tibetan_rkyang_same_entry_echo_batch_20260726	2026-07-26	already_resolved_exact_identity
wts_1_34	163	112	7	རྐྱང	rkyan	rkyaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate after auch independently repeats the same རྐྱང element.	tibetan_rkyang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	271	133	5	རྐྱང	rkyan	rkyaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate khe rkyaṅ independently repeats the same རྐྱང element.	tibetan_rkyang_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	600	4	5	བྱང	byan	byaṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later form occurs in an unresolved I-prefixed reference expression and is kept separate from the aligned token.	tibetan_byang_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_8_b	175	62	5	བྱང	byan	byaṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The Kurzf. expansion explicitly retains the same བྱང element.	tibetan_byang_same_entry_echo_batch_20260726	2026-07-26	none
wts_8_b	177	50	5	བྱང	byan	byaṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	The Kurzf. expansion independently retains the same བྱང token; following reference damage is separate.	tibetan_byang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	194	167	4	སེང	sen	seṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The surrounding Tibetan and Latin expressions are damaged and do not establish this token independently.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	194	167	5	སེང	sen	seṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The surrounding Tibetan and Latin expressions are damaged and do not establish this token independently.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	194	167	8	སེང	sen	seṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached alternate expression remains unresolved.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	194	167	9	སེང	sen	seṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The backslash-attached alternate expression remains unresolved.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	195	116	3	སེང	sen	seṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	direct_repeated_tibetan_alignment	The second token aligns with the second explicit Tibetan སེང and is already frozen positionally.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	already_resolved_exact_identity
wts_1_34	195	116	8	སེང	sen	seṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate skya bo seṅ seṅ independently repeats the first སེང element.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	195	116	9	སེང	sen	seṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate skya bo seṅ seṅ independently repeats the second སེང element.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	945	72	4	སེང	sen	seṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later token belongs to an unresolved backslash reference and is not promoted here.	tibetan_seng_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	789	137	6	སོང	son	soṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The alternate ñer soṅ after auch independently repeats the same སོང element.	tibetan_song_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	792	86	5	སོང	son	soṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The later son follows a damaged tie bar expression and is not independently secure.	tibetan_song_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	46	65	8	ལིང	lin	liṅ	deferred	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The later ka linika form may preserve a distinct foreign-name spelling and is not normalized from Tibetan identity alone.	tibetan_ling_same_entry_echo_batch_20260726	2026-07-26	Independent lexical evidence
wts_1_34	350	60	6	ལིང	lin	liṅ	deferred	damaged_reference	same_line_entry_structure_after_positional_alignment	The later token follows an illegible reference expression.	tibetan_ling_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	50	34	5	ཚང	tshan	tshaṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Backslash-attached reference unresolved.	tibetan_tshang_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	54	214	4	ཚང	tshan	tshaṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Backslash-attached reference unresolved.	tibetan_tshang_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	575	129	8	ཚང	tshan	tshaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Alternate after auch repeats ཚང.	tibetan_tshang_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	379	52	7	ཚང	tshan	tshaṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	Kurzf. expansion repeats ཚང.	tibetan_tshang_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	40	20	6	ཚང	tshan	tshaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Alternate after auch repeats ཚང.	tibetan_tshang_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	611	8	3	གཏིང	gtin	gtiṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	The truncated entry does not independently establish the later token.	tibetan_gting_same_entry_echo_batch_20260726	2026-07-26	Clean internal parallel
wts_1_34	373	163	5	གྲང	gran	graṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	Kurzf. expansion explicitly repeats གྲང.	tibetan_grang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	373	163	8	གྲང	gran	graṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	Kurzf. expansion explicitly repeats གྲང.	tibetan_grang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	56	164	8	མང	man	maṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Alternate after auch independently repeats མང.	tibetan_mang_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	63	64	6	མང	man	maṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Alternate after auch independently repeats མང.	tibetan_mang_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	66	62	6	མང	man	maṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Alternate after auch independently repeats མང.	tibetan_mang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	291	9	3	ཕུང	phun	phuṅ	resolved_elsewhere	direct_repeated_tibetan_alignment	same_line_entry_structure_after_positional_alignment	Already positional.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	already_resolved_exact_identity
wts_1_34	652	111	4	ཕུང	phun	phuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Damaged or marker-attached expression unresolved.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	674	128	7	ཕུང	phun	phuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit identity established.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	910	31	4	ཕུང	phun	phuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit identity established.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	913	68	5	ཕུང	phun	phuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit identity established.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	220	76	5	ཕུང	phun	phuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit identity established.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	237	35	5	ཕུང	phun	phuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Damaged or marker-attached expression unresolved.	tibetan_phung_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	466	78	4	རྒྱང	rgyan	rgyaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats རྒྱང.	tibetan_rgyang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	466	85	4	རྒྱང	rgyan	rgyaṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats རྒྱང.	tibetan_rgyang_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	1072	75	4	འཐུང	thun	thuṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats འཐུང.	tibetan_athung_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	958	51	7	འབྲིང	brin	briṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats འབྲིང.	tibetan_abring_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	162	188	7	བྲང	bran	braṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Marker-attached expression unresolved.	tibetan_brang_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	1028	12	5	བྲང	bran	braṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats བྲང.	tibetan_brang_same_entry_echo_batch_20260726	2026-07-26	none
wts_8_b	263	25	4	བྲང	bran	braṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	Explicit alternate repeats བྲང.	tibetan_brang_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	600	12	6	བྱུང	byun	byuṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Damaged marker-attached expression does not independently establish an exact བྱུང echo.	tibetan_byung_same_entry_echo_batch_20260726	2026-07-26	Independent reconstruction of the damaged reference
wts_1_34	784	200	6	ཞིང	Zin	Ziṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The expression after auch explicitly repeats ཞིང.	tibetan_zhing_same_entry_echo_batch_20260726	2026-07-26	none
wts_1_34	1099	32	5	ཞིང	Zin	Ziṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Backslash-attached damaged reference remains unresolved.	tibetan_zhing_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_1_34	1100	10	7	ཞིང	Zin	Ziṅ	accepted	cross_reference_probable	same_line_entry_structure_after_positional_alignment	Kurzf. für explicitly identifies the repeated ཞིང phrase.	tibetan_zhing_same_entry_echo_batch_20260726	2026-07-26	none
wts_35_51	1015	36	7	ཞིང	Zin	Ziṅ	deferred	alternate_form_same_lemma	same_line_entry_structure_after_positional_alignment	Damaged marker-attached alternate is not independently secure.	tibetan_zhing_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_35_51	870	21	7	ལོང	lon	loṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Backslash-attached damaged comparison remains unresolved.	tibetan_long_same_entry_echo_batch_20260726	2026-07-26	Independent marker reconstruction
wts_35_51	873	57	8	ལོང	lon	loṅ	accepted	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	The expression after auch explicitly repeats ལོང.	tibetan_long_same_entry_echo_batch_20260726	2026-07-26	none
wts_9_m	227	46	3	ལོང	lon	loṅ	deferred	uncertain	same_line_entry_structure_after_positional_alignment	Entry structure does not align this additional token securely.	tibetan_long_same_entry_echo_batch_20260726	2026-07-26	Independent lexical evidence
