tibetan_syllable	baseline_target	current_target	baseline_status	current_status	migration_disposition	rationale
བགྱིས	bgyis	bgyis	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགྲང	bgraṅ	bgraṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བགྲོས	bgros	bgros	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བཞག	bźag	bźag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བཞོན	bźon	bźon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	alternate_witness_only
བརྒད	brgad	brgad	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརྒྱན	brgyan	brgyan	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརྒྱབ	brgyab	brgyab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརྒྱར	brgyar	brgyar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརྣགས	brnags	brnags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བརྣང	brnaṅ	brnaṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརྣན	brnan	brnan	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བརྣོག	brnog	brnog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བརླག	brlag	brlag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བརླབ	brlab	brlab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བརླབས	brlabs	brlabs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བརླུག	brlug	brlug	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒགས	bsgags	bsgags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒབ	bsgab	bsgab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒར	bsgar	bsgar	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒུགས	bsgugs	bsgugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒོ	bsgo	bsgo	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྒོམ	bsgom	bsgom	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒོམས	bsgoms	bsgoms	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒོས	bsgos	bsgos	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྒྱིངས	bsgyiṅs	bsgyiṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲགས	bsgrags	bsgrags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྒྲད	bsgrad	bsgrad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲིག	bsgrig	bsgrig	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲིགས	bsgrigs	bsgrigs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲིན	bsgrin	bsgrin	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲིམས	bsgrims	bsgrims	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྒྲུགས	bsgrugs	bsgrugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲུབ	bsgrub	bsgrub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྒྲུབས	bsgrubs	bsgrubs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣངས	bsnaṅs	bsnaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣད	bsnad	bsnad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣམ	bsnam	bsnam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣམས	bsnams	bsnams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྣར	bsnar	bsnar	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣུད	bsnud	bsnud	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣུན	bsnun	bsnun	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣུབ	bsnub	bsnub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣུར	bsnur	bsnur	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བསྣོག	bsnog	bsnog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣོན	bsnon	bsnon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣོར	bsnor	bsnor	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བསྣོས	bsnos	bsnos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བཱ	ba		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
བྱག	byag	byag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱབ	byab	byab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱབས	byabs	byabs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱམ	byam	byam	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱམས	byams	byams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱར	byar	byar	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱིང	byiṅ	byiṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱིངས	byiṅs	byiṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱིད	byid	byid	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱིབས	byibs	byibs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱིམ	byim	byim	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱིས	byis	byis	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱུག	byug	byug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱུགས	byugs	byugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱུར	byur	byur	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱུས	byus	byus	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱོ	byo	byo	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱོག	byog	byog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱོན	byon	byon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྱོབས	byobs	byobs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྱོར	byor	byor	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲད	brad	brad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲབ	brab	brab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲམ	bram	bram	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲི	bri	bri	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲིད	brid	brid	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲིན	brin	brin	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲིམས	brims	brims	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུ	bru	bru	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུག	brug	brug	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུངས	bruṅs	bruṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུད	brud	brud	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུན	brun	brun	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུབ	brub	brub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུབས	brubs	brubs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲུས	brus	brus	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲོག	brog	brog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲོང	broṅ	broṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བྲོབ	brob	brob	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བྲོས	bros	bros	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླངས	blaṅs	blaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླད	blad	blad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླན	blan	blan	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླར	blar	blar	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླས	blas	blas	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བླུ	blu	blu	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླུག	blug	blug	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླུགས	blugs	blugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བླུན	blun	blun	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
བློད	blod	blod	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བློས	blos	blos	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མགུར	mgur	mgur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མགྱོགས	mgyogs	mgyogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མནག	mnag	mnag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནགས	mnags	mnags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནངས	mnaṅs	mnaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནན	mnan	mnan	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནབ	mnab	mnab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མནབས	mnabs	mnabs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནམ	mnam	mnam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནམས	mnams	mnams	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནར	mnar	mnar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མནུན	mnun	mnun	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མནོག	mnog	mnog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མཱ	ma		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
མྱ	mya	mya	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མྱང	myaṅ	myaṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མྱི	myi	myi	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མྱིག	myig	myig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མྱུ	myu	myu	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མྱུར	myur	myur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མྱོག	myog	myog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མྱོན	myon	myon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
མྱོས	myos	myos	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
མྲ	mra	mra	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཞ	źa	źa	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཞིག	źig	źig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཞིང	źiṅ	źiṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཞིམ	źim	źim	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགག	gag	gag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགགས	gags	gags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགན	gan	gan	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འགབ	gab	gab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགོགས	gogs	gogs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགྱངས	gyaṅs	gyaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགྱོགས	gyogs	gyogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འགྱོད	gyod	gyod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འགྲམ	gram	gram	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགྲིབ	grib	grib	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འགྲིམ	grim	grim	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འགྲོགས	grogs	grogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབག	bag	bag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབགས	bags	bags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབངས	baṅs	baṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབིགས	bigs	bigs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབིབས	bibs	bibs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབུགས	bugs	bugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབུབས	bubs	bubs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབུར	bur	bur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབོག	bog	bog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབོགས	bogs	bogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབོར	bor	bor	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྱམས	byams	byams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྱར	byar	byar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྱིད	byid	byid	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྱིན	byin	byin	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྱོང	byoṅ	byoṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྱོན	byon	byon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲང	braṅ	braṅ	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲི	bri	bri	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲིང	briṅ	briṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྲིད	brid	brid	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲིམ	brim	brim	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྲུ	bru	bru	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྲུག	brug	brug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྲུབ	brub	brub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲུམ	brum	brum	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲོག	brog	brog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
འབྲོང	broṅ	broṅ	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲོངས	broṅs	broṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
འབྲོམ	brom	brom	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡ	ya	ya	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡག	yag	yag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡངས	yaṅs	yaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡད	yad	yad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡམ	yam	yam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡམས	yams	yams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡིད	yid	yid	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡིབ	yib	yib	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡིར	yir	yir	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡིས	yis	yis	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡུ	yu	yu	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡུག	yug	yug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡུན	yun	yun	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡུར	yur	yur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡོ	yo	yo	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡོག	yog	yog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡོགས	yogs	yogs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡོང	yoṅ	yoṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡོམ	yom	yom	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡོར	yor	yor	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ཡོས	yos	yos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ཡཾ	ya		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
རག	rag	rag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
