tibetan_syllable	source_variant	source_state	supported_target	other_source_variants	same_tibetan_dotted_forms	reviewed_canonical_target	review_evidence	sample_context
གདུང	gun	no_anchor_clean_source_shape		odun	gduṅ:30; voṅ:1; gdunṅ:1			སྐུ་གདུང་ sh gun.
གདུང	odun	no_anchor_clean_source_shape		gun	gduṅ:30; voṅ:1; gdunṅ:1			"གདུང་ ""odun"
གདོང	can	no_anchor_clean_source_shape			gdoṅ:45; edoṅ:1; ggdoṅ:1			རྟ་ཡི་གདོང་ཅན་ rta ༡// gdon can Trta gdon can.
གཞུང	gun	no_anchor_clean_source_shape		gźuń	gźuṅ:1; gZuṅ:1			ཁྲེལ་གཞུང་ khrel gun \khrel.
གསུང	gsuṅń	no_anchor_clean_source_shape			gsuṅ:9			པདྨ་གསུང་ padma gsuṅń cine Mahāyoga-Praxis Ir. -NI'i Hana
གོང	in	no_anchor_clean_source_shape		dgon	goṅ:54			དང་གོང་ dangon in thugs kyi — Brust.
གྱང	gyun	no_anchor_clean_source_shape			gaṅ:1			གྱང་རོ་ gyun ro hart, trocken; trockene Leiche.
གྲང	gron	no_anchor_clean_source_shape		oran	graṅ:16			ཆུ་ཨུན་གྲང་ཏྱར་ chu srin gron khyer
གྲང	oran	no_anchor_clean_source_shape		gron	graṅ:16			གྲང་ཚལ་ oran tshal
གྲུང	glan	no_anchor_clean_source_shape			gruṅ:1			གྲུང་པོའི་རྒྱལ་པོ་ glan po’i rgyal po Bez. für den
གྲོང	grorn	no_anchor_clean_source_shape			groṅ:31; goṅ:1			གྲོང་འཇིག་ grorn jig „Städtezerstörer“, Bei-
གླང	glin	no_anchor_clean_source_shape		gran	glaṅ:53			གླང་ཕྲན་ glin phran.
གླང	gran	no_anchor_clean_source_shape		glin	glaṅ:53			གླང་ཁྲ་ gran ba.
གླེང	khan	no_anchor_clean_source_shape		glen	gleṅ:1; gliṅ:1			'བྲེད་ཁྲས་ཁང་གླེང་ dag byed khrus khan glin
གློང	glon	no_anchor_clean_source_shape		gron	groṅ:1			གློང་ glon pf. !glons umrühren, aufwirbeln.
ང	bźin	no_anchor_clean_source_shape		chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			"""Ras ་ཀྱི ང་ངེ་འཛྲིནྒ་ de bźin nid kyi tin ne"
ང	chan	no_anchor_clean_source_shape		bźin;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			"ང་ཅན"" chan can Weinbecher; vgl. chin. &"
ང	dan	no_anchor_clean_source_shape		bźin;chan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་པོའི་རྫལ་རྨན་ dan po’ rdul can Bez. für
ང	gan	no_anchor_clean_source_shape		bźin;chan;dan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ཁོ་སྦིས། བྲེང་ gan po skem byed Beiname des
ང	gcon	no_anchor_clean_source_shape		bźin;chan;dan;gan;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			a ང་ཞེ་ gcon Zi Tcon Zi.
ང	glin	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་བཞི་ལྟེ་བ་ glin bZi Ite ba auch glin bZi’i Ite
ང	kan	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ཀ་ནག་ག་ཀ་བཅཙན་ kan ka nag gi klu btsan eine
ང	klon	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			EN བེངས་ཀོང་ང་བཤགས་ chos dbyins klon du
ང	klun	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ klun.
ང	kon	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ཚོ་ kon tsho eine Schule, die von śab-rtse im
ང	kun	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;lcan;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ས་ kun sa divin., einer der vier bzw. fünf gro-
ང	lcan	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;rkon;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ར * lcan rüid Weidenkätzchen.
ང	rkon	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;skun;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་བྲར་ rkon zor
ང	skun	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skyun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་སླང་ skun skun verborgen, geheim.
ང	skyun	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;stan;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་པོ་ skyun po Ahle, Pfriem, Stichel.
ང	stan	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;thon;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ཀྲེའ།” stan zil auch stans zil ein Mineral,
ང	thon	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;vollkommen;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་ཐང་ thon thon
ང	vollkommen	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;ykan	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			སྙིང་ཕྲ་ང་ szin phur vollkommen, eindringlich
ང	ykan	no_anchor_clean_source_shape		bźin;chan;dan;gan;gcon;glin;kan;khan;klon;klun;kon;kun;lcan;rkon;skun;skyun;stan;thon;vollkommen	naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1			ང་སྙས།་ ykan skyes Bez. für Angehörige der un-
ངང	dun	no_anchor_clean_source_shape		han;man;nah;nan;thun	daṅ:2; haṅ:1			ཁྲིམས་ངང་ khrims dun
ངང	man	no_anchor_clean_source_shape		dun;han;nah;nan;thun	daṅ:2; haṅ:1			ངང་པ་ man pa
ངང	nah	no_anchor_clean_source_shape		dun;han;man;nan;thun	daṅ:2; haṅ:1			ངང་པའི་རྐང་པ་ nah pa’ rkaṅ pa Bez. für
ངང	nan	no_anchor_clean_source_shape		dun;han;man;nah;thun	daṅ:2; haṅ:1			འགྲོ་བའི་ངང་ཚུལ་ gro ba’i nan tshul Bez. für
ཅང	con	no_anchor_clean_source_shape		can	caṅ:1			"ཅང"" con 27 auch cun Zi, con Zu, gcon Zı ein"
ཆུང	ch	no_anchor_clean_source_shape		run;sge’n	chuṅ:130; ruṅ:1			སྟག་འུ་ཆུང་ stag u ch
ཉུང	nun	no_anchor_clean_source_shape		run	ñuṅ:4			ཉུང་ཀར་ nun kar [/7//77.4 kar.
ཉུང	run	no_anchor_clean_source_shape		nun	ñuṅ:4			ཁ་ཉུང་ kha run wortkarg.
ཏང	tin	no_anchor_clean_source_shape			taṅ:5			ཆུ་ཏང་རན chu tin ron npr. eine Nägini.
ཏིང	tun	no_anchor_clean_source_shape		tin	tiṅ:1; dziṅ:1			ཏིང་ངེ་འཛིན་་ tun ne ’dzin ...
ཐང	lhan	no_anchor_clean_source_shape		Ithon;thin;thon	thaṅ:91			ཐང་ཆོད་ lhan chod
ཐང	thin	no_anchor_clean_source_shape		Ithon;lhan;thon	thaṅ:91			ཐང་ཤང་ thin sin ein blauer Farbstoff.
ཐང	thon	no_anchor_clean_source_shape		Ithon;lhan;thin	thaṅ:91			ང་ཐང་ thon thon
དང	buddh	no_anchor_clean_source_shape		dangon;dun	daṅ:118; rkaṅ:1			T དང buddh. Gemeinde.
དང	dangon	no_anchor_clean_source_shape		buddh;dun	daṅ:118; rkaṅ:1			དང་གོང་ dangon in thugs kyi — Brust.
དང	dun	no_anchor_clean_source_shape		buddh;dangon	daṅ:118; rkaṅ:1			དགན་དང་ dgun dun \dgon dun.
དཔང	dban	no_anchor_clean_source_shape			dpaṅ:10			དགའ་རབ་དཔང་རམྱག་ dga’ rab dban phyug
དཔུང	dpuṅń	no_anchor_clean_source_shape			dpuṅ:39; phuṅ:1			དཔུང་ 'dpuṅń
དུང	drun	no_anchor_clean_source_shape			duṅ:39			ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
ནིང	manin	no_anchor_clean_source_shape		nin	niṅ:1; miṅ:1			"མ་ནིང་ཕྲ Em"" manin phrag dog ..."
ཕང	pan	no_anchor_clean_source_shape			phaṅ:7; pbaṅ:1; pphaṅ:1; phyuṅ:1			"མ་ཕང་ ""ma pan feine Spindel."
ཕུང	ph	no_anchor_clean_source_shape			phuṅ:40; dpuṅ:2; pbuṅ:1			ཕུང་གཡོ་བ་ ph g.yoba Verleumdung, Intrige.
ཕྱང	byan	no_anchor_clean_source_shape		phyun	phyaṅ:9; pyaṅ:1; pphyaṅ:1			།ཁ་ཕྱང་བ་ kha byan ba
ཕྱང	phyun	no_anchor_clean_source_shape		byan	phyaṅ:9; pyaṅ:1; pphyaṅ:1			།ཁྭ་ཆུ་ཆུས་ཕྱང་ kha chu chus phyun ein Schuh.
ཕྱིང	pyih	no_anchor_clean_source_shape			phyiṅ:15; ppyiṅ:1; pbyiṅ:1			ཕྱིང་ pyih lphyin.
བགྲང	beran	no_anchor_clean_source_shape			bgraṅ:9			བགྲང་ beran
བང	Rhan	no_anchor_clean_source_shape		byun;khan;than;thun	baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1			།བང་བྱུ་ Rhan bu Häuschen, kleine Behausung.
བང	byun	no_anchor_clean_source_shape		Rhan;khan;than;thun	baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1			"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."
བང	khan	no_anchor_clean_source_shape		Rhan;byun;than;thun	baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1			།བང་རྩ་ khan rtsa
བང	than	no_anchor_clean_source_shape		Rhan;byun;khan;thun	baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1			བང་ཉོ།། than mo eine Gruppe von Gottheiten.
བང	thun	no_anchor_clean_source_shape		Rhan;byun;khan;than	baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1			Dämonen besessen sein. བང་ thun alttib. auch thune kurz, klein sein; ༡
བཏང	btun	no_anchor_clean_source_shape			btaṅ:24			བཏང་ btun
བཏུང	btin	no_anchor_clean_source_shape			btuṅ:1			བཏུང btin auch btins pf. zu \’din ausbreiten,
བཟུང	von	no_anchor_clean_source_shape		Tchan	bzuṅ:9			ད་གཟོད་ནས་བཟུང་ dagzod nas bzuṅ von nun an.
བསླང	bskan	no_anchor_clean_source_shape		bskun;bslan;bsruh	bskyuṅ:1; bslaṅ:1			བསླང་ bskan fur. t'skon erfüllen; zufrieden-
བསླང	bskun	no_anchor_clean_source_shape		bskan;bslan;bsruh	bskyuṅ:1; bslaṅ:1			བསླང་ bskun fut. zu tskun verbergen.
བསླང	bsruh	no_anchor_clean_source_shape		bskan;bskun;bslan	bskyuṅ:1; bslaṅ:1			སྒོ་བསླང་བ་ sgo bsruh ba auch sgo bsruns Tsgo
བིང	thin	no_anchor_clean_source_shape			biṅ:1			བིང་ ཡུག་ thin yug eine hohe Zahl.
བོང	thon	no_anchor_clean_source_shape			boṅ:25; borṅ:1; bboṅ:1			ཐོང་བོང་ thon thon Lebensalter; jugendlich.
བྲང	bzan	no_anchor_clean_source_shape		than	braṅ:31; byuṅ:1; thaṅ:1; byaṅ:1			སྟོབས་བྲང་ལྷ་མོ་ stobs bzan lba mo Beiname
བྲེང	entzweien	no_anchor_clean_source_shape		rennen	breṅ:10			བྲེན་བྲེང་ dbyenbyed entzweien, spalten, tren-
བྲེང	rennen	no_anchor_clean_source_shape		entzweien	breṅ:10			བྲེངས་སེ་བྲེང་ brenssebreṅ onom. rennen,
མང	mon	no_anchor_clean_source_shape			maṅ:60; miṅ:2; mmaṅ:1			མཐུན་མང་ mthun mon །[//)//?2 mon.
མངང	mdun	no_anchor_clean_source_shape			maṅ:2; mdoṅ:1			སྒྲོ་མངང་ sgro mdun eine Waffe.
མཐང	mthan	no_anchor_clean_source_shape		mthin;mthon	mthoṅ:1			མཐང་སྤྲད་པ་ mthan sprad pa
མཐང	mthin	no_anchor_clean_source_shape		mthan;mthon	mthoṅ:1			མཐང་ཤཱུན་ mthin Sun ein blaues Leder oder ein
མདང	mdon	no_anchor_clean_source_shape		mdun	mdaṅ:2; indaṅ:1			ཇ་མདང་ ja mdon auch ja ldon Butterfaß, um
མདང	mdun	no_anchor_clean_source_shape		mdon	mdaṅ:2; indaṅ:1			རྟེན་མདང་ rten mdun Lanze für ein Medium
མོང	dban	no_anchor_clean_source_shape		mthon;thun	moṅ:17			མ།ཁའ་མོང་ངཔང་ལོ་ mkha’ spyod dban po Beina-
མོང	mthon	no_anchor_clean_source_shape		dban;thun	moṅ:17			མོང་རྒ་ཆེ་ mthon rgya che weitsichtig, erfah-
མོང	thun	no_anchor_clean_source_shape		dban;mthon	moṅ:17			"ཐུན་མོང་ EN"" thun mon chos."
ཚང	ishah	no_anchor_clean_source_shape			tshaṅ:21; tsbaṅ:1			ནག་ཚང་ nag ishah Kurzf. für nag po'i tshaṅ.
ཝང	ldan	no_anchor_clean_source_shape			waṅ:5			མངོན་དྭ་ཝང་བ་ mnon du ldan ba ehrerbietiges
ཞང	Zin	no_anchor_clean_source_shape		Zan	Zaṅ:1			ཆུ ཞང་ chu Zin Reisfeld.
འགང	gah	no_anchor_clean_source_shape		gon	goṅ:1			དིང་འགང་ din ’'gah (zw.) Filztuch; vgl. Igdin
འགྱང	byun	no_anchor_clean_source_shape			gaṅ:1			"ངེས་པར་འགྱང་ nes par ""byun"
འཆང	bzun	no_anchor_clean_source_shape			chaṅ:18			འཆང་བཟུང་ (9) bzun Tchan bzun.
འདྲེང	drin	no_anchor_clean_source_shape			diṅ:1			གློ་བ་འདྲེང་ glo ba ’drin unloyal, untreu sein;
འཕུང	dpun	no_anchor_clean_source_shape			phuṅ:1			དམག་འཕུང་ Tdmag dpun.
འབུང	byun	no_anchor_clean_source_shape		thun	Duṅ:1; buṅ:1; baṅ:1			"འབུང་བཞི་ ""byun bäi auch 'byun ba bäi die vier"
འབུང	thun	no_anchor_clean_source_shape		byun	Duṅ:1; buṅ:1; baṅ:1			རྐང་འབུང་ rkaṅ ’thun auch rkan thun „Fußtrin-
འབྲང	bren	no_anchor_clean_source_shape		byun	braṅ:11			རྫཾས་སུ་འབྲང་ rjes su bren Trjes su ’bran.
འབྲང	byun	no_anchor_clean_source_shape		bren	braṅ:11			"བདད་རྩེའི་འབྲང་གནས་ bdud risi'i ""byun gnas"
འབྲེང	then	no_anchor_clean_source_shape			breṅ:11; briṅ:1			འབྲེང་མ་ ’then ma lahm.
འཚོང	ishoh	no_anchor_clean_source_shape			tshoṅ:5; tsboṅ:4			ནམ་འཚོང་ nam 'ishoh auch nam tsoṅ, nam
ཡང	nun	no_anchor_clean_source_shape			yaṅ:30			ད་ཡང་ dayan nun; auch jetzt, auch jetzt noch;
རང	spyan	no_anchor_clean_source_shape		rin	raṅ:14; riṅ:1			'རང་དྲང་ཅྲན་ spyan raṅ dran can
རེངས	auchmoren	no_anchor_clean_source_shape			reṅs:2			མོ་རེངས།་ morens auchmoren, mo hreris allein-
རྐང	bran	no_anchor_clean_source_shape		ran	rkaṅ:105; rkyaṅ:1			བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
རྐང	ran	no_anchor_clean_source_shape		bran	rkaṅ:105; rkyaṅ:1			རྐང་དྲུག་ ran ing ep
རྐྱང	Ryan	no_anchor_clean_source_shape		rgyan	rkyaṅ:25; rkaṅ:1			རྐྱང་ཟླ་ Ryan zla.
རྐྱང	rgyan	no_anchor_clean_source_shape		Ryan	rkyaṅ:25; rkaṅ:1			འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan
རྒྱང	igyan	no_anchor_clean_source_shape		rgyon	rgyaṅ:13			དཀར་མོའི་རྒྱང་གྲགས་ dkar mo’i igyan grags !dkar
རྒྱང	rgyon	no_anchor_clean_source_shape		igyan	rgyaṅ:13			རྒྱང་ rgyon
རྟིང	yein	no_anchor_clean_source_shape			rtiṅ:8			རྟིང་འབྲང་བ་ yein ’braṅ ba
རྨང	rlun	no_anchor_clean_source_shape			rmaṅ:5; maṅ:1			ཐལ་རྨང་ thal rlun Sandsturm.
ལང	lin	no_anchor_clean_source_shape			laṅ:25			མག་ལང་ go lin.
ལྔང	lan	no_anchor_clean_source_shape		ljan	ldaṅ:5; daṅ:1			ལྔང་སེར་ཅན་ lan ser can Bez. für Dürvä-Gras.
ལྔང	ljan	no_anchor_clean_source_shape		lan	ldaṅ:5; daṅ:1			འཇམ་ལྔང་འདབ་ལྡན་ am ljan ’dab ldan Bez. für
ལྕང	lcun	no_anchor_clean_source_shape			lcaṅ:9			ལྕང་མོ་ lcun mo Fingerhut.
ལྗང	han	no_anchor_clean_source_shape		Ijan;lan;ldan;ljan	ldaṅ:2; daṅ:1; laṅ:1			སྒྲོ་ལྗང་ sgro han Papagei.
ལྗང	ljan	no_anchor_clean_source_shape		Ijan;han;lan;ldan	ldaṅ:2; daṅ:1; laṅ:1			ལྗང་ཚགས་ ljan tshags Sieb.
ལྤང	bon	no_anchor_clean_source_shape			lbaṅ:2; waṅ:1			ཕ་ལྤང་ phpha bon.
ཤང	Sin	no_anchor_clean_source_shape		San;Sun;sin	Saṅ:1; siṅ:1			རྒྱངས ཤང་ rgyans Sin ein Werkzeug zum Be-
