tibetan_syllable	source	canonical_target	occurrence_count	current_alignment_status	rescue_category	layout_evidence	canonical_agreement_diagnostic_only	upgrade_authorized	blocker	sample_contexts
ཀིམ	kem	kim	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀིམ་ཀེམ་ kem kem descr.
ཀུན	N	kun	1	secure_transcription_outlier	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་དག དོན་གྲུ 1486), N. des Gründers des || ཀུན་ནས་འཕྲོ་ N kun nas ’phro ba sich ringsum aus- || ཀུན་ནས་ N kun nas su überall.
ཀུན	Run	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་ཏུ་སྐྲག་པ་ Run tu skrag pa erschrecken; Er- || ཀུན་ནས་མནར་སེམས་ Run nas mnar sems „ganz ge-
ཀུན	g	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན 8 g
ཀུན	kim	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མུ་ཀུན་ད་ mu kim da Trommel; skt. mukunda.
ཀུན	kum	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་འཇོ་ kum jo sitzend; vielleicht irrt. für kun
ཀུན	ra	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་དགའ ra ba pa (zukun dga’ra ba 2,) ein
ཀུན	skt	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མུཙུ་ཀུན་ད Baum; skt. mucukunda Prerosper-
ཀུན	ta	kun	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མུ་ཅུ་ཀུན་ཏ mucu kun ta lmu tsu kun da.
ཀུས	ston	kus	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཏུང་ཀུས་ 7773) kus \ston ’khun.
ཀེ	'ke	ke	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀེ་ 'ke (als Nummer:) 91.
ཀེ	Ime	ke	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མ་ཀེ་ན་ makena Ime ge na.
ཀེ	keN	ke	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	"ཀེ་ ""keN. eines Klans (zw.)."
ཀེ	keru	ke	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀེ་རུ་ keru (dkar); vgl. ka rn.
ཀེ	ketaraN	ke	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀེ་ཏ་ར་ ketaraN. eines Bergs (Jä).
ཀེ	sa	ke	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀེ་ཤ་ sa. — von skt. keśa.
ཀོག	'kog	kog	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོག་ 'kog Hülle, Scheide [2. B. eines Schwertes].
ཀོག	Nebenf	kog	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོག་ 509, Nebenf. zu bkog, pf. zu [909 pa.
ཀོང	'koṅ	koṅ	3	secure_transcription_outlier	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོང་ 'koṅ ausgehöhlt, holprig, vgl. Ikon kon; || ཀོང་པོ་ 'koṅ po Opferschale; vgl. Ikon bu. || ཀོང་མོ་ 'koṅ mo
ཀོང	Sa	koṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མཤ་ཀོང་ཅོ་ ma Sa kon co
ཀོང	dbyins	koṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	EN བེངས་ཀོང་ང་བཤགས་ chos dbyins klon du
ཀོང	gon	koṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོང་མ་སྲེག་ gon ma sreg ein Vogel, Rebhuhn. || ཀོང་མོ་ gon mo ein Vogel. || ཀོང་ལེན་ gon len
ཀོད	god	kod	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོད་འདྲེ་ god ’dre ein ’dre-Dämon, der Schaden
ཀོར	Daumenring	kor	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བྲེ་ཀོར་ brekor Daumenring.
ཀོར	ba	kor	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀོར་བ་ 2907 ba Tgor kha.
ཀྱང	Ryan	kyaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཅིས་ཀྱང་ cis Ryan Tcinas kyan.
ཀྱང	kyari	kyaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བླངས་ཀྱང་ blaris kyari wiederum, darüberhin-
ཀྱིན	'oyin	kyin	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀྱིན་ 'oyin Tkyin.
ཀྱིན	gyin	kyin	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀྱིན་ཏ་ gyin ta sinnlos, grundlos.
ཀྱོག	gyog	kyog	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གྱག་ཀྱོག་ gyag gyog krumm.
ཀྲ	Gesicht	kra	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀྲ Gesicht überall hingewandt“.
ཀྲ	S	kra	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀྲ ཊུ S —r bgyid pa dass.
ཀྲད	ko	krad	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	A: ཀྲད་ ko krad, auch ko skrad hartes Leder [für
ཀྲོ	gro	kro	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀྲོ་སྤྱི gro spyi Gouverneur des Distrikts Gro- || མལ་ཀྲོ་གཟི་ཅན་ mal gro gzi can auch mal gro gzi
ཀླ	lta	kla	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	འཇིག་པར་ལྟ་བ་ ཀླ par lta ba 176 /$77095 la lta
ཀླག	'Rlag	klag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླག་ 'Rlag auch— pa, glags Wolltuch.
ཀླག	Rlag	klag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླག་པ་ Rlag pa Lecken.
ཀླག	klog	klag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	"ཀླག་ ""klog umgewendetes [Fell]."
ཀླག	lag	klag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླག་ «lag Lbklag.
ཀླུ	kla	klu	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླུ་ཤིང་ kla siṅ eine Pflanze, „Näga-Baum“, ein
ཀླུ	tpaksu	klu	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	པ་ཀླུ་ paksu tpaksu.
ཀློག	'klog	klog	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀློག་ 'klog pf. Lbklags, klags, blags fut. \bklag, klag
ཀློག	glog	klog	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	སྒྲ་སྐྱེད་ཀློག་དང་ ཡའ a skyed glog dun Lautspre-
ཀློག	krog	klog	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀློག་ཀློག་ krog krog auch krog grog. || ཀློག་ཀློག་ krog krog auch krog grog. || ཀློག་གིས་ krog gis auch dkrog gis plötzlich.
ཀློང	klon	kloṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཆོས་ཀློང་རྙོག་ chos klon ?7709 aufgebracht sein.
ཁད	Distanz	khad	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	འགྱངས་།ཁད་ ”97/477$ khad Distanz.
ཁན	Trommler	khan	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	"རྔ་ཕྲོ་མ།ཁན་ rna phro mkhan ""Trommler."
ཁན	Tänzer	khan	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གར་མ།ཁན་ gar mkhan Tänzer, Schauspieler.
ཁན	Töpfer	khan	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བུམ་མ།ཁན་ bum mkhan Töpfer.
ཁབ	Nadel	khab	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	།ཁབ་ 40/77/ Nadel.
ཁབ	ba	khab	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཐལ་ཁབ་ hal ba
ཁབ	chob	khab	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁབ་ཆེལྲ་ chob chob onom. schmatzendes Ge-
ཁབ	ral	khab	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	།ཁབ་རལ་ 5545 ral Nadelbehälter.
ཁམས	Ime	khams	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མེ་ཡི་ཁམས་ me yikhams Ime khams.
ཁམས	Imekhams	khams	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མེའི་ཁམས་ me'ikhams Imekhams.
ཁམས	V’jig	khams	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	འཇིག་རྟེན་གྱི་ཁམས་ ”7/£ rten gyi khams V’jig rten
ཁམས	kbams	khams	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	།ཁམས་གསུམ་ kbams gsum. || །ཁམས་གསུམ་པ་ kbams gsum pa || མདོ་ཁམས་ mdo kbams eine Provinz, ein Teil
ཁར	beu	khar	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁར་བགཉའ།'ཁཁཁ།'ཌེ།། beu güis bdag po Bez. für
ཁར	har	khar	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གྲང་ཁར་ graṅ har klirrende Kälte.
ཁི	nam	khi	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁི nam Kurzf. für Tran lam, ein Familien-
ཁུག	Rhugrta	khug	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུག་རྟ་ Rhugrta Schwalbe.
ཁུག	Tbar	khug	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བར་གྱི་ཁུག་པ་ bar gikhugpa Tbar klug.
ཁུག	bug	khug	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུག་ bug.
ཁུགས	Rhugs	khugs	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུགས་ Rhugs
ཁུང	Felshöhle	khuṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བྲཐ།ཁུང་ bragkburi Felshöhle, Felsspalte.
ཁུང	Fenster	khuṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	སྒི་ཁུང་ $97 khun Fenster.
ཁུང	Genick	khuṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ལྟག་ཁུང་ //9 5/0://7? Nacken, Genick.
ཁུང	Rhun	khuṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུང་ཉལ་ Rhun nal.
ཁུང	brgyud	khuṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	སྙན་ཁུང་བརྒྱད་ ༠༩༩༩ khun brgyud „Iradition
ཁུལ	'chul	khul	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུལ་ 'chul zu erw. gehören,
ཁུལ	Wehul	khul	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུལ་ Wehul.
ཁུལ	’khrul	khul	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁུལ་ཡས་ /5/?7// ༡/7$ \’khrul yas.
ཁེབ	leb	kheb	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ལྕགས་ཁེབ་ lcags leb Eisenblech.
ཁོག	Rhog	khog	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོག་པ་ Rhog pa.
ཁོང	Inneres	khoṅ	0	boundary_or_damage	marker_attached	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོང་ 25/060/7 Inneres, Bauch; wird häufig bei der
ཁོང	kbon	khoṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོང་ kbon;
ཁོང	khon	khoṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོང་སྙིང་ khon $/7/77 Fisenkette.
ཁོང	lor	khoṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	སྒོ་ཡི་མེ་ཁོང་ sgo yı me lor Türblatt.
ཁོར	kbom	khor	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མི་ཁོར།་ mi kbom auch — pa, mi khoms, mi
ཁོལ	ma	khol	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོལ་མ་ 25/9/ ma kochend, gekocht.
ཁོལ	mo	khol	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁོལ་མོ་ 25/¢/ mo kochend.
ཁོས	los	khos	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ངོ་ཁོས་ཤེས་ no los ses selbstverständlich
ཁྱག	klyag	khyag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྱག་ klyag
ཁྱགས	’oyus	khyags	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྱགས་པ་ ”’oyus pa Verbalnomen zu ’gyus.
ཁྱད	kbyad	khyad	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྱད་གསོད་ kbyad gsod Kurzf. für khyad du
ཁྱབ	Himmel	khyab	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་ཁྱབ་ kun /0/777/4/7? Himmel, Himmelsrichtung.
ཁྱབ	Rhyab	khyab	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྱབ་འཇུག་དགའ་མ་ Rhyab ug dga’ ma Beiname
ཁྱབ	klyab	khyab	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་ཁྱབ་བཞིན་སྟོན་ kun klyab [2772 ston (zweifel-
ཁྱབ	pa	khyab	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀུན་ནས་ཁྱབ་པ་ kun nas /9/77/45 pa ganz erfüllt sein;
ཁྱིམ	Haushalt	khyim	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མི་ཁྱིམ་ mikbyim Haushalt, Wohnhaus, Haus,
ཁྱུང	kbyun	khyuṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
ཁྱེར	Bote	khyer	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	འཕྲིན་ཁྱེར་པོ་ po Bote, Kurier.
ཁྲག	Rhrag	khrag	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྲག་འབབ་ Rhrag 'bab Bez. für den Fluß 51(3. || ཁྲག་ལས་གྱར་པ་ Rhrag las gyur pa Bez. für
ཁྲལ	Kopfsteuer	khral	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ངོ་ཁྲལ་ ༡༠ khral Kopfsteuer.
ཁྲིད	Führer	khrid	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	འགོ་ཁྲིད་ 20 khrid Führer, Anführer, Leiter.
ཁྲིམས	kbrims	khrims	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཀླན་ཤཱཀྱ་ཚུལ་ཁྲིམས་ klan sakya ishul kbrims N. || ཁྲིམས་སུ་བྱས་པ་ kbrims su byas pa Abma-
ཁྲོ	Reichtum	khro	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཧུ་ཁྲོ་ <¢ bo Reichtum, Besitz.
ཁྲོ	bo	khro	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ངོ་ཁྲོ་ཉི དཀུ་ no bo nid sku
ཁྲོ	gebeugt	khro	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	རྒར་ཁྲོ་ ༡97 po gebeugt, krumm.
ཁྲོ	kbro	khro	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ཁྲོ་ལྔན་ kbro ldan Held.
ཁྲོ	po	khro	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	ངེས་ཁྲོ'་ nes po sicher, gewiß.
ཁྲོ	schläfrig	khro	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཉིད་ཁྲོ་ 0/77/7 bro schläfrig sein, einschlafen.
གང	Mannshöhe	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	མི་གང་ migari Mannshöhe, Klafter.
གང	dag	gaṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་དག་ 4927? dag ↑ gaṅ 3.
གང	ga	gaṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་ག་ 77 ga alles.
གང	gad	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་མོ་ gad mo Lachen, Gelächter; ~$ ’debs
གང	gar	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་གང་ gar garı || གང་བཔ་ gar ba || གང་བ་ཅན་ gar ba can Eingeweide, Gedärm.
གང	gari	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	"བུམ་པ་གང་བྱོ་ bum pa gari byo ""eine volle Va-"
གང	garı	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་ garı || གང་ garı || གང་གང་ gar garı
གང	gas	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	"རྙེ་བོ་གང་ "" re bo gas eine dge-bsien-Gottheit"
གང	gon	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་སྐར་ gon skor
གང	mdzub	gaṅ	0	boundary_or_damage	damaged_ocr	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་མཛུབ་ ༩༧༩ mdzub Mittelfinger.
གང	po’i	gaṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གང་ཁོའི་བྲང།ི 9/4/7 po’i zas Mangobaum, Bodhi-
གཅད	geod	gcad	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	རྣ་གཅད་གཏ བྱན mod geod gtin 'byin npr. ei-
གཅན	Fuchs	gcan	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅན་གཟན Fuchs, Schakal.
གཅན	gan	gcan	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	བྱ་གཅན་གཉིས་ bya gan glis Vog
གཅན	gen	gcan	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅན gen $77¿ auch gcin 577/5 Inkontinenz,
གཅན	lehrter	gcan	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	N གཅན lehrter.
གཅལ	'gcal	gcal	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅལ་ 'gcal Fundament, Boden; ~ du bkram
གཅུགས	geags	gcugs	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅུགས་ geags
གཅུགས	’gcags	gcugs	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅུགས་ ’gcags
གཅུང	gcun	gcuṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅུང་པ་སྤྱི་ gcun pa spyi
གཅུང	geun	gcuṅ	0	probable_transcription_outlier	probable_headword_span	not_yet_independently_secure	yes	no	layout_evidence_required_independent_of_desired_correction	གཅུང་ geun
