tibetan_syllable	feature_composed_target	tibetan_signs	parser_interpretation	component_rule_ids	domain	unsupported_sign_status	target_support_channel	retain_or_downgrade	rationale
གྱིག	gyig	U+0F42;U+0FB1;U+0F72;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྱིང	gyiṅ	U+0F42;U+0FB1;U+0F72;U+0F44	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=alternate_witness_only;tibetan_proper_name=nonadmissible_observation	downgrade	alternate_witness_only
གྱིན	gyin	U+0F42;U+0FB1;U+0F72;U+0F53	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྱོ	gyo	U+0F42;U+0FB1;U+0F7C	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695	unclear:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྱོག	gyog	U+0F42;U+0FB1;U+0F7C;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྱོགས	gyogs	U+0F42;U+0FB1;U+0F7C;U+0F42;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྱོང	gyoṅ	U+0F42;U+0FB1;U+0F7C;U+0F44	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:8;tibetan_proper_name:1	none	ordinary_tibetan_lexical_or_compound=derived_target_plus_independent_feature_composition;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྱོད	gyod	U+0F42;U+0FB1;U+0F7C;U+0F51	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྱོན	gyon	U+0F42;U+0FB1;U+0F7C;U+0F53	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྱོས	gyos	U+0F42;U+0FB1;U+0F7C;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲག	grag	U+0F42;U+0FB2;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲགས	grags	U+0F42;U+0FB2;U+0F42;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:29;tibetan_proper_name:5;unclear:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲངས	graṅs	U+0F42;U+0FB2;U+0F44;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲབས	grabs	U+0F42;U+0FB2;U+0F56;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲམ	gram	U+0F42;U+0FB2;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:7	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲིབ	grib	U+0F42;U+0FB2;U+0F72;U+0F56	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:13	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲིབས	gribs	U+0F42;U+0FB2;U+0F72;U+0F56;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲིམ	grim	U+0F42;U+0FB2;U+0F72;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲིམས	grims	U+0F42;U+0FB2;U+0F72;U+0F58;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲུགས	grugs	U+0F42;U+0FB2;U+0F74;U+0F42;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲུང	gruṅ	U+0F42;U+0FB2;U+0F74;U+0F44	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲུམ	grum	U+0F42;U+0FB2;U+0F74;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:5	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲུས	grus	U+0F42;U+0FB2;U+0F74;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲོག	grog	U+0F42;U+0FB2;U+0F7C;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:12	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲོང	groṅ	U+0F42;U+0FB2;U+0F7C;U+0F44	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:30;tibetan_proper_name:1	none	ordinary_tibetan_lexical_or_compound=reviewed_full_target;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གྲོངས	groṅs	U+0F42;U+0FB2;U+0F7C;U+0F44;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲོན	gron	U+0F42;U+0FB2;U+0F7C;U+0F53	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གྲོམ	grom	U+0F42;U+0FB2;U+0F7C;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གླག	glag	U+0F42;U+0FB3;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:5	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གླགས	glags	U+0F42;U+0FB3;U+0F42;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གླན	glan	U+0F42;U+0FB3;U+0F53	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:6;tibetan_proper_name:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གླམ	glam	U+0F42;U+0FB3;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གླས	glas	U+0F42;U+0FB3;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གླུད	glud	U+0F42;U+0FB3;U+0F74;U+0F51	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_84A74DBDD722;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གླུམ	glum	U+0F42;U+0FB3;U+0F74;U+0F58	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གློ	glo	U+0F42;U+0FB3;U+0F7C	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound:22	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གློག	glog	U+0F42;U+0FB3;U+0F7C;U+0F42	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:17	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གློད	glod	U+0F42;U+0FB3;U+0F7C;U+0F51	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
གློན	glon	U+0F42;U+0FB3;U+0F7C;U+0F53	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
གློས	glos	U+0F42;U+0FB3;U+0F7C;U+0F66	fully_resolved	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནངས	naṅs	U+0F53;U+0F44;U+0F66	fully_resolved	CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནབ	nab	U+0F53;U+0F56	fully_resolved	CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནམས	nams	U+0F53;U+0F58;U+0F66	fully_resolved	CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནི	ni	U+0F53;U+0F72	fully_resolved	CORPUS_7F051B17DE73;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound:8;sanskrit_or_indic_transcription:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནིང	niṅ	U+0F53;U+0F72;U+0F44	fully_resolved	CORPUS_7F051B17DE73;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནིམ	nim	U+0F53;U+0F72;U+0F58	fully_resolved	CORPUS_7F051B17DE73;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནིར	nir	U+0F53;U+0F72;U+0F62	fully_resolved	CORPUS_7F051B17DE73;CORPUS_63EB474B7A3F;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནུབ	nub	U+0F53;U+0F74;U+0F56	fully_resolved	CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:19;tibetan_proper_name:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནུར	nur	U+0F53;U+0F74;U+0F62	fully_resolved	CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:7	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནོ	no	U+0F53;U+0F7C	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound:7;tibetan_proper_name:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནོག	nog	U+0F53;U+0F7C;U+0F42	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:7	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནོངས	noṅs	U+0F53;U+0F7C;U+0F44;U+0F66	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
ནོད	nod	U+0F53;U+0F7C;U+0F51	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནོམ	nom	U+0F53;U+0F7C;U+0F58	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:6	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
ནོས	nos	U+0F53;U+0F7C;U+0F66	fully_resolved	CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགག	bgag	U+0F56;U+0F42;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགགས	bgags	U+0F56;U+0F42;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགམ	bgam	U+0F56;U+0F42;U+0F58	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགོར	bgor	U+0F56;U+0F42;U+0F7C;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_16D4A9AA0695;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགྱི	bgyi	U+0F56;U+0F42;U+0FB1;U+0F72	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བགྱིད	bgyid	U+0F56;U+0F42;U+0FB1;U+0F72;U+0F51	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བགྱིས	bgyis	U+0F56;U+0F42;U+0FB1;U+0F72;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
