tibetan_syllable	latin_form	volume	page	line	token_index	provenance_class	canonical_teaching_status	correction_evidence_scope	domain_context	alignment_confidence	headword_transliteration_span_status	context_excerpt
ཀ	Ra	wts_1_34	47	109	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་བཤད་ Ra bsad ('ka) an der Abfolge des Alpha-
ཀ	Ra	wts_35_51	31	36	2	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	གདེངས་ཀ་ཅན་ gdeṅs Ra can Bez. für Schlange
ཀ	Türkis	wts_8_b	106	3	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	marker_or_damage	secure_complete_span	བེ་ཙ་ཀ་ be tsaka Türkis.
ཀ	Vphal	wts_35_51	898	75	2	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཕལ་ཀ་ phalka Vphal ka.
ཀ	al	wts_1_34	34	140	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀྐོ་ al ka kko la weibliche Genitalien. — da-
ཀ	ba	wts_1_34	42	24	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	unclear	marker_or_damage	gloss_intrusion	ཀ་རྨ་བ་ཀྱི་ (༩ ༡༡༡༩ ba ksi Ikarma paksi.
ཀ	beide	wts_1_34	803	22	4	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	unclear	marker_or_damage	gloss_intrusion	གཉིས་ཀ་ 07//5 Ra beide; die zwei; Zweiheit.
ཀ	bzo	wts_1_34	364	166	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	"ཀྲོས ཀ་པྲོ་།"" gos bzo ba auch gos 920 ba."
ཀ	cine	wts_8_b	232	39	3	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	"བྱེ་མ་ཀ་ར་ byemakara ""Sandzucker"", cine Art"
ཀ	cog	wts_1_34	35	153	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཅོག་ཀ་མཱ་ར་ ka cog ku mä ra, auch ska cogku mä
ཀ	des	wts_8_b	74	42	4	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	བི་ནཱ་ཡ་ཀ་ bināya ka Beiname des Ganesa, sk.
ཀ	g.yen	wts_1_34	405	81	2	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	འ་ཀ་ྲིང་ངེ་ལ་ dga’ g.yen ne ba froh, fröh-
ཀ	ga	wts_1_34	11	9	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	unclear	marker_or_damage	ambiguous_span	ཀ་ 12 ཁ་ 81༣ ག་ ga ང་ na kh khy khr mkh mkhy mkhr ' 11] ’khy ’khr
ཀ	ka	wts_1_34	33	12	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	"ཀ་ ""ka in cp. Abk. für Säule, Pfosten; !ka ba."
ཀ	ka	wts_1_34	33	17	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	"ཀ་ ""ka, auch kha, ga der Nominalbildung die-"
ཀ	ka	wts_1_34	33	40	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	་ཀ་ཀ་ཧ་ ka ka ku ha ein Ort in Indien. — skt.
ཀ	ka	wts_1_34	33	40	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	་ཀ་ཀ་ཧ་ ka ka ku ha ein Ort in Indien. — skt.
ཀ	ka	wts_1_34	33	56	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
ཀ	ka	wts_1_34	33	56	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
ཀ	ka	wts_1_34	33	56	5	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀ་ན་སི་ཀ་ ka ka na si ka eine Heilpflanze. - skt.
ཀ	ka	wts_1_34	34	1	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀ་པ་རི་ ka ka pa ri
ཀ	ka	wts_1_34	34	1	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀ་པ་རི་ ka ka pa ri
ཀ	ka	wts_1_34	34	13	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	unclear	gloss_or_prose_noise	gloss_intrusion	ཀ་ཀ་པ་རི་&༧ ka pa ri vielleicht onom. für Krä-
ཀ	ka	wts_1_34	34	26	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
ཀ	ka	wts_1_34	34	26	2	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཀ་མ་ཙི་ ka ka ma tsi eine Heilpflanze; vgl. ka
ཀ	ka	wts_1_34	34	36	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀ་རི་ ka ka ri, auch ka ki ri - skt. kakkhati.
ཀ	ka	wts_1_34	34	36	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀ་རི་ ka ka ri, auch ka ki ri - skt. kakkhati.
ཀ	ka	wts_1_34	34	42	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀ་རུ་ ka ka ru Krebs; vgl. karka ta.
ཀ	ka	wts_1_34	34	42	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀ་རུ་ ka ka ru Krebs; vgl. karka ta.
ཀ	ka	wts_1_34	34	45	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀུ་ ka ku \ka ku bha ya.
ཀ	ka	wts_1_34	34	58	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀྭ་བྷ་ཡ་ ka ku bha ya Kurzf. ka ku ein Baum. _
ཀ	ka	wts_1_34	34	67	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀཱ་སྟ་ ka ku sta ein Fluß in der Nähe von
ཀ	ka	wts_1_34	34	148	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀོར་ ka kor (skor ba), auch ka skor; wohl
ཀ	ka	wts_1_34	34	163	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁ་ ka kha
ཀ	ka	wts_1_34	34	196	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་རྐ་ཊ་ ka rka ta \karka ta.
ཀ	ka	wts_1_34	34	200	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁ་ ka kha ('ka) Alphabet, d.h. die Konsonan-
ཀ	ka	wts_1_34	35	1	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁ་པ་ ka kha pa
ཀ	ka	wts_1_34	35	7	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཅུ་ ka ca
ཀ	ka	wts_1_34	35	22	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁ་པ་ ka kha pa ('ka) einer, der das Alphabet
ཀ	ka	wts_1_34	35	28	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁོངས་ ka khons ('ka) „ka-Gruppe“, der Ab-
ཀ	ka	wts_1_34	35	39	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཁོལ་མ་ ka khol ma (’ka) „das aus der Säulen-
ཀ	ka	wts_1_34	35	60	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ག་ ་ལ་ ka gä ni la ein Saphir - skt. kakanila
ཀ	ka	wts_1_34	35	65	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་སྒྲོགས་ ka sgrogs, auch ka sgrog „ka-Rufer“,
ཀ	ka	wts_1_34	35	110	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཅའི་བདག་མོ་ ka ca’i bdag mo
ཀ	ka	wts_1_34	35	112	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཅའི་བདག་མོ་ ka ca’i bdag mo „Herrin der Reich-
ཀ	ka	wts_1_34	35	164	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཅོག་ཞང་ ka cog źaṅ, auch ska cog źaṅ Kurzf. für
ཀ	ka	wts_1_34	35	176	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཆ་ ka cha tka ca.
ཀ	ka	wts_1_34	35	177	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཆུ་ ka chu Tkwa cu.
ཀ	ka	wts_1_34	35	178	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཆེན་ ka chen (ka).
ཀ	ka	wts_1_34	35	206	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཆེན་བཞི་ ka chen bźi (ka) „die vier großen
ཀ	ka	wts_1_34	36	1	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཆེན་ཡེ་ཤེས་” ka chen ye ses...
ཀ	ka	wts_1_34	36	18	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	marker_or_damage	probable_span	ཀ་གཉས་པ་ ka 3777; pa (ka) „aus zwei ka beste-
ཀ	ka	wts_1_34	36	23	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་ཀ་ ka ta ka, auch irrt. ke ta ka ein Baum und
ཀ	ka	wts_1_34	36	23	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་ཀ་ ka ta ka, auch irrt. ke ta ka ein Baum und
ཀ	ka	wts_1_34	36	52	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་མ་ཀ་ ka ta ma ka
ཀ	ka	wts_1_34	36	52	4	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་མ་ཀ་ ka ta ma ka
ཀ	ka	wts_1_34	36	63	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཊུ་ཀ་ ka ta ka Stadt in Indien. -- skt. kataka.
ཀ	ka	wts_1_34	36	63	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཊུ་ཀ་ ka ta ka Stadt in Indien. -- skt. kataka.
ཀ	ka	wts_1_34	36	67	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་པུར་ ka ta pur, auch katpur Kampfer; Iga pur.
ཀ	ka	wts_1_34	36	74	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་པུར་འཛག་ ka ta pur ’dzag „Kampfer trop-
ཀ	ka	wts_1_34	36	79	4	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཏ་བང་ཀ་ Ra ta baṅ ka eine Heilpflanze. - skt.
ཀ	ka	wts_1_34	36	98	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་མ་ཀ་ ka ta ma ka ein kleiner Vogel.
ཀ	ka	wts_1_34	36	98	4	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་མ་ཀ་ ka ta ma ka ein kleiner Vogel.
ཀ	ka	wts_1_34	36	103	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏ་རུ་ ka ta ru Gittermuster.
ཀ	ka	wts_1_34	36	106	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཏ་ལཱི་ ka ta li eine Antilope: - skt. kadali.
ཀ	ka	wts_1_34	36	123	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	"ཀ་ཏན་ ""ka tan \ka rten."
ཀ	ka	wts_1_34	36	128	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏམ་བྷ་ ka tam bha €111 Lebewesen.
ཀ	ka	wts_1_34	36	130	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏའི་བུ་ ka ta’i bu Ika ti bu.
ཀ	ka	wts_1_34	36	131	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏའི་བུ་ནོག་ཅན་ ka ta’i bu nog can, auch ka ta’i bu
ཀ	ka	wts_1_34	36	133	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏའི་བུ་མོ་ ka ta’i bu mo 1/07 tya’i bu mo.
ཀ	ka	wts_1_34	36	134	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏར་ ka tar Kurzf. für \ka li ka ta.
ཀ	ka	wts_1_34	36	144	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཏུ་ ka tu eine Pflanze. -- skt. katuka Picrorrhiza
ཀ	ka	wts_1_34	36	150	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏོ་ར་ ka to ra \ka tor.
ཀ	ka	wts_1_34	37	3	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏུའི་བུ་ ka tya’i bu ein Schüler des Śākyamuni. -~
ཀ	ka	wts_1_34	37	15	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏུའི་བུ་ཆེན་པོ་ ka tya’i bu chen po „großer Nach-
ཀ	ka	wts_1_34	37	25	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཏུའི་བུ་ནོག་ཅན་ ka tya’i bu nog can, auch ka ta’i
ཀ	ka	wts_1_34	37	43	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་གཏུགས་པ་ ka gtugs pa (kha) „den Rand erreicht
ཀ	ka	wts_1_34	37	52	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐམ་ ka tham
ཀ	ka	wts_1_34	37	80	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ལྟ་ར་ ka lta ra \kalha ra.
ཀ	ka	wts_1_34	37	81	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་སྟེགས་ ka stegs ('ka) Säulenbasis.
ཀ	ka	wts_1_34	37	84	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་བརྟེན་ ka brten tka rten.
ཀ	ka	wts_1_34	37	86	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་བསྟོད་ ka bstod ('ka) an der Abfolge des Al-
ཀ	ka	wts_1_34	37	99	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐམ་ ka tham ein Gefäß.
ཀ	ka	wts_1_34	37	104	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐིག་ ka thig
ཀ	ka	wts_1_34	37	106	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐིག་ ka thig (¢ oder kha?) Bed. unsicher, viel-
ཀ	ka	wts_1_34	37	119	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐུང་ ka thuṅ (ka).
ཀ	ka	wts_1_34	37	131	1	historical_pre_campaign_unattributed	independent_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཐུམ་ ka thum (ka) textile Säulenumhüllung;
