decision	from_token	to_token	score	evidence	example_ref
promote	Bodhisattvacaryäva	Bodhisattvacaryāva	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:848:168
promote	Bodhisattvacaryävatäraduravabodhananirnaya	Bodhisattvacaryāvatāraduravabodhananirnaya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:694:109
promote	Bodhisattvayogäcäracatuhsataka	Bodhisattvayogācāracatuhsataka	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:848:153
promote	buddhotpädah	buddhotpādah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1190:4
promote	Buddhävatamsaka	Buddhāvatamsaka	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:150:144
promote	bädhyante	bādhyante	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:532:87
promote	bähubhyam	bāhubhyam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:164:63
promote	cchayä	cchayā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:278:65
promote	chandapratyuddhä	chandapratyuddhā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1008:23
promote	dbarmärthikab	dbarmārthikab	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:186:64
promote	ddhärya	ddhārya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1013:27
promote	dhamanisamtatagätrab	dhamanisamtatagātrab	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1075:45
promote	dhvamsana-jnäna-mudrä	dhvamsana-jnāna-mudrā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:129:7
promote	dhyäntika	dhyāntika	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:771:44
promote	dhyıl	dhyil	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:937:6
promote	dsvayıja	dsvayija	3	safe_char_map,second_wave_safe_score3	wts_1_34:958:65
promote	gatäjnä-supratipannah	gatājnā-supratipannah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:134:4
promote	Gunäparyantastotra	Gunāparyantastotra	3	safe_char_map,second_wave_safe_score3	wts_35_51:321:73
promote	häbhijnävikriditah	hābhijnāvikriditah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:595:62
promote	jaläavanaddhahastapädah	jalāavanaddhahastapādah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:969:31
promote	jNänadarsanam	jNānadarsanam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:47:61
promote	jnätum	jnātum	3	safe_char_map,second_wave_safe_score3	wts_35_51:47:33
promote	jıhvävijnanadhatuh	jihvāvijnanadhatuh	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:615:212
promote	karmavipäkajnanabalanı	karmavipākajnanabalani	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:590:77
promote	kaukrtyanı	kaukrtyani	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:555:101
promote	khalupascädbhaktikah	khalupascādbhaktikah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1019:9
promote	kottaräjatva	kottarājatva	3	safe_char_map,second_wave_safe_score3	wts_1_34:471:43
promote	krtavipranäsah	krtavipranāsah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:660:149
promote	ktijnänadarsanaskandhah	ktijnānadarsanaskandhah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:572:97
promote	kärthayogam	kārthayogam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:748:144
promote	käyasmrtyupasthanam	kāyasmrtyupasthanam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1308:17
promote	labhyä	labhyā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:462:17
promote	latäcchaträni	latācchatrāni	3	safe_char_map,second_wave_safe_score3	wts_1_34:328:41
promote	lokasamjnä	lokasamjnā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:900:167
promote	längulacchinnah	lāngulacchinnah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:630:43
promote	madhuracärumaijusvarah	madhuracārumaijusvarah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:817:3
promote	Madhyamakjävatära	Madhyamakjāvatāra	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:733:112
promote	Madhyamakävatäratikä	Madhyamakāvatāratikā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:848:156
promote	Madhyamika-Mahäcärya	Madhyamika-Mahācārya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:736:21
promote	mahäsattvah	mahāsattvah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:198:46
promote	Mädhyamika-Kommentar	Mādhyamika-Kommentar	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:123:61
promote	Mädhyamika-Svätantrika	Mādhyamika-Svātantrika	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:608:40
promote	märcchi	mārcchi	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:512:91
promote	mätsarya	mātsarya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:734:176
promote	Mätsaryaki	Mātsaryaki	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:613:5
promote	naddhahastapädah	naddhahastapādah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1288:82
promote	nidhyäyatı	nidhyāyati	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:536:70
promote	niväsänusmrtijnänabalam	nivāsānusmrtijnānabalam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:746:220
promote	nänäbuddhaksetrasamnipatitäh	nānābuddhaksetrasamnipatitāh	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:175:58
promote	nänätvakäya	nānātvakāya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1109:4
promote	nänätvasamjnä	nānātvasamjnā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:158:30
promote	nänätvatä	nānātvatā	3	safe_char_map,second_wave_safe_score3	wts_1_34:982:22
promote	parinämanavidhijnäh	parināmanavidhijnāh	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:574:10
promote	parivarta-dvadasakära-dharmacakra-prava	parivarta-dvadasakāra-dharmacakra-prava	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:231:68
promote	tajnab	tajñab	4	manual_queue_promote,mvy_context	wts_35_51:585:88
promote	paryastikä	paryastikā	3	safe_char_map,second_wave_safe_score3	wts_35_51:1059:7
promote	paryastikä-Haltung	paryastikā-Haltung	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1059:12
promote	paryastikäkrtäyäglänaya	paryastikākrtāyāglānaya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1059:10
promote	paryavasäne	paryavasāne	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:983:131
promote	paryaväpsyanti	paryavāpsyanti	3	safe_char_map,second_wave_safe_score3	wts_1_34:65:65
promote	paurväparyam	paurvāparyam	3	safe_char_map,second_wave_safe_score3	wts_1_34:565:189
promote	pitoätsaryas	pitoātsaryas	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1175:48
promote	prajnayä	prajnayā	3	safe_char_map,second_wave_safe_score3	wts_1_34:169:145
promote	prajnäparamitä	prajnāparamitā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1056:83
promote	prajnäpayitavya	prajnāpayitavya	3	safe_char_map,second_wave_safe_score3	wts_35_51:17:14
promote	prajnäptivada	prajnāptivada	3	safe_char_map,second_wave_safe_score3	wts_1_34:901:10
promote	Prajnäpälita	Prajnāpālita	3	safe_char_map,second_wave_safe_score3	wts_35_51:714:6
promote	Prajnäpäramitä	Prajñāpāramitā	3	safe_char_map,second_wave_safe_score3	wts_1_34:769:76
promote	prajnäyate	prajnāyate	3	safe_char_map,second_wave_safe_score3	wts_1_34:1000:204
promote	pratijnä	pratijnā	3	safe_char_map,second_wave_safe_score3	wts_1_34:1120:37
promote	pratyuddhärah	pratyuddhārah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1114:72
promote	prthulalätah	prthulalātah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:762:85
promote	präkrtahastibalam	prākrtahastibalam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:984:8
promote	Präsangika-Madhya	Prāsangika-Madhya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:724:175
promote	pänärthibhyah	pānārthibhyah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:191:105
promote	sabhämadhyagato	sabhāmadhyagato	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:396:15
promote	sadvargıka	sadvargika	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:416:71
promote	sadvarsanı	sadvarsani	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:698:201
promote	samabhyähatam	samabhyāhatam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:73:193
promote	samghäyadvarabaranam	samghāyadvarabaranam	3	safe_char_map,second_wave_safe_score3	wts_35_51:155:89
promote	samgrahavastusarvasattvasamgrähakäh	samgrahavastusarvasattvasamgrāhakāh	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:318:72
promote	samgrahavastusarvasattvasanı	samgrahavastusarvasattvasani	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:281:86
promote	samjñä	samjñā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:157:68
promote	samnaddhäya	samnaddhāya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:371:27
promote	samnähasamnaddhah	samnāhasamnaddhah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:364:18
promote	samudayärthah	samudayārthah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:817:19
promote	samudraparyantäm	samudraparyantām	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1006:9
promote	samänodaryah	samānodaryah	3	safe_char_map,second_wave_safe_score3	wts_1_34:126:26
promote	sarvajnatäbhimukhab	sarvajnatābhimukhab	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:552:67
promote	sarvakarajnatä	sarvakarajnatā	3	safe_char_map,second_wave_safe_score3	wts_35_51:568:70
promote	sarvasattvadhätu	sarvasattvadhātu	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:261:93
promote	Sitäbhyu	Sitābhyu	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:123:61
promote	smrtyupasthänam	smrtyupasthānam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:788:221
promote	srotravijnänadhätuh	srotravijnānadhātuh	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:549:69
promote	Suddhapräyascitti	Suddhaprāyascitti	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:934:86
promote	Suddhapäpattikah	Suddhapāpattikah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:934:25
promote	svädhyayanam	svādhyayanam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:245:179
promote	tatsamjnayä	tatsamjnayā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:158:32
promote	tattvärthaika	tattvārthaika	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:748:203
promote	ttvärthaikadesänupravesah	ttvārthaikadesānupravesah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1200:19
promote	tyaya-gämitva	tyaya-gāmitva	3	safe_char_map,second_wave_safe_score3	wts_1_34:166:9
promote	Uccaih$ravas	Uccaihśravas	3	safe_char_map,second_wave_safe_score3	wts_1_34:911:33
promote	Upädhyäyas	Upādhyāyas	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:184:106
promote	upäyajnäna	upāyajnāna	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:994:206
promote	Vaıirambhya	Vaiirambhya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1237:73
promote	vidhyatı	vidhyati	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:77:192
promote	vijnananälaksanam	vijnananālaksanam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:597:17
promote	vijnänänantya	vijnānānantya	3	safe_char_map,second_wave_safe_score3	wts_35_51:602:24
promote	vijnänänantyäyatanam	vijnānānantyāyatanam	3	safe_char_map,second_wave_safe_score3	wts_35_51:602:31
promote	Vikurvänaräjapariprccha	Vikurvānarājapariprccha	3	safe_char_map,second_wave_safe_score3	wts_35_51:587:18
promote	vinflakasamjniä	vinflakasamjniā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:576:96
promote	vipadumakasamjnä	vipadumakasamjnā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:588:73
promote	visvarapınm	visvarapinm	3	safe_char_map,second_wave_safe_score3	wts_35_51:625:63
promote	visvavası	visvavasi	3	safe_char_map,second_wave_safe_score3	wts_35_51:625:10
promote	Zapratyuddhäryam	Zapratyuddhāryam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1017:99
promote	zavadhyänam	zavadhyānam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1102:22
promote	ÄArya-mülasarvastivadi-sramanera-kärikä-vrtti-pra	ĀArya-mülasarvastivadi-sramanera-kārikā-vrtti-pra	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:19:178
promote	äjna	ājna	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:87:136
promote	äjnata	ājnata	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:87:41
promote	äkäsadhätnparyavasänah	ākāsadhātnparyavasānah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:421:21
promote	äkäsadhätuparyavasanah	ākāsadhātuparyavasanah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:261:130
promote	äkäsadhätuparyavasänah	ākāsadhātuparyavasānah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:423:64
promote	äprcchasva	āprcchasva	3	safe_char_map,second_wave_safe_score3	wts_1_34:262:108
promote	Ärya-buddhabalavardhanapratiharyavikurvananirdesa-nama	Ārya-buddhabalavardhanapratiharyavikurvananirdesa-nama	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:15:154
promote	äryavamsa	āryavamsa	3	safe_char_map,second_wave_safe_score3	wts_35_51:1083:41
promote	äsraddhyam	āsraddhyam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1114:57
promote	ätsaryas	ātsaryas	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:697:20
promote	ävidhyate	āvidhyate	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:77:193
promote	Sriherukäbhyudaya	Sriherukābhyudaya	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:812:84
promote	Mahäyäna-Buddhismus	Mahāyāna-Buddhismus	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:838:65
promote	Dhyäna	Dhyāna	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:775:95
promote	Mädhyamika	Mādhyamika	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:851:24
promote	dhyäya	dhyāya	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:117:84
promote	$ramanas	śramanas	3	sanskrit_char_normalize,manual_safe_highfreq_20260305	wts_1_34:1048:95
promote	prabhä-mandala-vyüha-jNä	prabhā-mandala-vyuha-jNā	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_1_34:128:193
promote	ddhaksetra-vyühananta-pranidhäna-prasthä	ddhaksetra-vyuhananta-pranidhāna-prasthā	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_1_34:147:45
promote	Arya-Saptasatikä-näma-prajnäpäramitämahayänasütra	Arya-Saptasatikā-nāma-prajnāpāramitāmahayānasutra	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_1_34:589:37
promote	lapariprcchänämamahäyänasütra	lapariprcchānāmamahāyānasutra	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_1_34:847:133
promote	pratikülasamjnä	pratikulasamjnā	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_35_51:158:35
promote	Aryasüras	Aryasuras	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_35_51:346:29
promote	bhütasattvah	bhutasattvah	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_35_51:651:10
promote	madhücchistam	madhucchistam	3	sanskrit_char_normalize,manual_adjudicated_rare_wave3_20260305	wts_35_51:839:62
promote	śridharasena	śrīdharasena	3	manual_user_sanskrit_20260305	user_list_20260305
promote	śrijnāna	śrījñāna	3	manual_user_sanskrit_20260305	user_list_20260305
promote	śrivatsa	śrīvatsa	3	manual_user_sanskrit_20260305	user_list_20260305
promote	ājneya	ājñeya	3	manual_user_sanskrit_20260305	user_list_20260305
promote	arthasāstra	arthaśāstra	3	manual_user_sanskrit_20260305	user_list_20260305
promote	bodhisattvacaryavatārasamskāra	bodhisattvacaryāvatārasaṃskāra	3	manual_user_sanskrit_20260305	user_list_20260305
promote	buddhādhyesanakusalah	buddhādhyeṣaṇakuśalaḥ	3	manual_user_sanskrit_20260305	user_list_20260305
promote	isvastrācāryah	iṣvastrācāryaḥ	3	manual_user_sanskrit_20260305	user_list_20260305
promote	madhyamaka-prāsangika	madhyamaka-prāsaṅgika	3	manual_user_sanskrit_20260305	user_list_20260305
promote	pārasvadhikah	pāraśvadhikaḥ	3	manual_user_sanskrit_20260305	user_list_20260305
promote	prajnā	prajñā	3	manual_user_sanskrit_20260305	user_list_20260305
promote	samdhyābhasa	saṃdhyābhāṣā	3	manual_user_sanskrit_20260305	user_list_20260305
promote	sāarthavaha	sārthavāha	3	manual_user_sanskrit_20260305	user_list_20260305
promote	madhucchistam	madhūcchiṣṭam	3	manual_user_sanskrit_20260305	user_list_20260305
promote	Vikurvānarājapariprccha	vikurvāṇarājaparipṛcchā	3	manual_user_sanskrit_20260305	user_list_20260305
promote	śramana	śramaṇa	3	manual_user_sanskrit_20260305	user_list_20260305
promote	nānātvasamjuā	nānātvasaṃjñā	3	manual_user_sanskrit_20260305	user_list_20260305
promote	lapariprcchānāmamahāyānasutra	rāṣṭrapālaparipṛcchānāmamahāyānasūtra	3	manual_user_sanskrit_20260305,user_flagged_triple_check	user_list_20260305
promote	arya	ārya	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	sadhya	sādhya	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Bodhicaryavatara	Bodhicaryāvatāra	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	aksobhya	akṣobhya	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	prajnä	prajñā	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	$reyän	śreyān	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Ayodhyä	Ayodhyā	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Kaläkälasampadvastu	Kālākālasampadvastu	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Prajnaparamitä-Ratnagunasamcaya-gäthä	Prajñāpāramitā-Ratnaguṇasaṃcaya-gāthā	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Sädhya	Sādhya	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	Upadhyaya	Upādhyāya	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	adhyavasatı	adhyavasati	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	adhyävasati	adhyāvasati	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	bhavatı	bhavati	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	dha-rmakathikah	dharmakathikaḥ	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	kala-svarah	kāla-svaraḥ	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	nivaranam	nīvaraṇam	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	samjna	saṃjñā	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	samtrasam	saṃtrāsam	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	sraddhä	śraddhā	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	sräddha	śrāddha	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	särthavähah	sārthavāhaḥ	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	vridakäaryam	vṛddhakāryam	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	äarya-vansa	ārya-vaṃśa	3	manual_user_sanskrit_20260305_round2	user_list_20260305_round2
promote	kalajnah	kalajñah	4	residual_queue_jn_safe	wts_1_34:1190:102
promote	parijneyam	parijñeyam	4	residual_queue_jn_safe	wts_35_51:278:57
promote	visamjnavati	visamjñavati	4	residual_queue_jn_safe	wts_35_51:582:33
promote	tri-sarvajnatva-dharmänäm	tri-sarvajñatva-dharmänäm	4	residual_queue_jn_safe	wts_1_34:62:84
promote	nänätvasamjüä	nānātvasaṃjñā	4	residual_queue_normalize_safe	wts_35_51:623:91
promote	Äryamahäratnakütadharmaparyaäyasatasähasrikagranthe	Āryamahāratnakūṭadharmaparyāyaśatasāhasrikagrantha	5	manual_external_sanskrit_title_20260306	84000_toh45_oapen_title_attestation
promote	trisam	trisaṃ	4	manual_external_sanskrit_title_20260306	84000_toh45_title_attestation
promote	varanirdesaparivartanämamahäyänasütra	varanirdeśaparivartanāmamahāyānasūtra	5	manual_external_sanskrit_title_20260306	84000_toh45_title_attestation
promote	Ärya-mahä-ratna	Ārya-mahā-ratna	4	manual_external_sanskrit_title_20260306	84000_toh45_oapen_title_attestation
promote	kütadharmaparyäya-Satasähasrikagranthe	kūṭadharmaparyāya-śatasāhasrikagrantha	5	manual_external_sanskrit_title_20260306	oapen_mahāratnakūṭa_title_attestation
promote	trisamvaranirdesaparivarta-näma-mahayäa	trisaṃvaranirdeśaparivarta-nāma-mahāyā	5	manual_external_sanskrit_title_20260306	84000_toh45_title_attestation
promote	na-sütra	na-sūtra	4	manual_external_sanskrit_title_20260306	oapen_mahāratnakūṭa_title_attestation
