tibetan_syllable	source_variant	former_mechanical_variant_nonsemantic	audit_priority	alignment_review_status	note	context_excerpt
རྐྱང	rgyan	rgyaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan auch ’jig
རྒྱང	igyan	igyaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དཀར་མོའི་རྒྱང་གྲགས་ dkar mo’i igyan grags !dkar
རྒྱང	rgyon	rgyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྒྱང་ rgyon
རྒྱང	rgyon	rgyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྒྱང་ rgyon pf. \brgyans fut. \brgyan imp.
ཀྱང	Ryan	Ryaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཅིས་ཀྱང་ cis Ryan Tcinas kyan.
ཀྱང	byun	byuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐལ་ཀྱང་ thal byun geradewegs; ༡ du ’gro glatt
ཀྱོང	kyon	kyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.
ཀྱོང	kyon	kyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱོང་ kyon
ཀྱོང	kyon	kyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱོང་ཀྱོང་ kyon kyon
ཀྱོང	kyon	kyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱོང་ཀྱོང་ kyon kyon
ཀྱོང	kyon	kyoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱོང་བུ་ kyon bu ein Gerät, vgl. Ikyon mo.
ཀྲོང	gron	groṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྲོང་སྤྲེའུ་ gron spre’u Bez. für Katze.
ཀླང	krun	kruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
ཀླང	klon	kloṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀླང་ཆན་པ་” klon chen pa...
ཁང	khon	khoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁང་།ཁྲ་ khon khro auch khon khro ba Zorn,
ཁང	khon	khoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁང་སང་ khon sen auch khon sin, khon gsen
ཁང	khun	khuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆཁྲ་།ཁང་ chab khun Abfluß, Toilette.
ཁང	than	thaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁང་ཆོང་ than chod entschieden, entschlossen
ཁང	khun	khuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྲབ་།ཁང་ thab khun Feuerplatz, Herd.
ཁུང	Rhun	Rhuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁུང་ཉལ་ Rhun nal.
ཁོང	Khon	Khoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁོང་སྒྲིལ་ Khon sgril Fesseln.
གཅུང	geun	geuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཅུང་ geun
གཏང	gran	graṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་ gran
གཏང	gtin	gtiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་ gtin Tiefe, Grund, Boden; ~ rin tief; ~
གཏང	gtin	gtiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་དཔག་ gtin dpog fur. gtin dpag ergründen.
གཏང	gtin	gtiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་སླེབས་ gtin slebs ergründen.
གཏང	gron	groṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་ཕགས་ gron phogs
གཏང	gton	gtoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་ བའ ནོར་ gton ༼/¢'/7 nor Besitz der Frei-
གཏིང	gein	geiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏིང་ཀློ་ gein klo
གདང	gdun	gduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དྱངུལ་གདང་བརརྐྱད་ dnul gdun brgyad eine Kal-
གདང	gdun	gduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྗེས་གདང་ rjes gdun 1765 su gdun.
གདང	gdun	gduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཉེ་བར་གདང་བ་ fie bar gdun ba starke Schmer-
གདང	gdun	gduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏལ་གདང་ tal gdun ein Balken.
གདུང	odun	oduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"གདུང་ ""odun"
གྱང	gyun	gyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གྱང་རོ་ gyun ro hart, trocken; trockene Leiche.
གྲང	oran	oraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གྲང་ཚལ་ oran tshal
གྲང	gron	groṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ་ཨུན་གྲང་ཏྱར་ chu srin gron khyer
གྲུང	glan	glaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གྲུང་པོའི་རྒྱལ་པོ་ glan po’i rgyal po Bez. für den
གླང	gran	graṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གླང་ཁྲ་ gran ba.
གླང	gran	graṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གླང་རླང་ gran rlun eine Krankheit.
གླང	glin	gliṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གླང་ཕྲན་ glin phran.
གླེང	khan	khaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	'བྲེད་ཁྲས་ཁང་གླེང་ dag byed khrus khan glin
གློང	glon	gloṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གློང་ glon pf. !glons umrühren, aufwirbeln.
ང	klun	kluṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ klun.
ང	klun	kluṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་རྟ་ klun rta; vgl. Irlun rta. — chin. ES i-ma
ང	ykan	ykaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་སྙས།་ ykan skyes Bez. für Angehörige der un-
ང	rkon	rkoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་བྲར་ rkon zor
ང	skun	skuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་སླང་ skun skun verborgen, geheim.
ང	glin	gliṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་བཞི་ལྟེ་བ་ glin bźi Ite ba auch glin bZi’i Ite
ང	glin	gliṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་བཞི་ཌྡེགས་པ་ glin bźi ldegs pa Bez. für Erde
ང	gcon	gcoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	a ང་ཞེ་ gcon Zi Tcon Zi.
ང	lcan	lcaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ར * lcan rüid Weidenkätzchen.
ང	chan	chaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"ང་ཅན"" chan can Weinbecher; vgl. chin. &"
ང	klon	kloṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	EN བེངས་ཀོང་ང་བཤགས་ chos dbyins klon du
ང	stan	staṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཀྲེའ།” stan zil auch stans zil ein Mineral,
ང	thon	thoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཐང་ thon thon
ང	bźin	bźiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"""Ras ་ཀྱི ང་ངེ་འཛྲིནྒ་ de bźin nid kyi tin ne"
ཐང	lhan	lhaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐང་ཆོད་ lhan chod
ཐང	thin	thiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐང་ཤང་ thin sin ein blauer Farbstoff.
ཐང	thon	thoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཐང་ thon thon
དཔང	dban	dbaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དགའ་རབ་དཔང་རམྱག་ dga’ rab dban phyug
དུང	drun	druṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
ཕྱང	byan	byaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁ་ཕྱང་བ་ kha byan ba
ཕྱིང	pyih	pyiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཕྱིང་ pyih lphyin.
བང	Rhan	Rhaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།བང་བྱུ་ Rhan bu Häuschen, kleine Behausung.
བང	khan	khaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།བང་རྩ་ khan rtsa
བང	khan	khaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།བང་རྩ་ * khan rtsa Fundament, Grundmauer.
བང	khan	khaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།བང་སྲངས་ khan sruns Haushälterin.
བང	than	thaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བང་ཉོ།། than mo eine Gruppe von Gottheiten.
བང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	Dämonen besessen sein. བང་ thun alttib. auch thune kurz, klein sein; ༡
བང	byun	byuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."
བཏང	btun	btuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བཏང་ btun
བཏང	btun	btuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བཏང་ btun fur. zu 1⁄7//0)//) trinken; ༡༨ ba Ge-
བཏུང	btin	btiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བཏུང btin auch btins pf. zu \’din ausbreiten,
བིང	thin	thiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བིང་ ཡུག་ thin yug eine hohe Zahl.
བོང	thon	thoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐོང་བོང་ thon thon Lebensalter; jugendlich.
བོང	thon	thoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བོང་མི་ཁྲ་ thon mi ba.
བྲང	bzan	bzaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྟོབས་བྲང་ལྷ་མོ་ stobs bzan lba mo Beiname
མངང	mdun	mduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྒྲོ་མངང་ sgro mdun eine Waffe.
མདང	mdon	mdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཇ་མདང་ ja mdon auch ja ldon Butterfaß, um
མདང	mdun	mduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྟེན་མདང་ rten mdun Lanze für ein Medium
མདང	mdun	mduṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐག་མདང་ thag mdun Wurfspieß.
མོང	dban	dbaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མ།ཁའ་མོང་ངཔང་ལོ་ mkha’ spyod dban po Beina-
མོང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"ཐུན་མོང་ EN"" thun mon chos."
ཝང	ldan	ldaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མངོན་དྭ་ཝང་བ་ mnon du ldan ba ehrerbietiges
འགྱང	byun	byuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"ངེས་པར་འགྱང་ nes par ""byun"
འཆང	bzun	bzuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཆང་བཟུང་ (9) bzun Tchan bzun.
འདྲེང	drin	driṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གློ་བ་འདྲེང་ glo ba ’drin unloyal, untreu sein;
འཕུང	dpun	dpuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དམག་འཕུང་ Tdmag dpun.
འབུང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྐང་འབུང་ rkaṅ ’thun auch rkan thun „Fußtrin-
འབུང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྱད་པར་འབུང་ khyad par ’thun Bez. für Mond.
འབུང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ་འབུང་ chu ’thun.
འབུང	thun	thuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྟིང་འབུང་ sten thun Bez. für Wasserlilie; -
འབུང	byun	byuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"འབུང་བཞི་ ""byun bäi auch 'byun ba bäi die vier"
འབྲང	bren	breṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྫཾས་སུ་འབྲང་ rjes su bren Trjes su ’bran.
འབྲང	byun	byuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"བདད་རྩེའི་འབྲང་གནས་ bdud risi'i ""byun gnas"
འབྲེང	then	theṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འབྲེང་མ་ ’then ma lahm.
རྐང	bran	braṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
