tibetan_syllable	candidate_forms	independent_occurrences	volumes	entry_clusters	historical_occurrences	competing_forms	missing_evidence	promotion_disposition
གྱ	gyi	2	wts_1_34;wts_9_m		3		fewer_than_3_independent_occurrences	retain_moderate
གྱར	gyur	2	wts_1_34;wts_35_51		10		fewer_than_3_independent_occurrences	retain_moderate
གྲགས	grags	10	wts_1_34;wts_35_51		35		entry_cluster_independence	retain_moderate
གྲབ	grub	4	wts_1_34		6		single_volume	retain_moderate
གྲམ	gram	2	wts_1_34;wts_35_51		7		fewer_than_3_independent_occurrences	retain_moderate
གྲིབ	grib	6	wts_1_34		13		single_volume	retain_moderate
གྲེ	gre	2	wts_1_34;wts_9_m		8		fewer_than_3_independent_occurrences	retain_moderate
གྲོག	grog	4	wts_1_34		12		single_volume	retain_moderate
གྲོང	groṅ	4	wts_1_34;wts_35_51		16		entry_cluster_independence	retain_moderate
གླད	glud	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གླན	glan	2	wts_1_34;wts_35_51		7		fewer_than_3_independent_occurrences	retain_moderate
གློ	glo	10	wts_1_34		22		single_volume	retain_moderate
གློག	glog	3	wts_1_34		17		single_volume	retain_moderate
གླྭ	gla	3	wts_1_34		4		single_volume	retain_moderate
གྷ	gha	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ངང	daṅ	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ངལ	nal	6	wts_1_34		15		single_volume	retain_moderate
ངྷ	dha	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཅག	cag	2	wts_1_34		12		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཅམ	tsam	5	wts_1_34		5		single_volume	retain_moderate
ཅོད	cod	3	wts_1_34		7		single_volume	retain_moderate
ཅོལ	col	3	wts_1_34		5		single_volume	retain_moderate
ཆབ	chab	9	wts_1_34		33		single_volume	retain_moderate
ཆི	chi	3	wts_1_34		4		single_volume	retain_moderate
ཆིགས	tshigs	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆུགས	tshugs	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆེས	ches	3	wts_1_34		5		single_volume	retain_moderate
ཆོ	cho	2	wts_1_34		13		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆོན	tshon	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆོམ	chom	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆོཿ	chod	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཆྲེ	che	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཇི	ji	2	wts_1_34		12		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཇོ	jo	7	wts_1_34		22		single_volume	retain_moderate
ཉམ	nam	4	wts_1_34		5		single_volume	retain_moderate
ཉེན	nen	4	wts_1_34		7		single_volume	retain_moderate
ཉེར	ner	3	wts_1_34		12		single_volume	retain_moderate
ཉེས	fies	4	wts_1_34		16		single_volume	retain_moderate
ཉོ	mo	3	wts_1_34		7		single_volume	retain_moderate
ཏའི	ta’i	4	wts_1_34		5		single_volume	retain_moderate
ཏར	tar	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཏོ	to	2	wts_1_34;wts_9_m		12		fewer_than_3_independent_occurrences	retain_moderate
ཏོན	ton	4	wts_1_34		5		single_volume	retain_moderate
ཏོར	tor	3	wts_8_b		6		single_volume	retain_moderate
ཏོལ	tol	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཏྱབ	khyab	8	wts_1_34		8		single_volume	retain_moderate
ཏྱིམ	khyim	11	wts_1_34		11		single_volume	retain_moderate
ཏྱུ	khyu	4	wts_1_34		4		single_volume	retain_moderate
ཏྱོད	khyod	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཐགས	thags	16	wts_1_34		16		single_volume	retain_moderate
ཐས	khas	3	wts_1_34		3		single_volume	retain_moderate
ཐིགས	thigs	5	wts_1_34		5		single_volume	retain_moderate
ཐིམ	thim	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
ཐྲག	thag	3	wts_1_34		3		single_volume	retain_moderate
ཐྲིག	thig	3	wts_1_34		4		single_volume	retain_moderate
ཐྲེག	theg	6	wts_1_34		6		single_volume	retain_moderate
ཐྲོག	thog	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དཀུ	dku	3	wts_1_34		11		single_volume	retain_moderate
དཀོན	dkon	5	wts_1_34		21		single_volume	retain_moderate
དཀོར	dkor	6	wts_1_34		22		single_volume	retain_moderate
དཀྱུས	dkyus	2	wts_1_34;wts_35_51		6		fewer_than_3_independent_occurrences	retain_moderate
དགུ	dgu	2	wts_1_34;wts_35_51		13		fewer_than_3_independent_occurrences	retain_moderate
དགུའི	dgu’i	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དགོ	dgo	6	wts_35_51		12		single_volume	retain_moderate
དགོད	dgod	2	wts_1_34;wts_35_51		12		fewer_than_3_independent_occurrences	retain_moderate
དགོའ	dga’	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དཔག	dpag	7	wts_35_51		21		single_volume	retain_moderate
དཔང	dpaṅ	9	wts_1_34;wts_35_51		9		entry_cluster_independence	retain_moderate
དཔུང	dpuṅ	33	wts_1_34;wts_35_51		34		entry_cluster_independence	retain_moderate
དཔོང	dpoṅ	3	wts_35_51		3		single_volume	retain_moderate
དཔྱ	dpya	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དཔྱང	dpyaṅ	4	wts_35_51		4		single_volume	retain_moderate
དཔྱིད	dpyid	4	wts_35_51		13		single_volume	retain_moderate
དབབ	dbab	2	wts_1_34;wts_9_m		7		fewer_than_3_independent_occurrences	retain_moderate
དབའ	dba'	4	wts_8_b		4		single_volume	retain_moderate
དབུབ	dbub	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དབུས	dbus	5	wts_8_b		21		single_volume	retain_moderate
དབོན	dbon	2	wts_8_b		12		fewer_than_3_independent_occurrences;single_volume	retain_moderate
དབྱར	dbyar	8	wts_8_b		30		single_volume	retain_moderate
དབྱུག	dbyug	2	wts_1_34;wts_8_b		11		fewer_than_3_independent_occurrences	retain_moderate
དབྱེ	dbye	3	wts_8_b		14		single_volume	retain_moderate
དམུ	dmu	9	wts_9_m		23		single_volume	retain_moderate
དམེ	dme	2	wts_35_51;wts_9_m		6		fewer_than_3_independent_occurrences	retain_moderate
དལ	dal	15	wts_1_34		40		single_volume	retain_moderate
དས	dus	3	wts_1_34		13		single_volume	retain_moderate
དཱ	dwa	4	wts_1_34		7		single_volume	retain_moderate
དེབ	deb	4	wts_1_34		12		single_volume	retain_moderate
དེའི	de’i	14	wts_1_34		15		single_volume	retain_moderate
དེས	des	3	wts_1_34		7		single_volume	retain_moderate
དོས	dos	7	wts_1_34		20		single_volume	retain_moderate
དྭ	du	3	wts_1_34		10		single_volume	retain_moderate
དྲགྲ	dgra	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
དྲན	dran	13	wts_1_34		44		single_volume	retain_moderate
དྲི	dri	29	wts_1_34		85		single_volume	retain_moderate
དྲིན	drin	3	wts_1_34		12		single_volume	retain_moderate
དྲེགས	dregs	2	wts_1_34		9		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ནམས	nams	2	wts_1_34;wts_35_51		3		fewer_than_3_independent_occurrences	retain_moderate
ནུབ	nub	12	wts_35_51		21		single_volume	retain_moderate
ནུལ	nul	2	wts_1_34		7		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ནེའུ	ne'u	8	wts_35_51		9		single_volume	retain_moderate
ནོག	nog	2	wts_1_34		7		fewer_than_3_independent_occurrences;single_volume	retain_moderate
པང	paṅ	6	wts_35_51		6		single_volume	retain_moderate
པས	pas	2	wts_1_34;wts_35_51		11		fewer_than_3_independent_occurrences	retain_moderate
པི	pi	2	wts_1_34;wts_35_51		15		fewer_than_3_independent_occurrences	retain_moderate
པུས	pus	4	wts_35_51		7		single_volume	retain_moderate
པེ	pe	2	wts_35_51;wts_8_b		8		fewer_than_3_independent_occurrences	retain_moderate
པོད	pod	2	wts_1_34		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
པྲ	pra	4	wts_35_51;wts_8_b		17		entry_cluster_independence	retain_moderate
པྲེ	pre	3	wts_35_51		7		single_volume	retain_moderate
ཕང	phaṅ	5	wts_1_34;wts_35_51		5		entry_cluster_independence	retain_moderate
ཕར	phar	17	wts_35_51		17		single_volume	retain_moderate
ཕལ	phal	8	wts_35_51		10		single_volume	retain_moderate
ཕིབས	phibs	3	wts_1_34		3		single_volume	retain_moderate
ཕུན	phun	12	wts_35_51		12		single_volume	retain_moderate
ཕོབ	phob	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
ཕྱང	phyaṅ	9	wts_35_51		9		single_volume	retain_moderate
ཕྱུ	phywa	3	wts_35_51		5		single_volume	retain_moderate
ཕྱུང	phyuṅ	4	wts_1_34;wts_35_51		4		entry_cluster_independence	retain_moderate
ཕྲས	phras	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
ཕྲིག	phrig	3	wts_35_51		3		single_volume	retain_moderate
ཕྲུ	phru	10	wts_35_51		10		single_volume	retain_moderate
ཕྲུགས	phrugs	4	wts_35_51		4		single_volume	retain_moderate
ཕྲུལ	phrul	3	wts_35_51		3		single_volume	retain_moderate
ཕྲོ	pho	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བཀང	bkaṅ	3	wts_1_34;wts_35_51		3		entry_cluster_independence	retain_moderate
བཀར	bkur	3	wts_1_34		6		single_volume	retain_moderate
བཀུར	bkur	2	wts_35_51;wts_9_m		12		fewer_than_3_independent_occurrences	retain_moderate
བཀོང	bkoṅ	3	wts_35_51		3		single_volume	retain_moderate
བཀྱོན	bkyon	3	wts_1_34		4		single_volume	retain_moderate
བཀྲག	bkrag	2	wts_1_34;wts_35_51		7		fewer_than_3_independent_occurrences	retain_moderate
བཏེག	bteg	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བཏོན	bton	2	wts_1_34;wts_35_51		6		fewer_than_3_independent_occurrences	retain_moderate
བཐ	tha	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བཐུགས	thugs	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བདོ	bdo	2	wts_1_34;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
བདྡེན	bden	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བདྲག	bdag	2	wts_35_51		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བཙུགས	btsugs	3	wts_1_34		3		single_volume	retain_moderate
བཟུང	bzuṅ	4	wts_1_34;wts_35_51		6		entry_cluster_independence	retain_moderate
བཟོ	bzo	2	wts_35_51		7		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བཟླས	bzlas	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བརྐོས	brkos	7	wts_1_34		7		single_volume	retain_moderate
བརྒྱུར	bsgyur	5	wts_1_34		14		single_volume	retain_moderate
བརྗོད	brjod	9	wts_1_34		46		single_volume	retain_moderate
བརྡབས	brdabs	6	wts_35_51		6		single_volume	retain_moderate
བཤོལ	bsol	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བསུ	bsu	2	wts_35_51		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བསུན	bsun	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བསོ	bso	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བསོད	bsod	5	wts_1_34		5		single_volume	retain_moderate
བསྐུལ	bskul	5	wts_1_34		18		single_volume	retain_moderate
བསྐྲོད	bskrod	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བསྙིལ	bsñil	3	wts_35_51		3		single_volume	retain_moderate
བསྟེན	bsten	3	wts_1_34		10		single_volume	retain_moderate
བསྲུང	bsruṅ	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
བུག	bug	2	wts_35_51;wts_8_b		10		fewer_than_3_independent_occurrences	retain_moderate
བུགས	thugs	7	wts_1_34		7		single_volume	retain_moderate
བུང	buṅ	5	wts_1_34;wts_8_b		5		entry_cluster_independence	retain_moderate
བུན	thun	3	wts_1_34		3		single_volume	retain_moderate
བེད	bed	2	wts_1_34;wts_8_b		8		fewer_than_3_independent_occurrences	retain_moderate
བེམ	bem	2	wts_8_b		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བོབ	thob	3	wts_1_34		3		single_volume	retain_moderate
བོལ	bol	2	wts_1_34;wts_8_b		4		fewer_than_3_independent_occurrences	retain_moderate
བོས	thos	3	wts_1_34		3		single_volume	retain_moderate
བྱམས	byams	5	wts_8_b		20		single_volume	retain_moderate
བྱིང	byiṅ	3	wts_8_b		3		single_volume	retain_moderate
བྱུག	byug	4	wts_1_34		10		single_volume	retain_moderate
བྲམ	bram	2	wts_8_b		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བྲི	bri	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
བྲིག	thig	5	wts_1_34		5		single_volume	retain_moderate
བྲེང	breṅ	6	wts_8_b		6		single_volume	retain_moderate
བྲོར	zor	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
བློག	zlog	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
བློས	blos	4	wts_8_b		11		single_volume	retain_moderate
མཁབས	mkhas	4	wts_1_34		4		single_volume	retain_moderate
མཁོ	mkho	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
མཁྱུད	mkhyud	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
མཁྲིས	mkhris	3	wts_1_34		3		single_volume	retain_moderate
མགུལ	mgul	2	wts_1_34;wts_35_51;wts_8_b		12		fewer_than_3_independent_occurrences	retain_moderate
མངང	maṅ	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མཆམས	mtshams	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མཆེ	mche	3	wts_1_34		11		single_volume	retain_moderate
མཆོ	mtsho	3	wts_1_34		3		single_volume	retain_moderate
མཆོན	mtshon	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མཇེད	mjed	2	wts_9_m		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མཉེས	mies	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
མཐས	mthas	3	wts_1_34		3		single_volume	retain_moderate
མཐུ	mthu	15	wts_1_34		17		single_volume	retain_moderate
མཐུར	mthur	6	wts_1_34		6		single_volume	retain_moderate
མཐེབ	mtheb	4	wts_1_34		4		single_volume	retain_moderate
མཐོན	mthon	12	wts_1_34		12		single_volume	retain_moderate
མད	med	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མདུང	mduṅ	14	wts_1_34;wts_35_51;wts_8_b		15		entry_cluster_independence	retain_moderate
མདུན	mdun	3	wts_35_51		20		single_volume	retain_moderate
མདོས	mdos	2	wts_1_34;wts_9_m		5		fewer_than_3_independent_occurrences	retain_moderate
མན	man	10	wts_9_m		27		single_volume	retain_moderate
མབྲེབ	mtheb	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མཚུལ	mtshul	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
མཚོའི	mtsho’i	11	wts_1_34		11		single_volume	retain_moderate
མཛའ	mdza’	4	wts_1_34		4		single_volume	retain_moderate
མཛུབ	mdzub	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མའེ	ma'i	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མུག	mug	3	wts_1_34		16		single_volume	retain_moderate
མུར	mur	2	wts_1_34;wts_9_m		7		fewer_than_3_independent_occurrences	retain_moderate
མེང	miṅ	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མེར	mer	2	wts_1_34;wts_35_51		7		fewer_than_3_independent_occurrences	retain_moderate
མེལ	mel	3	wts_9_m		3		single_volume	retain_moderate
མྨུ	mya	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
མྱ	mya	3	wts_9_m		3		single_volume	retain_moderate
མྱི	myi	2	wts_1_34;wts_9_m		4		fewer_than_3_independent_occurrences	retain_moderate
མྱིག	myig	2	wts_35_51;wts_9_m		4		fewer_than_3_independent_occurrences	retain_moderate
མྱོས	myos	2	wts_35_51;wts_9_m		4		fewer_than_3_independent_occurrences	retain_moderate
མྲེགས	mkhregs	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཚུག	tshug	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
ཚོང	tshoṅ	2	wts_35_51;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
ཚོན	tshon	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
ཝང	waṅ	2	wts_1_34;wts_35_51;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
ཝྲ	phra	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཟིན	zin	2	wts_1_34;wts_35_51		5		fewer_than_3_independent_occurrences	retain_moderate
ཟྲེར	zer	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འ	dga’	3	wts_1_34		3		single_volume	retain_moderate
འཆང	chaṅ	3	wts_1_34;wts_35_51		3		entry_cluster_independence	retain_moderate
འཆར	char	2	wts_1_34		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འཆི	chi	3	wts_1_34		10		single_volume	retain_moderate
འཆེ	chi	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འཇའ	ja’	9	wts_1_34		10		single_volume	retain_moderate
འཇོག	jog	2	wts_35_51		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འཇྲིག	ig	2	wts_1_34;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
འདབ	dab	10	wts_35_51		27		single_volume	retain_moderate
འདམ	dam	7	wts_35_51		16		single_volume	retain_moderate
འདི	di	5	wts_35_51		27		single_volume	retain_moderate
འདུ	du	7	wts_35_51		14		single_volume	retain_moderate
འདུར	dur	2	wts_1_34;wts_35_51		6		fewer_than_3_independent_occurrences	retain_moderate
འདུལ	dul	3	wts_35_51		5		single_volume	retain_moderate
འདུས	dus	5	wts_35_51		15		single_volume	retain_moderate
འདོད	dod	14	wts_35_51		34		single_volume	retain_moderate
འདྲ	dra	3	wts_35_51		12		single_volume	retain_moderate
འཕང	phaṅ	4	wts_35_51		4		single_volume	retain_moderate
འཕན	phan	4	wts_35_51		4		single_volume	retain_moderate
འཕར	phar	5	wts_35_51		5		single_volume	retain_moderate
འཕུར	phur	3	wts_35_51		3		single_volume	retain_moderate
འཕྱར	phyar	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འཕྲགས	phags	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འཕྲལ	phral	7	wts_35_51		7		single_volume	retain_moderate
འཕྲུལ	phrul	8	wts_35_51		8		single_volume	retain_moderate
འཕྲེང	phreṅ	2	wts_35_51;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
འཕྲོ	phro	4	wts_35_51		4		single_volume	retain_moderate
འབའ	ba'	3	wts_8_b		4		single_volume	retain_moderate
འབུལ	bul	2	wts_35_51		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འབོད	bod	4	wts_8_b		11		single_volume	retain_moderate
འབྲིང	briṅ	2	wts_8_b		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འབྲུག	brug	2	wts_8_b		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
འོང	oṅ	2	wts_35_51;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
ཡག	yag	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
ཡཡི	yi	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཡིས	yis	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཡུ	yu	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཡུག	yug	10	wts_1_34		17		single_volume	retain_moderate
ཡོང	yoṅ	2	wts_1_34;wts_35_51;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
རག	rag	2	wts_1_34		7		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རགས	rags	5	wts_1_34		14		single_volume	retain_moderate
རང	raṅ	2	wts_1_34;wts_35_51;wts_8_b		14		fewer_than_3_independent_occurrences	retain_moderate
རན	ran	5	wts_1_34		8		single_volume	retain_moderate
རམ	ram	4	wts_1_34;wts_8_b		10		entry_cluster_independence	retain_moderate
རམྨྱ	mya	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རིན	rin	2	wts_1_34;wts_8_b		14		fewer_than_3_independent_occurrences	retain_moderate
རིའི	ri’i	3	wts_1_34		4		single_volume	retain_moderate
རུམ	rum	2	wts_1_34;wts_9_m		7		fewer_than_3_independent_occurrences	retain_moderate
རུལ	rgyal	3	wts_1_34		3		single_volume	retain_moderate
རྐ	rka	9	wts_1_34		9		single_volume	retain_moderate
རྐམ	rkam	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྐུན	rkun	6	wts_1_34		7		single_volume	retain_moderate
རྐེད	rked	8	wts_1_34		8		single_volume	retain_moderate
རྐྱན	rkyan	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྒ	rga	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྒད	rgod	2	wts_1_34;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
རྒས	rgas	7	wts_1_34		8		single_volume	retain_moderate
རྒུད	rgud	4	wts_1_34		4		single_volume	retain_moderate
རྒུན	rgun	3	wts_1_34		3		single_volume	retain_moderate
རྒོ	rgo	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
རྔགས	rdugs	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
རྔལ	rdul	5	wts_1_34		5		single_volume	retain_moderate
རྔོ	rdo	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
