volume	page	line	token_index	tibetan_syllable	source_token	target	comparison_stage	before_or_after	migration_class	context_excerpt
wts_1_34	823	13	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་འཕྱོས་པ་ säin ’pbyos pa eine Herzkrank-
wts_1_34	823	81	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་ཚིམ་ säin tshim.
wts_1_34	823	187	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་རུལ་པོ་ säin rul po herzloser Mensch.
wts_1_34	824	6	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་རླང་ säin rlun Betrübnis, Ärger, Ver-
wts_1_34	824	46	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་བསྲལ་ཅན་ säin bsral can hartherzig, mu-
wts_1_34	1323	1	3	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	དྲི་ཡི་སྙིང་པོ་ dri yi säin po
wts_35_51	799	3	2	རང	Balken		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྤར་རང་ sporröt Balken einer Waage.
wts_8_b	255	4	2	ཁུང	Felsh		baseline_530_to_pre_gate0_555	before	resolved_or_no_longer_candidate	བྲཐ།ཁུང་ bragkburi Felshöhle, Felsspalte.
wts_8_b	298	28	2	བྱང	Zweitseelentäfelchen		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	བླ་བྱང་ bbla Zweitseelentäfelchen, ein Tä-
wts_8_b	457	24	2	གོང	Handrücken		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	འབོལ་གོང་ ''bol Handrücken, Fußrücken.
wts_9_m	102	60	2	གང	Mannsh		baseline_530_to_pre_gate0_555	before	resolved_or_no_longer_candidate	མི་གང་ migari Mannshöhe, Klafter.
wts_1_34	157	112	2	འབུང	thun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	རྐང་འབུང་ rkaṅ ’thun auch rkan thun „Fußtrin-
wts_1_34	248	148	2	ནིང	nin	niṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁ་ནིང་ kha nin letztes Jahr.
wts_1_34	277	28	2	སིང	sin	siṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁོང་སིང་ khoṅ sin I\khon sen Schlucht.
wts_1_34	280	44	3	འབུང	thun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁྱད་པར་འབུང་ khyad par ’thun Bez. für Mond.
wts_1_34	287	97	1	ཁུང	khyun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁུང་སེང་འདས་པ་ khyun seṅ ’dus pa achtfüßiger
wts_1_34	298	94	1	ཁུང	khrun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁུང་ khrun resp. für chan.
wts_1_34	298	141	1	ཁུང	khrun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁུང་ཞེ་ཆཿ khrun Zu ma Kellnerin.
wts_1_34	300	171	2	གཞུང	gun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཁྲེལ་གཞུང་ khrel gun \khrel.
wts_1_34	360	84	1	ཀོང	gon		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཀོང་ད་འཕེལ་ gon du ’phel sich verbreiten, zu-
wts_1_34	361	71	1	ཀོང	gon		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཀོང་རྩེ་ gon rtse Kragen.
wts_1_34	361	111	1	ཀོང	gon		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཀོང་ལེན་ gon len Trophäe.
wts_1_34	388	70	1	ཀྲོང	gron		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཀྲོང་སྤྲེའུ་ gron spre’u Bez. für Katze.
wts_1_34	396	122	1	གླང	glin		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	གླང་ཕྲན་ glin phran.
wts_1_34	400	35	3	འདྲེང	drin		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	གློ་བ་འདྲེང་ glo ba ’drin unloyal, untreu sein;
wts_1_34	413	1	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དགེ་བའི་འབྱང་གནས་ dge ba’i ’byun gnas
wts_1_34	413	12	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དགེ་བའི་འབྱང་གནས་ dge ba’i ’byun gnas Beina- དགེ་སྦྱོང་ dge sbyon Mönch, Asket, skt.
wts_1_34	424	123	1	བགྲང	beran		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	བགྲང་རྟོགས་ beran rtogs eine hohe Zahl.
wts_1_34	424	158	1	བགྲང	beran		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	བགྲང་ཕྲེང་འཛིན་ beran phreṅ ’dzin Beiname des
wts_1_34	439	200	1	འགང	gon	goṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འགང་པ gon po ein Damon; gon mo eine
wts_1_34	441	20	4	འགྱངས	then		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འགྱངས་འཐེན་ ”£9)/47?5£ ’then Aufschub, Verzöge-
wts_1_34	491	208	2	ཆུང	sge’n		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	SQ ཆུང་ 'sge’n chuṅ }'sge’n.
wts_1_34	535	160	3	འགྱང	byun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	"ངེས་པར་འགྱང་ nes par ""byun"
wts_1_34	535	178	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ངེས་པར་འབྱང་ nes par ’byun pf. Tnes par byun
wts_1_34	555	49	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	མངོན་པར་འབྱང་ mṅon par 'byun pf. Tmnon par
wts_1_34	625	3	2	འདིང	din	diṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆག་འདིང་ chag ’din
wts_1_34	625	9	2	འདིང	din	diṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆག་འདིང་ chag ’din beraten, planen.
wts_1_34	645	94	2	འཆེང	chin	chiṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆ་འཆེང་ chu ’chin Bez. für Dach, chinesisches
wts_1_34	646	141	2	འབུང	thun		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆུ་འབུང་ chu ’thun.
wts_1_34	649	103	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆུ་འབྱང་ chu ’byun Bez. für die Zahl 54.
wts_1_34	655	124	3	གྲང	gron		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆུ་ཨུན་གྲང་ཏྱར་ chu srin gron khyer
wts_1_34	655	165	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆུ་སིན་འབྱང་གནས་ chu srin ’byun gnas Bez. für
wts_1_34	674	176	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆས་ཀྱ་འབྱང་གནས་སྒེ་ chos kyi ’byun gnas sgo
wts_1_34	680	34	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆོས་འབྱང་ chos ’byun.
wts_1_34	680	64	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཆོས་འབྱང་བྱིན་ chos ’byun byin.
wts_1_34	703	199	1	འཆེང	chin	chiṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འཆེང་སྒྲིགས་ 'chin sgrigs Vereinbarung.
wts_1_34	704	35	1	འཆེང	chin	chiṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འཆེང་བ་གསུམ་ 'chin ba gsum die drei Fesseln:
wts_1_34	704	78	1	འཆེང	chin	chiṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འཆེང་བླཟླམ་གནང་ 'chin bzlum gnaṅ vermitteln,
wts_1_34	724	164	3	རྐྱང	rgyan		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan
wts_1_34	724	212	3	རྐྱང	rgyan		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan auch ’jig
wts_1_34	811	181	2	ཐང	than	thaṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	མཉེས་ཐང་ möes than npr. eine Gegend.
wts_1_34	820	105	3	སྙིང	chn		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	སྙིང་ཁཆུ་བ་ $77/7 ’chn ba unglücklich, beküm-
wts_1_34	826	38	1	སྙིང	sien		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	སྙིང་ 'sien auch $)76/75 pf. Ibsnens fur. Ibsäen
wts_1_34	833	169	3	འདེང	jmdn		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	བསྙོན་འདེང་ bsion 777) jmdn. wissentlich falsch
wts_1_34	887	80	3	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	གཏམ་གྱི་འབྱང་གནས་ gtam gyi ’byun gnas Bez.
wts_1_34	916	84	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	རྟག་འབྱང་ rag 'byun Beiname Mahesvaras.
wts_1_34	922	9	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	རྟེན་འབྱང་ rten ’byun.
wts_1_34	961	46	2	འབྱང	byun	byuṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཏྟབས་འབྱང་ stobs ’byun eine hohe Zahl.
wts_1_34	999	202	2	ཀོང	gon		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཀྲཁ།་ཀོང་ thal gon der Bereich zwischen den
wts_1_34	1074	31	1	འབྲེང	then		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	འབྲེང་མ་ ’then ma lahm.
wts_1_34	1100	1	2	འཚང	tshan	tshaṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དག་འཚང་བྱས་ dag ’tshan byas
wts_1_34	1100	3	2	འཚང	tshan	tshaṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དག་འཚང་བྱས་ dag ’tshan byas pf. bereinigen.
wts_1_34	1141	45	2	འགང	gah		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དིང་འགང་ din ’'gah (zw.) Filztuch; vgl. Igdin
wts_35_51	428	20	2	འཚོང	ishoh		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ནམ་འཚོང་ nam 'ishoh auch nam tsoṅ, nam
wts_35_51	712	54	1	ཕྱིང	pyih		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	ཕྱིང་ pyih lphyin.
wts_35_51	737	37	1	དཔུང	dpuṅń		pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	དཔུང་ 'dpuṅń
wts_35_51	1108	42	1	འཕྱོང	phyon	phyoṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	"འཕྱོང་ ""phyon"
wts_35_51	1108	76	1	འཕྱོང	phyon	phyoṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	"འཕྱོང་ ""phyon auch 'phyons aufhängen, vgl."
wts_8_b	330	74	1	བློང	blon	bloṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	བློང་ 'blon.
wts_8_b	331	13	2	བློང	blon	bloṅ	pre_gate0_555_to_current	before	resolved_or_no_longer_candidate	བྲོང་བློང་ bloṅ blon.
