volume	page	line	token_index	observed_tibetan	adjudicated_tibetan	latin_token	decision	lemma_ordinal	neighbour_window	evidence	review_batch
wts_1_34	287	9	1	ཁུག	ཁྱུག	khyug	tibetan_headword_ocr_confirmed	3884	3881-3887 includes clean ཁྱུག/khyug at 3885	The damaged entry occupies the local ཁྱ-series run.	subjoined_y_headword_review_20260729
wts_1_34	287	97	1	ཁུང	ཁྱུང	khyun	tibetan_headword_ocr_confirmed	3892	3889-3895 includes clean ཁྱུང/khyun immediately before	Local order and repeated sibling establish the missing subjoined ཡ.	subjoined_y_headword_review_20260729
wts_35_51	476	57	2	གི	གྱི	gyi	tibetan_headword_ocr_confirmed	15530	15527-15532 repeatedly contains ནོར་གྱི/gyi	Same grammatical construction and adjacent siblings establish the identity.	subjoined_y_headword_review_20260729
wts_35_51	599	39	2	ཕོད	ཕྱོད	phyod	tibetan_headword_ocr_confirmed	16095	16092-16098 is a ཕྱ/འཕ-series run	Local order and Latin phyod support the missing subjoined ཡ.	subjoined_y_headword_review_20260729
wts_35_51	1049	3	1	ཕོལ	ཕྱོལ	phyol	tibetan_headword_ocr_confirmed	18745	18742-18748 directly follows ཕྱོར entries	Local order and repeated Latin phyol establish the missing subjoined ཡ.	subjoined_y_headword_review_20260729
wts_8_b	161	5	1	བག	བྱག	byag	tibetan_headword_ocr_confirmed	20112	20109-20113 contains four adjacent བྱག་མཁན siblings	The damaged row is bracketed by exact same-entry siblings.	subjoined_y_headword_review_20260729
wts_1_34	1074	8	2	འཁར	འཁྱར	khyar	tibetan_headword_ocr_confirmed	11857	11856 is exact འཐེང་འཁྱར/then khyar sibling	Immediate sibling independently resolves the Tibetan identity.	subjoined_y_headword_review_20260729
wts_8_b	163	7	2	རྐང	རྐྱང	rkyaṅ	tibetan_headword_ocr_confirmed	20120	20117-20123 local entry run	Independent རྐྱང identity and Kiang gloss support missing subjoined ཡ.	subjoined_y_headword_review_20260729
wts_35_51	1041	6	2	སྐོང	སྐྱོང	skyoṅ	tibetan_headword_ocr_confirmed	18688	18685-18691 local guardian entry run	Latin and independently clean guardian forms establish missing subjoined ཡ.	subjoined_y_headword_review_20260729
wts_8_b	144	1	3	སྐོང	སྐྱོང	skyoṅ	tibetan_headword_ocr_confirmed	19973	19974 is exact བྱ་གག་སྐྱོང་བ sibling	Immediate following sibling independently resolves the identity.	subjoined_y_headword_review_20260729
wts_1_34	293	76	1	ཁབ	ཁྲབ	khrab	tibetan_headword_ocr_confirmed	3982	3980-3984:ཁྲག་ཤེད … ཁྲབ་མ	Local order is dispositive: the damaged entry falls immediately before two exact ཁྲབ siblings; independent ཁྲབ/khrab entries confirm the identity.	del_r_side_adjudication_20260729
wts_1_34	298	89	1	ཁུག	ཁྲུག	khrug	tibetan_headword_ocr_confirmed	4080	4078-4082:khr- lemma run	Local order supports but is not solely dispositive; independent clean འཁྲུག/khrug compounds establish the omitted r structure.	del_r_side_adjudication_20260729
wts_1_34	298	94	1	ཁུང	ཁྲུང	khrun	tibetan_headword_ocr_confirmed	4081	4079-4083:khr- lemma run	Local order supports the khr- run; independently clean འཁྲུངས/'khruṅs siblings establish the Tibetan r structure.	del_r_side_adjudication_20260729
wts_1_34	298	141	1	ཁུང	ཁྲུང	khrun	tibetan_headword_ocr_confirmed	4086	4084-4088:khr- lemma run	Local order supports the same khr- entry run; clean འཁྲུངས/'khruṅs siblings independently establish the Tibetan r structure.	del_r_side_adjudication_20260729
wts_1_34	988	196	2	ཁོམ	ཁྲོམ	khrom	tibetan_headword_ocr_confirmed	10761	10759-10763:shared ཐང run	The shared ཐང prefix makes the second member locally relevant; independent ཁྲོམ/khrom headwords and compounds establish the adjudicated identity.	del_r_side_adjudication_20260729
wts_8_b	269	62	1	བམ	བྲམ	bram	tibetan_headword_ocr_confirmed	20760	20758-20762:བྲམ་ཟེ series	Local order is dispositive inside the uninterrupted བྲམ་ཟེ series; identical Brahmin compounds supply clean siblings.	del_r_side_adjudication_20260729
wts_1_34	298	9	2	སོལ	སྲོལ	srol	tibetan_headword_ocr_confirmed	4073	lemma_order_not_dispositive	Order does not constrain the internal member; repeated ཁྲིམས་སྲོལ and independently clean སྲོལ/srol compounds establish the missing r.	del_r_side_adjudication_20260729
wts_1_34	622	8	2	སོལ	སྲོལ	srol	tibetan_headword_ocr_confirmed	7602	lemma_order_not_dispositive	Order is not informative for this internal member; independent custom/tradition compounds consistently have སྲོལ/srol.	del_r_side_adjudication_20260729
wts_1_34	70	183	1	ཀན	ཀུན	kun	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact ཀུན་ཏུ phrase and hundreds of independent ཀུན/kun siblings establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	295	158	2	གདགས	གདུགས	gdugs	tibetan_headword_ocr_confirmed		supporting_local_order	Independent གདུགས/gdugs headwords and identical compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	407	168	2	གདགས	གདུགས	gdugs	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Independent གདུགས/gdugs headwords and identical compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	646	218	2	གདགས	གདུགས	gdugs	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Independent གདུགས/gdugs headwords and identical compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	353	37	1	གར	གུར	gur	tibetan_headword_ocr_confirmed		dispositive_local_order	Clean གུར/gur tent headwords and compounds independently establish missing ུ.	vowel_side_adjudication_20260729
wts_35_51	92	67	3	གསང	གསུང	gsuṅ	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Same speech context and independent གསུང/gsuṅ observations establish missing ུ; Latin supports but does not decide.	vowel_side_adjudication_20260729
wts_1_34	117	196	2	གྲམ	གྲུམ	grum	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Independent གྲུམ/grum disease and compound siblings establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	383	174	1	གྲམ	གྲུམ	grum	tibetan_headword_ocr_confirmed		dispositive_local_order	Independent གྲུམ/grum headwords and compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	383	194	1	གྲམ	གྲུམ	grum	tibetan_headword_ocr_confirmed		dispositive_local_order	Independent གྲུམ/grum headwords and compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	624	39	2	གྲམ	གྲུམ	grum	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Independent གྲུམ/grum headwords and compounds establish missing ུ.	vowel_side_adjudication_20260729
wts_8_b	116	4	3	ཆང	ཆུང	chuṅ	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Compound semantics and numerous independent ཆུང/chuṅ siblings establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	334	107	2	དར	དུར	dur	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Repeated plant and burial compounds with clean དུར/dur establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	334	114	2	དར	དུར	dur	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Repeated plant and burial compounds with clean དུར/dur establish missing ུ.	vowel_side_adjudication_20260729
wts_1_34	784	97	3	དར	དུར	dur	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact དུར་ཁྲོད/dur khrod sibling construction establishes missing ུ.	vowel_side_adjudication_20260729
wts_1_34	655	124	3	གྲང	གྲོང	gron	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact གྲོང་ཁྱེར/grong khyer construction and clean siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_35_51	25	6	2	ཆག	ཆོག	chog	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Death-ritual context and independent ཆོག/chog siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_9_m	22	57	2	ཆག	ཆོག	chog	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact ma chog pa construction and independent ཆོག/chog siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	1038	141	2	ཕར	ཕོར	phor	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Skull-cup context and independent ཕོར/phor vessel siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	552	45	3	ཕྱགས	ཕྱོགས	phyogs	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact mngon du phyogs construction and independent ཕྱོགས/phyogs siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_35_51	917	3	3	ཚགས	ཚོགས	tshogs	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact phun sum tshogs construction and independent ཚོགས/tshogs siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	889	118	3	འཁར	འཁོར	khor	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact khor lo compound and independent འཁོར/khor siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	686	66	2	རྐ	རྐོ	rko	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Grave/digging context and independent རྐོ/rko forms establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	457	159	1	རྒ	རྒོ	rgo	tibetan_headword_ocr_confirmed		dispositive_local_order	Antelope context and independent རྒོ/rgo identity establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	488	135	1	རྒྱབ	རྒྱོབ	rgyob	tibetan_headword_ocr_confirmed		dispositive_local_order	Imperative rgyob context and independent རྒྱོབ/rgyob forms establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	433	45	2	སྒ	སྒོ	sgo	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Border-gate context and independent སྒོ/sgo compounds establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	778	68	3	སྒ	སྒོ	sgo	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Independent སྒོ/sgo compounds establish missing ོ; order is not dispositive.	vowel_side_adjudication_20260729
wts_1_34	953	19	1	སྟང	སྟོང	stoṅ	tibetan_headword_ocr_confirmed		dispositive_local_order	Exact stoṅ pa construction and independent སྟོང/stoṅ siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	461	120	2	སྟབས	སྟོབས	stobs	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Large-number/strength context and independent སྟོབས/stobs siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_9_m	377	22	1	སྨད	སྨོད	smod	tibetan_headword_ocr_confirmed		dispositive_local_order	Verbal context and independent སྨོད/smod siblings establish missing ོ.	vowel_side_adjudication_20260729
wts_1_34	396	122	1	གླང	གླིང	glin	tibetan_headword_ocr_confirmed		dispositive_local_order	Exact gling phran construction and independent གླིང/gliṅ siblings establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	652	170	2	ཡ	ཡི	yi	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Grammatical yi construction and independent ཡི/yi siblings establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	653	44	2	ཡ	ཡི	yi	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Grammatical yi construction and independent ཡི/yi siblings establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	822	191	3	ཡ	ཡི	yi	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact yi ge construction and independent ཡི/yi siblings establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	297	183	2	ཡག	ཡིག	yig	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Law-text context and independent ཡིག/yig compounds establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	494	163	2	ཡག	ཡིག	yig	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Sign/document context and independent ཡིག/yig compounds establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	639	209	2	ཡག	ཡིག	yig	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Contract context and independent ཡིག/yig compounds establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	1027	182	2	ཡག	ཡིག	yig	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Document context and independent ཡིག/yig compounds establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	1064	128	2	རས	རིས	ris	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Exact mtho ris compound and independent རིས/ris siblings establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	393	174	3	རྩ	རྩི	rtsi	tibetan_headword_ocr_confirmed		lemma_order_not_dispositive	Bezoar context and independent རྩི/rtsi identity establish missing ི.	vowel_side_adjudication_20260729
wts_1_34	360	84	1	ཀོང	གོང	gon	tibetan_headword_ocr_confirmed		continuous གོང run: གོང་ཐག through གོང་དུ་ཕུད	Dispositive local lemma order and the row's own nams rtogs gon ’phel citation establish occurrence-specific གོང.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	360	84	2	ད	དུ	du	tibetan_headword_ocr_confirmed		shared headword prefix གོང; exact neighbouring གོང་དུ compounds	The continuous local run and Latin/citation du establish the missing Tibetan ུ independently of the root repair.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	361	71	1	ཀོང	གོང	gon	tibetan_headword_ocr_confirmed		continuous གོང run; immediately followed by གོང་ཡོལ/goṅ yol	The matching Kragen gloss and immediate clean sibling make local order dispositive.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	361	111	1	ཀོང	གོང	gon	tibetan_headword_ocr_confirmed		continuous གོང section immediately preceding གོང་ས/goṅ sa	Local sequence and same-section siblings establish གོང; unrelated canonical ཀོང is not occurrence evidence.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	999	202	1	ཀྲཁ	ཐལ	thal	tibetan_headword_ocr_confirmed		exact same-page ཐལ་གོང/thal goṅ sibling at 999:167	The repeated headword, compatible gloss, and same-page entry establish the damaged first Tibetan token.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	999	202	2	ཀོང	གོང	gon	tibetan_headword_ocr_confirmed		exact same-page ཐལ་གོང/thal goṅ sibling at 999:167	The repeated compound independently establishes the second Tibetan token as གོང.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	366	67	1	ཀྱང	གྱང	gyaṅ	tibetan_headword_ocr_confirmed		immediately after གྱང and before གྱད་རྡོ	The gya-/gyaṅ-/gyad alphabetical slot is dispositive for initial ག rather than ཀ.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	388	70	1	ཀྲོང	གྲོང	gron	tibetan_headword_ocr_confirmed		continuous གྲོང material immediately after གྲོང་དཔོན/groṅ dpon	Occurrence-level lemma order establishes གྲོང; the genuine unrelated ཀྲོང canonical elsewhere is explicitly non-dispositive.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	724	164	3	རྐྱང	རྒྱང	rgyan	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact clean རྒྱང་ཕན/rgyaṅ phan at 466:85 cross-references ’jig rten rgyan phan and establishes this repeated compound.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	724	212	3	རྐྱང	རྒྱང	rgyan	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact clean རྒྱང་ཕན/rgyaṅ phan at 466:85 cross-references ’jig rten rgyan phan and establishes this repeated compound.	g_to_k_occurrence_identity_repair_20260729
wts_1_34	346	15	2	ཆིག	ཚིག	tshig	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact clean repeated གན་ཚིག/gan tshig at 346:1 establishes the compound member; Latin tshig is retained.	ts_to_c_occurrence_identity_review_20260729
wts_1_34	473	179	2	ཆབ	ཚབ	tshab	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact clean repeated རྒྱལ་ཚབ/rgyal tshab at 473:234 establishes the compound member; Latin tshab is retained.	ts_to_c_occurrence_identity_review_20260729
wts_1_34	650	152	2	ཆགས	ཚགས	tshags	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact clean repeated ཆུ་ཚགས/tshags at 650:169 establishes the compound member; Latin tshags is retained.	ts_to_c_occurrence_identity_review_20260729
wts_1_34	75	149	3	གཅེས	གཙེས	gtses	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact lexical expression kun tu gtses pa and matching meaning establish གཙེས; unrelated genuine གཅེས/gces entries are non-dispositive.	affricate_witness_side_review_20260729
wts_1_34	266	43	2	ཆུར	ཚུར	tshur	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact lexical identity ཁུ་ཚུར “fist”, matching this gloss, establishes dental-affricate ཚ; Latin tshur is retained.	affricate_witness_side_review_20260729
wts_1_34	269	51	1	ཁུར	མཁུར	khur	tibetan_headword_ocr_confirmed		whole phrase; lemma_order_not_dispositive	Exact lexical identity མཁུར་ཚོས “cheeks” and the entry’s own mkhur tshos cross-reference establish the missing Tibetan prefix and Latin m.	affricate_witness_side_review_20260729
wts_1_34	269	51	2	ཆོས	ཚོས	tshos	tibetan_headword_ocr_confirmed		whole phrase; lemma_order_not_dispositive	Exact lexical identity མཁུར་ཚོས “cheeks” and the entry’s own mkhur tshos cross-reference establish dental-affricate ཚ; Latin tshos is retained.	affricate_witness_side_review_20260729
wts_1_34	405	57	2	ཆལ	ཚལ	tshal	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact lexical identity དགའ་ཚལ in the garden/paradise semantic field establishes dental-affricate ཚ; Latin tshal is retained.	affricate_witness_side_review_20260729
wts_1_34	761	1	1	ཉམ	ཉམས	nam	tibetan_headword_ocr_confirmed		exact repeated phrase; lemma_order_not_dispositive	Exact repeated ཉམས་ཆད་པ at 766:9 and matching resigniert/decline meaning establish missing Tibetan suffix ས.	affricate_witness_side_review_20260729
wts_1_34	338	26	2	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		compound member; lemma_order_not_dispositive	Exact གང་ལྟར lexical identity and matching ltar establish Tibetan onset-stack OCR damage; Latin ltar is retained.	ltar_two_witness_side_review_20260729
wts_1_34	931	168	1	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and the continuous ལྟར/ltar entry run establish the Tibetan identity.	ltar_two_witness_side_review_20260729
wts_1_34	932	1	1	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and the continuous ལྟར/ltar entry run establish the Tibetan identity.	ltar_two_witness_side_review_20260729
wts_1_34	932	106	1	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and the continuous ལྟར/ltar entry run establish the Tibetan identity.	ltar_two_witness_side_review_20260729
wts_1_34	932	135	1	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and repeated ltar ltar po establish both exact Tibetan members as ལྟར.	ltar_two_witness_side_review_20260729
wts_1_34	932	135	2	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and repeated ltar ltar po establish both exact Tibetan members as ལྟར.	ltar_two_witness_side_review_20260729
wts_1_34	932	173	1	སྟར	ལྟར	ltar	tibetan_headword_ocr_confirmed		dispositive continuous ltar lemma run	Local lemma order and exact ལྟར་སྣང lexical identity establish the Tibetan onset stack.	ltar_two_witness_side_review_20260729
wts_1_34	904	21	2	གཉོད	གཅོད	gcod	tibetan_headword_ocr_confirmed		exact compound; lemma_order_not_dispositive	Exact བཏང་གཅོད lexical identity, independent clean གཅོད/gcod evidence, and the aligned Latin witness establish Tibetan root ཅ at this coordinate.	root_nya_counterexample_side_review_20260729
wts_1_34	1072	75	2	གཉོད	གཅོད	gcod	tibetan_headword_ocr_confirmed		exact compound; lemma_order_not_dispositive	Exact འཐུང་གཅོད lexical identity, its same-line འཐུང་བཅོད sibling, and independent གཅོད/gcod evidence establish Tibetan root ཅ.	root_nya_counterexample_side_review_20260729
wts_9_m	108	16	2	གཉོད	གཅོད	gcod	tibetan_headword_ocr_confirmed		exact compound; lemma_order_not_dispositive	Exact མེ་གཅོད lexical identity and independent clean གཅོད/gcod evidence establish Tibetan root ཅ; Latin gcod is retained.	root_nya_counterexample_side_review_20260729
