family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
upadhyaya	Upādhyāya	7	1	0	none	Upādhyāya:7	Land Nepal lud er den Upādhyāya Bha-la-
sattva	sattva	6	1	0	none	sattva:6	sattva, Vimalakirti.
sattvas	sattvas	6	1	0	none	sattvas:6	sattvas ist endgültig, ohne falsche Vorstel-
vindhya	Vindhya	6	1	0	none	Vindhya:6	Vindhya.
dhisattvas	dhisattvas	5	1	0	none	dhisattvas:5	"dhisattvas abstammen"" (Nel 1b2); 'ga' Ziggis"
prajnaparamita	Prajnāpāramitā	5	1	0	none	Prajnāpāramitā:5	"les aus der Prajnāpāramitā zitiert ist"" (Nel"
dhisattva	dhisattva	4	1	0	none	dhisattva:4	"dhisattva"" (sBa 54,9); rgya'i san khrai (r."
madhyamakavatara	Madhyamakāvatāra	4	1	0	none	Madhyamakāvatāra:4	Madhyamakāvatāra (Toh 3861).
rnam	rnam	4	1	0	none	rnam:4	Lex. rnam thos kyi — = vaisravanah (Mvy
smra	smra	4	1	0	none	smra:4	"Urin ausscheiden"" (Mvy 8626); ha can smra"
bras	bras	3	1	0	none	bras:3	"(Mvy 7206); 'bras bu'am ~ = kāryam ""was"
buddh	buddh	3	1	0	none	buddh:3	bstan pa npr. ein buddh. Text, skt. Bodhr-
byas	byas	3	1	0	none	byas:3	(Mvy 8593); — bsans = btsog bya byas pa de
gnas	gnas	3	1	0	none	gnas:3	"samen Platz"" (Mvy 8449); — la gnas pa ="
gner	gñer	3	1	0	none	gñer:3	"Lex. ma ma'am bu gñer mkhan ""Kindermäd-"
nama	nāma	3	1	0	none	nāma:3	nāma samādhih (Mvy 558).
nams	ñams	3	1	0	none	ñams:3	Lex. ~ pa = dran pa ñams pa'am myos pa
sattvan	sattvan	3	1	0	none	sattvan:3	"käd api sattvan käyena vase vartayati ""sogar"
sutras	Sūtras	3	1	0	none	Sūtras:3	"dhistische Sūtras hinterlegt wurden"" (Padm"
tsarya	tsarya	3	1	0	none	tsarya:3	བལྟིརྟ་ཨཱ་ཙྨར་ balinta ä tsarya npr. Balintäcärya,
vaisravana	Vaiśravana	3	1	0	none	Vaiśravana:3	Gott des Reichtums, skt. Vaiśravana.
vaisravanas	Vaiśravanas	3	1	0	none	Vaiśravanas:3	Vaiśravanas.
atmosphare	Atmosphāre	2	1	0	none	Atmosphāre:2	1. Luftraum, Atmosphāre, Himmel, leerer
avakasah	avakāsah	2	1	0	none	avakāsah:2	ram bar skabs = avakāsah, prastavali, avasarah
bhedah	bhedah	2	1	0	none	bhedah:2	Lex. tha dad pa'am — = bhedah (Mvy 2008);
bodhyariga	bodhyariga	2	1	0	none	bodhyariga:2	Lex. byan chub kyi yan lag = bodhyariga (in
bram	bram	2	1	0	none	bram:2	"Vogel"" (Mvy 221); -'am bram ze = duljah"
buddhapalita	Buddhapālita	2	1	0	none	Buddhapālita:2	"""Buddhapālita und Candrakirti waren [Ver-"
chan	chaṅ	2	1	0	none	chaṅ:2	"chaṅ gis kha phye zer ba daṅ ""ist aus Skt. ba-"
dana	dāna	2	1	0	none	dāna:2	"~ chen po ""die große Gabe (skt. dāna) des"
danaprabha	dānaprabha	2	1	0	none	dānaprabha:2	Lex. dānaprabha (Bhad 341).
dhatvisvari	Dhātvisvari	2	1	0	none	Dhātvisvari:2	Dhātvisvari.
ghanaanta	ghanāanta	2	1	0	none	ghanāanta:2	für skt. ghanāanta Ende der Regen-
gnen	gñen	2	1	0	none	gñen:2	pha ma la sogs pa gñen bses kyi min); spad
hisattva	hisattva	2	1	0	none	hisattva:2	"hisattva stieg von dem Löwenthron herab"""
isana	Iśāna	2	1	0	none	Iśāna:2	3. Beiname Sivas, skt. Iśāna.
karyam	kāryam	2	1	0	none	kāryam:2	"(Mvy 7206); 'bras bu'am ~ = kāryam ""was"
madhyadesas	Madhyadesas	2	1	0	none	Madhyadesas:2	2. Bewohner Zentralindiens, Madhyadesas.
madhyam	madhyam	2	1	0	none	madhyam:2	"rer, letzter"" (Dagy); 'brin nam — = madhyam"
madhyamakasystems	Madhyamakasystems	2	1	0	none	Madhyamakasystems:2	Grundtext des Madhyamakasystems folgte
madhyamakawerke	Madhyamaka-Werke	2	1	0	none	Madhyamaka-Werke:2	Madhyamaka-Werke Nägärjunas.
madhyamika	Mādhyamika	2	1	0	none	Mādhyamika:2	1. Mādhyamika, ein Anhänger der Lehre des
mahasattvas	Mahäsattvas	2	1	0	none	Mahäsattvas:2	"Bodhisattvas, der Mahäsattvas"" (K10 kha"
manjusri	Mañjuśrī	2	1	0	none	Mañjuśrī:2	"Mañjuśrī"" (ThK 2: 524,3)."
nagaraja	nāgarājā	2	1	0	none	nāgarājā:2	Lex. klu'i rgyal po ~ = Sallabahur nāgarājā
sadhya	sādhya	2	1	0	none	sādhya:2	"Namen des sādhya erweitert"" (Sarnv 10.33c);"
sahasa	sahasā	2	1	0	none	sahasā:2	bab pa'am 'plral = sahasā (Mvy 6666); bab
samadhib	samādhib	2	1	0	none	samādhib:2	vati nāma samādhib (Mvy 586).
siri	śiri	2	1	0	none	śiri:2	Lex. śiri Zig (brDa); dri nad ldan pa'i Siri Zig
siva	śiva	2	1	0	none	śiva:2	śiva bzw. Mahädeva, Mahesvara.
smras	smras	2	1	0	none	smras:2	Lex. bka' stsal pa'am smras pa'am — pa =
sramana	śramana	2	1	0	none	śramana:2	"Zi bas rgyu byed pa (metr.) ""ein śramana, der"
srasta	srastā	2	1	0	none	srastā:2	Lex. —am 'byin byed = srastā (Mvy 6475).
sravaka	śrävaka	2	1	0	none	śrävaka:2	śrävaka, eines Pratyekabuddha und eines un-
sridevi	śridevi	2	1	0	none	śridevi:2	"nas ""Vaiśravana und śridevi erschienen vom"
sruva	śruva	2	1	0	none	śruva:2	liche Opferung vollzogen wird; skt. śruva.
svatantrikamadhyamaka	Svātantrika-Madhyamaka	2	1	0	none	Svātantrika-Madhyamaka:2	Svātantrika-Madhyamaka.
tamala	tamāla	2	1	0	none	tamāla:2	Tamäla, skt. tamāla Xanthach
tathagata	Tathāgata	2	1	0	none	Tathāgata:2	1. npr. ein Tathāgata, skt. Vairocana; Irnam
uttaptah	uttaptah	2	1	0	none	uttaptah:2	"uttaptah ""glühend"" (Mvy 1816)."
vaibhasika	Vaibhāsika	2	1	0	none	Vaibhāsika:2	2. npr. eine buddh. Schule, skt. Vaibhāsika.
vaisravanah	vaisravanah	2	1	0	none	vaisravanah:2	Lex. rnam thos kyi — = vaisravanah (Mvy
vibhasa	vibhāsā	2	1	0	none	vibhāsā:2	Lex. bye brag tu bsad pa'am smra ba = vibhāsā
vindhyabergen	Vindhya-Bergen	2	1	0	none	Vindhya-Bergen:2	von den Sahya- und Vindhya-Bergen herab-
yatha	yathā	2	1	0	none	yathā:2	"kramate, tad yathā paksī Sakunih ""er zicht"
