source_queue	volume	page	line	token_index	source_token	proposed_canon	work_title	intro_line_ref	status	context_excerpt	suggested_action
corrected_text_scan	wts_35_51	308	60		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"Erde und streuten sie [in den See]"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	345	7		rol	Rol	Rol siglum	abbr_lit_4	active	PärSa dPa' bo: Pha rol tu phyin pa bsdus pa / Äryasüra: Pāramitāsamāsa.	siglum_policy_review
corrected_text_scan	wts_35_51	353	45		ViST	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"che die Zeit zu Essen gekommen war"" (ViST"	siglum_policy_review
corrected_text_scan	wts_35_51	354	30		rol	Rol	Rol siglum	abbr_lit_4	active	47,14); rol mo'i sgra dag byun ba / gar	siglum_policy_review
corrected_text_scan	wts_35_51	354	45		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"gonnen hatten, kam das Juwel hervor"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	356	40		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"heit geplagt ist, schläft man nicht"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	385	22		ins	Ins	Inscription sources	abbr_lit_2	active	"jetzt zurück ins Haus gehen!"" (KunK 19,9);"	siglum_policy_review
corrected_text_scan	wts_35_51	385	46		rol	Rol	Rol siglum	abbr_lit_4	active	158,14); — dan phyi rol tu kun tu spyod pa	siglum_policy_review
corrected_text_scan	wts_35_51	386	78		ins	Ins	Inscription sources	abbr_lit_2	active	"Frucht ins Wasser gefallen ist"" (Pd-K 32c);"	siglum_policy_review
corrected_text_scan	wts_35_51	393	35		ins	Ins	Inscription sources	abbr_lit_2	active	"mchon (metr.) ""wer würde ins Feuer sprin-"	siglum_policy_review
corrected_text_scan	wts_35_51	393	59		ins	Ins	Inscription sources	abbr_lit_2	active	"gibt es ins Wasser"" (K12 5534); min med —"	siglum_policy_review
corrected_text_scan	wts_35_51	393	79		ins	Ins	Inscription sources	abbr_lit_2	active	"""verschiedene segensreiche Dinge, die ins"	siglum_policy_review
corrected_text_scan	wts_35_51	394	69		ins	Ins	Inscription sources	abbr_lit_2	active	"pa bdun gyis rtod (metr.) ""ins Boot hinein-"	siglum_policy_review
corrected_text_scan	wts_35_51	399	52		Lis	Liś	Li shi source siglum	abbr_lit_3	active	Lex. nan gi bran (Dagy); — ni g.yog (Lis	siglum_policy_review
corrected_text_scan	wts_35_51	404	22		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. rnal 'byor pa'i dmigs pa phyi rol in 'phro	siglum_policy_review
corrected_text_scan	wts_35_51	427	14		ins	Ins	Inscription sources	abbr_lit_2	active	"ren sie später ins Unglück"" (KunK 16,21); —"	siglum_policy_review
corrected_text_scan	wts_35_51	428	62		Lis	Liś	Li shi source siglum	abbr_lit_3	active	dus nam dan zar (Dagy); — ninam yan (Lis	siglum_policy_review
corrected_text_scan	wts_35_51	430	51		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"welcher Zeit?"" (Dagy); nam Zar / ~ (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	435	49		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"man von Anfang an erleuchtet ist?"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	436	94		rol	Rol	Rol siglum	abbr_lit_4	active	(1SK 1: 214,2,3); pha rol tn phyin pa la sogs —	siglum_policy_review
corrected_text_scan	wts_35_51	437	32		ViST	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"derttausende von Lebewesen getötet"" (ViST"	siglum_policy_review
corrected_text_scan	wts_35_51	440	11		gzi	gZi	gZi siglum	abbr_lit_4	active	"— / van gi gzi brjid kyis ""bar Zin (metr.) ""er"	siglum_policy_review
corrected_text_scan	wts_35_51	440	73		ins	Ins	Inscription sources	abbr_lit_2	active	"pa bdun gyis rtod (metr.) ""ins Boot hinein-"	siglum_policy_review
corrected_text_scan	wts_35_51	461	45		ins	Ins	Inscription sources	abbr_lit_2	active	"fähig, ihnen ins Gesicht zu schauen"" (Prav"	siglum_policy_review
corrected_text_scan	wts_35_51	464	69		YŚ	Yś	Yś source	abbr_lit_2	active	"heraus"" (YŚ 39); sgrub pa mdzad nas / ~"	siglum_policy_review
corrected_text_scan	wts_35_51	466	68		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"Zes bya bas ""Suka, der Sohn Vyäsas"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	469	11		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"den Sand von Nam-sod in Wiesen"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	474	52		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"ist, wie kann er da Besitz anhäufen?"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	498	75		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"dienst heißt auch vom Himmel verfügt"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	504	60		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"tiger heißt Herr von Himmel und Erde"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	509	18		rol	Rol	Rol siglum	abbr_lit_4	active	28.18d); rol sgeg — kyi / sku ni rked pa phra	siglum_policy_review
corrected_text_scan	wts_35_51	509	52		rol	Rol	Rol siglum	abbr_lit_4	active	bzo — man po'i pha rol phyin gyur cin (metr.)	siglum_policy_review
corrected_text_scan	wts_35_51	512	20		ViST	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"stanzen gebe, d.h. daß sie existierten"" (ViST"	siglum_policy_review
corrected_text_scan	wts_35_51	513	8		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"Leben ruht zwischen Yamas Zähnen"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	513	24		Sambh	Śambh	Śambh source	abbr_lit_2	active	"im Norden liegt dieses Schneeland"" (Sambh"	siglum_policy_review
corrected_text_scan	wts_35_51	518	13		Viś	Vis	Vis source	abbr_lit_2	active	"in eine schlechte Existenzform"" (Viś 536);"	siglum_policy_review
corrected_text_scan	wts_35_51	523	62		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. — ba = ran bźin du gnas pa las phyi rol	siglum_policy_review
corrected_text_scan	wts_35_51	524	6		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. ba Zran bZin du gnas pa las phyi rol tu	siglum_policy_review
corrected_text_scan	wts_35_51	524	15		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. ~ pa = raṅ bZin du gnas pa las phyi rol tu	siglum_policy_review
corrected_text_scan	wts_35_51	536	33		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol gnod par bya ba ""dem Feind"	siglum_policy_review
corrected_text_scan	wts_35_51	540	58		Lis	Liś	Li shi source siglum	abbr_lit_3	active	Lex. mnag dan mnog chwn ni sran dka' (Lis	siglum_policy_review
corrected_text_scan	wts_35_51	543	63		ins	Ins	Inscription sources	abbr_lit_2	active	"tha) und das Werfen der Blume ins Mandala"""	siglum_policy_review
corrected_text_scan	wts_35_51	545	34		ins	Ins	Inscription sources	abbr_lit_2	active	"(metr.) ""ich werde ins Parinirväna einge-"	siglum_policy_review
corrected_text_scan	wts_35_51	550	41		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"te ""sie verfeindeten sich wegen Karna"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	551	66		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"wie: zuhören"" (Dagy); rna blags ni — pa (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	557	21		Ys	Yś	Yś source	abbr_lit_2	active	"Galle verabreiche man Abführmittel"" (Ys"	siglum_policy_review
corrected_text_scan	wts_35_51	558	76		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. pha rol mmam par bcom zin pa lta bu	siglum_policy_review
corrected_text_scan	wts_35_51	564	77		ins	Ins	Inscription sources	abbr_lit_2	active	"ug par ''gyur (metr.) ""ins Gemüt eines Men-"	siglum_policy_review
corrected_text_scan	wts_35_51	570	72		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"Überreste [der Söhne des Sagara] ab"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	577	74		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. rmam joms = pha rol — dgos lta bu ""wie:"	siglum_policy_review
corrected_text_scan	wts_35_51	582	21		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"hindert die drei Welten überwältigen"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	586	82		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"seine große Unwissenheit blind war"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	595	32		rol	Rol	Rol siglum	abbr_lit_4	active	"rol (metr.) ""dein Schwert funkelt (skt. vi-"	siglum_policy_review
corrected_text_scan	wts_35_51	595	34		rol	Rol	Rol siglum	abbr_lit_4	active	0161); rnulgyis gan bas rnam rol spu loni rnams	siglum_policy_review
corrected_text_scan	wts_35_51	596	84		rol	Rol	Rol siglum	abbr_lit_4	active	"rol tu phyin pa'o ""sie führt zur Erkenntnis,"	siglum_policy_review
corrected_text_scan	wts_35_51	598	23		rol	Rol	Rol siglum	abbr_lit_4	active	"pha rol rnam bsam bya (metr.) ""er soll über"	siglum_policy_review
corrected_text_scan	wts_35_51	599	77		rol	Rol	Rol siglum	abbr_lit_4	active	rnam rol (Dagy).	siglum_policy_review
corrected_text_scan	wts_35_51	606	25		Lsdz	Lśdz	Li shi gur khang / Lśdz family	abbr_lit_3	active	"in einem Park mit schönen Blumen"" (Lsdz"	siglum_policy_review
corrected_text_scan	wts_35_51	613	78		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"Dran-sron srin-po [verschwunden] "" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	622	30		rol	Rol	Rol siglum	abbr_lit_4	active	"~~ pa' / rol mo (metr.) ""Musik der ver-"	siglum_policy_review
corrected_text_scan	wts_35_51	634	7		rol	Rol	Rol siglum	abbr_lit_4	active	93.8); imkhar gyi phyi rol na gser dan / dihul	siglum_policy_review
corrected_text_scan	wts_35_51	639	73		Ys	Yś	Yś source	abbr_lit_2	active	"die Weisen als Wirkungen des Schleims"" (Ys"	siglum_policy_review
corrected_text_scan	wts_35_51	641	80		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	"gs"" (Dagy)."	siglum_policy_review
corrected_text_scan	wts_35_51	650	56		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"ndika 2); phyis bu ni — ""ein Gefäß"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	655	52		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"oder betont"" (Dagy); — pa ni nes bzun (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	662	48		rol	Rol	Rol siglum	abbr_lit_4	active	216); phyi rol dos po gton ba smos ci deos	siglum_policy_review
corrected_text_scan	wts_35_51	687	33		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"geschichte von Padmaka anzuführen"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	696	6		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"noch gewöhnlicher als gewöhnlich"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	698	19		rol	Rol	Rol siglum	abbr_lit_4	active	"'byun ba' rol mo ""Musik, die auf einer an-"	siglum_policy_review
corrected_text_scan	wts_35_51	712	21		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"der die Jugend hinter sich hat, oder alt"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	728	8		gzi	gZi	gZi siglum	abbr_lit_4	active	10.14b); tshe rin ... — dan gzi mdans thob par	siglum_policy_review
corrected_text_scan	wts_35_51	728	12		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"Königsherrschaft an sich zu reißen"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	733	49		gzi	gZi	gZi siglum	abbr_lit_4	active	Lex. gzi brjid can (brDa, Dagy).	siglum_policy_review
corrected_text_scan	wts_35_51	734	28		gzi	gZi	gZi siglum	abbr_lit_4	active	"Lex. gzi brjid daṅ ldan pa ""mit Glanz verse-"	siglum_policy_review
corrected_text_scan	wts_35_51	735	49		gzi	gZi	gZi siglum	abbr_lit_4	active	"des Glanzes"" (brDa); dpal gyi gzi ""od rgyas pa"	siglum_policy_review
corrected_text_scan	wts_35_51	736	56		PS	Ps	Peking source	abbr_lit_2	active	"gebracht"" (PS Kol.); bande — kyis kha che'i"	siglum_policy_review
corrected_text_scan	wts_35_51	737	66		rol	Rol	Rol siglum	abbr_lit_4	active	"rol pa can — (metr.) ""das Heer ist verse-"	siglum_policy_review
corrected_text_scan	wts_35_51	737	68		rol	Rol	Rol siglum	abbr_lit_4	active	1144); bdud ~ gźom phyir stobs kyi pha rol	siglum_policy_review
corrected_text_scan	wts_35_51	743	9		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"geschichte von Padmaka anzuführen"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	764	2		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol po Zum par byed pa ""den Geg-"	siglum_policy_review
corrected_text_scan	wts_35_51	777	61		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	gnun (r. btsun) mo sput{gs} gaṅ skyes ... dban	siglum_policy_review
corrected_text_scan	wts_35_51	781	48		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"bab pa ni run ba ""spu la bab pa: passend"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	781	68		rol	Rol	Rol siglum	abbr_lit_4	active	"mam rol — rnams (metr.) ""die Götterfrauen"	siglum_policy_review
corrected_text_scan	wts_35_51	787	4		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol po thal ba Itar — ba ""die Feinde"	siglum_policy_review
corrected_text_scan	wts_35_51	788	76		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"Schmuck"" (Dagy); rgyan ""Verzierung"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	807	80		ins	Ins	Inscription sources	abbr_lit_2	active	"Götter ins Auge"" (gZi-Sn 46,36); — brgya"	siglum_policy_review
corrected_text_scan	wts_35_51	810	64		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"~~ nas ""er lud ihn nach Man-yul ein"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	811	55		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	"13824); kba 'ug gs) ide ma — zer ba ""man"	siglum_policy_review
corrected_text_scan	wts_35_51	819	36		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"(Dagy); — mi spyi ther ""spyi cer: kahl"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	826	74		ins	Ins	Inscription sources	abbr_lit_2	active	"Lex. chur — = chur nub pa'am / byins pa ""ins"	siglum_policy_review
corrected_text_scan	wts_35_51	826	77		ins	Ins	Inscription sources	abbr_lit_2	active	"tsbig ""ins Wasser eintauchen lassen, Perfekt"	siglum_policy_review
corrected_text_scan	wts_35_51	826	81		ins	Ins	Inscription sources	abbr_lit_2	active	"""tauche es ins Wasser!"" (brDa)."	siglum_policy_review
corrected_text_scan	wts_35_51	830	70		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"ba und breyad pa: streiten oder tadeln"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	831	13		rol	Rol	Rol siglum	abbr_lit_4	active	"pha rol phyin mehog — pa yin (metr.) ""dies"	siglum_policy_review
corrected_text_scan	wts_35_51	832	53		ViST	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"ten, sie sind gebunden an ihre Taten"" (ViST"	siglum_policy_review
corrected_text_scan	wts_35_51	837	78		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"Geschlechtsverkehr und Befreiung"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	854	3		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	den Isku bZi bzw. Tsku gs; sprul sku	siglum_policy_review
corrected_text_scan	wts_35_51	858	61		ViST	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"zu erwecken, die Kauravas zu töten"" (ViST"	siglum_policy_review
corrected_text_scan	wts_35_51	867	19		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. —s ‰ pha rol nas dan ""von der ande-"	siglum_policy_review
corrected_text_scan	wts_35_51	867	20		rol	Rol	Rol siglum	abbr_lit_4	active	"ren Seite her"" (brDa); —s pbam ‰ pha rol"	siglum_policy_review
corrected_text_scan	wts_35_51	868	78		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. pha rol gyi mtha' (brDa, Dagy).	siglum_policy_review
corrected_text_scan	wts_35_51	869	13		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. pha rol gyi mtha' med pa (brDa, Dagy).	siglum_policy_review
corrected_text_scan	wts_35_51	869	20		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol gyi mtha' med pa ""ohne jenseiti-"	siglum_policy_review
corrected_text_scan	wts_35_51	870	33		rol	Rol	Rol siglum	abbr_lit_4	active	~~ ni pba rol (116 16,15).	siglum_policy_review
corrected_text_scan	wts_35_51	874	49		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pl rol gyi ri bo ""Berg auf der anderen"	siglum_policy_review
corrected_text_scan	wts_35_51	874	50		rol	Rol	Rol siglum	abbr_lit_4	active	"Seite"" (brDa); pha rol gyi ri nos ""jenseitige"	siglum_policy_review
corrected_text_scan	wts_35_51	875	32		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"nicht um die nächste Existenz sorgt"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	876	37		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol phyin pa = mthar phyin pa ""ans"	siglum_policy_review
corrected_text_scan	wts_35_51	876	38		rol	Rol	Rol siglum	abbr_lit_4	active	"Ende gelangt"" (Dagy); pha rol phyui pa = pa-"	siglum_policy_review
corrected_text_scan	wts_35_51	876	55		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. pha rol phyin pa = rmam mkbyen laan	siglum_policy_review
corrected_text_scan	wts_35_51	876	64		rol	Rol	Rol siglum	abbr_lit_4	active	"stobs kyi pha rol phyin (metr.) ""um Māras"	siglum_policy_review
corrected_text_scan	wts_35_51	876	73		rol	Rol	Rol siglum	abbr_lit_4	active	rol phyin, pharolphyin pa, Iphar	siglum_policy_review
corrected_text_scan	wts_35_51	877	7		rol	Rol	Rol siglum	abbr_lit_4	active	58,21); ses rab pha rol phyin pa ni / drros po	siglum_policy_review
corrected_text_scan	wts_35_51	877	18		rol	Rol	Rol siglum	abbr_lit_4	active	"dag sbyin pa'i pha rol phyin (metr.) ""ohne"	siglum_policy_review
