volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	headword_transliteration_span_status	headword_domain_status	headword_domain_evidence	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_35_51	1	20	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་མེད་ drod med maßlos, unersättlich.
wts_35_51	1	20	2	མེད	med	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	15	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་མེད་ drod med maßlos, unersättlich.
wts_35_51	1	24	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་སྨན་ drod sman.
wts_35_51	1	24	2	སྨན	sman	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	15	19	 	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་སྨན་ drod sman.
wts_35_51	1	38	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཤེས་ drod ses
wts_35_51	1	38	2	ཤེས	ses	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	15	18	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཤེས་ drod ses
wts_35_51	1	50	1	ད	drod	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	7	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ད་འོང་ drod 'oṅ auch drod 'oṅs, drod 'oṅs dus
wts_35_51	1	50	2	འོང	'oṅ	transcription_integrity_pass	no	no	partial	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	12	15	 	 	token_boundary_secure	ང:ṅ	ṅ				ordinary_tibetan_lexical_or_compound	none	no	ད་འོང་ drod 'oṅ auch drod 'oṅs, drod 'oṅs dus
wts_35_51	2	2	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གཤེར་ drod gśer
wts_35_51	2	2	2	གཤེར	gśer	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	20	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གཤེར་ drod gśer
wts_35_51	2	3	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གཤེར་ drod gser Warmes und Feuchtes; —
wts_35_51	2	3	2	གཤེར	gser	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	16	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གཤེར་ drod gser Warmes und Feuchtes; —
wts_35_51	2	19	1	དྲོད	ddrod	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	21	26	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
wts_35_51	2	19	2	གཤེར	las	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	27	30	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
wts_35_51	2	19	3	ལས	skye	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	31	35	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
wts_35_51	2	19	4	སྐྱེ	ba	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	36	38	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
wts_35_51	2	19	5	བ	aus	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	40	43	""""		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
wts_35_51	2	24	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གསུམ་ drod gsum die drei wārmenden
wts_35_51	2	24	2	གསུམ	gsum	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་གསུམ་ drod gsum die drei wārmenden
wts_35_51	2	30	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	6	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་ dron warm, heiß.
wts_35_51	2	45	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	9	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་མོ་ dron mo
wts_35_51	2	45	2	མོ	mo	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	14	16	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་མོ་ dron mo
wts_35_51	2	54	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་འཇུག་ dron 'jug verleumden, intrigieren.
wts_35_51	2	54	2	འཇུག	'jug	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	16	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་འཇུག་ dron 'jug verleumden, intrigieren.
wts_35_51	2	58	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	9	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་པོ་ dron po warm, heiß.
wts_35_51	2	58	2	པོ	po	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་པོ་ dron po warm, heiß.
wts_35_51	2	75	1	དྲན	dron	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	7	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲན་མ་ dron ma.
wts_35_51	2	75	2	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	12	14	 	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲན་མ་ dron ma.
wts_35_51	2	80	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	9	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་མོ་ dron mo warm.
wts_35_51	2	80	2	མོ	mo	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་མོ་ dron mo warm.
wts_35_51	3	1	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	8	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་ཤ་ dron Sa
wts_35_51	3	1	2	ཤ	Sa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	15	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་ཤ་ dron Sa
wts_35_51	3	10	1	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	8	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་ཤ་ dron Sa.
wts_35_51	3	10	2	ཤ	Sa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	15	 	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོན་ཤ་ dron Sa.
wts_35_51	3	19	1	དྲོལ	drol	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	6	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	དྲོལ་ drol imp. zu }'dral zerreißen, zerschnei-
wts_35_51	3	41	1	དྲྭ	drwa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	7	11	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲྭ་བ་ drwa ba tdra ba.
wts_35_51	3	41	2	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	12	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲྭ་བ་ drwa ba tdra ba.
wts_35_51	3	42	1	དྷརྨ	dharma	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	5	11	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷརྨ dharma
wts_35_51	3	47	1	དྷ	ddha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ན་ཤི་ལ ddha na śi la na sī la.
wts_35_51	3	47	2	ན	na	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	15	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ན་ཤི་ལ ddha na śi la na sī la.
wts_35_51	3	47	3	ཤི	śi	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	18	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ན་ཤི་ལ ddha na śi la na sī la.
wts_35_51	3	47	4	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	21	23	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ན་ཤི་ལ ddha na śi la na sī la.
wts_35_51	3	50	1	དྷ	dha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	15	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
wts_35_51	3	50	2	ནུ	nu	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	19	21	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
wts_35_51	3	50	3	ཀེ	ke	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	22	24	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
wts_35_51	3	50	4	ཏ	ta	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	25	27	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
wts_35_51	3	50	5	ཀི	ki	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	28	30	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
wts_35_51	3	53	1	དྷ	dha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་སྐ་རི་ dha nu ska ri eine Blume.
wts_35_51	3	53	2	ནུ	nu	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	17	19	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་སྐ་རི་ dha nu ska ri eine Blume.
wts_35_51	3	53	3	སྐ	ska	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	20	23	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་སྐ་རི་ dha nu ska ri eine Blume.
wts_35_51	3	53	4	རི	ri	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	24	26	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ནུ་སྐ་རི་ dha nu ska ri eine Blume.
wts_35_51	3	56	1	དྷ	ddha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	9	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ལ་ཧབ་ ddha la hab ein Kleidungsstück.
wts_35_51	3	56	2	ལ	la	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ལ་ཧབ་ ddha la hab ein Kleidungsstück.
wts_35_51	3	56	3	ཧབ	hab	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	17	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷ་ལ་ཧབ་ ddha la hab ein Kleidungsstück.
wts_35_51	3	60	1	དྷ	dha	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	tibetan_proper_name	definition_label:npr	7	10	 	 	token_boundary_secure						tibetan_proper_name	none	no	དྷ་སུ་ dha su npr. ein Vasall des Königs Phala-
wts_35_51	3	60	2	སུ	su	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	tibetan_proper_name	definition_label:npr	11	13	 	 	token_boundary_secure						tibetan_proper_name	none	no	དྷ་སུ་ dha su npr. ein Vasall des Königs Phala-
wts_35_51	4	1	1	དྷརྨ	dharma	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	9	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷརྨ་གྫ་ dharma gañdza
wts_35_51	4	1	2	གྫ	gañdza	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	22	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷརྨ་གྫ་ dharma gañdza
wts_35_51	4	10	1	རྨ	dharma	canonical_syllable_mismatch	no	yes	none	blocked			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	6	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	རྨ་གྲ dharma gañdza buddhistische Biblio-
wts_35_51	4	10	2	གྲ	gañdza	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	19	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	རྨ་གྲ dharma gañdza buddhistische Biblio-
wts_35_51	4	43	1	གདགས	'gdags	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	6	12	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གདགས་ 'gdags
wts_35_51	4	61	1	དྷེ	dheba	canonical_syllable_mismatch	no	yes	none	blocked			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	7	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་ dheba cin Baum, Weide; vgl. Jä s. v. sol po.
wts_35_51	4	61	2	བ	cin	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་ dheba cin Baum, Weide; vgl. Jä s. v. sol po.
wts_35_51	4	63	1	དྷེ	dhe	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	13	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་བྷ་རུ་ dhe ba dha ru Tde ba dā ru.
wts_35_51	4	63	2	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	17	19	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་བྷ་རུ་ dhe ba dha ru Tde ba dā ru.
wts_35_51	4	63	3	བྷ	dha	canonical_syllable_mismatch	no	yes	none	blocked			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	20	23	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་བྷ་རུ་ dhe ba dha ru Tde ba dā ru.
wts_35_51	4	63	4	རུ	ru	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	24	26	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྷེ་བ་བྷ་རུ་ dhe ba dha ru Tde ba dā ru.
wts_35_51	4	71	1	གདགས	gdags	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	5	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	གདགས gdags fur. zu 1! 7093.
wts_35_51	5	47	1	གདགས	gdags	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	10	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གདགས་གཞི་ gdags géi
wts_35_51	5	47	2	གཞི	géi	nonfinal_feature_mismatch	no	yes	partial	blocked			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	16	19	 		token_boundary_secure	ཞ:ź		root_consonant:ཞ->ź			ordinary_tibetan_lexical_or_compound	none	no	གདགས་གཞི་ gdags géi
wts_35_51	6	1	1	གདགས	gdags	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	12	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གདགས་སྲིབས་ gdags sribs
wts_35_51	6	1	2	སྲིབས	sribs	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	18	23	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གདགས་སྲིབས་ gdags sribs
wts_35_51	6	2	1	གདགས	gdags	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	12	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	གདགས་སྲིབས་ gdags sribs Sonnen- und Schat-
