volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	alignment_review_status	context_excerpt	reason_for_deferral
wts_35_51	830	78	1	སྤྲོང	halten	halte<FINAL_NASAL>		0		spoṅ:2; sbyoṅ:1	3	not_emitted_by_legacy_global_target	source_compatible_damaged_context	tibetan_headword_overlap	target_unresolved_no_anchor	manual	manual_alignment_review	marker_or_damage	སྤྲོང་ ༡༠༧ halten, greifen.	OCR damage overlaps or precedes the aligned headword phrase.
wts_35_51	871	31	2	ལྤང	bon	bo<FINAL_NASAL>		0		lbaṅ:2; waṅ:1	3	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	ཕ་ལྤང་ phpha bon.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	882	10	2	དོང	Wildschwein	Wildschwei<FINAL_NASAL>		0		doṅ:23	23	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	obvious_gloss_or_alignment_noise	ཕྲག་དོང་ phagrgod Wildschwein; wilder Eber,	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	913	53	1	ཕུང	ph	p<FINAL_NASAL>		0		phuṅ:40; dpuṅ:2; pbuṅ:1	43	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	ཕུང་གཡོ་བ་ ph g.yoba Verleumdung, Intrige.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	499	11	2	དགུང	dgun	dgu<FINAL_NASAL>	dguṅ	1			1	insufficient_consensus	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	གནམ་དགུང་ gnam dgun.	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	1050	12	2	གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ	1			1	insufficient_consensus	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	ཕྱུ་གཡང་ phywa g.yan auch phya g.yari Glück;	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	1084	2	1	འཕྲང	phan	pha<FINAL_NASAL>	phaṅ	2		phraṅ:3; plraṅ:1; siṅ:1	7	not_emitted_by_legacy_global_target	source_compatible_not_final_ng_only	none	consonantal_structure_mismatch	manual	syllable_specific_analysis	exact_source_signature_supported	"འཕྲང་ ""phan fur. zu Uphen werfen, schleu-"	Proposed target omits explicit Tibetan subjoined r; requires a syllable-specific analysis.
wts_35_51	1111	15	1	འཕྲང	phran	phra<FINAL_NASAL>	phraṅ	3		phaṅ:2; plraṅ:1; siṅ:1	7	competing_latin_forms	source_compatible_marker_attached	none	exact_same_tibetan_syllable	manual	separate_marker_and_final_ng_review	marker_or_damage	འཕྲང་འཕྲེང་ /phran phreṅ Verlangen.	Reference-marker reconstruction requires independent evidence.
wts_35_51	1108	42	1	འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ	1			1	insufficient_consensus	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	"འཕྱོང་ ""phyon"	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	1108	76	1	འཕྱོང	phyon	phyo<FINAL_NASAL>	phyoṅ	1			1	insufficient_consensus	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	"འཕྱོང་ ""phyon auch 'phyons aufhängen, vgl."	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	554	22	1	རྣང	rnan	rna<FINAL_NASAL>	rnaṅ	1		maṅ:2	3	not_emitted_by_legacy_global_target	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	"རྣང་ ""rnan Bereich, Feld, Zwischenraum."	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	756	63	2	སྡིང	sdih	sdi<FINAL_NASAL>	sdiṅ	1			1	insufficient_consensus	source_compatible_single_anchor	none	exact_same_tibetan_syllable	low	defer	exact_source_signature_supported	དཔྱད་སྡིང་བཅུ་གསུམ་ dpyad sdih ben gsum eine	Only one case-sensitive compatible dotted anchor is available.
wts_35_51	803	40	1	སྤང	spyah	spya<FINAL_NASAL>	spyaṅ	2		spaṅ:29; sbaṅ:5; smaṅ:1	37	not_emitted_by_legacy_global_target	source_compatible_not_final_ng_only	none	transcription_structure_requires_review	manual	syllable_specific_analysis	exact_source_signature_supported	སྤང་ཀི་ spyah ki auch spyan khu, spyan gu,	The target is not supported as a final-ng-only counterpart because an explicit Tibetan consonant or vowel feature is not represented: stem_spa. This does not by itself prove a bad alignment.
wts_35_51	690	45	3	སྙིང	sñiń	sñi<FINAL_NASAL>	sñiṅ	1		siṅ:3; sāiṅ:1; stiṅ:1	6	not_emitted_by_legacy_global_target	source_compatible_not_final_ng_only	none	transcription_structure_requires_review	manual	syllable_specific_analysis	exact_source_signature_supported	པདྨའི་སྙིང་པོ་ padma''i sñiń po npr. cin Buddha.	The target is not supported as a final-ng-only counterpart because an explicit Tibetan consonant or vowel feature is not represented: ny. This does not by itself prove a bad alignment.
