page	line	entry_id	zone	from_token	to_token	tier	reason	watchdog_flags	line_excerpt
40	7	146	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Darstellung] eines YTsi-par 111 Applikationsar-
40	51	147	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	mtha’ khob „1111 Westen gibt es die beiden
42	98	204	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	als ‚ru-gnon‘-Iempel 111 dBu-ru gegründet
45	39	256	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	mit Juwelen gefüllt“ (111. 1: 435,2); khyed
46	68	276	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	1. 6111 Volk und eine Region in Indien.
48	11	319	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„zu der Zeit, als sich Than-ston-pa 111
51	30	390	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	dkar-po ist der Herrscher 111 Bre-snar, im Land
51	80	396	german_prose_with_translit	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	bzi cha’i dpe yin „vier Kakanı sind 6111 Mäsaka.
51	213	404	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	skyes pas kamna pa Zes zer „da er 111 dem südlichen Königreich Karnäta geboren ist, heißt er
56	151	493	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	brgyad 1111 Gefolge des rNam-sras ser-chen
56	161	493	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	bera, ein Yaksa 1111 Gefolge des rNam-sras
59	72	549	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	2. Kusa 111 rituell reinigender Funktion.
64	22	645	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	3. Name eines Klosters 111 gZu.
66	9	672	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	111 Kommission beim Verlag C. H. Beck, München
68	39	672	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	tained 111 the Kanjur. Wien: ATBS (WSTB 34). [HrdA, HrdB]
69	13	678	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	sehr, in jeder Weise; 111 Zusammensetzungen
74	164	776	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	= byed pa cigbyun „111 der Nacht wurde er zu
74	207	781	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	für skt. durgagrbhe 111 einem schwer zugängli-
83	93	951	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Tages] 111 halbe Nachtwachen [d. h. in Peri-
83	201	962	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	dan / lam med „ [111 der Leerheit] gibt es kein
87	68	1022	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Bon-Priester 111 ’Ol-mo lun- rin.
89	48	1051	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	{111 des Dasaratha (Isin rta beu pa), skt.
89	173	1055	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	’dug „111 Ba-yan tshon-’dus gab es zwei chinesische Mönche namens Ke-wah und
90	23	1061	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Tempel 111 On“ (Deban 229,7).
92	85	1097	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	aus dem Östen hält 111 der Rechten eine Lei-
92	184	1102	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	byan lag ons (metr.) „111 der Hauptstadt des
96	52	1152	german_prose_with_translit	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	zer ba Ita bu „wie 6111 Wort, das man für Mißgunst oder Haß und Neid sagt“ (brDa);
97	12	1167	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„einmal ging er 111 das südlich [gelegene]
100	76	1221	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	(Liy2 62); ke’u sam ’byir „111 Kausämbi“
101	9	1221	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	111 Kommission beim Verlag C. H. Beck, München
101	22	1221	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Abschluß gelangen muß. Um 111 dem gesetzten Zeitrahmen zu bleiben, wurden daher
102	66	1221	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	other manuscripts. 111 vols. Paro: Ngodrub und Sherab Drimay, Kyichu Monastery. [Rtdz]
105	196	1253	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	gehen 111 die Hölle Hahava [u. 3.]“ (Udr
109	25	1303	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	MN kre bo npr. eine Region 111 Osttibet.
110	206	1327	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 der Hand des Königs Sen-blon [liegt]
111	25	1329	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	nicht suchen“ (1111 N60); — mi ’tshal gZan la
111	76	1333	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	zer „Bez. für dickes Wolltuch oder Wolldecke; heute heißt das kampali, 1111 Sanskrit
114	143	1378	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	bu „wie Muskat usw., der 111 eine Quelle usw.
116	38	1394	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	ya sum na „111 [dem Hauptort] Ya-sum des
121	171	1489	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Register, 111 dem der Besitz des Tempels fest-
122	39	1493	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 Pu-hrans erschien ein Bon-po mit Namen dKar-gdum-pa“ (Deba 517,1).
126	141	1561	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	und das Samgha-Juwel, diese drei, gibt es 111
127	213	1588	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Pe-har 111 bSam-yas (Neb 102).
128	65	1596	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	phabs yod (metr.) „111 der Speise, der ohne
130	187	1638	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	den, wie vereinigt, 111 der Bed. von unge-
134	8	1680	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Bildung von Wörtern 111 respektvoller Rede-
134	87	1690	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	phar „ındem der Großminister sTon-rtsan 111
134	148	1695	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Anklage] wird fallengelassen“ (111 N24);
135	78	1706	german_prose_with_translit	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	Zi ’khro —, 6111 Textzyklus der rNin-ma-pa,
139	26	1718	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	„1111 Testament des Königs selbst“ (TsonNth
146	201	1826	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Gesicht ruht 111 der Hand“ (Megh 836) sbyor
147	77	1827	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„er führte die sechzig Bhadravargiyas 111 die
147	139	1828	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Wortlaut für alle Zeit 111 tauglicher Weise zu
149	135	1862	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	die den Samgha 111 den vier Hımmelsrichtun-
149	145	1862	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„Bimbisära schickte berittene Boten 111 die
157	157	1989	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Schande machen, jmdn. 111 Mißkredit
169	3	2167	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	bod skad du / ’dul ba 92/ „in indischer Sprache [d. h. auf Sanskrit]: Vinayavastu, 111 tibe-
173	123	2186	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	pa’i — 479 na „als er sich 111 der Schrift und
173	160	2186	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Kapitel 111 einem Text; — s#, — nas mit gen.
173	175	2186	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„denn 111] Veda sagt man bei einer Anrufung
175	124	2201	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	4. „Irockenes“, Geldzahlungen 1111 Gegen-
177	16	2221	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	1. 6111 Sternbild; skt. tzsya, pusya.
179	66	2248	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Hochmütigen soll man nicht 111 diese Ge-
180	134	2265	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Vorschein, die kletterte er hoch“ (Tär 111,
182	62	2278	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	— ma rur „111 der Festung Ma-ru in Lhasa“
182	64	2278	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 der großen Festung, auf der Spitze des
182	199	2294	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Mönchsbeamten 111 der traditionellen tibeti-
184	44	2315	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„man gibt Reliquien 111 Stüpas und vorzügliche Statuen des Siegreichen“ (Srkk 135.3);
184	158	2323	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	der Gottheit 111 das Medium;
185	211	2344	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Titel a mes 111 der Familie lCe; vgl. Ruess
192	89	2428	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	"po g.yas — gyis bri „111 die Mitte [des Ritualdolchs] ist die rTen-""brel säin-po[-Formel]"
192	119	2429	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	ˆ~ ..- Itas $ar „111 Bezug auf die Schlichtung
192	155	2430	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 allen Kalkulationsschemata ist die Re-
193	141	2442	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	„1111 Land vergrößert sich der Wohlstand“
196	136	2499	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	tionsschreiben, um 111 einer Gemeinschaft
200	38	2561	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	2. Anleihe, 111 — du ’tshal, — du len eine An-
200	133	2566	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	bZugs (metr.) „einige sitzen 111 paryanka, einige in ardhaparyanka“ (Padm 8b1); der
201	202	2587	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	ben sieht, so stirbt man 111 einem Monat“
204	10	2613	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	’phren ... yod „1111 Kloster gibt es die Rein-
206	96	2624	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	nus pa „fähig, die Lebewesen 111 Irrwegen zu
207	205	2647	other	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	skye 'dir geig pus sdug bsnal myon (metr.) „111
210	165	2701	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	mi ’khyol bas na „weil die Sinnesobjekte 1111
223	103	2891	german_prose_with_translit	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	Igarı pa chu so — ba „Schwellung der Harnblase und -wege“ (Siddh 19.2); — ba’i nad
228	43	2946	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	wie die eines Körpers 111 einem guten Welt-
230	158	2991	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Brag-Sar wurde 111 das Amt eingesetzt“
235	4	3045	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	(metr.) „es ıst endlos, gleichsam einem 111
235	50	3048	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	und sie wird fallengelassen“ (1111 N26).
241	32	3095	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	Baum ıst ein Nest, 1111 Nest liegt ein Ei“
241	45	3095	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	bstsal) nas „111 einer Kiste, die oben mit
245	162	3178	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	Sütra 1111 Geist auswendig her“ (Suv 116,8);
256	19	3355	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	» ri la phebs kyag „als du kürzlich 111 den
257	194	3392	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	nah du (metr.) „111 der Halle eines
258	10	3393	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	sollte man nicht 111 einem leeren, tropfen-
258	76	3398	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Lex. khan Sag mig tu bcad pa „111 Räume ein-
259	126	3415	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	6111 kon-co war [als Gattin] in das Haus des
261	25	3439	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	rgya’i = su gtogs pa’ ¢ Za „die zum chinesischen Reich gehörenden ’A-Za“ (1111 S30);
267	26	3538	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	pa’i ~ la (metr.) „im letzten kurzen Zeitalter und 111 khugs so, dem Zwischenzeitalter“
269	20	3570	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	(Ahs 1.3.12c); phu dun du ... - blugs „111 den
273	20	3630	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Kollegen, die sich der Mühe des Korrekturlesens unterzogen oder Hinweise 111
279	38	3730	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	]Verwandten zugestanden“ (1111 N29); ~ ...
279	194	3743	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	stag 97 rjes „ligerspuren, die 111 den
283	156	3810	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	yı nan (metr.) „111 dem Topf ım Südosten
285	212	3858	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 Bya-pu, dem kleinen Tal, gibt es einen
291	70	3942	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	mdun gsal - „111 dem auf der Vorderseite
296	82	4033	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	ldan du - de „der König wurde 111 den
301	134	4123	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Bildnis der Bhrkuti usw.“ (Tär 111,5); //%
304	202	4164	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	bar gyur (metr.) „er erlangte die Erleuchtung für sich selbst, dann ging er 111 den
305	25	4165	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„er warf sie vor sıch 111 den Himmel“
306	26	4189	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	khar lhun yan „obwohl es 111 den Mund eines Garuda gefallen 156“ (Nägn 227,13); ~
306	77	4199	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	1. „1111 Himmel leben“, Bez. einer hımmli-
309	22	4199	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	huber) und Hinweise 111 Einzelfragen gegeben haben (Joanna Bialek, Christoph
311	38	4226	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	der Burg sDur-ba bis östlich von Ya-sum 111
321	36	4363	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	pa’i phyir ro „weil man 111 den drei Welten
326	18	4442	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	rin khan na’ rin mkhyud chin „1111 Gebeinhaus, wobei die Gebeine verborgen waren“
333	57	4530	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	› 327 Interrogativpronomen, vor allem 111
336	30	4564	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	Nachkommen fähig ist“ (1111 N44); ~ sna
341	59	4605	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	te „man wickelt das Juwel 111 irgendeinen
341	171	4614	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Mantras 111 Tibet“ (Debm 3163); ri - la gnas
352	125	4731	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	legenes Gebiet versetzt werden“ (1111 N49);
356	207	4775	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	6. 6111 Pulver.
361	210	4825	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 vielerlei Hinsicht war der Rückschlag
382	18	5016	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	mkhar ~ hom khun ’dra ba ’dir „111 der dreieckigen Festung, die einem magischen
382	176	5021	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	~ ma gcig byun „111 Se-mo-do wurde Magcig-ma eine Vollendete* (Debm 34b8); ~
386	192	5065	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Maschinen des Karma 111 leeren Dörfern“
386	198	5065	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 der Umgebung der Ortschaft sind
388	126	5096	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	der chinesische Kaiser“ (1111 $50); ~ na ni
389	67	5097	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	dafür, daß sich die Knoten 111 den Kanälen
392	173	5135	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	man 111 ein Seidentuch“ (Hipp 205,8).
396	38	5177	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	lungsgebiet der Däkinis 111 sGo[-pa]“ (Tise
401	46	5229	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	dpar Zig „ein Film, der 111 elektrischem
403	182	5272	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 einer Region wie Tusita und rMad-byun
404	38	5281	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	brisigs pa la „er baute ein gutes Haus 111
405	100	5316	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	Mära, 6111 Sohn des Visnu.
406	36	5324	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	pflichten an“ (111 E8); rgol ba mchis Sin
408	12	5350	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	Winter und 1111 Frühling“ (Suv 140,19); ~
411	24	5384	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	huber) und Hinweise 111 Einzelfragen gegeben haben (Joanna Bialek, Christoph
415	140	5432	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	pa la ldem por - nas „111 der geheimen Absicht, sie auf den Weg zu bringen“ (BhK1
417	71	5465	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	don pa’i - su „111 dem Kloster der Bo-don-
424	57	5538	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Minister Brag-$ar wurde 111 das Amt einge-
429	83	5609	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	man Run sogs mAam pa 111 der Menge usw.
451	87	5802	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 diesem Leben verschwindet der Anteil
452	58	5810	german_prose	6111	ein	A	german_numeric_function_word_confusion	high_edit_distance_drift	2. npr. 6111 Näga-König.
459	47	5905	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	der Entschlüsse beträchtlich war“ (1111
471	26	6098	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	als König inthronisiert“ (1111 $50); 77 ’og gi
472	121	6116	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	cın (metr.) „sogar den Siegreichen [Karmapa] hast du 111 deinen Bann gezogen“
474	153	6151	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Könige vor dem Eintritt des Lehrers 111 die
484	82	6219	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	na „wenn Zla-gohäs männliche Nachkommen nicht unloyal sind“ (1111 N59); sde’;
488	151	6272	example_tibetan_latin	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	སྒང་པ་ /9¢/7 pa auch Igarı ba, Igan phug, Igarı
488	151	6272	example_tibetan_latin	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	སྒང་པ་ /9¢/7 pa auch Igarı ba, Igan phug, Igarı
488	168	6272	german_prose_with_translit	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	= gcin snod (Dagy); Igarı ba, Igan phug =
488	174	6272	german_prose_with_translit	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	Lex. ~ Igarı phug = rtse mo?i yo chas śig „ein
488	178	6272	german_prose	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	are Igarı Zu auch Igarı bzu eine Laterne.
488	178	6272	german_prose	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	are Igarı Zu auch Igarı bzu eine Laterne.
488	182	6272	german_prose_with_translit	Igarı	lgaṅ	A	explicit_user_allowlist	high_edit_distance_drift	= Igarı phug ’dra ba’i Zugs mar ram bźu mar
504	201	6491	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	rdzoṅ Zes pa’ bya skyıbs su „111 dem Domrdzon genannten Felsenschutz, der Medita-
508	140	6547	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Tärä* (Tär 111,4); bud med la - ... bklag
510	205	6577	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	$a „111 den Darm gestopftes Fleisch“
516	142	6628	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	proklamiert, wurde der Minister Brag-Sar 111
517	110	6640	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	» pa = go rim sogs - zin „111 einer Reihe usw.
522	55	6665	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	’di lta Zig la „111 solch einem schlechten
529	47	6740	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	danam „111 böser Absicht aus dem Körper
539	87	6849	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„wie kann er 111 die Wesenlosigkeit aller Ge-
546	113	6901	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Waren 111 den Distriktverwaltungsgebäuden
549	82	6919	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 der Nähe von Kaschmir und Campa
568	76	7116	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	tshan mar „1111 Hinblick auf die Gesamtheit
580	118	7236	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	(metr.) „was soll ein Wäscher 111 einer Stadt
592	73	7295	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Monat ım Gebet verharrte“ (Tär 111,7);
593	82	7313	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 dieser Existenz erfährt er allein das
603	11	7390	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 beweglichem Gras“ (Hev 1.11.4d); phyi
604	162	7394	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	sbyan „111 den 13 Stufen des Himmels wurde er gereinigt“ (gZer 293,2); yan lag ~
606	18	7410	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	dazu gebracht, den Tribut zu zahlen“ (1111
609	65	7437	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„fordere ihn auf, die phänomenale Welt 111
613	106	7488	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	¬ sa du nan „drücke den lcags sri 111 die
617	69	7525	german_prose_with_translit	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	„1111 Mund das Zäpfchen am Eingang des
618	72	7536	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	„111 den unter der Herrschaft von sDe-dge
