family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
tathagatasyantike	tathāgatasyāntike	3	2	1	high	tathāgatasyāntike:2 | tathāgatasyantike:1	tathāgatasyantike dustacittarudhirotpadakam
prajna	Prajñā	14	4	9	medium	Prajñā:5 | Prajnā:5 | prajnā:3 | prajñā:1	commente par Heather Stoddard et Nicolas Tournadre. Arvillard: Editions Prajnā.
aksobhya	Aksobhya	5	2	2	medium	Aksobhya:3 | aksobhya:2	"cyate ""hundert aksobhya werden ein viväha"
bodhisattvastufe	Bodhisattvastufe	4	2	2	medium	Bodhisattvastufe:2 | Bodhisattva-Stufe:2	2, ~ pa eine Bodhisattvastufe.
ajneya	ājñeyā	2	2	1	medium	ājñeyā:1 | äjneya:1	"Lex. —r bya ba = ājñeyā [vak] ""verständliche"
asvajit	asvajit	2	2	1	medium	asvajit:1 | Aśvajit:1	"bstod pa dan ""das, was Aśvajit gesagt hatte,"
avadharanam	avadhāranam	2	2	1	medium	avadhāranam:1 | avadharanam:1	"Lex. avadhāranam ""Einschränkung"" (Mvy"
bhatab	bhātab	2	2	1	medium	bhātab:1 | bhatab:1	"Lex. 407 ba, skt. bhatab ""Soldat"" (Mvy 3743);"
bhavitam	bhāvitam	2	2	1	medium	bhāvitam:1 | bhavitam:1	byas pa = bhavitam (Mvy 2321); 'gom rgyn =
cakrika	cakrikā	2	2	1	medium	cakrikā:1 | cakrika:1	cakrika (Mvy 9344).
gacchami	gacchāmi	2	2	1	medium	gacchāmi:1 | gacchämi:1	mchi'o = buddham śaranam gacchāmi dvi- nam Q
kalakalasampadvastu	Kalākālasampadvastu	2	2	1	medium	kalakalasampadvastu:1 | Kalākālasampadvastu:1	Vinaya, skt. Kalākālasampadvastu.
madah	mādah	2	2	1	medium	mādah:1 | madah:1	Lex. - pa = madah (Mvy 1969); - pa =
mahesvara	Maheśvara	2	2	1	medium	Mäheśvara:1 | Maheśvara:1	2. Beiname des Mäheśvara.
margasirsah	mārgasirsah	2	2	1	medium	mārgasirsah:1 | margasirsah:1	Lex. ~ mgo (¥, 1. om. mgo) = mārgasirsah
maryadam	maryādam	2	2	1	medium	maryādam:1 | maryadam:1	"setz"" = maryādam vyavasthāpayanti (Mvy"
parisvajanam	parisvajanam	2	2	1	medium	parisvajanam:1 | parisvaja-nam:1	L) = parisvajanam (Mvy 9389).
prajnaptivadins	Prajñaptivādins	2	2	1	medium	Prajñaptivādins:1 | Prajnaptivādins:1	Schule, die Prajnaptivādins.
prajnasataka	Prajñāśataka	2	2	1	medium	Prajñāśataka:1 | Prajnāsataka:1	Hann, Michael 1990: Hundert Strophen der Lebensklugheit. Nägarjunas [!] Prajñāśataka tibetisch
protkhatam	protkhātam	2	2	1	medium	protkhātam:1 | protkhatam:1	ba'am ~ pa = protkhatam (Mvy 5338).
samtrasam	samträsam	2	2	1	medium	samträsam:1 | samtrasam:1	"füllt (samtrasam äpadyate)"" (K12 2b7, skt."
samudacarah	samudācarah	2	2	1	medium	samudācarah:1 | samudacarah:1	skt. samudācarah (Mvy 7431, nur Ms.L).
sarasvati	Sarasvatī	2	2	1	medium	Sarasvatī:1 | Sarasvati:1	Sarasvati.
siddharthah	siddhārthah	2	2	1	medium	siddhārthah:1 | siddharthah:1	"Lex. siddharthah (Mvy 49); rgyalbu — ""Prinz"
srava	Śrāva	2	2	1	medium	śräva:1 | Śrāva:1	> ༽ klun 'od srun npr. der Śrāva-
tattvadarsana	Tattvadarśana	2	2	1	medium	Tattvadarśana:1 | Tattvadarsana:1	te wie der große Kommentar *Tattvadarsana
tiram	tīram	2	2	1	medium	tīram:1 | tiram:1	Lex. tīram (Mvy 4189); gram kha Zes 'byun
tvam	tvam	2	2	1	medium	tvām:1 | tvam:1	"dich kennen (skt. tvām eva jhātum arhasi)"""
upasika	upāsika	2	2	1	medium	upāsikā:1 | upāsika:1	saka, ~ ma Laienanhängerin, skt. upāsikā.
utthapanam	utthāpanam	2	2	1	medium	utthāpanam:1 | utthapanam:1	bskyed pa) = utthapanam (Mvy 6432); — cig
vedika	vedikā	2	2	1	medium	vedikā:1 | vedika:1	Lex. ~ (v. 1. kba dan) = vedikā (Mvy 4358);
sutra	Sūtra	8	2	4	low	sūtra:4 | Sūtra:4	"dha'o zes gsuns ""Ortsname; in einem Sūtra"
prajnaparamitaratnagunasamcayagatha	Prajnāpāramitā-Ratnagunasamcaya-gāthā	4	4	3	low	Prajnāpāramitā-Ratnagunasamcaya-gāthā:1 | Prajnāparamita-Ratnagunasamcaya-gāthā:1 | Prajnā-pāramitā-ratna-guna-samcaya-gāthā:1 | Prajna-paramitā-ratna-guna-samcaya-gāthā:1	— /CONZE, Edward 1960: Prajnāpāramitā-Ratnagunasamcaya-gāthā. Sanskrit and Tibetan text
madhya	Madhya	5	2	2	low	Madhya:3 | madhya:2	ཀ་མ་ལ་གར་བྷ་ ka ma la gar bha npr., ein Madhya-
panam	panam	4	2	2	low	pānam:2 | panam:2	Lex. btun ba, skt. panam (Mvy 5690); —
satam	satām	4	3	2	low	satām:2 | śātam:1 | satam:1	rnams kyi'am ~ pa rnams kyi dmigs = satām
asthanam	asthanam	3	3	2	low	āsthanam:1 | asthānam:1 | asthanam:1	Lex. āsthānt, asthānam (r. āsthanam) (Tshe
sakyamuni	Śākyamuni	3	3	2	low	śäkyamuni:1 | Śākyamuni:1 | Sākyamuni:1	Śākyamuni. - für skt. mahakātyayana.
snin	sñiñń	3	3	2	low	sñiñń:1 | sñiñ:1 | sñin:1	971); ~ dgos, ~ bya = byams pa'am sñiñń rje ~
kala	kāla	3	2	1	low	kāla:2 | kalā:1	"ཀ་ལ་ ""ka la schwarz. - skt. kāla."
magha	māgha	3	2	1	low	māgha:2 | maghā:1	Wintermonat (für skt. māgha) immer zwei
nadi	nādi	3	2	1	low	nādi:2 | nadī:1	skt. nadī (Mvy 4168); ~ rabs med pa = chu ~
adhyapayamasa	adhyāpayāmāsa	2	2	1	low	adhyāpayāmāsa:1 | adhyapayamāsa:1	"pa = adhyāpayāmāsa ""er hat unterrichtet"""
advaidhikaram	advaidhikaram	2	2	1	low	advaidhikāram:1 | advaidhikaram:1	med = advayam etad advaidhikāram abhi-
amamah	amamah	2	2	1	low	amamāh:1 | amamah:1	= amamah (Mvy 7795).
aryasaptasatikanamaprajnaparamitamahayanasatra	Āryasaptasatikānāmaprajnāparamitāmahāyānasātra	2	2	1	low	Āryasaptasatikānāmaprajnāparamitāmahāyānasātra:1 | Āryasaptasatikānāmaprajnaparamitāmahāyanasātra:1	pa chen po'i mdo / Āryasaptasatikānāmaprajnāparamitāmahāyānasātra.
asavarista	āsavārista	2	2	1	low	āsavārista:1 | āsavarista:1	"lauwarmen Likör (skt. āsavarista)"" (Ahs"
balaka	bālāka	2	2	1	low	bālāka:1 | balāka:1	"licher Enten (skt. balāka Reiher)"" (HMrg"
bhagirathi	bhāgirathi	2	2	1	low	bhāgirathi:1 | Bhāgirathi:1	Gangä; skt. bhāgirathi.
bharya	bharya	2	2	1	low	bhāryā:1 | bharya:1	Lex. bharya, patni, darah, kalatram (Mvy
bhuta	bhūta	2	2	1	low	bhūta:1 | Bhūta:1	(Dagy); - pa = bhūta (in Mvy 650, 2457);
bodhisattvacaryavatarasamskara	Bodhisattvacaryāvatārasamskāra	2	2	1	low	Bodhisattvacaryāvatārasamskāra:1 | Bodhisattvacaryavatārasamskāra:1	Bodhisattvacaryāvatārasamskāra. Ed.: Derge-Tanjur, dBu ma, sa 1b1-90b5.
catvarah	catvarah	2	2	1	low	catvārah:1 | catvarah:1	Lex. dge sbyon du byed pa'i ~ = catvārah
dharmah	dharmah	2	2	1	low	dharmāh:1 | dharmah:1	Lex. sad dharmah (Mvy 9320).
dosantaraskhalita	dosāntaraskhalita	2	2	1	low	dosāntaraskhalita:1 | dosāntara-skhalita:1	tshol = na ca paresam dosāntara-skhalita-
durgandhah	durgandhah	2	2	1	low	durgandhāh:1 | durgandhah:1	"Lex. dri "" = durgandhah (Mvy 1895)."
kalaratri	kālarātrī	2	2	1	low	kālarātrī:1 | Kālarātri:1	(Neb 85); vgl. dus mtshan ma. ~ skt. kālarātrī.
karttikatyayikam	kārttikātyayikam	2	2	1	low	kārttikātyayikam:1 | karttikātyayikam:1	~ (v. l. chuñs ) la thal ba = karttikātyayikam
krtva	krtvā	2	2	1	low	krtvā:1 | krtva:1	"(krtva)"" (Udr 33,32); ron (7 ... — pa ci Itar"
madhyamakavataratika	Madhyamakāvatāra-tika	2	2	1	low	Madhyamakāvatāra-tika:1 | Madhyamakavatāratikā:1	dBu ma la 'jugpa'i 'grelbsad / Jayänanda: Madhyamakāvatāra-tika. Ed.: Derge-Tanjur,
mnon	mñon	2	2	1	low	mñon:1 | mnoṅ:1	མངོན་པར་མགུ་ mnoṅ par mgu zufriedenstellen.
nisadaputrah	nisādaputrah	2	2	1	low	nisādaputrah:1 | nisadāputrah:1	"stein"" (Dagy); -'am gtun bu = nisadāputrah,"
nisiditva	nisiditva	2	2	1	low	nisiditvā:1 | nisiditva:1	"nisiditva)"" (Suv 59,4); Sin rtas = nas rkan pa"
padatalam	pādatalam	2	2	1	low	pādatalam:1 | padatalam:1	Lex. padatalam (Mvy 4017); rkan 09 (brDa,
parva	pārvā	2	2	1	low	pārvā:1 | pārva:1	ihn die gegnerische Sichtweise (skt. pārva-
prasadah	prāsādah	2	2	1	low	prāsādah:1 | prasadah:1	"Lex. vesma ""Haus"" (Mvy 5513); prasadah"
saranam	śaranam	2	2	1	low	śaranam:1 | saranam:1	mchi'o = buddham śaranam gacchāmi dvi- nam Q
sarathi	Sārathi	2	2	1	low	sārathi:1 | Sārathi:1	2. npr. ein Buddha, skt. Sārathi.
sarthavahah	sārthavāhah	2	2	1	low	sārthavāhah:1 | sārthavahah:1	Lex. sārthavahah (Mvy 7362); tshon dpon
satanika	śätänika	2	2	1	low	śätänika:1 | Śatänika:1	"Śatänika König"" (Prav 5,25); ko'u sambi na"
slesma	ślesma	2	2	1	low	ślesma:1 | slesmā:1	dan ~ skabs dan sbyar = slesmā (Mvy 4044);
snam	sñam	2	2	1	low	sñam:1 | snam:1	"Lex. ~ ni... gyan skor e yin sñam ""dgye'o:"
subhakrtsnab	subhakrtsnab	2	2	1	low	subhakrtsnab:1 | Subhakrtsnab:1	Lex. subhakrtsnab (Mvy 3096, Abt. bsam
surya	sūrya	2	2	1	low	sūrya:1 | Sūrya:1	6. npr. ein Buddha, skt. Sūrya (Bhad 686).
syamavati	śyämävati	2	2	1	low	śyämävati:1 | śyämavati:1	Bhiruka; - can npr. śyämävati, die Tochter
vayanam	vāyanam	2	2	1	low	vāyanam:1 | vayanam:1	Lex. tagaram (Mvy 5791), vayanam (Mvy
vidvant	Vidvant	2	2	1	low	vidvant:1 | Vidvant:1	4. npr. ein Buddha, skt. Vidvant.
vyavahara	Vyavahāra	2	2	1	low	vyavahāra:1 | Vyavahāra:1	"Lex. vyavahāra ""Streitsache, Prozeß"" (Ak"
bodhisattva	Bodhisattva	136	1	0	none	Bodhisattva:136	Prajhäparämita|!)-Upadesa-Sästra. The work of Bodhisattva Maitreya. Fasc. I: Introduction,
gnis	gñis	97	1	0	none	gñis:97	SONAM ANGDU 1973: Tibeto-Sanskrit lexicographical materials. The Sgra sbyor bam po gñis pa, the
bodhisattvas	Bodhisattvas	65	1	0	none	Bodhisattvas:65	ten der Buddhas und Bodhisattvas. ~ für skt.
nams	ñams	39	1	0	none	ñams:39	501); dkes (r. dkos) thag can ni ñams thag pa
chan	chaṅ	32	1	0	none	chaṅ:32	"Lex. chaṅ gis bzi ba'i Ze sa ""resp. von Ger-"
samadhih	samādhih	29	1	0	none	samādhih:29	näma samādhih (Mvy 562).
gner	gñer	27	1	0	none	gñer:27	Lex. dkon cog gi mchod pa'i gñer pa (brDa,
mnam	mñam	22	1	0	none	mñam:22	Lex. skal ba mñam pa, skt. sahabhavyatā
gnen	gñen	20	1	0	none	gñen:20	27,12, skt. vgl. Divy 479,9); bses gñen ~ bkur
smras	smras	20	1	0	none	smras:20	Lex. — pa =smras pa, bod pa, skt. āmantraya-
gnid	gñid	19	1	0	none	gñid:19	Lex. gñid khug pa'i tshe sin rtsa ma gul ba
rgyas	rgyas	18	1	0	none	rgyas:18	"phra rgyas"" = anusayah (Mvy 2136); skabs"
gnas	gnas	17	1	0	none	gnas:17	Lex. prasakhā (Mvy 4071); ma'i mnalgyi gnas
mahasiddha	Mahāsiddha	15	1	0	none	Mahāsiddha:15	2. Beiname des Mahāsiddha Krsnapa.
sattva	sattva	15	1	0	none	sattva:15	sattva.
sravakas	śrävakas	14	1	0	none	śrävakas:14	Wissen [und] die Befreiung der śrävakas und
sattvas	sattvas	12	1	0	none	sattvas:12	sattvas, skt. samantacaksus); vgl. \kun
buddhas	Buddhas	11	1	0	none	Buddhas:11	ten der Buddhas und Bodhisattvas. ~ für skt.
nagaraja	nāgarājā	11	1	0	none	nāgarājā:11	Lex. klu'irgyal po ~ = kambalo nāgarājā (Mvy
bsnen	bsñen	10	1	0	none	bsñen:10	Lex. upādhyayah (Mvy 8727); bsñen rdzogs
lsdz	Lśdz	9	1	0	none	Lśdz:9	"91 kleinen Länder"" (Lśdz 15,6)."
madhyadesa	Madhyadesa	9	1	0	none	Madhyadesa:9	"klun ~i 'gram ""in Madhyadesa, am Ufer"
snigs	sñigs	9	1	0	none	sñigs:9	"Lex. khu ba bton pa'i sñigs lta bu ""wie Boden-"
byas	byas	8	1	0	none	byas:8	(Mvy 8576); — ba = gan bar byas pa'i min
lans	laṅs	8	1	0	none	laṅs:8	Lex. ~ pa = laṅs zin pa de kho bos bsgrens pa
rnog	rñog	8	1	0	none	rñog:8	Lex. ~ rñog pa, ~ rmya ba = than chad pa'am
snad	sñad	8	1	0	none	sñad:8	Lex. rtsod pa'i gźi 'tshol baam sñad 'tshol
vaisravana	Vaiśravana	8	1	0	none	Vaiśravana:8	3. npr. Vaiśravana.
madhyantika	Madhyāntika	7	1	0	none	Madhyāntika:7	"de'i tshe ""zu der Zeit, zu der Madhyāntika"
mahayanabuddhismus	Mahāyāna-Buddhismus	7	1	0	none	Mahāyāna-Buddhismus:7	Mahāyāna-Buddhismus. Nach den Handschriften und mit Hilfe der tibetischen und chinesi-
nama	nāma	7	1	0	none	nāma:7	kāyakalisampramathano nāma samādhih
snom	sñom	7	1	0	none	sñom:7	Lex. śal ba = rmos rgyab pa'i sul 'khod sñom
sramana	śramana	7	1	0	none	śramana:7	tenden śramana etwa aus der Masse des Kasa-
tattvasamgraha	Tattvasamgraha	7	1	0	none	Tattvasamgraha:7	"Tattvasamgraha des Yogatantra in Kosala"""
tsarya	tsarya	7	1	0	none	tsarya:7	"ཀྱི་ ""kyi Kurzf. f. Ikyi a tsarya ye ses dban po."
bsam	bsam	6	1	0	none	bsam:6	Lex. sudrsab (Mvy 3104); bsam gtan b&i pa'i
gsin	gśin	6	1	0	none	gśin:6	Lex. gśin rje (brDa).
madhyamaka	Madhyamaka	6	1	0	none	Madhyamaka:6	"""Pramänavärttika sowie Madhyamaka und"
manjusri	Mañjuśrī	6	1	0	none	Mañjuśrī:6	"vis) ~ ma gnan bar ma byon ""weil Mañjuśrī"
mnan	mñan	6	1	0	none	mñan:6	"Lex. mñan pa'i srub Sin ""Paddel des Boots-"
mons	moṅs	6	1	0	none	moṅs:6	"Lex. kun 'gro = ñon moṅs kun gro la'an ""auch"
rned	rñed	6	1	0	none	rñed:6	Lex. bskal pa tha ma'i tshe zas rñed pa tsam bkab
sthanam	sthānam	6	1	0	none	sthānam:6	"gi gnas = ārsabham sthānam ""die vornehms-"
sugs	śugs	6	1	0	none	śugs:6	"Lex. ~ mtho bo = skad śugs chen po ""laute"
sutras	Sūtras	6	1	0	none	Sūtras:6	"— kyi tsbigs bcad rnams ""die in den Sūtras ge-"
adhuna	adhunā	5	1	0	none	adhunā:5	= adhunā, sämpratam, idänim, etarhi, sadyah
balam	balam	5	1	0	none	balam:5	Lex. balam (Mvy 7580).
byan	byaṅ	5	1	0	none	byaṅ:5	ཁ་ཏོན་བྱང་བ kha ton byaṅ ba redegewandt.
dhisattva	dhisattva	5	1	0	none	dhisattva:5	"dhisattva seine Anerkennung aus"" (HMrg"
gnan	gñan	5	1	0	none	gñan:5	"Wassers"" (brDa); ~ gñan = ~ btsan po'am"
ardhaparyanka	ardhaparyanka	4	1	0	none	ardhaparyanka:4	Bein, skt. ardhaparyanka.
artha	artha	4	1	0	none	artha:4	liche (skt. artha) und die Befreiung (skt.
buddhapalita	Buddhapālita	4	1	0	none	Buddhapālita:4	"buddhi, der Schüler des Buddhapālita"" (Tär"
dhisattvas	dhisattvas	4	1	0	none	dhisattvas:4	"dhisattvas vollbringen heilvolle Dharmas"""
evam	evam	4	1	0	none	evam:4	(Mvy 9234); — na = evam hi (Mvy 5429).
glan	glaṅ	4	1	0	none	glaṅ:4	གླུང་ཆེན་རྣ་བ་ glaṅ chen rna ba Bez. für Näga.
gram	gram	4	1	0	none	gram:4	Lex. kapolam (Mvy 3950); 'gram pa'i mkhur
gsegs	gśegs	4	1	0	none	gśegs:4	de bzin gśegs pa'! bka' la Sin tu Zugs pa = tathā-
indoaryan	Indo-Aryan	4	1	0	none	Indo-Aryan:4	TuURNER 1966-1985 (Comparative dictionary of the Indo-Aryan languages).
lsdzk	Lśdz-K	4	1	0	none	Lśdz-K:4	"Felshöhle"" (Lśdz-K 305,3)."
mahasattva	Mahäsattva	4	1	0	none	Mahäsattva:4	"gzar nas - (metr.) ""der Mahäsattva sprang"
mnen	mñen	4	1	0	none	mñen:4	Lex. rdo mñen od. ~ ein weicher Stein, Alabas-
mvys	Mvy-S	4	1	0	none	Mvy-S:4	[Mvy-S]
rnam	rnam	4	1	0	none	rnam:4	khandaphullah (Mvy 9427); rnam par rgyal
sakya	sākya	4	1	0	none	sākya:4	Lex. ~, go tam = gan ta ma'i zur chag sākya
samadhib	samādhib	4	1	0	none	samādhib:4	näma samādhib (Mvy 567).
sambh	Śambh	4	1	0	none	Śambh:4	"Sambhala zu gelangen"" (Śambh 5b6)."
sardham	sārdham	4	1	0	none	sārdham:4	"thabs cig gam lhan ag = sārdham ""zu-"
smra	smra	4	1	0	none	smra:4	smra ba = maithunabhāsanam (Mvy 8371);
udbhatasiddhasvamin	Udbhatasiddhasvāmin	4	1	0	none	Udbhatasiddhasvāmin:4	mTho btsun grub rje [d. i. Udbhatasiddhasvāmin] | SCHNEIDER 1993 [Vis]
vajrasattva	Vajrasattva	4	1	0	none	Vajrasattva:4	"Vajrasattva"" (Padm 30b1); ~ 'am 'og min"
abhangige	abhāngige	3	1	0	none	abhāngige:3	"""abhāngige Form bzw. Materie"" (Mvy"
abhidhanavisvalocana	Abhidhānavisvalocana	3	1	0	none	Abhidhānavisvalocana:3	Jamspai, Losang 1995: Tibeto-Sanskrit index to Abhidhānavisvalocana of Sridharasena. Narita:
acharya	Acharya	3	1	0	none	Acharya:3	Studies in Indo-Asian Art and Culture (Acharya Raghu Vira Commemoration Volume). New
aghatayati	āghātayati	3	1	0	none	āghātayati:3	Lex. sems kyis — = cittam āghātayati (Mvy
arsabham	ārsabham	3	1	0	none	ārsabham:3	"gi gnas = ārsabham sthānam ""die vornehms-"
bcas	bcas	3	1	0	none	bcas:3	bcas pa, skt. sahabhavyatā (Mvy 6750).
bras	bras	3	1	0	none	bras:3	"vollen"" (Mvy 373); -""i 'bras bu = nisyanda-"
bsad	bśad	3	1	0	none	bśad:3	Lex. rlun g.yor can = - la bśad (Dagy).
bsnel	bsñel	3	1	0	none	bsñel:3	Lex. than chad pa (Dagy); ~ pa = sku bsñel
buddh	buddh	3	1	0	none	buddh:3	དཀན་མཆག་ཏ buddh. kanon. Textes (Mvy
chun	chuṅ	3	1	0	none	chuṅ:3	མགོའུ་ཆུང་ mgo'n chuṅ ohne Kopf.
dvag	dvag	3	1	0	none	dvag:3	"dvag tshad drug go ""die Kaste des Tathāgata"
garbhah	garbhah	3	1	0	none	garbhah:3	Lex. garbhah (Mvy 4038, 5159); - gyi gnas
gsog	gśog	3	1	0	none	gśog:3	Lex. =, ~ byed = gśog pa (brDa).
hasrihar	Ha-śri-har	3	1	0	none	Ha-śri-har:3	das als Ha-śri-har bekannte Heer der Barbaren
indrakilab	indrakilab	3	1	0	none	indrakilab:3	Lex. indrakilab (Mvy 5582); sgo glegs la
khrab	khrab	3	1	0	none	khrab:3	Lex. nartakab (Mvy 5008); gar 'khrab
lokadhatuh	lokadhātuh	3	1	0	none	lokadhātuh:3	"lokadhātuh ""der Weltbereich mit vier"
madhyavyutpatti	Madhyavyutpatti	3	1	0	none	Madhyavyutpatti:3	sGra sbyor bam po gñis pa / Madhyavyutpatti. Ed.: Ismikawa 1990.
mahabala	Mahābala	3	1	0	none	Mahābala:3	2. npr. zwei Buddhas, skt. Mahābala und
mahasattvas	Mahäsattvas	3	1	0	none	Mahäsattvas:3	"rnams su 'gro ba ""die Häuser der Mahäsattvas"
mandanam	mandanam	3	1	0	none	mandanam:3	mandanam (Mvy 6004).
mkhas	mkhas	3	1	0	none	mkhas:3	Lex. caturab (Mvy 2910); g.yer po ni mkhas
nana	nānā	3	1	0	none	nānā:3	Lex. kham ma bzas par kha mi gdan = nānā-
paramartha	paramārtha	3	1	0	none	paramārtha:3	"dan — dan (metr.) ""endgültige (paramārtha)"
paryanka	paryanka	3	1	0	none	paryanka:3	Beinen, Lotussitz, skt. paryanka; — phyed pa
reyas	reyas	3	1	0	none	reyas:3	Lex. jinah (Mvy 12); sans reyas te bdud bzi
rgas	rgas	3	1	0	none	rgas:3	"Jarä (Mvy 1993); ~ ba = na so rgas pa ""ho-"
sans	saṅs	3	1	0	none	saṅs:3	Lex. saṅs rgyas kyi bka' dan mkhas pa'i bstan
sarvadharmah	sarvadharmāh	3	1	0	none	sarvadharmāh:3	"med pa = amamāh sarvadharmāh ""ohne"
sarvajnatva	sarvajñatva	3	1	0	none	sarvajñatva:3	für skt. sarvajñatva.
sastras	śästras	3	1	0	none	śästras:3	"bstan bcos ""inhaltslose śästras"" (Bu"
siddhasara	Siddhasāra	3	1	0	none	Siddhasāra:3	EMMERICK 1982 (The Siddhasāra of Ravigupta), Bd. 2.
svasti	svasti	3	1	0	none	svasti:3	(in Mvy 66, 584 usw.), svasti (Mvy 2747);
tada	tadā	3	1	0	none	tadā:3	"(skt. tadā tada) ist es das Merkmal"" (Pd-K"
talam	talam	3	1	0	none	talam:3	Lex. talam (Mvy 6876); logs (brDa); phyogs
tsaryas	tsaryas	3	1	0	none	tsaryas:3	bha ta ä tsaryas ... slar yaṅ lha ~ par byas
visvabhuk	visvabhuk	3	1	0	none	visvabhuk:3	Lex. visvabhuk (Mvy 89); visvabhuk (sGra;
abhidhanavisvalocanam	Abhidhānavisvalocanam	2	1	0	none	Abhidhānavisvalocanam:2	— /Wayman, Alex 1992: Abhidhānavisvalocanam of Sridharasena. Narita: Naritasan Shinshoji
abhidhavanti	abhidhāvanti	2	1	0	none	abhidhāvanti:2	"das Leiden zu (skt. abhidhāvanti)"" (Bca"
abhyarhitam	abhyarhitam	2	1	0	none	abhyarhitam:2	"Lex. ~ pa = abhyarhitam ""geehrt, ehr-"
abhyasa	abhyāsa	2	1	0	none	abhyāsa:2	"sind Anwendungen (skt. abhyāsa) nützlich"""
acchasura	acchasurā	2	1	0	none	acchasurā:2	(skt. gauda), klarer chan (skt. acchasurā),
adhyapayate	adhyapayate	2	1	0	none	adhyapayate:2	"adhyapayate ""er unterrichtet den Veda"""
